takt;q1;q2;q2p
0;259.000000;-11.000000;0.000000
1;452.000000;-15.000000;0.000000
2;528.000000;-19.000000;0.000000
3;550.000000;-21.000000;0.000000
4;471.000000;-19.000000;0.000000
5;304.000000;-12.000000;0.000000
6;141.000000;-6.000000;0.000000
7;-48.000000;1.000000;0.000000
8;-283.000000;11.000000;0.000000
9;-475.000000;19.000000;0.000000
10;-603.000000;24.000000;0.000000
11;-724.000000;29.000000;0.000000
12;-823.000000;33.000000;0.000000
13;-880.000000;35.000000;0.000000
14;-932.000000;38.000000;0.000000
15;-981.000000;40.000000;0.000000
16;-993.000000;41.000000;0.000000
17;-996.000000;41.000000;0.000000
18;-1009.000000;41.000000;0.000000
19;-1012.000000;41.000000;0.000000
20;-1001.000000;41.000000;0.000000
21;-1001.000000;41.000000;0.000000
22;-996.000000;41.000000;0.000000
23;-984.000000;41.000000;0.000000
24;-975.000000;40.000000;0.000000
25;-976.000000;40.000000;0.000000
26;-970.000000;40.000000;0.000000
27;-966.000000;40.000000;0.000000
28;-974.000000;40.000000;0.000000
29;-973.000000;40.000000;0.000000
30;-976.000000;40.000000;0.000000
31;-980.000000;40.000000;0.000000
32;-982.000000;40.000000;0.000000
33;-982.000000;40.000000;0.000000
34;-982.000000;40.000000;0.000000
35;-982.000000;40.000000;0.000000
36;-980.000000;40.000000;0.000000
37;-979.000000;40.000000;0.000000
38;-978.000000;40.000000;0.000000
39;-978.000000;40.000000;0.000000
40;-978.000000;40.000000;0.000000
41;-978.000000;40.000000;0.000000
42;-977.000000;40.000000;0.000000
43;-977.000000;40.000000;0.000000
44;-977.000000;40.000000;0.000000
45;-978.000000;40.000000;0.000000
46;-978.000000;40.000000;0.000000
47;-979.000000;40.000000;0.000000
48;-978.000000;40.000000;0.000000
49;-979.000000;40.000000;0.000000
50;-979.000000;40.000000;0.000000
51;-978.000000;40.000000;0.000000
52;-980.000000;40.000000;0.000000
53;-979.000000;40.000000;0.000000
54;-979.000000;40.000000;0.000000
55;-979.000000;40.000000;0.000000
56;-977.000000;40.000000;0.000000
57;-977.000000;40.000000;0.000000
58;-977.000000;40.000000;0.000000
59;-977.000000;40.000000;0.000000
60;-977.000000;40.000000;0.000000
61;-977.000000;40.000000;0.000000
62;-977.000000;40.000000;0.000000
63;-977.000000;40.000000;0.000000
64;-977.000000;40.000000;0.000000
65;-978.000000;40.000000;0.000000
66;-978.000000;40.000000;0.000000
67;-978.000000;40.000000;0.000000
68;-978.000000;40.000000;0.000000
69;-977.000000;40.000000;0.000000
70;-977.000000;40.000000;0.000000
71;-977.000000;40.000000;0.000000
72;-977.000000;40.000000;0.000000
73;-978.000000;40.000000;0.000000
74;-977.000000;40.000000;0.000000
75;-978.000000;40.000000;0.000000
76;-978.000000;40.000000;0.000000
77;-978.000000;40.000000;0.000000
78;-978.000000;40.000000;0.000000
79;-978.000000;40.000000;0.000000
80;-978.000000;40.000000;0.000000
81;-978.000000;40.000000;0.000000
82;-978.000000;40.000000;0.000000
83;-978.000000;40.000000;0.000000
84;-977.000000;40.000000;0.000000
85;-978.000000;40.000000;0.000000
86;-977.000000;40.000000;0.000000
87;-977.000000;40.000000;0.000000
88;-977.000000;40.000000;0.000000
89;-976.000000;40.000000;0.000000
90;-977.000000;40.000000;0.000000
91;-977.000000;40.000000;0.000000
92;-976.000000;40.000000;0.000000
93;-978.000000;40.000000;0.000000
94;-977.000000;40.000000;0.000000
95;-977.000000;40.000000;0.000000
96;-978.000000;40.000000;0.000000
97;-978.000000;40.000000;0.000000
98;-977.000000;40.000000;0.000000
99;-977.000000;40.000000;0.000000
100;-977.000000;40.000000;0.000000
101;-977.000000;40.000000;0.000000
102;-977.000000;40.000000;0.000000
103;-977.000000;40.000000;0.000000
104;-977.000000;40.000000;0.000000
105;-977.000000;40.000000;0.000000
106;-977.000000;40.000000;0.000000
107;-977.000000;40.000000;0.000000
108;-977.000000;40.000000;0.000000
109;-977.000000;40.000000;0.000000
110;-977.000000;40.000000;0.000000
111;-977.000000;40.000000;0.000000
112;-976.000000;40.000000;0.000000
113;-976.000000;40.000000;0.000000
114;-976.000000;40.000000;0.000000
115;-976.000000;40.000000;0.000000
116;-976.000000;40.000000;0.000000
117;-976.000000;40.000000;0.000000
118;-976.000000;40.000000;0.000000
119;-976.000000;40.000000;0.000000
120;-976.000000;40.000000;0.000000
121;-976.000000;40.000000;0.000000
122;-975.000000;40.000000;0.000000
123;-977.000000;40.000000;0.000000
124;-976.000000;40.000000;0.000000
125;-977.000000;40.000000;0.000000
126;-977.000000;40.000000;0.000000
127;-976.000000;40.000000;0.000000
128;-977.000000;40.000000;0.000000
129;-976.000000;40.000000;0.000000
130;-977.000000;40.000000;0.000000
131;-976.000000;40.000000;0.000000
132;-976.000000;40.000000;0.000000
