takt;q1;q2;q2p
0;240.000000;-10.000000;0.000000
1;416.000000;-14.000000;0.000000
2;487.000000;-17.000000;0.000000
3;493.000000;-18.000000;0.000000
4;405.000000;-16.000000;0.000000
5;237.000000;-9.000000;0.000000
6;76.000000;-3.000000;0.000000
7;-109.000000;4.000000;0.000000
8;-325.000000;13.000000;0.000000
9;-499.000000;21.000000;0.000000
10;-613.000000;25.000000;0.000000
11;-718.000000;29.000000;0.000000
12;-808.000000;33.000000;0.000000
13;-855.000000;35.000000;0.000000
14;-899.000000;37.000000;0.000000
15;-935.000000;38.000000;0.000000
16;-945.000000;39.000000;0.000000
17;-952.000000;39.000000;0.000000
18;-966.000000;40.000000;0.000000
19;-969.000000;40.000000;0.000000
20;-960.000000;40.000000;0.000000
21;-958.000000;40.000000;0.000000
22;-954.000000;40.000000;0.000000
23;-946.000000;40.000000;0.000000
24;-939.000000;40.000000;0.000000
25;-937.000000;40.000000;0.000000
26;-937.000000;40.000000;0.000000
27;-936.000000;40.000000;0.000000
28;-941.000000;40.000000;0.000000
29;-942.000000;40.000000;0.000000
30;-943.000000;40.000000;0.000000
31;-946.000000;40.000000;0.000000
32;-950.000000;40.000000;0.000000
33;-955.000000;40.000000;0.000000
34;-957.000000;40.000000;0.000000
35;-960.000000;40.000000;0.000000
36;-958.000000;40.000000;0.000000
37;-958.000000;40.000000;0.000000
38;-958.000000;40.000000;0.000000
39;-956.000000;40.000000;0.000000
40;-957.000000;40.000000;0.000000
41;-957.000000;40.000000;0.000000
42;-957.000000;40.000000;0.000000
43;-957.000000;40.000000;0.000000
44;-957.000000;40.000000;0.000000
45;-958.000000;40.000000;0.000000
46;-959.000000;40.000000;0.000000
47;-961.000000;40.000000;0.000000
48;-962.000000;40.000000;0.000000
49;-962.000000;40.000000;0.000000
50;-963.000000;40.000000;0.000000
51;-963.000000;40.000000;0.000000
52;-963.000000;40.000000;0.000000
53;-964.000000;40.000000;0.000000
54;-964.000000;40.000000;0.000000
55;-963.000000;40.000000;0.000000
56;-964.000000;40.000000;0.000000
57;-964.000000;40.000000;0.000000
58;-963.000000;40.000000;0.000000
59;-964.000000;40.000000;0.000000
60;-965.000000;40.000000;0.000000
61;-964.000000;40.000000;0.000000
62;-967.000000;40.000000;0.000000
63;-970.000000;40.000000;0.000000
64;-972.000000;40.000000;0.000000
65;-977.000000;40.000000;0.000000
66;-981.000000;41.000000;0.000000
67;-981.000000;41.000000;0.000000
68;-986.000000;41.000000;0.000000
69;-988.000000;41.000000;0.000000
70;-988.000000;41.000000;0.000000
71;-990.000000;41.000000;0.000000
72;-990.000000;41.000000;0.000000
73;-991.000000;41.000000;0.000000
74;-992.000000;41.000000;0.000000
75;-992.000000;41.000000;0.000000
76;-992.000000;41.000000;0.000000
77;-994.000000;41.000000;0.000000
78;-996.000000;41.000000;0.000000
79;-999.000000;41.000000;0.000000
80;-1003.000000;42.000000;0.000000
81;-1004.000000;42.000000;0.000000
82;-1010.000000;42.000000;0.000000
83;-1018.000000;42.000000;0.000000
84;-1021.000000;42.000000;0.000000
85;-1028.000000;42.000000;0.000000
86;-1030.000000;43.000000;0.000000
87;-1035.000000;43.000000;0.000000
88;-1039.000000;43.000000;0.000000
89;-1043.000000;43.000000;0.000000
90;-1047.000000;43.000000;0.000000
91;-1050.000000;44.000000;0.000000
92;-1050.000000;44.000000;0.000000
93;-1053.000000;44.000000;0.000000
94;-1055.000000;44.000000;0.000000
95;-1053.000000;44.000000;0.000000
96;-1056.000000;44.000000;0.000000
97;-1057.000000;44.000000;0.000000
98;-1058.000000;44.000000;0.000000
99;-1058.000000;44.000000;0.000000
100;-1057.000000;44.000000;0.000000
101;-1058.000000;44.000000;0.000000
102;-1057.000000;44.000000;0.000000
103;-1059.000000;44.000000;0.000000
104;-1059.000000;44.000000;0.000000
105;-1057.000000;44.000000;0.000000
106;-1061.000000;44.000000;0.000000
107;-1060.000000;44.000000;0.000000
108;-1061.000000;44.000000;0.000000
109;-1061.000000;44.000000;0.000000
110;-1060.000000;44.000000;0.000000
111;-1062.000000;44.000000;0.000000
112;-1061.000000;44.000000;0.000000
113;-1062.000000;44.000000;0.000000
114;-1061.000000;44.000000;0.000000
115;-1060.000000;44.000000;0.000000
116;-1062.000000;44.000000;0.000000
117;-1060.000000;44.000000;0.000000
118;-1062.000000;44.000000;0.000000
119;-1060.000000;44.000000;0.000000
120;-1061.000000;44.000000;0.000000
121;-1062.000000;44.000000;0.000000
122;-1060.000000;44.000000;0.000000
123;-1062.000000;44.000000;0.000000
124;-1060.000000;44.000000;0.000000
125;-1062.000000;44.000000;0.000000
126;-1061.000000;44.000000;0.000000
127;-1061.000000;44.000000;0.000000
128;-1061.000000;44.000000;0.000000
129;-1060.000000;44.000000;0.000000
130;-1063.000000;44.000000;0.000000
131;-1060.000000;44.000000;0.000000
132;-1061.000000;44.000000;0.000000
133;-1061.000000;44.000000;0.000000
134;-1060.000000;44.000000;0.000000
135;-1062.000000;44.000000;0.000000
