takt;q1;q2;q2p
0;264.000000;0.000000;279.680847
1;384.000000;0.000000;557.298767
2;112.000000;0.000000;830.806030
3;-579.000000;0.000000;1098.185059
4;-1867.000000;0.000000;1357.463867
5;-3748.000000;0.000000;1606.729736
6;-6086.000000;0.000000;1844.144287
7;-8805.000000;0.000000;2067.956299
8;-11842.000000;0.000000;2276.514893
9;-15223.000000;0.000000;2468.281738
10;-18782.000000;0.000000;2641.842041
11;-22522.000000;0.000000;2795.916016
12;-26454.000000;0.000000;2929.367188
13;-30576.000000;0.000000;3041.210693
14;-34835.000000;0.000000;3130.622070
15;-39286.000000;0.000000;3196.941650
16;-43922.000000;0.000000;3239.680420
17;-48675.000000;0.000000;3258.522705
18;-53572.000000;0.000000;3253.329834
19;-58641.000000;0.000000;3224.140137
20;-63882.000000;0.000000;3171.168945
21;-69234.000000;0.000000;3094.806641
22;-74733.000000;0.000000;2995.616943
23;-80383.000000;0.000000;2874.331543
24;-86140.000000;0.000000;2731.844482
25;-92000.000000;0.000000;2569.207275
26;-98047.000000;0.000000;2387.619141
27;-104292.000000;0.000000;2188.419922
28;-110593.000000;0.000000;1973.078613
29;-117002.000000;0.000000;1743.183716
30;-123419.000000;0.000000;1500.430908
31;-129549.000000;0.000000;1246.610840
32;-135197.000000;0.000000;983.595581
33;-140267.000000;0.000000;713.325256
34;-144674.000000;0.000000;437.793427
35;-148557.000000;0.000000;159.032364
36;-151845.000000;0.000000;-120.901741
37;-154675.000000;0.000000;-399.944672
38;-157006.000000;0.000000;-676.037537
39;-159005.000000;0.000000;-947.143860
40;-160775.000000;0.000000;-1211.264038
41;-162309.000000;0.000000;-1466.449585
42;-163649.000000;0.000000;-1710.818604
43;-164737.000000;0.000000;-1942.568359
44;-165526.000000;0.000000;-2159.989502
45;-166023.000000;0.000000;-2361.478271
46;-166271.000000;0.000000;-2545.548340
47;-166264.000000;0.000000;-2710.842285
48;-166069.000000;0.000000;-2856.140625
49;-165743.000000;0.000000;-2980.371826
50;-165283.000000;0.000000;-3082.619385
51;-164703.000000;0.000000;-3162.129150
52;-164003.000000;0.000000;-3218.314697
53;-163171.000000;0.000000;-3250.761719
54;-162194.000000;0.000000;-3259.230469
55;-161094.000000;0.000000;-3243.658691
56;-159862.000000;0.000000;-3204.161377
57;-158503.000000;0.000000;-3141.029785
58;-157017.000000;0.000000;-3054.729736
59;-155395.000000;0.000000;-2945.897461
60;-153649.000000;0.000000;-2815.335693
61;-151761.000000;0.000000;-2664.008057
62;-149734.000000;0.000000;-2493.030029
63;-147553.000000;0.000000;-2303.663330
64;-145244.000000;0.000000;-2097.304443
65;-142770.000000;0.000000;-1875.475464
66;-140161.000000;0.000000;-1639.812866
67;-137433.000000;0.000000;-1392.054688
68;-134573.000000;0.000000;-1134.028687
69;-131578.000000;0.000000;-867.637878
70;-128601.000000;0.000000;-594.847290
71;-125759.000000;0.000000;-317.669006
72;-123336.000000;0.000000;-38.147564
73;-121454.000000;0.000000;241.654037
74;-120207.000000;0.000000;519.673157
75;-119625.000000;0.000000;793.859192
76;-119540.000000;0.000000;1062.189697
77;-120031.000000;0.000000;1322.685303
78;-121095.000000;0.000000;1573.424805
79;-122689.000000;0.000000;1812.558594
80;-124853.000000;0.000000;2038.322876
