takt;q1;q2;q2p
0;250.000000;0.000000;111.988037
1;456.000000;0.000000;223.843842
2;528.000000;0.000000;335.435333
3;455.000000;0.000000;446.630737
4;230.000000;0.000000;557.298767
5;-318.000000;0.000000;667.308716
6;-1260.000000;0.000000;776.530762
7;-2598.000000;0.000000;884.835876
8;-4461.000000;0.000000;992.096130
9;-6814.000000;0.000000;1098.185059
10;-9509.000000;0.000000;1202.977295
11;-12557.000000;0.000000;1306.348999
12;-15964.000000;0.000000;1408.178223
13;-19535.000000;0.000000;1508.344604
14;-23248.000000;0.000000;1606.729980
15;-27146.000000;0.000000;1703.218262
16;-31182.000000;0.000000;1797.695312
17;-35333.000000;0.000000;1890.049683
18;-39633.000000;0.000000;1980.172241
19;-44135.000000;0.000000;2067.956543
20;-48776.000000;0.000000;2153.299072
21;-53543.000000;0.000000;2236.099121
22;-58486.000000;0.000000;2316.258789
23;-63607.000000;0.000000;2393.683350
24;-68836.000000;0.000000;2468.281494
25;-74201.000000;0.000000;2539.965332
26;-79751.000000;0.000000;2608.649658
27;-85449.000000;0.000000;2674.254150
28;-91239.000000;0.000000;2736.700684
29;-97164.000000;0.000000;2795.915771
30;-103227.000000;0.000000;2851.829590
31;-109385.000000;0.000000;2904.375732
32;-115708.000000;0.000000;2953.492676
33;-122211.000000;0.000000;2999.122070
34;-128771.000000;0.000000;3041.210205
35;-135472.000000;0.000000;3079.707520
36;-142341.000000;0.000000;3114.568115
37;-149350.000000;0.000000;3145.751221
38;-156516.000000;0.000000;3173.219727
39;-163781.000000;0.000000;3196.941406
40;-171236.000000;0.000000;3216.888184
41;-178838.000000;0.000000;3233.036621
42;-186556.000000;0.000000;3245.367432
43;-194411.000000;0.000000;3253.865967
44;-202446.000000;0.000000;3258.522705
45;-210573.000000;0.000000;3259.331543
46;-218867.000000;0.000000;3256.291992
47;-227281.000000;0.000000;3249.407227
48;-235813.000000;0.000000;3238.685791
49;-244462.000000;0.000000;3224.139893
50;-253245.000000;0.000000;3205.787354
51;-262198.000000;0.000000;3183.649170
52;-271255.000000;0.000000;3157.751709
53;-280467.000000;0.000000;3128.125732
54;-289845.000000;0.000000;3094.806152
55;-299338.000000;0.000000;3057.832275
56;-308949.000000;0.000000;3017.247559
57;-318708.000000;0.000000;2973.100342
58;-328595.000000;0.000000;2925.442383
59;-338602.000000;0.000000;2874.330078
60;-348650.000000;0.000000;2819.823730
61;-358784.000000;0.000000;2761.987793
62;-368972.000000;0.000000;2700.890625
63;-379147.000000;0.000000;2636.604248
64;-389322.000000;0.000000;2569.204590
65;-399386.000000;0.000000;2498.771240
66;-409325.000000;0.000000;2425.387207
67;-419097.000000;0.000000;2349.139648
68;-428705.000000;0.000000;2270.117920
69;-438058.000000;0.000000;2188.415771
70;-447206.000000;0.000000;2104.129639
