takt;q1;q2;q2p
0;279.000000;0.000000;111.988037
1;488.000000;0.000000;223.843842
2;541.000000;0.000000;335.435333
3;457.000000;0.000000;446.630737
4;215.000000;0.000000;557.298767
5;-349.000000;0.000000;667.308716
6;-1242.000000;0.000000;776.530762
7;-2487.000000;0.000000;884.835876
8;-4187.000000;0.000000;992.096130
9;-6302.000000;0.000000;1098.185059
10;-8688.000000;0.000000;1202.977295
11;-11392.000000;0.000000;1306.348999
12;-14395.000000;0.000000;1408.178223
13;-17669.000000;0.000000;1508.344604
14;-21123.000000;0.000000;1606.729980
15;-24750.000000;0.000000;1703.218262
16;-28545.000000;0.000000;1797.695312
17;-32389.000000;0.000000;1890.049683
18;-36353.000000;0.000000;1980.172241
19;-40494.000000;0.000000;2067.956543
20;-44735.000000;0.000000;2153.299072
21;-49120.000000;0.000000;2236.099121
22;-53651.000000;0.000000;2316.258789
23;-58328.000000;0.000000;2393.683350
24;-63183.000000;0.000000;2468.281494
25;-68178.000000;0.000000;2539.965332
26;-73304.000000;0.000000;2608.649658
27;-78587.000000;0.000000;2674.254150
28;-83993.000000;0.000000;2736.700684
29;-89554.000000;0.000000;2795.915771
30;-95227.000000;0.000000;2851.829590
31;-101029.000000;0.000000;2904.375732
32;-106940.000000;0.000000;2953.492676
33;-112980.000000;0.000000;2999.122070
34;-119193.000000;0.000000;3041.210205
35;-125547.000000;0.000000;3079.707520
36;-132016.000000;0.000000;3114.568115
37;-138637.000000;0.000000;3145.751221
38;-145445.000000;0.000000;3173.219727
39;-152300.000000;0.000000;3196.941406
40;-159350.000000;0.000000;3216.888184
41;-166544.000000;0.000000;3233.036621
42;-173835.000000;0.000000;3245.367432
43;-181323.000000;0.000000;3253.865967
44;-188817.000000;0.000000;3258.522705
45;-196543.000000;0.000000;3259.331543
46;-204347.000000;0.000000;3256.291992
47;-212259.000000;0.000000;3249.407227
48;-220264.000000;0.000000;3238.685791
49;-228374.000000;0.000000;3224.139893
50;-236543.000000;0.000000;3205.787354
51;-244720.000000;0.000000;3183.649170
52;-252950.000000;0.000000;3157.751709
53;-261153.000000;0.000000;3128.125732
54;-269335.000000;0.000000;3094.806152
55;-277465.000000;0.000000;3057.832275
56;-285498.000000;0.000000;3017.247559
57;-293426.000000;0.000000;2973.100342
58;-301291.000000;0.000000;2925.442383
59;-309054.000000;0.000000;2874.330078
60;-316643.000000;0.000000;2819.823730
61;-324090.000000;0.000000;2761.987793
62;-331367.000000;0.000000;2700.890625
63;-338479.000000;0.000000;2636.604248
64;-345408.000000;0.000000;2569.204590
65;-352091.000000;0.000000;2498.771240
66;-358592.000000;0.000000;2425.387207
67;-364911.000000;0.000000;2349.139648
68;-371011.000000;0.000000;2270.117920
69;-376851.000000;0.000000;2188.415771
70;-382476.000000;0.000000;2104.129639
71;-387872.000000;0.000000;2017.358887
72;-393070.000000;0.000000;1928.206055
73;-398027.000000;0.000000;1836.776855
74;-402744.000000;0.000000;1743.178833
75;-407219.000000;0.000000;1647.522461
76;-411407.000000;0.000000;1549.920776
77;-415377.000000;0.000000;1450.489014
78;-419139.000000;0.000000;1349.344482
79;-422634.000000;0.000000;1246.606689
80;-425926.000000;0.000000;1142.396851
81;-429005.000000;0.000000;1036.838135
82;-431857.000000;0.000000;930.055237
83;-434457.000000;0.000000;822.174072
84;-436833.000000;0.000000;713.322083
85;-438997.000000;0.000000;603.627869
86;-440941.000000;0.000000;493.220856
87;-442650.000000;0.000000;382.231476
88;-444116.000000;0.000000;270.790741
89;-445313.000000;0.000000;159.030304
90;-446260.000000;0.000000;47.082062
91;-446997.000000;0.000000;-64.921768
92;-447505.000000;0.000000;-176.848938
93;-447781.000000;0.000000;-288.567291
94;-447843.000000;0.000000;-399.944916
95;-447743.000000;0.000000;-510.850281
96;-447494.000000;0.000000;-621.152466
97;-447096.000000;0.000000;-730.721191
98;-446598.000000;0.000000;-839.427063
99;-445961.000000;0.000000;-947.141785
100;-445154.000000;0.000000;-1053.738159
101;-444196.000000;0.000000;-1159.090332
102;-443137.000000;0.000000;-1263.073730
103;-441936.000000;0.000000;-1365.565918
104;-440553.000000;0.000000;-1466.445557
105;-439050.000000;0.000000;-1565.593628
106;-437424.000000;0.000000;-1662.893066
107;-435606.000000;0.000000;-1758.229126
108;-433680.000000;0.000000;-1851.489014
109;-431656.000000;0.000000;-1942.562622
110;-429471.000000;0.000000;-2031.342651
111;-427167.000000;0.000000;-2117.724121
112;-424713.000000;0.000000;-2201.604736
113;-422186.000000;0.000000;-2282.885986
114;-419484.000000;0.000000;-2361.471680
115;-416686.000000;0.000000;-2437.268799
116;-413754.000000;0.000000;-2510.188232
117;-410692.000000;0.000000;-2580.143555
118;-407466.000000;0.000000;-2647.052490
119;-404070.000000;0.000000;-2710.835693
120;-400588.000000;0.000000;-2771.417969
121;-396943.000000;0.000000;-2828.728027
122;-393151.000000;0.000000;-2882.697754
123;-389243.000000;0.000000;-2933.263672
124;-385254.000000;0.000000;-2980.365967
125;-381095.000000;0.000000;-3023.949463
126;-376824.000000;0.000000;-3063.961914
127;-372445.000000;0.000000;-3100.356689
128;-367909.000000;0.000000;-3133.090820
129;-363210.000000;0.000000;-3162.125244
130;-358421.000000;0.000000;-3187.425781
131;-353524.000000;0.000000;-3208.962891
132;-348452.000000;0.000000;-3226.710938
133;-343264.000000;0.000000;-3240.648682
134;-337973.000000;0.000000;-3250.760254
135;-332544.000000;0.000000;-3257.033203
136;-326990.000000;0.000000;-3259.460449
137;-321331.000000;0.000000;-3258.038818
138;-315549.000000;0.000000;-3252.770264
139;-309584.000000;0.000000;-3243.660889
140;-303501.000000;0.000000;-3230.721436
141;-297309.000000;0.000000;-3213.967285
142;-290974.000000;0.000000;-3193.418213
143;-284506.000000;0.000000;-3169.098145
144;-277928.000000;0.000000;-3141.036377
145;-271255.000000;0.000000;-3109.265137
146;-264406.000000;0.000000;-3073.822754
147;-257414.000000;0.000000;-3034.750732
148;-250354.000000;0.000000;-2992.095215
149;-243152.000000;0.000000;-2945.906738
150;-235869.000000;0.000000;-2896.239502
151;-228539.000000;0.000000;-2843.152588
152;-221163.000000;0.000000;-2786.708496
153;-213776.000000;0.000000;-2726.973633
154;-206408.000000;0.000000;-2664.019043
155;-199148.000000;0.000000;-2597.918701
156;-191982.000000;0.000000;-2528.750488
157;-184919.000000;0.000000;-2456.596680
158;-178031.000000;0.000000;-2381.541992
159;-171311.000000;0.000000;-2303.675049
