takt;q1;q2;q2p
0;277.000000;-12.000000;0.000000
1;549.000000;-21.000000;0.000000
2;806.000000;-16.000000;0.000000
3;918.000000;-21.000000;0.000000
4;963.000000;-23.000000;0.000000
5;912.000000;-21.000000;0.000000
6;738.000000;-14.000000;0.000000
7;531.000000;-7.000000;0.000000
8;249.000000;3.000000;0.000000
9;-59.000000;15.000000;0.000000
10;-378.000000;27.000000;0.000000
11;-697.000000;40.000000;0.000000
12;-997.000000;51.000000;0.000000
13;-1319.000000;57.000000;0.000000
14;-1588.000000;61.000000;0.000000
15;-1803.000000;70.000000;0.000000
16;-1963.000000;76.000000;0.000000
17;-2031.000000;80.000000;0.000000
18;-2034.000000;80.000000;0.000000
19;-1966.000000;78.000000;0.000000
20;-1855.000000;73.000000;0.000000
21;-1701.000000;68.000000;0.000000
22;-1504.000000;60.000000;0.000000
23;-1312.000000;52.000000;0.000000
24;-1111.000000;45.000000;0.000000
25;-893.000000;36.000000;0.000000
26;-686.000000;28.000000;0.000000
27;-480.000000;22.000000;0.000000
28;-271.000000;22.000000;0.000000
29;-133.000000;19.000000;0.000000
30;-26.000000;15.000000;0.000000
31;39.000000;13.000000;0.000000
32;30.000000;13.000000;0.000000
33;-19.000000;15.000000;0.000000
34;-112.000000;18.000000;0.000000
35;-240.000000;23.000000;0.000000
36;-396.000000;28.000000;0.000000
37;-560.000000;35.000000;0.000000
38;-719.000000;41.000000;0.000000
39;-891.000000;47.000000;0.000000
40;-1064.000000;51.000000;0.000000
41;-1228.000000;53.000000;0.000000
42;-1382.000000;53.000000;0.000000
43;-1503.000000;59.000000;0.000000
44;-1589.000000;62.000000;0.000000
45;-1633.000000;64.000000;0.000000
46;-1629.000000;64.000000;0.000000
47;-1590.000000;63.000000;0.000000
48;-1506.000000;60.000000;0.000000
49;-1390.000000;55.000000;0.000000
50;-1274.000000;51.000000;0.000000
51;-1142.000000;46.000000;0.000000
52;-997.000000;40.000000;0.000000
53;-860.000000;34.000000;0.000000
54;-728.000000;30.000000;0.000000
55;-591.000000;28.000000;0.000000
56;-467.000000;28.000000;0.000000
57;-383.000000;30.000000;0.000000
58;-296.000000;26.000000;0.000000
59;-262.000000;25.000000;0.000000
60;-265.000000;24.000000;0.000000
61;-287.000000;26.000000;0.000000
62;-346.000000;27.000000;0.000000
63;-423.000000;30.000000;0.000000
64;-520.000000;33.000000;0.000000
65;-617.000000;38.000000;0.000000
66;-723.000000;42.000000;0.000000
67;-831.000000;45.000000;0.000000
68;-935.000000;48.000000;0.000000
69;-1044.000000;50.000000;0.000000
70;-1145.000000;50.000000;0.000000
71;-1229.000000;48.000000;0.000000
72;-1300.000000;51.000000;0.000000
73;-1366.000000;54.000000;0.000000
74;-1395.000000;55.000000;0.000000
75;-1404.000000;55.000000;0.000000
76;-1402.000000;55.000000;0.000000
77;-1346.000000;54.000000;0.000000
78;-1277.000000;51.000000;0.000000
79;-1206.000000;48.000000;0.000000
80;-1110.000000;44.000000;0.000000
81;-1006.000000;41.000000;0.000000
82;-907.000000;37.000000;0.000000
83;-810.000000;33.000000;0.000000
84;-714.000000;32.000000;0.000000
85;-622.000000;31.000000;0.000000
86;-538.000000;34.000000;0.000000
87;-488.000000;33.000000;0.000000
88;-429.000000;31.000000;0.000000
89;-403.000000;31.000000;0.000000
90;-416.000000;30.000000;0.000000
91;-432.000000;31.000000;0.000000
92;-477.000000;32.000000;0.000000
93;-538.000000;35.000000;0.000000
94;-605.000000;37.000000;0.000000
95;-678.000000;40.000000;0.000000
96;-754.000000;43.000000;0.000000
97;-832.000000;46.000000;0.000000
98;-901.000000;48.000000;0.000000
99;-977.000000;49.000000;0.000000
100;-1050.000000;47.000000;0.000000
101;-1115.000000;44.000000;0.000000
102;-1152.000000;46.000000;0.000000
103;-1202.000000;48.000000;0.000000
104;-1234.000000;48.000000;0.000000
105;-1246.000000;49.000000;0.000000
106;-1265.000000;50.000000;0.000000
107;-1244.000000;50.000000;0.000000
108;-1209.000000;48.000000;0.000000
109;-1173.000000;47.000000;0.000000
110;-1122.000000;45.000000;0.000000
111;-1059.000000;42.000000;0.000000
112;-990.000000;40.000000;0.000000
113;-931.000000;37.000000;0.000000
114;-867.000000;35.000000;0.000000
115;-803.000000;34.000000;0.000000
116;-755.000000;35.000000;0.000000
117;-701.000000;37.000000;0.000000
118;-656.000000;40.000000;0.000000
119;-638.000000;39.000000;0.000000
120;-605.000000;37.000000;0.000000
121;-586.000000;37.000000;0.000000
122;-587.000000;37.000000;0.000000
123;-577.000000;37.000000;0.000000
124;-588.000000;37.000000;0.000000
125;-613.000000;38.000000;0.000000
126;-638.000000;38.000000;0.000000
127;-669.000000;40.000000;0.000000
128;-707.000000;41.000000;0.000000
129;-746.000000;43.000000;0.000000
130;-780.000000;44.000000;0.000000
131;-824.000000;45.000000;0.000000
132;-863.000000;45.000000;0.000000
133;-894.000000;45.000000;0.000000
134;-931.000000;44.000000;0.000000
135;-964.000000;42.000000;0.000000
136;-994.000000;41.000000;0.000000
137;-1022.000000;41.000000;0.000000
138;-1051.000000;42.000000;0.000000
139;-1075.000000;43.000000;0.000000
140;-1096.000000;44.000000;0.000000
141;-1113.000000;44.000000;0.000000
142;-1123.000000;44.000000;0.000000
143;-1129.000000;44.000000;0.000000
144;-1126.000000;44.000000;0.000000
145;-1118.000000;44.000000;0.000000
146;-1106.000000;44.000000;0.000000
147;-1086.000000;44.000000;0.000000
148;-1064.000000;43.000000;0.000000
149;-1043.000000;42.000000;0.000000
150;-1020.000000;41.000000;0.000000
151;-994.000000;40.000000;0.000000
152;-974.000000;40.000000;0.000000
153;-958.000000;40.000000;0.000000
154;-939.000000;40.000000;0.000000
155;-923.000000;41.000000;0.000000
156;-912.000000;41.000000;0.000000
157;-899.000000;41.000000;0.000000
158;-887.000000;41.000000;0.000000
159;-882.000000;40.000000;0.000000
160;-877.000000;40.000000;0.000000
161;-872.000000;40.000000;0.000000
162;-872.000000;40.000000;0.000000
163;-875.000000;40.000000;0.000000
164;-878.000000;40.000000;0.000000
165;-884.000000;40.000000;0.000000
166;-894.000000;40.000000;0.000000
167;-903.000000;40.000000;0.000000
168;-913.000000;39.000000;0.000000
169;-927.000000;39.000000;0.000000
170;-939.000000;39.000000;0.000000
171;-949.000000;40.000000;0.000000
172;-961.000000;41.000000;0.000000
173;-971.000000;41.000000;0.000000
174;-979.000000;41.000000;0.000000
175;-988.000000;40.000000;0.000000
176;-992.000000;40.000000;0.000000
177;-996.000000;40.000000;0.000000
178;-1001.000000;40.000000;0.000000
179;-1001.000000;40.000000;0.000000
180;-1004.000000;40.000000;0.000000
181;-1001.000000;40.000000;0.000000
182;-1000.000000;40.000000;0.000000
183;-997.000000;40.000000;0.000000
184;-993.000000;40.000000;0.000000
185;-989.000000;40.000000;0.000000
186;-982.000000;40.000000;0.000000
187;-978.000000;39.000000;0.000000
188;-974.000000;39.000000;0.000000
189;-970.000000;39.000000;0.000000
190;-966.000000;40.000000;0.000000
191;-963.000000;40.000000;0.000000
192;-961.000000;41.000000;0.000000
193;-959.000000;41.000000;0.000000
194;-959.000000;40.000000;0.000000
195;-959.000000;39.000000;0.000000
196;-958.000000;39.000000;0.000000
197;-960.000000;39.000000;0.000000
198;-962.000000;41.000000;0.000000
199;-964.000000;41.000000;0.000000
200;-965.000000;41.000000;0.000000
201;-966.000000;41.000000;0.000000
202;-967.000000;40.000000;0.000000
203;-967.000000;39.000000;0.000000
204;-967.000000;39.000000;0.000000
205;-966.000000;40.000000;0.000000
206;-965.000000;41.000000;0.000000
207;-965.000000;42.000000;0.000000
208;-965.000000;42.000000;0.000000
209;-964.000000;42.000000;0.000000
210;-964.000000;40.000000;0.000000
211;-964.000000;40.000000;0.000000
212;-964.000000;40.000000;0.000000
213;-965.000000;40.000000;0.000000
214;-966.000000;41.000000;0.000000
215;-967.000000;42.000000;0.000000
216;-967.000000;42.000000;0.000000
217;-968.000000;41.000000;0.000000
218;-968.000000;40.000000;0.000000
219;-968.000000;40.000000;0.000000
220;-968.000000;40.000000;0.000000
221;-968.000000;41.000000;0.000000
222;-968.000000;42.000000;0.000000
223;-968.000000;42.000000;0.000000
224;-968.000000;41.000000;0.000000
225;-967.000000;40.000000;0.000000
226;-967.000000;40.000000;0.000000
227;-967.000000;40.000000;0.000000
228;-967.000000;40.000000;0.000000
229;-967.000000;41.000000;0.000000
230;-967.000000;41.000000;0.000000
231;-966.000000;41.000000;0.000000
232;-966.000000;41.000000;0.000000
233;-966.000000;40.000000;0.000000
234;-965.000000;40.000000;0.000000
235;-965.000000;40.000000;0.000000
236;-964.000000;40.000000;0.000000
237;-964.000000;41.000000;0.000000
238;-964.000000;41.000000;0.000000
239;-964.000000;41.000000;0.000000
240;-964.000000;40.000000;0.000000
241;-964.000000;40.000000;0.000000
242;-964.000000;40.000000;0.000000
243;-965.000000;40.000000;0.000000
244;-965.000000;40.000000;0.000000
245;-966.000000;40.000000;0.000000
246;-966.000000;40.000000;0.000000
247;-967.000000;40.000000;0.000000
248;-967.000000;40.000000;0.000000
249;-967.000000;40.000000;0.000000
250;-967.000000;40.000000;0.000000
251;-967.000000;39.000000;0.000000
252;-966.000000;39.000000;0.000000
253;-966.000000;40.000000;0.000000
254;-966.000000;41.000000;0.000000
255;-966.000000;41.000000;0.000000
256;-966.000000;41.000000;0.000000
257;-966.000000;40.000000;0.000000
258;-965.000000;39.000000;0.000000
259;-965.000000;39.000000;0.000000
260;-965.000000;40.000000;0.000000
261;-966.000000;41.000000;0.000000
262;-966.000000;41.000000;0.000000
263;-967.000000;41.000000;0.000000
264;-967.000000;41.000000;0.000000
265;-967.000000;40.000000;0.000000
266;-967.000000;39.000000;0.000000
267;-967.000000;39.000000;0.000000
268;-967.000000;40.000000;0.000000
269;-967.000000;41.000000;0.000000
270;-967.000000;41.000000;0.000000
271;-967.000000;41.000000;0.000000
272;-967.000000;41.000000;0.000000
273;-966.000000;40.000000;0.000000
274;-965.000000;39.000000;0.000000
275;-964.000000;39.000000;0.000000
276;-963.000000;40.000000;0.000000
277;-963.000000;41.000000;0.000000
278;-963.000000;41.000000;0.000000
279;-963.000000;41.000000;0.000000
280;-963.000000;40.000000;0.000000
281;-963.000000;39.000000;0.000000
282;-964.000000;39.000000;0.000000
283;-965.000000;40.000000;0.000000
284;-966.000000;41.000000;0.000000
285;-967.000000;41.000000;0.000000
286;-969.000000;41.000000;0.000000
287;-969.000000;41.000000;0.000000
288;-970.000000;40.000000;0.000000
289;-970.000000;40.000000;0.000000
290;-970.000000;40.000000;0.016320
291;-969.000000;40.000000;23.538572
292;-969.000000;40.000000;47.060825
293;-969.000000;44.000000;70.583076
294;-972.000000;54.000000;94.105331
