takt;q1;q2;q2p
0;386.000000;-16.000000;-31.743656
1;734.000000;-28.000000;-63.487312
2;1008.000000;-40.000000;-95.230972
3;1246.000000;-50.000000;-126.974625
4;1422.000000;-58.000000;-158.718277
5;1535.000000;-62.000000;-190.461929
6;1637.000000;-66.000000;-222.205597
7;1702.000000;-70.000000;-253.949219
8;1721.000000;-70.000000;-285.692871
9;1739.000000;-71.000000;-317.436554
10;1756.000000;-72.000000;-349.180237
11;1748.000000;-72.000000;-380.923889
12;1731.000000;-72.000000;-412.667572
13;1714.000000;-71.000000;-444.411224
14;1692.000000;-71.000000;-476.154877
15;1666.000000;-70.000000;-507.898560
16;1651.000000;-69.000000;-539.642273
17;1640.000000;-68.000000;-571.385925
18;1621.000000;-67.000000;-603.129517
19;1605.000000;-67.000000;-634.873169
20;1601.000000;-66.000000;-666.616821
21;1594.000000;-66.000000;-698.360474
22;1582.000000;-66.000000;-730.104065
23;1579.000000;-66.000000;-761.847717
24;1578.000000;-66.000000;-793.591309
25;1567.000000;-65.000000;-825.334961
26;1567.000000;-65.000000;-857.078613
27;1568.000000;-65.000000;-888.822266
28;1562.000000;-65.000000;-920.565918
29;1555.000000;-65.000000;-952.309509
30;1550.000000;-64.000000;-984.053162
31;1549.000000;-64.000000;-1015.796814
32;1542.000000;-64.000000;-1047.540527
33;1537.000000;-64.000000;-1079.284058
34;1535.000000;-64.000000;-1111.027710
35;1526.000000;-63.000000;-1142.771362
36;1523.000000;-63.000000;-1174.515015
37;1523.000000;-63.000000;-1206.258667
38;1518.000000;-63.000000;-1238.002319
39;1514.000000;-63.000000;-1269.746094
40;1511.000000;-63.000000;-1301.489746
41;1507.000000;-63.000000;-1333.233521
42;1503.000000;-63.000000;-1364.977173
43;1499.000000;-62.000000;-1396.720947
44;1492.000000;-62.000000;-1428.464600
45;1486.000000;-62.000000;-1460.208374
46;1479.000000;-62.000000;-1491.952026
47;1472.000000;-61.000000;-1523.695801
48;1469.000000;-61.000000;-1555.439453
49;1463.000000;-61.000000;-1587.183105
50;1457.000000;-61.000000;-1618.926880
51;1454.000000;-60.000000;-1650.670532
52;1449.000000;-60.000000;-1682.414185
53;1442.000000;-60.000000;-1714.157959
54;1437.000000;-60.000000;-1745.901611
55;1430.000000;-59.000000;-1777.645264
56;1425.000000;-59.000000;-1809.389038
57;1420.000000;-59.000000;-1841.132812
58;1414.000000;-59.000000;-1872.876343
59;1409.000000;-59.000000;-1904.620117
60;1401.000000;-58.000000;-1936.363892
61;1396.000000;-58.000000;-1968.107422
62;1389.000000;-58.000000;-1999.851196
63;1380.000000;-58.000000;-2031.594971
64;1373.000000;-57.000000;-2063.338623
65;1366.000000;-57.000000;-2095.082275
66;1358.000000;-57.000000;-2126.826172
67;1351.000000;-56.000000;-2158.569824
68;1342.000000;-56.000000;-2190.313477
