takt;q1;q2;q2p
0;404.000000;-17.000000;-31.743656
1;781.000000;-31.000000;-63.487312
2;1110.000000;-45.000000;-95.230972
3;1404.000000;-57.000000;-126.974625
4;1622.000000;-66.000000;-158.718277
5;1781.000000;-72.000000;-190.461929
6;1902.000000;-78.000000;-222.205597
7;1966.000000;-81.000000;-253.949219
8;1970.000000;-81.000000;-285.692871
9;1954.000000;-81.000000;-317.436554
10;1919.000000;-80.000000;-349.180237
11;1862.000000;-77.000000;-380.923889
12;1794.000000;-75.000000;-412.667572
13;1734.000000;-73.000000;-444.411224
14;1664.000000;-70.000000;-476.154877
15;1581.000000;-66.000000;-507.898560
16;1514.000000;-63.000000;-539.642273
17;1456.000000;-61.000000;-571.385925
18;1387.000000;-58.000000;-603.129517
19;1320.000000;-55.000000;-634.873169
20;1274.000000;-54.000000;-666.616821
21;1221.000000;-52.000000;-698.360474
22;1176.000000;-50.000000;-730.104065
23;1148.000000;-48.000000;-761.847717
24;1120.000000;-48.000000;-793.591309
25;1097.000000;-47.000000;-825.334961
26;1087.000000;-46.000000;-857.078613
27;1086.000000;-46.000000;-888.822266
28;1080.000000;-46.000000;-920.565918
29;1077.000000;-45.000000;-952.309509
30;1082.000000;-45.000000;-984.053162
31;1082.000000;-45.000000;-1015.796814
32;1081.000000;-45.000000;-1047.540527
33;1084.000000;-45.000000;-1079.284058
34;1083.000000;-45.000000;-1111.027710
35;1077.000000;-45.000000;-1142.771362
36;1076.000000;-45.000000;-1174.515015
37;1074.000000;-45.000000;-1206.258667
38;1071.000000;-45.000000;-1238.002319
39;1069.000000;-45.000000;-1269.746094
40;1069.000000;-45.000000;-1301.489746
41;1066.000000;-45.000000;-1333.233521
42;1062.000000;-45.000000;-1364.977173
43;1061.000000;-45.000000;-1396.720947
44;1058.000000;-45.000000;-1428.464600
45;1055.000000;-44.000000;-1460.208374
46;1055.000000;-44.000000;-1491.952026
47;1054.000000;-44.000000;-1523.695801
48;1048.000000;-44.000000;-1555.439453
49;1043.000000;-44.000000;-1587.183105
50;1037.000000;-44.000000;-1618.926880
51;1031.000000;-44.000000;-1650.670532
52;1026.000000;-43.000000;-1682.414185
53;1020.000000;-43.000000;-1714.157959
54;1013.000000;-43.000000;-1745.901611
