takt;q1;q2;q2p
0;404.000000;-17.000000;-31.743656
1;774.000000;-31.000000;-63.487312
2;1085.000000;-44.000000;-95.230972
3;1357.000000;-55.000000;-126.974625
4;1569.000000;-63.000000;-158.718277
5;1711.000000;-69.000000;-190.461929
6;1815.000000;-74.000000;-222.205597
7;1871.000000;-76.000000;-253.949219
8;1879.000000;-76.000000;-285.692871
9;1884.000000;-77.000000;-317.436554
10;1872.000000;-77.000000;-349.180237
11;1841.000000;-76.000000;-380.923889
12;1798.000000;-74.000000;-412.667572
13;1757.000000;-73.000000;-444.411224
14;1724.000000;-71.000000;-476.154877
15;1678.000000;-69.000000;-507.898560
16;1644.000000;-68.000000;-539.642273
17;1615.000000;-67.000000;-571.385925
18;1576.000000;-65.000000;-603.129517
19;1543.000000;-64.000000;-634.873169
20;1523.000000;-63.000000;-666.616821
21;1508.000000;-63.000000;-698.360474
22;1494.000000;-62.000000;-730.104065
23;1488.000000;-62.000000;-761.847717
24;1485.000000;-61.000000;-793.591309
25;1487.000000;-61.000000;-825.334961
26;1486.000000;-61.000000;-857.078613
27;1487.000000;-61.000000;-888.822266
28;1483.000000;-61.000000;-920.565918
29;1477.000000;-61.000000;-952.309509
30;1472.000000;-61.000000;-984.053162
31;1467.000000;-61.000000;-1015.796814
32;1466.000000;-61.000000;-1047.540527
33;1464.000000;-61.000000;-1079.284058
34;1463.000000;-60.000000;-1111.027710
35;1466.000000;-60.000000;-1142.771362
36;1459.000000;-60.000000;-1174.515015
37;1457.000000;-60.000000;-1206.258667
38;1456.000000;-60.000000;-1238.002319
39;1452.000000;-60.000000;-1269.746094
40;1452.000000;-60.000000;-1301.489746
41;1449.000000;-60.000000;-1333.233521
42;1447.000000;-60.000000;-1364.977173
43;1447.000000;-60.000000;-1396.720947
44;1446.000000;-60.000000;-1428.464600
45;1447.000000;-60.000000;-1460.208374
46;1445.000000;-60.000000;-1491.952026
47;1443.000000;-60.000000;-1523.695801
48;1443.000000;-60.000000;-1555.439453
49;1438.000000;-59.000000;-1587.183105
50;1437.000000;-59.000000;-1618.926880
51;1431.000000;-59.000000;-1650.670532
52;1428.000000;-59.000000;-1682.414185
53;1426.000000;-59.000000;-1714.157959
54;1420.000000;-59.000000;-1745.901611
55;1419.000000;-59.000000;-1777.645264
56;1417.000000;-59.000000;-1809.389038
57;1415.000000;-58.000000;-1841.132812
58;1417.000000;-58.000000;-1872.876343
59;1415.000000;-58.000000;-1904.620117
60;1414.000000;-58.000000;-1936.363892
61;1413.000000;-58.000000;-1968.107422
62;1411.000000;-58.000000;-1999.851196
63;1409.000000;-58.000000;-2031.594971
64;1408.000000;-58.000000;-2063.338623
65;1405.000000;-58.000000;-2095.082275
66;1401.000000;-58.000000;-2126.826172
67;1400.000000;-58.000000;-2158.569824
68;1396.000000;-58.000000;-2190.313477
69;1388.000000;-57.000000;-2222.057129
70;1389.000000;-57.000000;-2253.800781
71;1383.000000;-57.000000;-2285.544678
72;1377.000000;-57.000000;-2317.288086
73;1377.000000;-57.000000;-2349.031738
74;1372.000000;-57.000000;-2380.775635
75;1369.000000;-57.000000;-2412.519043
76;1368.000000;-57.000000;-2444.262695
77;1364.000000;-56.000000;-2476.006104
78;1365.000000;-56.000000;-2507.749756
79;1362.000000;-56.000000;-2539.493408
80;1358.000000;-56.000000;-2571.236816
81;1356.000000;-56.000000;-2602.980469
82;1352.000000;-56.000000;-2634.724121
83;1349.000000;-56.000000;-2666.467529
84;1345.000000;-56.000000;-2698.211182
85;1344.000000;-56.000000;-2729.954590
86;1340.000000;-56.000000;-2761.698242
87;1337.000000;-55.000000;-2793.441895
88;1337.000000;-55.000000;-2825.185303
89;1333.000000;-55.000000;-2856.928955
90;1331.000000;-55.000000;-2888.672607
91;1329.000000;-55.000000;-2920.416016
92;1326.000000;-55.000000;-2952.159668
93;1322.000000;-55.000000;-2983.903320
94;1322.000000;-55.000000;-3015.646729
95;1318.000000;-54.000000;-3047.390381
96;1317.000000;-54.000000;-3079.133789
97;1316.000000;-54.000000;-3110.877441
98;1309.000000;-54.000000;-3142.621094
99;1303.000000;-54.000000;-3174.364502
100;1298.000000;-54.000000;-3206.108154
101;1292.000000;-53.000000;-3237.851807
102;1287.000000;-53.000000;-3269.595459
103;1281.000000;-53.000000;-3301.339111
104;1276.000000;-53.000000;-3333.082520
105;1269.000000;-52.000000;-3364.826172
106;1268.000000;-52.000000;-3396.569824
107;1261.000000;-52.000000;-3428.313232
108;1253.000000;-52.000000;-3460.056885
109;1247.000000;-52.000000;-3491.800293
110;1240.000000;-51.000000;-3523.543945
111;1232.000000;-51.000000;-3555.287598
112;1225.000000;-51.000000;-3587.031006
113;1216.000000;-50.000000;-3618.774658
114;1205.000000;-50.000000;-3650.518311
115;1197.000000;-49.000000;-3682.261719
116;1189.000000;-49.000000;-3714.005371
117;1177.000000;-49.000000;-3745.748779
118;1165.000000;-48.000000;-3777.492432
119;1156.000000;-48.000000;-3809.236084
120;1142.000000;-48.000000;-3840.979492
121;1134.000000;-47.000000;-3872.723145
122;1123.000000;-47.000000;-3904.466797
123;1109.000000;-46.000000;-3936.210205
124;1099.000000;-45.000000;-3967.953857
125;1087.000000;-45.000000;-3999.697266
126;1071.000000;-44.000000;-4031.440918
127;1061.000000;-44.000000;-4063.184570
128;1047.000000;-43.000000;-4094.927979
129;1033.000000;-43.000000;-4126.671875
130;1023.000000;-42.000000;-4158.415039
131;1006.000000;-42.000000;-4190.158691
132;990.000000;-41.000000;-4221.902344
133;972.000000;-40.000000;-4253.645996
134;955.000000;-40.000000;-4285.389648
135;935.000000;-39.000000;-4317.132812
136;919.000000;-38.000000;-4348.876465
137;900.000000;-37.000000;-4380.620117
138;876.000000;-36.000000;-4412.363770
139;856.000000;-36.000000;-4444.107422
140;833.000000;-35.000000;-4475.850586
141;811.000000;-34.000000;-4507.594238
142;787.000000;-33.000000;-4539.337891
143;761.000000;-32.000000;-4571.081543
144;739.000000;-31.000000;-4602.825195
145;716.000000;-30.000000;-4634.568848
146;691.000000;-29.000000;-4666.312500
147;665.000000;-28.000000;-4698.056641
148;642.000000;-27.000000;-4729.800293
149;617.000000;-26.000000;-4761.544434
150;593.000000;-25.000000;-4793.288086
151;570.000000;-24.000000;-4825.031738
152;545.000000;-23.000000;-4856.775879
153;526.000000;-22.000000;-4888.519531
154;509.000000;-21.000000;-4920.263184
155;489.000000;-21.000000;-4952.007324
156;468.000000;-20.000000;-4983.751465
157;451.000000;-19.000000;-5015.494629
158;436.000000;-18.000000;-5047.238770
159;423.000000;-18.000000;-5078.982910
160;407.000000;-17.000000;-5110.726562
161;395.000000;-17.000000;-5142.470215
162;377.000000;-16.000000;-5174.214355
163;365.000000;-16.000000;-5205.958008
164;356.000000;-15.000000;-5237.701660
165;345.000000;-15.000000;-5269.445801
166;335.000000;-14.000000;-5301.189453
167;330.000000;-14.000000;-5332.933105
168;322.000000;-14.000000;-5364.677246
169;315.000000;-13.000000;-5396.420898
170;312.000000;-13.000000;-5428.165039
171;304.000000;-13.000000;-5459.908691
172;294.000000;-12.000000;-5491.652344
173;290.000000;-12.000000;-5523.396484
174;280.000000;-12.000000;-5555.140137
175;270.000000;-12.000000;-5586.884277
176;264.000000;-11.000000;-5618.627930
177;257.000000;-11.000000;-5650.372070
178;249.000000;-11.000000;-5682.115723
179;241.000000;-10.000000;-5713.859375
180;239.000000;-10.000000;-5745.603516
181;232.000000;-10.000000;-5777.347168
182;226.000000;-10.000000;-5809.090820
183;221.000000;-10.000000;-5840.834961
184;219.000000;-9.000000;-5872.578613
185;211.000000;-9.000000;-5904.322266
186;203.000000;-9.000000;-5936.066406
187;201.000000;-9.000000;-5967.810059
188;190.000000;-8.000000;-5999.554199
189;181.000000;-8.000000;-6031.297852
190;177.000000;-8.000000;-6063.041992
191;168.000000;-8.000000;-6094.785645
192;160.000000;-7.000000;-6126.529297
193;156.000000;-7.000000;-6158.273438
194;151.000000;-7.000000;-6190.017090
195;142.000000;-6.000000;-6221.761230
196;142.000000;-6.000000;-6253.504883
197;137.000000;-6.000000;-6285.248535
198;131.000000;-6.000000;-6316.992676
199;129.000000;-6.000000;-6348.736328
200;122.000000;-6.000000;-6380.479980
201;117.000000;-5.000000;-6412.224121
202;114.000000;-5.000000;-6443.967773
