takt;q1;q2;q2p
0;372.000000;-15.000000;-31.743656
1;723.000000;-27.000000;-63.487312
2;1006.000000;-39.000000;-95.230972
3;1255.000000;-49.000000;-126.974625
4;1454.000000;-57.000000;-158.718277
5;1593.000000;-63.000000;-190.461929
6;1711.000000;-68.000000;-222.205597
7;1783.000000;-71.000000;-253.949219
8;1802.000000;-72.000000;-285.692871
9;1804.000000;-72.000000;-317.436554
10;1806.000000;-72.000000;-349.180237
11;1773.000000;-72.000000;-380.923889
12;1713.000000;-70.000000;-412.667572
13;1654.000000;-68.000000;-444.411224
14;1584.000000;-65.000000;-476.154877
15;1497.000000;-61.000000;-507.898560
16;1434.000000;-58.000000;-539.642273
17;1370.000000;-56.000000;-571.385925
18;1298.000000;-53.000000;-603.129517
19;1233.000000;-50.000000;-634.873169
20;1185.000000;-48.000000;-666.616821
21;1141.000000;-47.000000;-698.360474
22;1098.000000;-45.000000;-730.104065
23;1067.000000;-44.000000;-761.847717
24;1044.000000;-43.000000;-793.591309
25;1021.000000;-42.000000;-825.334961
26;1002.000000;-41.000000;-857.078613
27;999.000000;-41.000000;-888.822266
28;992.000000;-40.000000;-920.565918
29;989.000000;-40.000000;-952.309509
30;991.000000;-40.000000;-984.053162
31;991.000000;-40.000000;-1015.796814
32;990.000000;-40.000000;-1047.540527
33;993.000000;-40.000000;-1079.284058
34;995.000000;-40.000000;-1111.027710
35;991.000000;-40.000000;-1142.771362
36;990.000000;-40.000000;-1174.515015
37;992.000000;-40.000000;-1206.258667
38;991.000000;-40.000000;-1238.002319
39;994.000000;-40.000000;-1269.746094
40;996.000000;-40.000000;-1301.489746
41;993.000000;-40.000000;-1333.233521
42;995.000000;-40.000000;-1364.977173
43;993.000000;-40.000000;-1396.720947
44;990.000000;-40.000000;-1428.464600
45;993.000000;-40.000000;-1460.208374
46;991.000000;-40.000000;-1491.952026
47;987.000000;-40.000000;-1523.695801
48;990.000000;-40.000000;-1555.439453
49;986.000000;-40.000000;-1587.183105
50;984.000000;-40.000000;-1618.926880
51;986.000000;-40.000000;-1650.670532
52;982.000000;-40.000000;-1682.414185
53;982.000000;-40.000000;-1714.157959
54;983.000000;-40.000000;-1745.901611
55;982.000000;-40.000000;-1777.645264
56;984.000000;-40.000000;-1809.389038
57;984.000000;-40.000000;-1841.132812
58;981.000000;-40.000000;-1872.876343
59;981.000000;-40.000000;-1904.620117
60;981.000000;-40.000000;-1936.363892
61;981.000000;-40.000000;-1968.107422
62;981.000000;-40.000000;-1999.851196
63;980.000000;-40.000000;-2031.594971
64;982.000000;-40.000000;-2063.338623
65;980.000000;-40.000000;-2095.082275
66;980.000000;-40.000000;-2126.826172
67;979.000000;-40.000000;-2158.569824
68;979.000000;-40.000000;-2190.313477
69;978.000000;-40.000000;-2222.057129
70;978.000000;-40.000000;-2253.800781
71;978.000000;-40.000000;-2285.544678
72;977.000000;-40.000000;-2317.288086
73;977.000000;-40.000000;-2349.031738
74;975.000000;-40.000000;-2380.775635
75;972.000000;-40.000000;-2412.519043
76;971.000000;-40.000000;-2444.262695
77;971.000000;-39.000000;-2476.006104
78;969.000000;-39.000000;-2507.749756
79;967.000000;-39.000000;-2539.493408
80;965.000000;-39.000000;-2571.236816
81;961.000000;-39.000000;-2602.980469
82;959.000000;-39.000000;-2634.724121
83;957.000000;-39.000000;-2666.467529
84;955.000000;-39.000000;-2698.211182
85;953.000000;-39.000000;-2729.954590
86;951.000000;-39.000000;-2761.698242
87;950.000000;-39.000000;-2793.441895
88;948.000000;-39.000000;-2825.185303
89;947.000000;-39.000000;-2856.928955
90;948.000000;-38.000000;-2888.672607
91;948.000000;-38.000000;-2920.416016
92;945.000000;-38.000000;-2952.159668
93;945.000000;-38.000000;-2983.903320
94;942.000000;-38.000000;-3015.646729
95;934.000000;-38.000000;-3047.390381
96;931.000000;-38.000000;-3079.133789
97;930.000000;-38.000000;-3110.877441
98;921.000000;-37.000000;-3142.621094
99;922.000000;-37.000000;-3174.364502
100;923.000000;-37.000000;-3206.108154
101;916.000000;-37.000000;-3237.851807
102;916.000000;-37.000000;-3269.595459
103;917.000000;-37.000000;-3301.339111
104;910.000000;-37.000000;-3333.082520
105;907.000000;-37.000000;-3364.826172
106;910.000000;-37.000000;-3396.569824
107;904.000000;-37.000000;-3428.313232
108;903.000000;-37.000000;-3460.056885
109;905.000000;-37.000000;-3491.800293
110;899.000000;-37.000000;-3523.543945
111;903.000000;-36.000000;-3555.287598
112;904.000000;-36.000000;-3587.031006
113;898.000000;-36.000000;-3618.774658
114;903.000000;-36.000000;-3650.518311
115;902.000000;-36.000000;-3682.261719
116;895.000000;-36.000000;-3714.005371
117;900.000000;-36.000000;-3745.748779
118;899.000000;-36.000000;-3777.492432
119;891.000000;-36.000000;-3809.236084
120;896.000000;-36.000000;-3840.979492
121;895.000000;-36.000000;-3872.723145
122;886.000000;-36.000000;-3904.466797
123;891.000000;-36.000000;-3936.210205
124;889.000000;-36.000000;-3967.953857
125;881.000000;-36.000000;-3999.697266
126;885.000000;-36.000000;-4031.440918
127;883.000000;-36.000000;-4063.184570
128;875.000000;-36.000000;-4094.927979
129;878.000000;-36.000000;-4126.671875
130;875.000000;-36.000000;-4158.415039
131;869.000000;-35.000000;-4190.158691
132;877.000000;-35.000000;-4221.902344
133;875.000000;-35.000000;-4253.645996
134;870.000000;-35.000000;-4285.389648
135;876.000000;-35.000000;-4317.132812
136;872.000000;-35.000000;-4348.876465
137;869.000000;-35.000000;-4380.620117
138;874.000000;-35.000000;-4412.363770
139;869.000000;-35.000000;-4444.107422
140;865.000000;-35.000000;-4475.850586
141;867.000000;-35.000000;-4507.594238
142;862.000000;-35.000000;-4539.337891
143;861.000000;-35.000000;-4571.081543
144;862.000000;-35.000000;-4602.825195
145;857.000000;-35.000000;-4634.568848
146;856.000000;-35.000000;-4666.312500
147;857.000000;-35.000000;-4698.056641
148;852.000000;-35.000000;-4729.800293
149;851.000000;-35.000000;-4761.544434
150;851.000000;-35.000000;-4793.288086
151;846.000000;-34.000000;-4825.031738
152;848.000000;-34.000000;-4856.775879
153;848.000000;-34.000000;-4888.519531
154;843.000000;-34.000000;-4920.263184
155;842.000000;-34.000000;-4952.007324
156;842.000000;-34.000000;-4983.751465
157;837.000000;-34.000000;-5015.494629
158;837.000000;-34.000000;-5047.238770
159;838.000000;-34.000000;-5078.982910
160;832.000000;-34.000000;-5110.726562
161;832.000000;-34.000000;-5142.470215
162;833.000000;-34.000000;-5174.214355
163;827.000000;-34.000000;-5205.958008
164;825.000000;-34.000000;-5237.701660
165;825.000000;-34.000000;-5269.445801
166;819.000000;-33.000000;-5301.189453
167;824.000000;-33.000000;-5332.933105
168;823.000000;-33.000000;-5364.677246
169;821.000000;-33.000000;-5396.420898
170;824.000000;-33.000000;-5428.165039
171;821.000000;-33.000000;-5459.908691
172;821.000000;-33.000000;-5491.652344
173;822.000000;-33.000000;-5523.396484
174;820.000000;-33.000000;-5555.140137
175;817.000000;-33.000000;-5586.884277
176;819.000000;-33.000000;-5618.627930
177;817.000000;-33.000000;-5650.372070
178;816.000000;-33.000000;-5682.115723
179;819.000000;-33.000000;-5713.859375
180;815.000000;-33.000000;-5745.603516
181;816.000000;-33.000000;-5777.347168
182;819.000000;-33.000000;-5809.090820
183;816.000000;-33.000000;-5840.834961
184;818.000000;-33.000000;-5872.578613
185;819.000000;-33.000000;-5904.322266
186;816.000000;-33.000000;-5936.066406
