takt;q1;q2;q2p
0;399.000000;-16.000000;0.000000
1;740.000000;-28.000000;0.000000
2;992.000000;-39.000000;0.000000
3;1180.000000;-48.000000;0.000000
4;1277.000000;-52.000000;0.000000
5;1289.000000;-53.000000;0.000000
6;1268.000000;-52.000000;0.000000
7;1198.000000;-50.000000;0.000000
8;1067.000000;-44.000000;0.000000
9;939.000000;-39.000000;0.000000
10;824.000000;-34.000000;0.000000
11;685.000000;-29.000000;0.000000
12;547.000000;-23.000000;0.000000
13;426.000000;-18.000000;0.000000
14;298.000000;-13.000000;0.000000
15;172.000000;-8.000000;0.000000
16;74.000000;-4.000000;0.000000
17;-9.000000;-1.000000;0.000000
18;-87.000000;3.000000;0.000000
19;-151.000000;5.000000;0.000000
20;-185.000000;6.000000;0.000000
21;-213.000000;8.000000;0.000000
22;-223.000000;8.000000;0.000000
23;-218.000000;8.000000;0.000000
24;-204.000000;8.000000;0.000000
25;-186.000000;8.000000;0.000000
26;-164.000000;7.000000;0.000000
27;-138.000000;6.000000;0.000000
28;-116.000000;5.000000;0.000000
29;-98.000000;4.000000;0.000000
30;-90.000000;4.000000;0.000000
31;-81.000000;3.000000;0.000000
32;-84.000000;3.000000;0.000000
33;-90.000000;3.000000;0.000000
34;-90.000000;3.000000;0.000000
35;-101.000000;3.000000;0.000000
36;-110.000000;4.000000;0.000000
37;-110.000000;4.000000;0.000000
38;-111.000000;4.000000;0.000000
39;-110.000000;4.000000;0.000000
40;-103.000000;4.000000;0.000000
41;-100.000000;4.000000;0.000000
42;-99.000000;4.000000;0.000000
43;-93.000000;4.000000;0.000000
44;-89.000000;4.000000;0.000000
45;-89.000000;4.000000;0.000000
46;-87.000000;4.000000;0.000000
47;-87.000000;4.000000;0.000000
48;-90.000000;4.000000;0.000000
49;-90.000000;4.000000;0.000000
50;-91.000000;4.000000;0.000000
51;-91.000000;4.000000;0.000000
52;-90.000000;4.000000;0.000000
53;-89.000000;4.000000;0.000000
54;-88.000000;4.000000;0.000000
55;-86.000000;4.000000;0.000000
56;-87.000000;4.000000;0.000000
57;-87.000000;4.000000;0.000000
58;-86.000000;4.000000;0.000000
59;-87.000000;4.000000;0.000000
60;-87.000000;4.000000;0.000000
61;-87.000000;4.000000;0.000000
62;-88.000000;4.000000;0.000000
63;-87.000000;4.000000;0.000000
64;-87.000000;4.000000;0.000000
65;-87.000000;4.000000;0.000000
66;-87.000000;4.000000;0.000000
67;-86.000000;4.000000;0.000000
68;-87.000000;4.000000;0.000000
69;-86.000000;4.000000;0.000000
70;-84.000000;4.000000;0.000000
71;-84.000000;4.000000;0.000000
72;-83.000000;4.000000;0.000000
73;-83.000000;3.000000;0.000000
74;-87.000000;3.000000;0.000000
75;-85.000000;3.000000;0.000000
76;-84.000000;3.000000;0.000000
77;-85.000000;3.000000;0.000000
78;-83.000000;3.000000;0.000000
79;-84.000000;3.000000;0.000000
80;-85.000000;3.000000;0.000000
81;-83.000000;3.000000;0.000000
82;-84.000000;3.000000;0.000000
83;-84.000000;3.000000;0.000000
84;-84.000000;3.000000;0.000000
85;-84.000000;3.000000;0.000000
86;-81.000000;3.000000;0.000000
87;-79.000000;3.000000;0.000000
88;-77.000000;3.000000;0.000000
89;-76.000000;3.000000;0.000000
90;-74.000000;3.000000;0.000000
91;-72.000000;3.000000;0.000000
92;-71.000000;3.000000;0.000000
93;-70.000000;3.000000;0.000000
94;-69.000000;3.000000;0.000000
95;-67.000000;3.000000;0.000000
96;-68.000000;3.000000;0.000000
97;-67.000000;3.000000;0.000000
98;-67.000000;3.000000;0.000000
99;-68.000000;3.000000;0.000000
100;-67.000000;3.000000;0.000000
101;-66.000000;3.000000;0.000000
102;-63.000000;3.000000;0.000000
103;-62.000000;3.000000;0.000000
104;-58.000000;3.000000;0.000000
105;-59.000000;2.000000;0.000000
106;-58.000000;2.000000;0.000000
107;-56.000000;2.000000;0.000000
108;-57.000000;2.000000;0.000000
109;-57.000000;2.000000;0.000000
110;-55.000000;2.000000;0.000000
111;-55.000000;2.000000;0.000000
112;-54.000000;2.000000;0.000000
113;-53.000000;2.000000;0.000000
114;-53.000000;2.000000;0.000000
115;-53.000000;2.000000;0.000000
116;-53.000000;2.000000;0.000000
117;-52.000000;2.000000;0.000000
118;-51.000000;2.000000;0.000000
119;-51.000000;2.000000;0.000000
120;-50.000000;2.000000;0.000000
121;-50.000000;2.000000;0.000000
122;-50.000000;2.000000;0.000000
123;-48.000000;2.000000;0.000000
124;-48.000000;2.000000;0.000000
125;-49.000000;2.000000;0.000000
126;-47.000000;2.000000;0.000000
127;-47.000000;2.000000;0.000000
128;-47.000000;2.000000;0.000000
129;-46.000000;2.000000;0.000000
130;-47.000000;2.000000;0.000000
131;-47.000000;2.000000;0.000000
132;-45.000000;2.000000;0.000000
133;-46.000000;2.000000;0.000000
134;-46.000000;2.000000;0.000000
135;-45.000000;2.000000;0.000000
136;-46.000000;2.000000;0.000000
137;-45.000000;2.000000;0.000000
138;-44.000000;2.000000;0.000000
139;-44.000000;2.000000;0.000000
140;-44.000000;2.000000;0.000000
141;-43.000000;2.000000;0.000000
142;-43.000000;2.000000;0.000000
143;-42.000000;2.000000;0.000000
144;-42.000000;2.000000;0.000000
145;-43.000000;2.000000;0.000000
146;-43.000000;2.000000;0.000000
147;-43.000000;2.000000;0.000000
148;-42.000000;2.000000;0.000000
149;-42.000000;2.000000;0.000000
150;-42.000000;2.000000;0.000000
151;-41.000000;2.000000;0.000000
152;-41.000000;2.000000;0.000000
153;-40.000000;2.000000;0.000000
154;-41.000000;2.000000;0.000000
155;-41.000000;2.000000;0.000000
156;-40.000000;2.000000;0.000000
157;-39.000000;2.000000;0.000000
158;-40.000000;2.000000;0.000000
159;-39.000000;2.000000;0.000000
160;-40.000000;2.000000;0.000000
161;-41.000000;2.000000;0.000000
162;-40.000000;2.000000;0.000000
163;-39.000000;1.000000;0.000000
164;-44.000000;1.000000;0.000000
165;-44.000000;1.000000;0.000000
166;-43.000000;1.000000;0.000000
167;-45.000000;1.000000;0.000000
168;-40.000000;1.000000;0.000000
169;-38.000000;1.000000;0.000000
170;-38.000000;1.000000;0.000000
171;-34.000000;1.000000;0.000000
172;-33.000000;1.000000;0.000000
173;-35.000000;1.000000;0.000000
174;-33.000000;1.000000;0.000000
175;-34.000000;1.000000;0.000000
176;-36.000000;1.000000;0.000000
177;-31.000000;1.000000;0.000000
178;-29.000000;1.000000;0.000000
179;-29.000000;1.000000;0.000000
180;-25.000000;1.000000;0.000000
181;-24.000000;1.000000;0.000000
182;-24.000000;1.000000;0.000000
183;-19.000000;1.000000;0.000000
184;-16.000000;1.000000;0.000000
185;-17.000000;1.000000;0.000000
186;-13.000000;1.000000;0.000000
187;-12.000000;1.000000;0.000000
188;-13.000000;1.000000;0.000000
189;-13.000000;0.000000;0.000000
190;-15.000000;0.000000;0.000000
191;-15.000000;0.000000;0.000000
192;-12.000000;0.000000;0.000000
193;-11.000000;0.000000;0.000000
194;-10.000000;0.000000;0.000000
195;-9.000000;0.000000;0.000000
196;-10.000000;0.000000;0.000000
197;-9.000000;0.000000;0.000000
198;-8.000000;0.000000;0.000000
199;-8.000000;0.000000;0.000000
200;-8.000000;0.000000;0.000000
201;-6.000000;0.000000;0.000000
202;-6.000000;0.000000;0.000000
203;-6.000000;0.000000;0.000000
204;-4.000000;0.000000;0.000000
205;-4.000000;0.000000;0.000000
206;-3.000000;0.000000;0.000000
207;0.000000;0.000000;0.000000
208;0.000000;0.000000;0.000000
209;1.000000;0.000000;0.000000
210;3.000000;0.000000;0.000000
211;4.000000;0.000000;0.000000
212;3.000000;0.000000;0.000000
213;4.000000;0.000000;0.000000
214;5.000000;0.000000;0.000000
215;5.000000;0.000000;0.000000
216;8.000000;0.000000;0.000000
217;10.000000;0.000000;0.000000
218;10.000000;0.000000;0.000000
219;13.000000;0.000000;0.000000
220;11.000000;-1.000000;0.000000
221;10.000000;-1.000000;0.000000
222;14.000000;-1.000000;0.000000
223;14.000000;-1.000000;0.000000
224;15.000000;-1.000000;0.000000
225;19.000000;-1.000000;0.000000
226;20.000000;-1.000000;0.000000
227;20.000000;-1.000000;0.000000
228;24.000000;-1.000000;0.000000
