takt;q1;q2;q2p
0;397.000000;-16.000000;0.000000
1;753.000000;-28.000000;0.000000
2;1017.000000;-40.000000;0.000000
3;1214.000000;-48.000000;0.000000
4;1335.000000;-53.000000;0.000000
5;1367.000000;-55.000000;0.000000
6;1358.000000;-54.000000;0.000000
7;1308.000000;-53.000000;0.000000
8;1192.000000;-48.000000;0.000000
9;1060.000000;-43.000000;0.000000
10;944.000000;-38.000000;0.000000
11;811.000000;-33.000000;0.000000
12;680.000000;-28.000000;0.000000
13;566.000000;-24.000000;0.000000
14;446.000000;-19.000000;0.000000
15;320.000000;-14.000000;0.000000
16;220.000000;-9.000000;0.000000
17;143.000000;-6.000000;0.000000
18;69.000000;-3.000000;0.000000
19;12.000000;-1.000000;0.000000
20;-22.000000;1.000000;0.000000
21;-47.000000;2.000000;0.000000
22;-58.000000;2.000000;0.000000
23;-55.000000;2.000000;0.000000
24;-48.000000;2.000000;0.000000
25;-44.000000;2.000000;0.000000
26;-41.000000;2.000000;0.000000
27;-37.000000;2.000000;0.000000
28;-35.000000;2.000000;0.000000
29;-35.000000;2.000000;0.000000
30;-36.000000;2.000000;0.000000
31;-36.000000;2.000000;0.000000
32;-36.000000;2.000000;0.000000
33;-34.000000;2.000000;0.000000
34;-35.000000;2.000000;0.000000
35;-35.000000;2.000000;0.000000
36;-35.000000;2.000000;0.000000
37;-34.000000;2.000000;0.000000
38;-33.000000;2.000000;0.000000
39;-33.000000;2.000000;0.000000
40;-32.000000;2.000000;0.000000
41;-30.000000;2.000000;0.000000
42;-27.000000;2.000000;0.000000
43;-25.000000;2.000000;0.000000
44;-23.000000;2.000000;0.000000
45;-22.000000;2.000000;0.000000
46;-24.000000;1.000000;0.000000
47;-24.000000;1.000000;0.000000
48;-23.000000;1.000000;0.000000
49;-23.000000;1.000000;0.000000
50;-22.000000;1.000000;0.000000
51;-18.000000;1.000000;0.000000
52;-19.000000;1.000000;0.000000
53;-17.000000;1.000000;0.000000
54;-14.000000;1.000000;0.000000
55;-13.000000;1.000000;0.000000
56;-12.000000;1.000000;0.000000
57;-8.000000;1.000000;0.000000
58;-7.000000;1.000000;0.000000
59;-4.000000;1.000000;0.000000
60;-1.000000;1.000000;0.000000
61;2.000000;0.000000;0.000000
62;3.000000;0.000000;0.000000
63;9.000000;0.000000;0.000000
64;12.000000;0.000000;0.000000
65;13.000000;0.000000;0.000000
66;18.000000;0.000000;0.000000
67;19.000000;0.000000;0.000000
68;20.000000;0.000000;0.000000
69;26.000000;0.000000;0.000000
70;27.000000;-1.000000;0.000000
71;26.000000;-1.000000;0.000000
72;31.000000;-1.000000;0.000000
73;34.000000;-1.000000;0.000000
74;39.000000;-1.000000;0.000000
75;46.000000;-1.000000;0.000000
76;51.000000;-1.000000;0.000000
77;55.000000;-2.000000;0.000000
78;58.000000;-2.000000;0.000000
79;62.000000;-2.000000;0.000000
80;65.000000;-2.000000;0.000000
81;65.000000;-2.000000;0.000000
82;70.000000;-2.000000;0.000000
83;73.000000;-3.000000;0.000000
84;71.000000;-3.000000;0.000000
85;75.000000;-3.000000;0.000000
86;77.000000;-3.000000;0.000000
87;76.000000;-3.000000;0.000000
88;81.000000;-3.000000;0.000000
89;86.000000;-3.000000;0.000000
90;89.000000;-3.000000;0.000000
91;96.000000;-3.000000;0.000000
92;102.000000;-4.000000;0.000000
93;103.000000;-4.000000;0.000000
94;107.000000;-4.000000;0.000000
95;111.000000;-4.000000;0.000000
96;115.000000;-4.000000;0.000000
97;123.000000;-5.000000;0.000000
98;125.000000;-5.000000;0.000000
99;125.000000;-5.000000;0.000000
100;128.000000;-5.000000;0.000000
101;128.000000;-5.000000;0.000000
102;130.000000;-5.000000;0.000000
103;133.000000;-5.000000;0.000000
104;134.000000;-5.000000;0.000000
105;136.000000;-5.000000;0.000000
106;139.000000;-5.000000;0.000000
107;140.000000;-5.000000;0.000000
108;141.000000;-5.000000;0.000000
109;142.000000;-5.000000;0.000000
110;139.000000;-5.000000;0.000000
111;141.000000;-5.000000;0.000000
112;142.000000;-5.000000;0.000000
113;140.000000;-5.000000;0.000000
114;143.000000;-5.000000;0.000000
115;142.000000;-5.000000;0.000000
116;142.000000;-5.000000;0.000000
117;145.000000;-5.000000;0.000000
118;145.000000;-5.000000;0.000000
119;143.000000;-5.000000;0.000000
120;146.000000;-5.000000;0.000000
121;142.000000;-6.000000;0.000000
122;141.000000;-6.000000;0.000000
123;145.000000;-6.000000;0.000000
124;142.000000;-6.000000;0.000000
125;143.000000;-6.000000;0.000000
126;146.000000;-6.000000;0.000000
127;142.000000;-6.000000;0.000000
128;143.000000;-6.000000;0.000000
129;145.000000;-6.000000;0.000000
130;144.000000;-6.000000;0.000000
131;144.000000;-6.000000;0.000000
132;144.000000;-6.000000;0.000000
133;142.000000;-6.000000;0.000000
134;144.000000;-6.000000;0.000000
135;145.000000;-6.000000;0.000000
136;143.000000;-6.000000;0.000000
137;143.000000;-6.000000;0.000000
138;143.000000;-6.000000;0.000000
139;142.000000;-6.000000;0.000000
140;143.000000;-6.000000;0.000000
141;143.000000;-6.000000;0.000000
142;142.000000;-6.000000;0.000000
143;144.000000;-6.000000;0.000000
144;144.000000;-6.000000;0.000000
145;143.000000;-6.000000;0.000000
146;143.000000;-6.000000;0.000000
147;143.000000;-6.000000;0.000000
148;142.000000;-6.000000;0.000000
