takt;q1;q2;q2p
0;404.000000;-17.000000;0.000000
1;747.000000;-28.000000;0.000000
2;985.000000;-38.000000;0.000000
3;1151.000000;-46.000000;0.000000
4;1223.000000;-49.000000;0.000000
5;1205.000000;-49.000000;0.000000
6;1153.000000;-47.000000;0.000000
7;1051.000000;-44.000000;0.000000
8;891.000000;-37.000000;0.000000
9;743.000000;-31.000000;0.000000
10;621.000000;-26.000000;0.000000
11;492.000000;-21.000000;0.000000
12;372.000000;-16.000000;0.000000
13;279.000000;-13.000000;0.000000
14;194.000000;-9.000000;0.000000
15;111.000000;-6.000000;0.000000
16;57.000000;-3.000000;0.000000
17;19.000000;-1.000000;0.000000
18;-21.000000;0.000000;0.000000
19;-47.000000;1.000000;0.000000
20;-53.000000;1.000000;0.000000
21;-56.000000;1.000000;0.000000
22;-46.000000;2.000000;0.000000
23;-26.000000;1.000000;0.000000
24;-9.000000;0.000000;0.000000
25;8.000000;0.000000;0.000000
26;26.000000;-1.000000;0.000000
27;39.000000;-1.000000;0.000000
28;45.000000;-2.000000;0.000000
29;51.000000;-2.000000;0.000000
30;50.000000;-2.000000;0.000000
31;46.000000;-2.000000;0.000000
32;41.000000;-2.000000;0.000000
33;34.000000;-2.000000;0.000000
34;28.000000;-2.000000;0.000000
35;19.000000;-2.000000;0.000000
36;16.000000;-1.000000;0.000000
37;19.000000;-1.000000;0.000000
38;20.000000;-1.000000;0.000000
39;25.000000;-1.000000;0.000000
40;32.000000;-1.000000;0.000000
41;35.000000;-1.000000;0.000000
42;39.000000;-1.000000;0.000000
43;45.000000;-2.000000;0.000000
44;40.000000;-2.000000;0.000000
45;41.000000;-2.000000;0.000000
46;43.000000;-2.000000;0.000000
47;42.000000;-2.000000;0.000000
48;43.000000;-2.000000;0.000000
49;42.000000;-2.000000;0.000000
50;42.000000;-2.000000;0.000000
51;40.000000;-2.000000;0.000000
52;41.000000;-2.000000;0.000000
53;38.000000;-2.000000;0.000000
54;35.000000;-2.000000;0.000000
55;33.000000;-2.000000;0.000000
56;34.000000;-2.000000;0.000000
57;38.000000;-2.000000;0.000000
58;40.000000;-2.000000;0.000000
59;42.000000;-2.000000;0.000000
60;43.000000;-2.000000;0.000000
61;44.000000;-2.000000;0.000000
62;45.000000;-2.000000;0.000000
63;45.000000;-2.000000;0.000000
64;44.000000;-2.000000;0.000000
65;43.000000;-2.000000;0.000000
66;43.000000;-2.000000;0.000000
67;43.000000;-2.000000;0.000000
68;43.000000;-2.000000;0.000000
69;43.000000;-2.000000;0.000000
70;43.000000;-2.000000;0.000000
71;44.000000;-2.000000;0.000000
72;44.000000;-2.000000;0.000000
73;46.000000;-2.000000;0.000000
74;47.000000;-2.000000;0.000000
75;47.000000;-2.000000;0.000000
76;49.000000;-2.000000;0.000000
77;51.000000;-2.000000;0.000000
78;50.000000;-2.000000;0.000000
79;51.000000;-2.000000;0.000000
80;51.000000;-2.000000;0.000000
81;49.000000;-2.000000;0.000000
82;52.000000;-2.000000;0.000000
83;54.000000;-2.000000;0.000000
84;53.000000;-2.000000;0.000000
85;56.000000;-2.000000;0.000000
86;57.000000;-2.000000;0.000000
87;55.000000;-2.000000;0.000000
88;60.000000;-2.000000;0.000000
89;56.000000;-3.000000;0.000000
90;52.000000;-3.000000;0.000000
91;57.000000;-3.000000;0.000000
92;56.000000;-3.000000;0.000000
93;57.000000;-3.000000;0.000000
94;62.000000;-3.000000;0.000000
95;62.000000;-3.000000;0.000000
96;61.000000;-3.000000;0.000000
97;68.000000;-3.000000;0.000000
98;70.000000;-3.000000;0.000000
99;69.000000;-3.000000;0.000000
100;73.000000;-3.000000;0.000000
101;73.000000;-3.000000;0.000000
102;73.000000;-3.000000;0.000000
103;79.000000;-3.000000;0.000000
104;84.000000;-4.000000;0.000000
105;80.000000;-4.000000;0.000000
106;86.000000;-4.000000;0.000000
107;88.000000;-4.000000;0.000000
