takt;q1;q2;q2p
0;406.000000;-17.000000;0.000000
1;741.000000;-28.000000;0.000000
2;966.000000;-37.000000;0.000000
3;1118.000000;-44.000000;0.000000
4;1172.000000;-47.000000;0.000000
5;1116.000000;-45.000000;0.000000
6;1037.000000;-42.000000;0.000000
7;911.000000;-38.000000;0.000000
8;720.000000;-30.000000;0.000000
9;546.000000;-23.000000;0.000000
10;415.000000;-18.000000;0.000000
11;281.000000;-13.000000;0.000000
12;154.000000;-7.000000;0.000000
13;68.000000;-4.000000;0.000000
14;-13.000000;-1.000000;0.000000
15;-98.000000;3.000000;0.000000
16;-139.000000;5.000000;0.000000
17;-166.000000;6.000000;0.000000
18;-192.000000;7.000000;0.000000
19;-201.000000;7.000000;0.000000
20;-191.000000;7.000000;0.000000
21;-180.000000;7.000000;0.000000
22;-162.000000;7.000000;0.000000
23;-130.000000;5.000000;0.000000
24;-102.000000;4.000000;0.000000
25;-81.000000;3.000000;0.000000
26;-60.000000;2.000000;0.000000
27;-39.000000;2.000000;0.000000
28;-30.000000;1.000000;0.000000
29;-25.000000;1.000000;0.000000
30;-22.000000;1.000000;0.000000
31;-28.000000;1.000000;0.000000
32;-39.000000;1.000000;0.000000
33;-54.000000;1.000000;0.000000
34;-68.000000;2.000000;0.000000
35;-80.000000;2.000000;0.000000
36;-91.000000;3.000000;0.000000
37;-91.000000;3.000000;0.000000
38;-89.000000;3.000000;0.000000
39;-86.000000;3.000000;0.000000
40;-69.000000;3.000000;0.000000
41;-56.000000;2.000000;0.000000
42;-49.000000;2.000000;0.000000
43;-36.000000;2.000000;0.000000
44;-34.000000;1.000000;0.000000
45;-34.000000;1.000000;0.000000
46;-30.000000;1.000000;0.000000
47;-31.000000;1.000000;0.000000
48;-36.000000;1.000000;0.000000
49;-37.000000;1.000000;0.000000
50;-41.000000;1.000000;0.000000
51;-47.000000;1.000000;0.000000
52;-48.000000;1.000000;0.000000
53;-52.000000;1.000000;0.000000
54;-57.000000;1.000000;0.000000
55;-54.000000;2.000000;0.000000
56;-49.000000;2.000000;0.000000
57;-44.000000;2.000000;0.000000
58;-37.000000;1.000000;0.000000
59;-36.000000;1.000000;0.000000
60;-31.000000;1.000000;0.000000
61;-27.000000;1.000000;0.000000
62;-24.000000;1.000000;0.000000
63;-19.000000;1.000000;0.000000
64;-19.000000;1.000000;0.000000
65;-22.000000;1.000000;0.000000
66;-20.000000;1.000000;0.000000
67;-21.000000;1.000000;0.000000
68;-26.000000;1.000000;0.000000
69;-28.000000;1.000000;0.000000
70;-31.000000;1.000000;0.000000
71;-33.000000;1.000000;0.000000
72;-31.000000;1.000000;0.000000
73;-29.000000;1.000000;0.000000
74;-29.000000;1.000000;0.000000
75;-24.000000;1.000000;0.000000
76;-22.000000;1.000000;0.000000
77;-19.000000;1.000000;0.000000
78;-17.000000;0.000000;0.000000
79;-22.000000;0.000000;0.000000
80;-26.000000;0.000000;0.000000
81;-25.000000;0.000000;0.000000
82;-27.000000;0.000000;0.000000
83;-28.000000;0.000000;0.000000
84;-23.000000;0.000000;0.000000
85;-22.000000;0.000000;0.000000
86;-23.000000;0.000000;0.000000
87;-13.000000;0.000000;0.000000
88;-10.000000;0.000000;0.000000
89;-10.000000;0.000000;0.000000
90;0.000000;0.000000;0.000000
91;5.000000;0.000000;0.000000
92;3.000000;-1.000000;0.000000
93;9.000000;-1.000000;0.000000
94;15.000000;-1.000000;0.000000
95;12.000000;-1.000000;0.000000
96;15.000000;-1.000000;0.000000
97;19.000000;-1.000000;0.000000
98;16.000000;-1.000000;0.000000
99;16.000000;-1.000000;0.000000
100;22.000000;-1.000000;0.000000
101;22.000000;-1.000000;0.000000
102;22.000000;-1.000000;0.000000
103;27.000000;-1.000000;0.000000
104;26.000000;-2.000000;0.000000
105;26.000000;-2.000000;0.000000
106;29.000000;-2.000000;0.000000
107;29.000000;-2.000000;0.000000
108;30.000000;-2.000000;0.000000
109;30.000000;-2.000000;0.000000
110;30.000000;-2.000000;0.000000
111;31.000000;-2.000000;0.000000
112;32.000000;-2.000000;0.000000
113;31.000000;-2.000000;0.000000
114;32.000000;-2.000000;0.000000
