takt;q1;q2;q2p
0;399.000000;-16.000000;0.000000
1;735.000000;-27.000000;0.000000
2;970.000000;-37.000000;0.000000
3;1124.000000;-44.000000;0.000000
4;1176.000000;-46.000000;0.000000
5;1120.000000;-45.000000;0.000000
6;1048.000000;-43.000000;0.000000
7;919.000000;-38.000000;0.000000
8;731.000000;-30.000000;0.000000
9;562.000000;-23.000000;0.000000
10;426.000000;-18.000000;0.000000
11;292.000000;-13.000000;0.000000
12;170.000000;-8.000000;0.000000
13;79.000000;-4.000000;0.000000
14;-10.000000;-1.000000;0.000000
15;-96.000000;3.000000;0.000000
16;-142.000000;5.000000;0.000000
17;-174.000000;7.000000;0.000000
18;-194.000000;7.000000;0.000000
19;-201.000000;8.000000;0.000000
20;-188.000000;8.000000;0.000000
21;-176.000000;7.000000;0.000000
22;-160.000000;7.000000;0.000000
23;-120.000000;5.000000;0.000000
24;-93.000000;4.000000;0.000000
25;-69.000000;3.000000;0.000000
26;-31.000000;2.000000;0.000000
27;-6.000000;1.000000;0.000000
28;8.000000;0.000000;0.000000
29;29.000000;-1.000000;0.000000
30;42.000000;-1.000000;0.000000
31;32.000000;-1.000000;0.000000
32;26.000000;-1.000000;0.000000
33;18.000000;-1.000000;0.000000
34;-3.000000;-1.000000;0.000000
35;-20.000000;0.000000;0.000000
36;-30.000000;1.000000;0.000000
37;-46.000000;1.000000;0.000000
38;-60.000000;2.000000;0.000000
39;-58.000000;2.000000;0.000000
40;-55.000000;2.000000;0.000000
41;-50.000000;2.000000;0.000000
42;-38.000000;2.000000;0.000000
43;-25.000000;1.000000;0.000000
44;-19.000000;1.000000;0.000000
45;-10.000000;1.000000;0.000000
46;1.000000;0.000000;0.000000
47;1.000000;0.000000;0.000000
48;2.000000;0.000000;0.000000
49;4.000000;0.000000;0.000000
50;-1.000000;0.000000;0.000000
51;-6.000000;0.000000;0.000000
52;-9.000000;0.000000;0.000000
53;-15.000000;0.000000;0.000000
54;-25.000000;1.000000;0.000000
55;-23.000000;1.000000;0.000000
56;-22.000000;1.000000;0.000000
57;-25.000000;1.000000;0.000000
58;-19.000000;1.000000;0.000000
59;-14.000000;1.000000;0.000000
60;-10.000000;1.000000;0.000000
61;-6.000000;1.000000;0.000000
62;1.000000;0.000000;0.000000
63;2.000000;0.000000;0.000000
64;1.000000;0.000000;0.000000
65;2.000000;0.000000;0.000000
66;2.000000;0.000000;0.000000
67;-2.000000;0.000000;0.000000
68;-6.000000;0.000000;0.000000
69;-9.000000;0.000000;0.000000
70;-13.000000;0.000000;0.000000
71;-15.000000;0.000000;0.000000
72;-14.000000;0.000000;0.000000
73;-14.000000;0.000000;0.000000
74;-11.000000;0.000000;0.000000
75;-7.000000;0.000000;0.000000
76;-4.000000;0.000000;0.000000
77;1.000000;0.000000;0.000000
78;4.000000;0.000000;0.000000
79;4.000000;0.000000;0.000000
80;4.000000;0.000000;0.000000
81;3.000000;0.000000;0.000000
82;0.000000;0.000000;0.000000
83;-3.000000;0.000000;0.000000
84;-5.000000;0.000000;0.000000
85;-9.000000;0.000000;0.000000
86;-12.000000;0.000000;0.000000
87;-11.000000;0.000000;0.000000
88;-12.000000;0.000000;0.000000
89;-11.000000;0.000000;0.000000
90;-7.000000;0.000000;0.000000
91;-3.000000;0.000000;0.000000
92;1.000000;0.000000;0.000000
93;5.000000;0.000000;0.000000
94;8.000000;0.000000;0.000000
95;10.000000;0.000000;0.000000
96;10.000000;0.000000;0.000000
97;8.000000;0.000000;0.000000
98;7.000000;0.000000;0.000000
99;3.000000;0.000000;0.000000
100;-1.000000;0.000000;0.000000
101;-2.000000;0.000000;0.000000
102;-2.000000;0.000000;0.000000
103;-3.000000;0.000000;0.000000
104;0.000000;0.000000;0.000000
105;2.000000;0.000000;0.000000
106;3.000000;0.000000;0.000000
107;5.000000;0.000000;0.000000
108;5.000000;0.000000;0.000000
109;4.000000;0.000000;0.000000
110;2.000000;0.000000;0.000000
111;-2.000000;0.000000;0.000000
112;-5.000000;0.000000;0.000000
113;-9.000000;0.000000;0.000000
114;-13.000000;0.000000;0.000000
115;-15.000000;0.000000;0.000000
116;-14.000000;0.000000;0.000000
117;-12.000000;0.000000;0.000000
118;-9.000000;0.000000;0.000000
119;-2.000000;0.000000;0.000000
120;5.000000;0.000000;0.000000
121;11.000000;0.000000;0.000000
122;19.000000;0.000000;0.000000
123;21.000000;-1.000000;0.000000
124;22.000000;-1.000000;0.000000
125;24.000000;-1.000000;0.000000
126;22.000000;-1.000000;0.000000
127;19.000000;-1.000000;0.000000
128;17.000000;-1.000000;0.000000
129;12.000000;-1.000000;0.000000
130;7.000000;-1.000000;0.000000
131;5.000000;-1.000000;0.000000
132;3.000000;-1.000000;0.000000
133;0.000000;-1.000000;0.000000
134;-1.000000;0.000000;0.000000
135;1.000000;0.000000;0.000000
136;0.000000;0.000000;0.000000
137;1.000000;0.000000;0.000000
138;5.000000;0.000000;0.000000
139;4.000000;0.000000;0.000000
140;4.000000;0.000000;0.000000
141;7.000000;0.000000;0.000000
142;5.000000;0.000000;0.000000
143;4.000000;0.000000;0.000000
144;6.000000;0.000000;0.000000
145;7.000000;0.000000;0.000000
146;6.000000;0.000000;0.000000
147;6.000000;0.000000;0.000000
148;7.000000;0.000000;0.000000
149;4.000000;0.000000;0.000000
150;3.000000;0.000000;0.000000
151;2.000000;0.000000;0.000000
152;-1.000000;0.000000;0.000000
153;-3.000000;0.000000;0.000000
154;-3.000000;0.000000;0.000000
155;-3.000000;0.000000;0.000000
156;-4.000000;0.000000;0.000000
157;-2.000000;0.000000;0.000000
158;0.000000;0.000000;0.000000
159;0.000000;0.000000;0.000000
160;1.000000;0.000000;0.000000
161;3.000000;0.000000;0.000000
162;3.000000;0.000000;0.000000
163;4.000000;0.000000;0.000000
164;4.000000;0.000000;0.000000
165;3.000000;0.000000;0.000000
166;3.000000;0.000000;0.000000
167;3.000000;0.000000;0.000000
168;3.000000;0.000000;0.000000
169;3.000000;0.000000;0.000000
170;1.000000;0.000000;0.000000
171;2.000000;0.000000;0.000000
172;3.000000;0.000000;0.000000
173;4.000000;0.000000;0.000000
174;5.000000;0.000000;0.000000
175;6.000000;0.000000;0.000000
176;6.000000;0.000000;0.000000
177;6.000000;0.000000;0.000000
178;6.000000;0.000000;0.000000
179;6.000000;0.000000;0.000000
180;4.000000;0.000000;0.000000
181;2.000000;0.000000;0.000000
182;2.000000;0.000000;0.000000
183;3.000000;0.000000;0.000000
184;3.000000;0.000000;0.000000
185;4.000000;0.000000;0.000000
186;7.000000;0.000000;0.000000
187;8.000000;0.000000;0.000000
188;9.000000;0.000000;0.000000
189;13.000000;0.000000;0.000000
190;12.000000;0.000000;0.000000
191;12.000000;0.000000;0.000000
192;12.000000;0.000000;0.000000
193;10.000000;0.000000;0.000000
194;10.000000;0.000000;0.000000
195;8.000000;0.000000;0.000000
196;6.000000;0.000000;0.000000
197;5.000000;0.000000;0.000000
198;3.000000;0.000000;0.000000
199;1.000000;0.000000;0.000000
200;2.000000;0.000000;0.000000
201;2.000000;0.000000;0.000000
202;2.000000;0.000000;0.000000
203;3.000000;0.000000;0.000000
204;5.000000;0.000000;0.000000
205;5.000000;0.000000;0.000000
206;5.000000;0.000000;0.000000
207;7.000000;0.000000;0.000000
208;8.000000;0.000000;0.000000
209;8.000000;0.000000;0.000000
210;9.000000;0.000000;0.000000
211;9.000000;0.000000;0.000000
212;8.000000;0.000000;0.000000
213;8.000000;0.000000;0.000000
214;7.000000;0.000000;0.000000
215;4.000000;0.000000;0.000000
216;-1.000000;0.000000;0.000000
217;-3.000000;0.000000;0.000000
218;-7.000000;0.000000;0.000000
219;-13.000000;0.000000;0.000000
220;-14.000000;0.000000;0.000000
221;-17.000000;0.000000;0.000000
222;-25.000000;1.000000;0.000000
223;-21.000000;1.000000;0.000000
224;-18.000000;1.000000;0.000000
225;-21.000000;1.000000;0.000000
226;-17.000000;1.000000;0.000000
227;-12.000000;1.000000;0.000000
228;-13.000000;1.000000;0.000000
229;-10.000000;1.000000;0.000000
230;-4.000000;1.000000;0.000000
231;-7.000000;0.000000;0.000000
232;-15.000000;0.000000;0.000000
233;-14.000000;0.000000;0.000000
234;-18.000000;0.000000;0.000000
235;-27.000000;1.000000;0.000000
236;-22.000000;1.000000;0.000000
237;-20.000000;1.000000;0.000000
238;-23.000000;1.000000;0.000000
239;-18.000000;1.000000;0.000000
240;-10.000000;1.000000;0.000000
241;-10.000000;1.000000;0.000000
242;-11.000000;1.000000;0.000000
243;-7.000000;1.000000;0.000000
244;-7.000000;1.000000;0.000000
245;-12.000000;1.000000;0.000000
246;-10.000000;1.000000;0.000000
247;-10.000000;1.000000;0.000000
248;-18.000000;1.000000;0.000000
249;-21.000000;1.000000;0.000000
250;-20.000000;1.000000;0.000000
251;-28.000000;1.000000;0.000000
252;-35.000000;1.000000;0.000000
253;-36.000000;1.000000;0.000000
254;-41.000000;1.000000;0.000000
255;-48.000000;1.000000;0.000000
256;-47.000000;1.000000;0.000000
257;-47.000000;1.000000;0.000000
258;-50.000000;1.000000;0.000000
259;-49.000000;2.000000;0.000000
260;-38.000000;2.000000;0.000000
261;-33.000000;2.000000;0.000000
262;-26.000000;2.000000;0.000000
263;-20.000000;1.000000;0.000000
264;-18.000000;1.000000;0.000000
265;-15.000000;1.000000;0.000000
