takt;q1;q2;q2p
0;411.000000;-17.000000;0.000000
1;742.000000;-26.000000;0.000000
2;944.000000;-35.000000;0.000000
3;1064.000000;-42.000000;0.000000
4;1070.000000;-42.000000;0.000000
5;981.000000;-39.000000;0.000000
6;895.000000;-37.000000;0.000000
7;758.000000;-32.000000;0.000000
8;570.000000;-24.000000;0.000000
9;422.000000;-17.000000;0.000000
10;320.000000;-14.000000;0.000000
11;221.000000;-10.000000;0.000000
12;141.000000;-6.000000;0.000000
13;96.000000;-5.000000;0.000000
14;49.000000;-3.000000;0.000000
15;4.000000;-1.000000;0.000000
16;-3.000000;0.000000;0.000000
17;5.000000;0.000000;0.000000
18;0.000000;0.000000;0.000000
19;8.000000;0.000000;0.000000
20;35.000000;-1.000000;0.000000
21;43.000000;-1.000000;0.000000
22;59.000000;-2.000000;0.000000
23;94.000000;-3.000000;0.000000
24;103.000000;-4.000000;0.000000
25;103.000000;-4.000000;0.000000
26;115.000000;-4.000000;0.000000
27;114.000000;-5.000000;0.000000
28;94.000000;-4.000000;0.000000
29;97.000000;-4.000000;0.000000
30;91.000000;-4.000000;0.000000
31;64.000000;-3.000000;0.000000
32;61.000000;-3.000000;0.000000
33;60.000000;-3.000000;0.000000
34;47.000000;-3.000000;0.000000
35;49.000000;-2.000000;0.000000
36;62.000000;-2.000000;0.000000
37;66.000000;-2.000000;0.000000
38;72.000000;-2.000000;0.000000
39;92.000000;-3.000000;0.000000
40;103.000000;-4.000000;0.000000
41;103.000000;-4.000000;0.000000
42;113.000000;-4.000000;0.000000
43;118.000000;-4.000000;0.000000
44;109.000000;-4.000000;0.000000
45;107.000000;-4.000000;0.000000
46;108.000000;-4.000000;0.000000
47;101.000000;-4.000000;0.000000
48;91.000000;-4.000000;0.000000
49;91.000000;-4.000000;0.000000
50;84.000000;-4.000000;0.000000
51;70.000000;-4.000000;0.000000
52;78.000000;-3.000000;0.000000
53;84.000000;-3.000000;0.000000
54;76.000000;-3.000000;0.000000
55;84.000000;-3.000000;0.000000
56;99.000000;-4.000000;0.000000
57;95.000000;-4.000000;0.000000
58;101.000000;-4.000000;0.000000
59;119.000000;-4.000000;0.000000
60;113.000000;-5.000000;0.000000
61;104.000000;-5.000000;0.000000
62;113.000000;-5.000000;0.000000
63;110.000000;-5.000000;0.000000
64;99.000000;-5.000000;0.000000
65;104.000000;-5.000000;0.000000
66;105.000000;-5.000000;0.000000
67;88.000000;-4.000000;0.000000
68;92.000000;-4.000000;0.000000
69;101.000000;-4.000000;0.000000
70;97.000000;-4.000000;0.000000
71;95.000000;-4.000000;0.000000
72;106.000000;-4.000000;0.000000
73;112.000000;-4.000000;0.000000
74;113.000000;-4.000000;0.000000
75;125.000000;-5.000000;0.000000
76;124.000000;-5.000000;0.000000
77;115.000000;-5.000000;0.000000
78;114.000000;-5.000000;0.000000
