takt;q1;q2;q2p
0;401.000000;-16.000000;0.000000
1;729.000000;-27.000000;0.000000
2;947.000000;-36.000000;0.000000
3;1088.000000;-43.000000;0.000000
4;1101.000000;-44.000000;0.000000
5;997.000000;-40.000000;0.000000
6;867.000000;-35.000000;0.000000
7;674.000000;-28.000000;0.000000
8;419.000000;-18.000000;0.000000
9;200.000000;-8.000000;0.000000
10;18.000000;-1.000000;0.000000
11;-150.000000;5.000000;0.000000
12;-283.000000;11.000000;0.000000
13;-360.000000;14.000000;0.000000
14;-412.000000;16.000000;0.000000
15;-435.000000;17.000000;0.000000
16;-406.000000;17.000000;0.000000
17;-366.000000;16.000000;0.000000
18;-322.000000;14.000000;0.000000
19;-273.000000;12.000000;0.000000
20;-208.000000;9.000000;0.000000
21;-157.000000;7.000000;0.000000
22;-107.000000;5.000000;0.000000
23;-53.000000;3.000000;0.000000
24;-10.000000;1.000000;0.000000
25;20.000000;0.000000;0.000000
26;56.000000;-1.000000;0.000000
27;81.000000;-3.000000;0.000000
28;92.000000;-3.000000;0.000000
29;102.000000;-4.000000;0.000000
30;99.000000;-4.000000;0.000000
31;92.000000;-4.000000;0.000000
32;86.000000;-4.000000;0.000000
33;73.000000;-3.000000;0.000000
34;67.000000;-3.000000;0.000000
35;55.000000;-3.000000;0.000000
36;47.000000;-2.000000;0.000000
37;44.000000;-2.000000;0.000000
38;42.000000;-2.000000;0.000000
39;45.000000;-2.000000;0.000000
40;45.000000;-2.000000;0.000000
41;46.000000;-2.000000;0.000000
42;49.000000;-2.000000;0.000000
43;52.000000;-2.000000;0.000000
44;54.000000;-2.000000;0.000000
45;54.000000;-2.000000;0.000000
46;53.000000;-2.000000;0.000000
47;49.000000;-2.000000;0.000000
48;53.000000;-2.000000;0.000000
49;51.000000;-2.000000;0.000000
50;51.000000;-2.000000;0.000000
51;50.000000;-2.000000;0.000000
52;47.000000;-2.000000;0.000000
53;49.000000;-2.000000;0.000000
54;47.000000;-2.000000;0.000000
55;50.000000;-2.000000;0.000000
56;50.000000;-2.000000;0.000000
57;49.000000;-2.000000;0.000000
58;52.000000;-2.000000;0.000000
59;51.000000;-2.000000;0.000000
60;52.000000;-2.000000;0.000000
61;53.000000;-2.000000;0.000000
62;52.000000;-2.000000;0.000000
63;54.000000;-2.000000;0.000000
64;54.000000;-2.000000;0.000000
65;52.000000;-2.000000;0.000000
66;54.000000;-2.000000;0.000000
67;51.000000;-2.000000;0.000000
68;50.000000;-2.000000;0.000000
69;53.000000;-2.000000;0.000000
70;49.000000;-2.000000;0.000000
71;52.000000;-2.000000;0.000000
72;52.000000;-2.000000;0.000000
73;50.000000;-2.000000;0.000000
74;54.000000;-2.000000;0.000000
75;52.000000;-2.000000;0.000000
76;53.000000;-2.000000;0.000000
77;55.000000;-2.000000;0.000000
78;52.000000;-2.000000;0.000000
79;54.000000;-2.000000;0.000000
80;54.000000;-2.000000;0.000000
81;49.000000;-2.000000;0.000000
82;50.000000;-2.000000;0.000000
83;51.000000;-2.000000;0.000000
84;49.000000;-2.000000;0.000000
85;52.000000;-2.000000;0.000000
86;52.000000;-2.000000;0.000000
87;51.000000;-2.000000;0.000000
88;55.000000;-2.000000;0.000000
89;55.000000;-2.000000;0.000000
90;55.000000;-2.000000;0.000000
91;55.000000;-2.000000;0.000000
92;54.000000;-2.000000;0.000000
93;55.000000;-2.000000;0.000000
94;56.000000;-2.000000;0.000000
95;56.000000;-2.000000;0.000000
96;54.000000;-2.000000;0.000000
97;54.000000;-2.000000;0.000000
98;55.000000;-2.000000;0.000000
99;54.000000;-2.000000;0.000000
100;55.000000;-2.000000;0.000000
101;54.000000;-2.000000;0.000000
102;54.000000;-2.000000;0.000000
103;56.000000;-2.000000;0.000000
