takt;q1;q2;q2p
0;381.000000;-16.000000;0.000000
1;691.000000;-25.000000;0.000000
2;871.000000;-33.000000;0.000000
3;971.000000;-38.000000;0.000000
4;956.000000;-38.000000;0.000000
5;829.000000;-33.000000;0.000000
6;701.000000;-29.000000;0.000000
7;522.000000;-22.000000;0.000000
8;290.000000;-12.000000;0.000000
9;95.000000;-4.000000;0.000000
10;-51.000000;1.000000;0.000000
11;-185.000000;7.000000;0.000000
12;-281.000000;11.000000;0.000000
13;-325.000000;12.000000;0.000000
14;-366.000000;14.000000;0.000000
15;-388.000000;15.000000;0.000000
16;-365.000000;15.000000;0.000000
17;-334.000000;14.000000;0.000000
18;-304.000000;13.000000;0.000000
19;-271.000000;11.000000;0.000000
20;-230.000000;10.000000;0.000000
21;-200.000000;8.000000;0.000000
22;-164.000000;7.000000;0.000000
23;-119.000000;5.000000;0.000000
24;-84.000000;4.000000;0.000000
25;-54.000000;3.000000;0.000000
26;-23.000000;1.000000;0.000000
27;2.000000;0.000000;0.000000
28;17.000000;-1.000000;0.000000
29;25.000000;-1.000000;0.000000
30;30.000000;-1.000000;0.000000
31;24.000000;-1.000000;0.000000
32;13.000000;-1.000000;0.000000
33;6.000000;-1.000000;0.000000
34;-3.000000;-1.000000;0.000000
35;-10.000000;0.000000;0.000000
36;-12.000000;0.000000;0.000000
37;-9.000000;0.000000;0.000000
38;-6.000000;0.000000;0.000000
39;-1.000000;0.000000;0.000000
40;7.000000;0.000000;0.000000
41;20.000000;-1.000000;0.000000
42;25.000000;-1.000000;0.000000
43;32.000000;-1.000000;0.000000
44;38.000000;-1.000000;0.000000
45;36.000000;-1.000000;0.000000
46;39.000000;-1.000000;0.000000
47;32.000000;-2.000000;0.000000
48;25.000000;-2.000000;0.000000
49;21.000000;-2.000000;0.000000
50;19.000000;-2.000000;0.000000
51;19.000000;-2.000000;0.000000
52;19.000000;-2.000000;0.000000
53;16.000000;-2.000000;0.000000
54;17.000000;-1.000000;0.000000
55;24.000000;-1.000000;0.000000
56;26.000000;-1.000000;0.000000
57;31.000000;-1.000000;0.000000
58;36.000000;-1.000000;0.000000
59;35.000000;-1.000000;0.000000
60;41.000000;-1.000000;0.000000
61;41.000000;-2.000000;0.000000
62;41.000000;-2.000000;0.000000
63;40.000000;-2.000000;0.000000
64;39.000000;-2.000000;0.000000
65;40.000000;-2.000000;0.000000
66;38.000000;-2.000000;0.000000
67;38.000000;-2.000000;0.000000
68;37.000000;-2.000000;0.000000
69;36.000000;-2.000000;0.000000
70;38.000000;-2.000000;0.000000
71;35.000000;-2.000000;0.000000
72;35.000000;-2.000000;0.000000
73;35.000000;-2.000000;0.000000
74;35.000000;-2.000000;0.000000
75;36.000000;-2.000000;0.000000
76;36.000000;-2.000000;0.000000
77;35.000000;-2.000000;0.000000
78;36.000000;-2.000000;0.000000
79;35.000000;-2.000000;0.000000
80;34.000000;-2.000000;0.000000
81;35.000000;-2.000000;0.000000
82;34.000000;-2.000000;0.000000
83;34.000000;-2.000000;0.000000
84;35.000000;-2.000000;0.000000
85;33.000000;-2.000000;0.000000
86;34.000000;-2.000000;0.000000
87;35.000000;-2.000000;0.000000
88;35.000000;-2.000000;0.000000
89;36.000000;-2.000000;0.000000
90;37.000000;-2.000000;0.000000
91;36.000000;-2.000000;0.000000
92;37.000000;-2.000000;0.000000
93;37.000000;-2.000000;0.000000
94;36.000000;-2.000000;0.000000
95;37.000000;-2.000000;0.000000
96;38.000000;-2.000000;0.000000
97;36.000000;-2.000000;0.000000
98;38.000000;-2.000000;0.000000
99;36.000000;-2.000000;0.000000
100;35.000000;-2.000000;0.000000
101;38.000000;-2.000000;0.000000
102;39.000000;-2.000000;0.000000
103;39.000000;-2.000000;0.000000
104;40.000000;-2.000000;0.000000
105;39.000000;-2.000000;0.000000
106;39.000000;-2.000000;0.000000
107;40.000000;-2.000000;0.000000
108;40.000000;-2.000000;0.000000
109;40.000000;-2.000000;0.000000
110;40.000000;-2.000000;0.000000
111;40.000000;-2.000000;0.000000
112;40.000000;-2.000000;0.000000
113;40.000000;-2.000000;0.000000
114;39.000000;-2.000000;0.000000
115;39.000000;-2.000000;0.000000
116;40.000000;-2.000000;0.000000
117;42.000000;-2.000000;0.000000
118;41.000000;-2.000000;0.000000
119;42.000000;-2.000000;0.000000
120;43.000000;-2.000000;0.000000
121;42.000000;-2.000000;0.000000
122;44.000000;-2.000000;0.000000
123;44.000000;-2.000000;0.000000
124;43.000000;-2.000000;0.000000
125;45.000000;-2.000000;0.000000
126;45.000000;-2.000000;0.000000
127;44.000000;-2.000000;0.000000
