takt;q1;q2;q2p
0;395.000000;-16.000000;0.000000
1;703.000000;-25.000000;0.000000
2;871.000000;-32.000000;0.000000
3;965.000000;-38.000000;0.000000
4;924.000000;-37.000000;0.000000
5;773.000000;-31.000000;0.000000
6;631.000000;-26.000000;0.000000
7;450.000000;-20.000000;0.000000
8;207.000000;-10.000000;0.000000
9;20.000000;-2.000000;0.000000
10;-91.000000;2.000000;0.000000
11;-192.000000;6.000000;0.000000
12;-257.000000;9.000000;0.000000
13;-259.000000;9.000000;0.000000
14;-271.000000;10.000000;0.000000
15;-284.000000;11.000000;0.000000
16;-244.000000;10.000000;0.000000
17;-211.000000;9.000000;0.000000
18;-202.000000;8.000000;0.000000
19;-188.000000;8.000000;0.000000
20;-166.000000;7.000000;0.000000
21;-163.000000;6.000000;0.000000
22;-150.000000;6.000000;0.000000
23;-109.000000;5.000000;0.000000
24;-89.000000;3.000000;0.000000
25;-75.000000;3.000000;0.000000
26;-37.000000;2.000000;0.000000
27;-14.000000;1.000000;0.000000
28;-7.000000;1.000000;0.000000
29;1.000000;0.000000;0.000000
30;6.000000;0.000000;0.000000
31;-4.000000;0.000000;0.000000
32;-16.000000;0.000000;0.000000
33;-19.000000;0.000000;0.000000
34;-27.000000;0.000000;0.000000
35;-42.000000;1.000000;0.000000
36;-39.000000;1.000000;0.000000
37;-36.000000;1.000000;0.000000
38;-38.000000;1.000000;0.000000
39;-29.000000;1.000000;0.000000
40;-20.000000;1.000000;0.000000
41;-15.000000;1.000000;0.000000
42;-8.000000;1.000000;0.000000
43;-8.000000;0.000000;0.000000
44;-6.000000;0.000000;0.000000
45;-5.000000;0.000000;0.000000
46;-4.000000;0.000000;0.000000
47;-2.000000;0.000000;0.000000
48;-5.000000;0.000000;0.000000
49;-5.000000;0.000000;0.000000
50;-6.000000;0.000000;0.000000
51;-6.000000;0.000000;0.000000
52;-8.000000;0.000000;0.000000
53;-11.000000;0.000000;0.000000
54;-11.000000;0.000000;0.000000
55;-11.000000;0.000000;0.000000
56;-6.000000;0.000000;0.000000
57;-3.000000;0.000000;0.000000
58;-1.000000;0.000000;0.000000
59;1.000000;0.000000;0.000000
60;3.000000;0.000000;0.000000
61;4.000000;0.000000;0.000000
62;4.000000;0.000000;0.000000
63;5.000000;0.000000;0.000000
64;4.000000;0.000000;0.000000
65;3.000000;0.000000;0.000000
66;4.000000;0.000000;0.000000
67;1.000000;0.000000;0.000000
68;-1.000000;0.000000;0.000000
69;1.000000;0.000000;0.000000
70;2.000000;0.000000;0.000000
71;3.000000;0.000000;0.000000
72;7.000000;0.000000;0.000000
73;7.000000;0.000000;0.000000
74;8.000000;0.000000;0.000000
75;10.000000;0.000000;0.000000
76;10.000000;0.000000;0.000000
