takt;q1;q2;q2p
0;415.000000;-17.000000;0.000000
1;735.000000;-25.000000;0.000000
2;907.000000;-33.000000;0.000000
3;986.000000;-38.000000;0.000000
4;920.000000;-36.000000;0.000000
5;744.000000;-29.000000;0.000000
6;601.000000;-25.000000;0.000000
7;415.000000;-18.000000;0.000000
8;180.000000;-8.000000;0.000000
9;20.000000;-2.000000;0.000000
10;-68.000000;1.000000;0.000000
11;-148.000000;5.000000;0.000000
12;-185.000000;7.000000;0.000000
13;-168.000000;6.000000;0.000000
14;-184.000000;6.000000;0.000000
15;-204.000000;8.000000;0.000000
16;-171.000000;7.000000;0.000000
17;-147.000000;6.000000;0.000000
18;-141.000000;6.000000;0.000000
19;-105.000000;5.000000;0.000000
20;-74.000000;3.000000;0.000000
21;-74.000000;3.000000;0.000000
22;-49.000000;2.000000;0.000000
23;-5.000000;0.000000;0.000000
24;3.000000;0.000000;0.000000
25;11.000000;0.000000;0.000000
26;33.000000;-1.000000;0.000000
27;35.000000;-2.000000;0.000000
28;21.000000;-1.000000;0.000000
29;30.000000;-1.000000;0.000000
30;25.000000;-1.000000;0.000000
31;-5.000000;0.000000;0.000000
32;-16.000000;0.000000;0.000000
33;-29.000000;0.000000;0.000000
34;-54.000000;1.000000;0.000000
35;-65.000000;2.000000;0.000000
36;-58.000000;2.000000;0.000000
37;-64.000000;2.000000;0.000000
38;-62.000000;2.000000;0.000000
39;-39.000000;2.000000;0.000000
40;-23.000000;1.000000;0.000000
41;-7.000000;1.000000;0.000000
42;11.000000;0.000000;0.000000
43;25.000000;-1.000000;0.000000
44;25.000000;-1.000000;0.000000
45;28.000000;-1.000000;0.000000
46;35.000000;-1.000000;0.000000
47;28.000000;-1.000000;0.000000
48;18.000000;-1.000000;0.000000
49;11.000000;-1.000000;0.000000
50;-2.000000;-1.000000;0.000000
51;-19.000000;0.000000;0.000000
52;-22.000000;0.000000;0.000000
53;-28.000000;0.000000;0.000000
54;-37.000000;1.000000;0.000000
55;-35.000000;1.000000;0.000000
56;-30.000000;1.000000;0.000000
57;-22.000000;1.000000;0.000000
58;-13.000000;1.000000;0.000000
59;-2.000000;0.000000;0.000000
60;6.000000;0.000000;0.000000
61;16.000000;0.000000;0.000000
62;19.000000;-1.000000;0.000000
63;24.000000;-1.000000;0.000000
64;27.000000;-1.000000;0.000000
65;23.000000;-1.000000;0.000000
66;20.000000;-1.000000;0.000000
67;18.000000;-1.000000;0.000000
68;11.000000;-1.000000;0.000000
69;4.000000;-1.000000;0.000000
70;2.000000;-1.000000;0.000000
71;-1.000000;-1.000000;0.000000
72;-5.000000;-1.000000;0.000000
73;-5.000000;-1.000000;0.000000
74;-2.000000;-1.000000;0.000000
75;-1.000000;-1.000000;0.000000
76;5.000000;-1.000000;0.000000
77;13.000000;-1.000000;0.000000
78;15.000000;-1.000000;0.000000
79;14.000000;-1.000000;0.000000
80;18.000000;-1.000000;0.000000
81;17.000000;-1.000000;0.000000
82;15.000000;-1.000000;0.000000
83;17.000000;-1.000000;0.000000
84;15.000000;-1.000000;0.000000
85;9.000000;-1.000000;0.000000
86;10.000000;-1.000000;0.000000
87;10.000000;-1.000000;0.000000
88;9.000000;-1.000000;0.000000
89;13.000000;-1.000000;0.000000
90;16.000000;-1.000000;0.000000
91;18.000000;-1.000000;0.000000
92;24.000000;-1.000000;0.000000
93;26.000000;-1.000000;0.000000
94;27.000000;-1.000000;0.000000
95;29.000000;-1.000000;0.000000
96;28.000000;-1.000000;0.000000
97;26.000000;-1.000000;0.000000
98;27.000000;-1.000000;0.000000
99;25.000000;-1.000000;0.000000
100;24.000000;-1.000000;0.000000
101;26.000000;-1.000000;0.000000
102;27.000000;-1.000000;0.000000
103;30.000000;-1.000000;0.000000
104;35.000000;-1.000000;0.000000
105;34.000000;-2.000000;0.000000
106;36.000000;-2.000000;0.000000
107;40.000000;-2.000000;0.000000
108;34.000000;-2.000000;0.000000
109;32.000000;-2.000000;0.000000
110;31.000000;-2.000000;0.000000
111;23.000000;-2.000000;0.000000
112;19.000000;-2.000000;0.000000
113;22.000000;-2.000000;0.000000
114;16.000000;-2.000000;0.000000
115;19.000000;-1.000000;0.000000
116;29.000000;-1.000000;0.000000
117;31.000000;-1.000000;0.000000
118;38.000000;-2.000000;0.000000
119;43.000000;-2.000000;0.000000
120;44.000000;-2.000000;0.000000
121;45.000000;-2.000000;0.000000
122;47.000000;-2.000000;0.000000
123;43.000000;-2.000000;0.000000
124;41.000000;-2.000000;0.000000
125;41.000000;-2.000000;0.000000
126;37.000000;-2.000000;0.000000
127;38.000000;-2.000000;0.000000
128;41.000000;-2.000000;0.000000
129;36.000000;-2.000000;0.000000
130;36.000000;-2.000000;0.000000
131;38.000000;-2.000000;0.000000
132;33.000000;-2.000000;0.000000
133;34.000000;-2.000000;0.000000
134;36.000000;-2.000000;0.000000
135;31.000000;-2.000000;0.000000
136;31.000000;-2.000000;0.000000
137;34.000000;-2.000000;0.000000
138;30.000000;-2.000000;0.000000
139;32.000000;-2.000000;0.000000
140;33.000000;-2.000000;0.000000
141;30.000000;-2.000000;0.000000
142;32.000000;-2.000000;0.000000
143;35.000000;-2.000000;0.000000
144;32.000000;-2.000000;0.000000
145;33.000000;-2.000000;0.000000
146;34.000000;-2.000000;0.000000
147;30.000000;-2.000000;0.000000
148;31.000000;-2.000000;0.000000
149;33.000000;-2.000000;0.000000
150;29.000000;-2.000000;0.000000
151;31.000000;-2.000000;0.000000
152;33.000000;-2.000000;0.000000
153;28.000000;-2.000000;0.000000
154;28.000000;-2.000000;0.000000
155;28.000000;-2.000000;0.000000
156;21.000000;-2.000000;0.000000
157;20.000000;-2.000000;0.000000
158;20.000000;-2.000000;0.000000
159;16.000000;-2.000000;0.000000
160;21.000000;-1.000000;0.000000
161;29.000000;-1.000000;0.000000
162;28.000000;-1.000000;0.000000
163;32.000000;-1.000000;0.000000
164;38.000000;-2.000000;0.000000
165;30.000000;-2.000000;0.000000
166;28.000000;-2.000000;0.000000
167;29.000000;-2.000000;0.000000
168;19.000000;-2.000000;0.000000
169;16.000000;-1.000000;0.000000
170;25.000000;-1.000000;0.000000
171;26.000000;-1.000000;0.000000
172;28.000000;-1.000000;0.000000
173;38.000000;-1.000000;0.000000
174;36.000000;-2.000000;0.000000
175;26.000000;-2.000000;0.000000
176;25.000000;-2.000000;0.000000
177;20.000000;-2.000000;0.000000
178;10.000000;-1.000000;0.000000
179;15.000000;-1.000000;0.000000
180;19.000000;-1.000000;0.000000
181;16.000000;-1.000000;0.000000
182;23.000000;-1.000000;0.000000
183;30.000000;-1.000000;0.000000
184;29.000000;-1.000000;0.000000
185;30.000000;-1.000000;0.000000
186;33.000000;-1.000000;0.000000
187;31.000000;-1.000000;0.000000
188;28.000000;-1.000000;0.000000
189;30.000000;-1.000000;0.000000
190;27.000000;-1.000000;0.000000
191;23.000000;-1.000000;0.000000
192;23.000000;-1.000000;0.000000
193;23.000000;-1.000000;0.000000
194;21.000000;-1.000000;0.000000
195;22.000000;-1.000000;0.000000
196;24.000000;-1.000000;0.000000
197;23.000000;-1.000000;0.000000
198;25.000000;-1.000000;0.000000
199;26.000000;-1.000000;0.000000
200;26.000000;-1.000000;0.000000
201;25.000000;-1.000000;0.000000
202;27.000000;-1.000000;0.000000
203;28.000000;-1.000000;0.000000
204;27.000000;-1.000000;0.000000
205;29.000000;-1.000000;0.000000
206;30.000000;-1.000000;0.000000
207;29.000000;-1.000000;0.000000
208;31.000000;-1.000000;0.000000
209;32.000000;-1.000000;0.000000
210;31.000000;-1.000000;0.000000
211;32.000000;-1.000000;0.000000
212;33.000000;-1.000000;0.000000
213;32.000000;-1.000000;0.000000
214;32.000000;-1.000000;0.000000
215;33.000000;-1.000000;0.000000
216;34.000000;-1.000000;0.000000
217;35.000000;-1.000000;0.000000
218;32.000000;-2.000000;0.000000
219;30.000000;-2.000000;0.000000
220;31.000000;-2.000000;0.000000
221;28.000000;-2.000000;0.000000
222;26.000000;-2.000000;0.000000
223;31.000000;-2.000000;0.000000
224;31.000000;-2.000000;0.000000
225;28.000000;-2.000000;0.000000
226;35.000000;-2.000000;0.000000
227;34.000000;-2.000000;0.000000
228;29.000000;-2.000000;0.000000
229;34.000000;-2.000000;0.000000
230;33.000000;-2.000000;0.000000
231;27.000000;-2.000000;0.000000
232;30.000000;-2.000000;0.000000
233;32.000000;-2.000000;0.000000
234;27.000000;-2.000000;0.000000
235;29.000000;-2.000000;0.000000
236;32.000000;-2.000000;0.000000
237;29.000000;-2.000000;0.000000
238;31.000000;-2.000000;0.000000
239;31.000000;-2.000000;0.000000
240;28.000000;-2.000000;0.000000
241;29.000000;-2.000000;0.000000
242;28.000000;-2.000000;0.000000
243;27.000000;-2.000000;0.000000
244;30.000000;-2.000000;0.000000
245;27.000000;-2.000000;0.000000
246;26.000000;-2.000000;0.000000
247;32.000000;-2.000000;0.000000
248;30.000000;-2.000000;0.000000
249;31.000000;-2.000000;0.000000
250;37.000000;-2.000000;0.000000
251;33.000000;-2.000000;0.000000
252;32.000000;-2.000000;0.000000
253;39.000000;-2.000000;0.000000
254;36.000000;-2.000000;0.000000
255;36.000000;-2.000000;0.000000
256;43.000000;-2.000000;0.000000
257;39.000000;-2.000000;0.000000
258;38.000000;-2.000000;0.000000
259;44.000000;-2.000000;0.000000
260;40.000000;-2.000000;0.000000
261;38.000000;-2.000000;0.000000
262;42.000000;-2.000000;0.000000
263;40.000000;-2.000000;0.000000
264;40.000000;-2.000000;0.000000
265;45.000000;-2.000000;0.000000
266;41.000000;-2.000000;0.000000
267;39.000000;-2.000000;0.000000
268;43.000000;-2.000000;0.000000
269;40.000000;-2.000000;0.000000
270;40.000000;-2.000000;0.000000
271;44.000000;-2.000000;0.000000
272;40.000000;-2.000000;0.000000
273;40.000000;-2.000000;0.000000
274;43.000000;-2.000000;0.000000
275;39.000000;-2.000000;0.000000
276;39.000000;-2.000000;0.000000
277;41.000000;-2.000000;0.000000
278;37.000000;-2.000000;0.000000
279;35.000000;-2.000000;0.000000
280;37.000000;-2.000000;0.000000
281;32.000000;-2.000000;0.000000
282;31.000000;-2.000000;0.000000
283;34.000000;-2.000000;0.000000
284;31.000000;-2.000000;0.000000
285;31.000000;-2.000000;0.000000
286;34.000000;-2.000000;0.000000
287;32.000000;-2.000000;0.000000
288;33.000000;-2.000000;0.000000
289;35.000000;-2.000000;0.000000
290;33.000000;-2.000000;0.016320
291;33.000000;-2.000000;23.538572
292;19.000000;-1.000000;47.060825
293;-36.000000;1.000000;70.583076
294;-128.000000;6.000000;94.105331
295;-278.000000;12.000000;117.627586
296;-501.000000;21.000000;141.149841
297;-781.000000;33.000000;164.672104
298;-1115.000000;46.000000;188.194351
299;-1522.000000;63.000000;211.716614
300;-1966.000000;81.000000;235.238861
301;-2431.000000;100.000000;258.761108
302;-2943.000000;121.000000;282.283356
303;-3470.000000;143.000000;305.805634
304;-3999.000000;164.000000;329.327881
305;-4548.000000;186.000000;352.850128
306;-5091.000000;208.000000;376.372375
307;-5628.000000;230.000000;399.894623
308;-6170.000000;252.000000;423.416901
309;-6708.000000;274.000000;446.939117
310;-7234.000000;296.000000;470.461395
311;-7756.000000;317.000000;493.983673
312;-8283.000000;339.000000;517.505859
313;-8811.000000;360.000000;541.028137
314;-9344.000000;381.000000;564.550415
315;-9876.000000;404.000000;588.072632
316;-10400.000000;425.000000;611.594910
317;-10928.000000;447.000000;635.117126
318;-11463.000000;468.000000;651.898682
319;-11992.000000;490.000000;651.898682
320;-12500.000000;511.000000;651.898682
321;-12974.000000;530.000000;651.898682
322;-13409.000000;548.000000;651.898682
323;-13798.000000;563.000000;651.898682
324;-14130.000000;576.000000;651.898682
325;-14402.000000;588.000000;651.898682
326;-14617.000000;597.000000;651.898682
327;-14773.000000;603.000000;651.898682
328;-14880.000000;608.000000;651.898682
329;-14968.000000;612.000000;651.898682
330;-15023.000000;614.000000;651.898682
331;-15055.000000;616.000000;651.898682
332;-15084.000000;617.000000;651.898682
333;-15111.000000;618.000000;651.898682
334;-15134.000000;619.000000;651.898682
335;-15166.000000;620.000000;651.898682
336;-15201.000000;622.000000;651.898682
337;-15235.000000;623.000000;651.898682
338;-15274.000000;625.000000;651.898682
339;-15320.000000;627.000000;651.898682
340;-15373.000000;629.000000;651.898682
341;-15426.000000;631.000000;651.898682
342;-15481.000000;633.000000;651.898682
343;-15535.000000;635.000000;651.898682
344;-15583.000000;637.000000;651.898682
345;-15631.000000;640.000000;651.898682
346;-15678.000000;641.000000;651.898682
347;-15717.000000;643.000000;651.898682
348;-15751.000000;644.000000;651.898682
349;-15773.000000;645.000000;651.898682
350;-15788.000000;646.000000;651.898682
351;-15792.000000;646.000000;651.898682
352;-15795.000000;646.000000;651.898682
353;-15799.000000;647.000000;651.898682
354;-15792.000000;647.000000;651.898682
355;-15791.000000;647.000000;651.898682
356;-15793.000000;647.000000;651.898682
357;-15790.000000;647.000000;651.898682
358;-15797.000000;647.000000;651.898682
359;-15807.000000;647.000000;651.898682
360;-15811.000000;647.000000;651.898682
361;-15820.000000;647.000000;651.898682
362;-15833.000000;648.000000;651.898682
363;-15842.000000;648.000000;651.898682
364;-15851.000000;649.000000;651.898682
365;-15858.000000;649.000000;651.898682
366;-15863.000000;649.000000;651.898682
367;-15867.000000;649.000000;651.898682
368;-15870.000000;649.000000;651.898682
369;-15874.000000;650.000000;651.898682
370;-15870.000000;650.000000;651.898682
371;-15869.000000;650.000000;651.898682
372;-15869.000000;650.000000;651.898682
373;-15867.000000;650.000000;651.898682
374;-15869.000000;650.000000;651.898682
375;-15866.000000;650.000000;651.898682
376;-15866.000000;650.000000;651.898682
377;-15868.000000;650.000000;651.898682
378;-15868.000000;650.000000;651.898682
379;-15870.000000;650.000000;651.898682
380;-15868.000000;650.000000;651.898682
381;-15867.000000;650.000000;651.898682
382;-15872.000000;650.000000;651.898682
383;-15874.000000;650.000000;651.898682
384;-15872.000000;650.000000;651.898682
385;-15875.000000;650.000000;651.898682
386;-15873.000000;650.000000;651.898682
387;-15870.000000;650.000000;651.898682
388;-15875.000000;650.000000;651.898682
389;-15871.000000;650.000000;651.898682
390;-15868.000000;650.000000;651.898682
391;-15873.000000;650.000000;651.898682
392;-15873.000000;650.000000;651.898682
393;-15870.000000;650.000000;651.898682
394;-15875.000000;650.000000;651.898682
395;-15875.000000;650.000000;651.898682
396;-15869.000000;650.000000;651.898682
397;-15874.000000;650.000000;651.898682
398;-15873.000000;650.000000;651.898682
399;-15870.000000;650.000000;651.898682
400;-15876.000000;650.000000;651.898682
401;-15877.000000;650.000000;651.898682
402;-15875.000000;650.000000;651.898682
403;-15879.000000;650.000000;651.898682
404;-15880.000000;650.000000;651.898682
405;-15877.000000;650.000000;651.898682
406;-15880.000000;650.000000;651.898682
407;-15879.000000;650.000000;651.898682
408;-15876.000000;650.000000;651.898682
409;-15880.000000;650.000000;651.898682
410;-15880.000000;650.000000;651.898682
411;-15878.000000;650.000000;651.898682
412;-15881.000000;650.000000;651.898682
413;-15880.000000;650.000000;651.898682
414;-15878.000000;650.000000;651.898682
415;-15882.000000;650.000000;651.898682
416;-15880.000000;650.000000;651.898682
417;-15878.000000;650.000000;651.898682
418;-15882.000000;650.000000;651.898682
419;-15881.000000;650.000000;651.898682
420;-15882.000000;650.000000;651.898682
421;-15884.000000;650.000000;651.898682
422;-15883.000000;650.000000;651.898682
423;-15884.000000;650.000000;651.898682
424;-15887.000000;650.000000;651.898682
425;-15886.000000;650.000000;651.898682
426;-15887.000000;650.000000;651.898682
427;-15890.000000;650.000000;651.898682
428;-15888.000000;650.000000;651.898682
429;-15891.000000;650.000000;651.898682
430;-15893.000000;650.000000;651.898682
431;-15890.000000;650.000000;651.898682
432;-15892.000000;650.000000;651.898682
433;-15892.000000;650.000000;651.898682
434;-15890.000000;650.000000;651.898682
435;-15891.000000;650.000000;651.898682
436;-15893.000000;650.000000;651.898682
437;-15890.000000;650.000000;651.898682
438;-15891.000000;650.000000;651.898682
439;-15894.000000;650.000000;651.898682
440;-15892.000000;650.000000;651.898682
441;-15894.000000;650.000000;651.898682
442;-15896.000000;651.000000;651.898682
443;-15889.000000;651.000000;651.898682
444;-15886.000000;651.000000;651.898682
445;-15887.000000;651.000000;651.898682
446;-15883.000000;651.000000;651.898682
447;-15884.000000;651.000000;651.898682
448;-15886.000000;651.000000;651.898682
449;-15886.000000;651.000000;651.898682
450;-15885.000000;651.000000;651.898682
451;-15888.000000;651.000000;651.898682
452;-15887.000000;651.000000;651.898682
453;-15883.000000;651.000000;651.898682
454;-15885.000000;651.000000;651.898682
455;-15883.000000;651.000000;651.898682
456;-15882.000000;651.000000;651.898682
457;-15884.000000;651.000000;651.898682
458;-15882.000000;651.000000;651.898682
459;-15880.000000;651.000000;651.898682
460;-15880.000000;651.000000;651.898682
461;-15879.000000;651.000000;651.898682
462;-15877.000000;651.000000;651.898682
463;-15878.000000;651.000000;651.898682
464;-15876.000000;651.000000;651.898682
465;-15875.000000;651.000000;651.898682
466;-15880.000000;650.000000;651.898682
467;-15884.000000;650.000000;651.898682
468;-15884.000000;650.000000;651.898682
469;-15885.000000;650.000000;651.898682
470;-15884.000000;650.000000;651.898682
