takt;q1;q2;q2p
0;403.000000;-16.000000;0.000000
1;717.000000;-25.000000;0.000000
2;870.000000;-31.000000;0.000000
3;937.000000;-36.000000;0.000000
4;878.000000;-35.000000;0.000000
5;704.000000;-28.000000;0.000000
6;552.000000;-23.000000;0.000000
7;377.000000;-17.000000;0.000000
8;147.000000;-7.000000;0.000000
9;-7.000000;-1.000000;0.000000
10;-87.000000;2.000000;0.000000
11;-164.000000;5.000000;0.000000
12;-203.000000;7.000000;0.000000
13;-196.000000;7.000000;0.000000
14;-209.000000;7.000000;0.000000
15;-230.000000;9.000000;0.000000
16;-200.000000;8.000000;0.000000
17;-175.000000;7.000000;0.000000
18;-169.000000;7.000000;0.000000
19;-139.000000;6.000000;0.000000
20;-104.000000;4.000000;0.000000
21;-103.000000;4.000000;0.000000
22;-86.000000;4.000000;0.000000
23;-51.000000;2.000000;0.000000
24;-36.000000;1.000000;0.000000
25;-27.000000;1.000000;0.000000
26;-3.000000;0.000000;0.000000
27;8.000000;0.000000;0.000000
28;3.000000;0.000000;0.000000
29;9.000000;0.000000;0.000000
30;8.000000;0.000000;0.000000
31;-15.000000;0.000000;0.000000
32;-36.000000;1.000000;0.000000
33;-44.000000;1.000000;0.000000
34;-63.000000;2.000000;0.000000
35;-78.000000;2.000000;0.000000
36;-74.000000;2.000000;0.000000
37;-76.000000;2.000000;0.000000
38;-75.000000;2.000000;0.000000
39;-56.000000;2.000000;0.000000
40;-30.000000;1.000000;0.000000
41;-18.000000;1.000000;0.000000
42;-3.000000;1.000000;0.000000
43;13.000000;0.000000;0.000000
44;12.000000;-1.000000;0.000000
45;12.000000;-1.000000;0.000000
46;18.000000;-1.000000;0.000000
47;13.000000;-1.000000;0.000000
48;-1.000000;-1.000000;0.000000
49;-7.000000;-1.000000;0.000000
50;-15.000000;0.000000;0.000000
51;-28.000000;0.000000;0.000000
52;-34.000000;1.000000;0.000000
53;-27.000000;1.000000;0.000000
54;-29.000000;1.000000;0.000000
55;-33.000000;1.000000;0.000000
56;-20.000000;1.000000;0.000000
57;-13.000000;1.000000;0.000000
58;-10.000000;0.000000;0.000000
59;-1.000000;0.000000;0.000000
60;10.000000;0.000000;0.000000
61;8.000000;-1.000000;0.000000
62;9.000000;-1.000000;0.000000
63;19.000000;-1.000000;0.000000
64;15.000000;-1.000000;0.000000
65;5.000000;-1.000000;0.000000
66;6.000000;-1.000000;0.000000
67;-2.000000;-1.000000;0.000000
68;-17.000000;0.000000;0.000000
69;-16.000000;0.000000;0.000000
70;-16.000000;0.000000;0.000000
71;-24.000000;0.000000;0.000000
72;-24.000000;0.000000;0.000000
73;-19.000000;0.000000;0.000000
74;-15.000000;0.000000;0.000000
75;-11.000000;0.000000;0.000000
76;-1.000000;0.000000;0.000000
77;7.000000;0.000000;0.000000
78;6.000000;0.000000;0.000000
79;12.000000;0.000000;0.000000
80;14.000000;-1.000000;0.000000
81;5.000000;-1.000000;0.000000
82;-1.000000;-1.000000;0.000000
83;-6.000000;-1.000000;0.000000
84;-17.000000;0.000000;0.000000
85;-21.000000;0.000000;0.000000
86;-21.000000;0.000000;0.000000
87;-25.000000;0.000000;0.000000
88;-26.000000;0.000000;0.000000
89;-23.000000;0.000000;0.000000
90;-20.000000;0.000000;0.000000
91;-20.000000;0.000000;0.000000
92;-17.000000;0.000000;0.000000
93;-16.000000;0.000000;0.000000
94;-17.000000;0.000000;0.000000
95;-18.000000;0.000000;0.000000
96;-18.000000;0.000000;0.000000
97;-21.000000;0.000000;0.000000
98;-24.000000;0.000000;0.000000
99;-28.000000;0.000000;0.000000
100;-30.000000;0.000000;0.000000
101;-30.000000;0.000000;0.000000
102;-30.000000;0.000000;0.000000
103;-27.000000;0.000000;0.000000
104;-22.000000;0.000000;0.000000
105;-19.000000;0.000000;0.000000
106;-14.000000;0.000000;0.000000
107;-8.000000;0.000000;0.000000
108;-8.000000;0.000000;0.000000
109;-8.000000;0.000000;0.000000
110;-6.000000;0.000000;0.000000
111;-9.000000;0.000000;0.000000
112;-13.000000;0.000000;0.000000
113;-17.000000;0.000000;0.000000
114;-23.000000;0.000000;0.000000
115;-28.000000;0.000000;0.000000
116;-30.000000;0.000000;0.000000
117;-30.000000;0.000000;0.000000
118;-30.000000;0.000000;0.000000
119;-27.000000;0.000000;0.000000
120;-24.000000;0.000000;0.000000
121;-22.000000;0.000000;0.000000
122;-19.000000;0.000000;0.000000
123;-17.000000;0.000000;0.000000
124;-17.000000;0.000000;0.000000
125;-17.000000;0.000000;0.000000
126;-17.000000;0.000000;0.000000
127;-18.000000;0.000000;0.000000
128;-19.000000;0.000000;0.000000
129;-19.000000;0.000000;0.000000
130;-20.000000;0.000000;0.000000
131;-22.000000;0.000000;0.000000
132;-23.000000;0.000000;0.000000
133;-21.000000;0.000000;0.000000
134;-22.000000;0.000000;0.000000
135;-22.000000;0.000000;0.000000
136;-18.000000;0.000000;0.000000
137;-17.000000;0.000000;0.000000
138;-17.000000;0.000000;0.000000
139;-14.000000;0.000000;0.000000
140;-12.000000;0.000000;0.000000
141;-14.000000;0.000000;0.000000
142;-11.000000;0.000000;0.000000
143;-9.000000;0.000000;0.000000
144;-11.000000;0.000000;0.000000
145;-10.000000;0.000000;0.000000
146;-9.000000;0.000000;0.000000
147;-10.000000;0.000000;0.000000
148;-10.000000;0.000000;0.000000
149;-9.000000;0.000000;0.000000
150;-10.000000;0.000000;0.000000
151;-8.000000;0.000000;0.000000
152;-7.000000;0.000000;0.000000
153;-7.000000;0.000000;0.000000
154;-5.000000;0.000000;0.000000
155;-5.000000;0.000000;0.000000
156;-5.000000;0.000000;0.000000
157;-5.000000;0.000000;0.000000
158;-5.000000;0.000000;0.000000
159;-7.000000;0.000000;0.000000
160;-8.000000;0.000000;0.000000
161;-8.000000;0.000000;0.000000
162;-10.000000;0.000000;0.000000
163;-10.000000;0.000000;0.000000
164;-11.000000;0.000000;0.000000
165;-12.000000;0.000000;0.000000
166;-11.000000;0.000000;0.000000
167;-12.000000;0.000000;0.000000
168;-12.000000;0.000000;0.000000
169;-10.000000;0.000000;0.000000
170;-11.000000;0.000000;0.000000
171;-12.000000;0.000000;0.000000
172;-10.000000;0.000000;0.000000
173;-10.000000;0.000000;0.000000
174;-12.000000;0.000000;0.000000
175;-11.000000;0.000000;0.000000
176;-12.000000;0.000000;0.000000
177;-17.000000;0.000000;0.000000
178;-17.000000;0.000000;0.000000
179;-17.000000;0.000000;0.000000
180;-19.000000;0.000000;0.000000
181;-18.000000;0.000000;0.000000
182;-17.000000;0.000000;0.000000
183;-18.000000;0.000000;0.000000
184;-17.000000;0.000000;0.000000
185;-15.000000;0.000000;0.000000
186;-16.000000;0.000000;0.000000
187;-16.000000;0.000000;0.000000
188;-15.000000;0.000000;0.000000
189;-17.000000;0.000000;0.000000
190;-18.000000;0.000000;0.000000
191;-19.000000;0.000000;0.000000
192;-20.000000;0.000000;0.000000
193;-22.000000;0.000000;0.000000
194;-24.000000;0.000000;0.000000
195;-25.000000;0.000000;0.000000
196;-25.000000;0.000000;0.000000
197;-26.000000;0.000000;0.000000
198;-26.000000;0.000000;0.000000
199;-23.000000;0.000000;0.000000
200;-23.000000;0.000000;0.000000
201;-22.000000;0.000000;0.000000
202;-17.000000;0.000000;0.000000
203;-17.000000;0.000000;0.000000
204;-17.000000;0.000000;0.000000
205;-17.000000;0.000000;0.000000
206;-17.000000;0.000000;0.000000
207;-20.000000;0.000000;0.000000
208;-22.000000;0.000000;0.000000
209;-25.000000;0.000000;0.000000
210;-30.000000;0.000000;0.000000
211;-31.000000;0.000000;0.000000
212;-32.000000;0.000000;0.000000
213;-32.000000;0.000000;0.000000
214;-31.000000;0.000000;0.000000
215;-32.000000;0.000000;0.000000
216;-32.000000;0.000000;0.000000
217;-31.000000;0.000000;0.000000
218;-32.000000;0.000000;0.000000
219;-33.000000;0.000000;0.000000
220;-32.000000;0.000000;0.000000
221;-33.000000;1.000000;0.000000
222;-26.000000;1.000000;0.000000
223;-18.000000;1.000000;0.000000
224;-14.000000;1.000000;0.000000
225;-7.000000;0.000000;0.000000
226;-9.000000;0.000000;0.000000
227;-9.000000;0.000000;0.000000
228;-10.000000;0.000000;0.000000
229;-14.000000;0.000000;0.000000
230;-19.000000;0.000000;0.000000
231;-22.000000;0.000000;0.000000
232;-20.000000;0.000000;0.000000
233;-23.000000;0.000000;0.000000
234;-23.000000;0.000000;0.000000
235;-21.000000;0.000000;0.000000
236;-22.000000;0.000000;0.000000
237;-22.000000;0.000000;0.000000
238;-17.000000;0.000000;0.000000
239;-16.000000;0.000000;0.000000
240;-16.000000;0.000000;0.000000
241;-13.000000;0.000000;0.000000
242;-14.000000;0.000000;0.000000
243;-15.000000;0.000000;0.000000
244;-15.000000;0.000000;0.000000
245;-17.000000;0.000000;0.000000
246;-20.000000;0.000000;0.000000
247;-20.000000;0.000000;0.000000
248;-23.000000;0.000000;0.000000
249;-24.000000;0.000000;0.000000
250;-23.000000;0.000000;0.000000
251;-24.000000;0.000000;0.000000
252;-22.000000;0.000000;0.000000
253;-18.000000;0.000000;0.000000
254;-17.000000;0.000000;0.000000
255;-15.000000;0.000000;0.000000
256;-11.000000;0.000000;0.000000
257;-10.000000;0.000000;0.000000
258;-10.000000;0.000000;0.000000
259;-10.000000;0.000000;0.000000
260;-11.000000;0.000000;0.000000
261;-11.000000;0.000000;0.000000
262;-11.000000;0.000000;0.000000
263;-12.000000;0.000000;0.000000
264;-12.000000;0.000000;0.000000
265;-12.000000;0.000000;0.000000
266;-14.000000;0.000000;0.000000
267;-10.000000;0.000000;0.000000
268;-8.000000;0.000000;0.000000
269;-9.000000;0.000000;0.000000
270;-6.000000;0.000000;0.000000
271;-3.000000;0.000000;0.000000
272;-3.000000;0.000000;0.000000
273;-2.000000;0.000000;0.000000
274;-1.000000;0.000000;0.000000
275;-2.000000;0.000000;0.000000
276;-2.000000;0.000000;0.000000
277;1.000000;0.000000;0.000000
278;1.000000;0.000000;0.000000
279;2.000000;0.000000;0.000000
280;2.000000;0.000000;0.000000
