takt;q1;q2;q2p
0;428.000000;-17.000000;0.000000
1;757.000000;-25.000000;0.000000
2;910.000000;-33.000000;0.000000
3;974.000000;-37.000000;0.000000
4;905.000000;-36.000000;0.000000
5;721.000000;-28.000000;0.000000
6;571.000000;-24.000000;0.000000
7;389.000000;-17.000000;0.000000
8;157.000000;-7.000000;0.000000
9;-1.000000;-1.000000;0.000000
10;-75.000000;1.000000;0.000000
11;-145.000000;5.000000;0.000000
12;-184.000000;7.000000;0.000000
13;-163.000000;6.000000;0.000000
14;-176.000000;6.000000;0.000000
15;-199.000000;7.000000;0.000000
16;-163.000000;7.000000;0.000000
17;-138.000000;6.000000;0.000000
18;-136.000000;6.000000;0.000000
19;-109.000000;5.000000;0.000000
20;-75.000000;3.000000;0.000000
21;-74.000000;3.000000;0.000000
22;-50.000000;2.000000;0.000000
23;-2.000000;0.000000;0.000000
24;17.000000;0.000000;0.000000
25;28.000000;0.000000;0.000000
26;53.000000;-2.000000;0.000000
27;63.000000;-2.000000;0.000000
28;49.000000;-2.000000;0.000000
29;53.000000;-2.000000;0.000000
30;49.000000;-2.000000;0.000000
31;14.000000;-1.000000;0.000000
32;-8.000000;0.000000;0.000000
33;-17.000000;0.000000;0.000000
34;-40.000000;1.000000;0.000000
35;-56.000000;2.000000;0.000000
36;-45.000000;2.000000;0.000000
37;-40.000000;2.000000;0.000000
38;-36.000000;2.000000;0.000000
39;-14.000000;1.000000;0.000000
40;10.000000;0.000000;0.000000
41;18.000000;0.000000;0.000000
42;35.000000;-1.000000;0.000000
43;54.000000;-2.000000;0.000000
44;52.000000;-2.000000;0.000000
45;48.000000;-2.000000;0.000000
46;56.000000;-2.000000;0.000000
47;55.000000;-2.000000;0.000000
48;42.000000;-2.000000;0.000000
49;41.000000;-2.000000;0.000000
50;38.000000;-2.000000;0.000000
51;18.000000;-1.000000;0.000000
52;18.000000;-1.000000;0.000000
53;25.000000;-1.000000;0.000000
54;15.000000;-1.000000;0.000000
55;10.000000;-1.000000;0.000000
56;20.000000;-1.000000;0.000000
57;24.000000;-1.000000;0.000000
58;27.000000;-1.000000;0.000000
59;47.000000;-1.000000;0.000000
60;58.000000;-2.000000;0.000000
61;60.000000;-2.000000;0.000000
62;69.000000;-2.000000;0.000000
63;76.000000;-3.000000;0.000000
64;71.000000;-3.000000;0.000000
65;64.000000;-3.000000;0.000000
66;58.000000;-3.000000;0.000000
67;42.000000;-2.000000;0.000000
68;31.000000;-2.000000;0.000000
69;25.000000;-2.000000;0.000000
70;22.000000;-2.000000;0.000000
71;20.000000;-1.000000;0.000000
72;28.000000;-1.000000;0.000000
73;41.000000;-1.000000;0.000000
74;50.000000;-2.000000;0.000000
75;56.000000;-2.000000;0.000000
76;63.000000;-2.000000;0.000000
77;68.000000;-2.000000;0.000000
78;69.000000;-2.000000;0.000000
79;71.000000;-2.000000;0.000000
80;67.000000;-3.000000;0.000000
81;53.000000;-3.000000;0.000000
82;47.000000;-2.000000;0.000000
83;43.000000;-2.000000;0.000000
84;34.000000;-2.000000;0.000000
85;30.000000;-2.000000;0.000000
86;34.000000;-2.000000;0.000000
87;33.000000;-2.000000;0.000000
88;38.000000;-2.000000;0.000000
89;55.000000;-2.000000;0.000000
90;63.000000;-2.000000;0.000000
91;66.000000;-2.000000;0.000000
92;75.000000;-3.000000;0.000000
93;76.000000;-3.000000;0.000000
94;69.000000;-3.000000;0.000000
95;67.000000;-3.000000;0.000000
96;64.000000;-3.000000;0.000000
97;52.000000;-3.000000;0.000000
98;48.000000;-2.000000;0.000000
99;54.000000;-2.000000;0.000000
100;52.000000;-2.000000;0.000000
101;54.000000;-2.000000;0.000000
102;65.000000;-2.000000;0.000000
103;66.000000;-2.000000;0.000000
104;68.000000;-2.000000;0.000000
105;74.000000;-3.000000;0.000000
106;70.000000;-3.000000;0.000000
107;60.000000;-3.000000;0.000000
108;53.000000;-3.000000;0.000000
109;47.000000;-3.000000;0.000000
110;44.000000;-2.000000;0.000000
111;40.000000;-2.000000;0.000000
112;41.000000;-2.000000;0.000000
113;47.000000;-2.000000;0.000000
114;51.000000;-2.000000;0.000000
115;57.000000;-2.000000;0.000000
116;69.000000;-2.000000;0.000000
117;70.000000;-3.000000;0.000000
118;67.000000;-3.000000;0.000000
119;70.000000;-3.000000;0.000000
120;67.000000;-3.000000;0.000000
121;59.000000;-3.000000;0.000000
122;61.000000;-3.000000;0.000000
123;58.000000;-3.000000;0.000000
124;48.000000;-3.000000;0.000000
125;55.000000;-2.000000;0.000000
126;63.000000;-2.000000;0.000000
127;63.000000;-2.000000;0.000000
128;69.000000;-2.000000;0.000000
129;75.000000;-3.000000;0.000000
130;69.000000;-3.000000;0.000000
131;65.000000;-3.000000;0.000000
132;66.000000;-3.000000;0.000000
133;60.000000;-3.000000;0.000000
134;53.000000;-3.000000;0.000000
135;50.000000;-3.000000;0.000000
136;51.000000;-3.000000;0.000000
137;49.000000;-3.000000;0.000000
138;50.000000;-2.000000;0.000000
139;63.000000;-2.000000;0.000000
140;67.000000;-2.000000;0.000000
