takt;q1;q2;q2p
0;401.000000;-16.000000;0.000000
1;705.000000;-23.000000;0.000000
2;847.000000;-30.000000;0.000000
3;905.000000;-34.000000;0.000000
4;835.000000;-32.000000;0.000000
5;659.000000;-25.000000;0.000000
6;518.000000;-21.000000;0.000000
7;350.000000;-15.000000;0.000000
8;130.000000;-6.000000;0.000000
9;-5.000000;0.000000;0.000000
10;-64.000000;2.000000;0.000000
11;-121.000000;5.000000;0.000000
12;-151.000000;6.000000;0.000000
13;-129.000000;6.000000;0.000000
14;-137.000000;6.000000;0.000000
15;-159.000000;7.000000;0.000000
16;-124.000000;6.000000;0.000000
17;-100.000000;5.000000;0.000000
18;-107.000000;5.000000;0.000000
19;-88.000000;4.000000;0.000000
20;-57.000000;3.000000;0.000000
21;-63.000000;3.000000;0.000000
22;-47.000000;3.000000;0.000000
23;-7.000000;1.000000;0.000000
24;-1.000000;0.000000;0.000000
25;-3.000000;0.000000;0.000000
26;18.000000;0.000000;0.000000
27;21.000000;-1.000000;0.000000
28;-1.000000;0.000000;0.000000
29;5.000000;0.000000;0.000000
30;2.000000;0.000000;0.000000
31;-28.000000;1.000000;0.000000
32;-38.000000;2.000000;0.000000
33;-34.000000;2.000000;0.000000
34;-54.000000;2.000000;0.000000
35;-67.000000;2.000000;0.000000
36;-51.000000;2.000000;0.000000
37;-49.000000;2.000000;0.000000
38;-51.000000;2.000000;0.000000
39;-22.000000;2.000000;0.000000
40;-3.000000;1.000000;0.000000
41;-1.000000;1.000000;0.000000
42;17.000000;0.000000;0.000000
43;34.000000;-1.000000;0.000000
44;22.000000;-1.000000;0.000000
45;14.000000;-1.000000;0.000000
46;15.000000;-1.000000;0.000000
47;-2.000000;0.000000;0.000000
48;-13.000000;0.000000;0.000000
49;-17.000000;0.000000;0.000000
50;-23.000000;1.000000;0.000000
51;-27.000000;1.000000;0.000000
52;-29.000000;1.000000;0.000000
53;-24.000000;1.000000;0.000000
54;-29.000000;1.000000;0.000000
55;-32.000000;1.000000;0.000000
56;-28.000000;1.000000;0.000000
57;-19.000000;1.000000;0.000000
58;-16.000000;1.000000;0.000000
59;-7.000000;1.000000;0.000000
60;5.000000;0.000000;0.000000
61;3.000000;0.000000;0.000000
62;5.000000;0.000000;0.000000
63;11.000000;0.000000;0.000000
64;8.000000;0.000000;0.000000
65;1.000000;0.000000;0.000000
66;-2.000000;0.000000;0.000000
67;-9.000000;0.000000;0.000000
68;-21.000000;1.000000;0.000000
69;-20.000000;1.000000;0.000000
70;-20.000000;1.000000;0.000000
71;-24.000000;1.000000;0.000000
72;-20.000000;1.000000;0.000000
73;-13.000000;1.000000;0.000000
74;-6.000000;1.000000;0.000000
75;0.000000;1.000000;0.000000
76;9.000000;0.000000;0.000000
77;8.000000;0.000000;0.000000
78;5.000000;0.000000;0.000000
79;6.000000;0.000000;0.000000
80;2.000000;0.000000;0.000000
81;-2.000000;0.000000;0.000000
82;-6.000000;0.000000;0.000000
83;-11.000000;0.000000;0.000000
84;-16.000000;0.000000;0.000000
85;-17.000000;0.000000;0.000000
86;-16.000000;0.000000;0.000000
87;-17.000000;0.000000;0.000000
88;-11.000000;1.000000;0.000000
89;-4.000000;1.000000;0.000000
90;2.000000;1.000000;0.000000
91;10.000000;0.000000;0.000000
92;12.000000;0.000000;0.000000
93;14.000000;0.000000;0.000000
94;13.000000;0.000000;0.000000
95;12.000000;0.000000;0.000000
96;10.000000;0.000000;0.000000
97;7.000000;0.000000;0.000000
98;4.000000;0.000000;0.000000
99;3.000000;0.000000;0.000000
100;3.000000;0.000000;0.000000
101;2.000000;0.000000;0.000000
102;4.000000;0.000000;0.000000
103;7.000000;0.000000;0.000000
104;10.000000;0.000000;0.000000
105;12.000000;0.000000;0.000000
106;18.000000;0.000000;0.000000
107;19.000000;0.000000;0.000000
108;20.000000;0.000000;0.000000
109;22.000000;0.000000;0.000000
110;23.000000;0.000000;0.000000
111;22.000000;0.000000;0.000000
112;21.000000;0.000000;0.000000
113;21.000000;0.000000;0.000000
114;21.000000;0.000000;0.000000
115;20.000000;0.000000;0.000000
116;21.000000;0.000000;0.000000
117;23.000000;0.000000;0.000000
118;23.000000;0.000000;0.000000
119;23.000000;0.000000;0.000000
120;26.000000;0.000000;0.000000
121;27.000000;-1.000000;0.000000
122;19.000000;-1.000000;0.000000
123;20.000000;-1.000000;0.000000
124;19.000000;-1.000000;0.000000
125;13.000000;-1.000000;0.000000
126;14.000000;-1.000000;0.000000
127;15.000000;-1.000000;0.000000
128;12.000000;-1.000000;0.000000
129;13.000000;-1.000000;0.000000
130;17.000000;-1.000000;0.000000
131;16.000000;-1.000000;0.000000
132;14.000000;-1.000000;0.000000
133;14.000000;-1.000000;0.000000
134;14.000000;-1.000000;0.000000
135;12.000000;-1.000000;0.000000
136;13.000000;-1.000000;0.000000
137;15.000000;-1.000000;0.000000
138;14.000000;-1.000000;0.000000
139;14.000000;-1.000000;0.000000
140;19.000000;-1.000000;0.000000
141;21.000000;-1.000000;0.000000
142;20.000000;-1.000000;0.000000
143;25.000000;-1.000000;0.000000
144;26.000000;-1.000000;0.000000
145;24.000000;-1.000000;0.000000
146;26.000000;-1.000000;0.000000
147;27.000000;-1.000000;0.000000
148;24.000000;-1.000000;0.000000
149;23.000000;-1.000000;0.000000
150;26.000000;-1.000000;0.000000
151;25.000000;-1.000000;0.000000
152;25.000000;-1.000000;0.000000
153;27.000000;-1.000000;0.000000
154;27.000000;-1.000000;0.000000
155;27.000000;-1.000000;0.000000
156;27.000000;-1.000000;0.000000
157;28.000000;-1.000000;0.000000
158;27.000000;-1.000000;0.000000
159;26.000000;-1.000000;0.000000
160;26.000000;-1.000000;0.000000
161;25.000000;-1.000000;0.000000
162;26.000000;-1.000000;0.000000
163;26.000000;-1.000000;0.000000
164;25.000000;-1.000000;0.000000
165;24.000000;-1.000000;0.000000
166;24.000000;-1.000000;0.000000
167;25.000000;-1.000000;0.000000
168;26.000000;-1.000000;0.000000
169;27.000000;-1.000000;0.000000
170;29.000000;-1.000000;0.000000
171;30.000000;-1.000000;0.000000
172;32.000000;-1.000000;0.000000
173;35.000000;-1.000000;0.000000
174;37.000000;-1.000000;0.000000
175;38.000000;-1.000000;0.000000
176;40.000000;-1.000000;0.000000
177;40.000000;-1.000000;0.000000
178;40.000000;-1.000000;0.000000
179;43.000000;-1.000000;0.000000
180;44.000000;-1.000000;0.000000
181;44.000000;-1.000000;0.000000
182;46.000000;-1.000000;0.000000
183;48.000000;-1.000000;0.000000
184;48.000000;-1.000000;0.000000
185;51.000000;-1.000000;0.000000
186;51.000000;-1.000000;0.000000
187;50.000000;-1.000000;0.000000
188;53.000000;-2.000000;0.000000
189;48.000000;-2.000000;0.000000
190;43.000000;-2.000000;0.000000
191;42.000000;-2.000000;0.000000
192;35.000000;-2.000000;0.000000
193;33.000000;-2.000000;0.000000
194;34.000000;-2.000000;0.000000
195;33.000000;-2.000000;0.000000
196;30.000000;-2.000000;0.000000
197;35.000000;-2.000000;0.000000
198;37.000000;-2.000000;0.000000
199;32.000000;-2.000000;0.000000
200;37.000000;-2.000000;0.000000
201;38.000000;-2.000000;0.000000
202;34.000000;-2.000000;0.000000
203;35.000000;-2.000000;0.000000
204;35.000000;-2.000000;0.000000
205;29.000000;-2.000000;0.000000
206;34.000000;-1.000000;0.000000
207;41.000000;-1.000000;0.000000
208;40.000000;-1.000000;0.000000
209;41.000000;-1.000000;0.000000
210;46.000000;-1.000000;0.000000
211;45.000000;-1.000000;0.000000
212;46.000000;-1.000000;0.000000
213;50.000000;-1.000000;0.000000
214;49.000000;-1.000000;0.000000
215;48.000000;-1.000000;0.000000
216;51.000000;-1.000000;0.000000
217;52.000000;-2.000000;0.000000
218;47.000000;-2.000000;0.000000
219;43.000000;-2.000000;0.000000
220;42.000000;-2.000000;0.000000
