takt;q1;q2;q2p
0;406.000000;-17.000000;0.000000
1;707.000000;-24.000000;0.000000
2;838.000000;-30.000000;0.000000
3;885.000000;-34.000000;0.000000
4;794.000000;-32.000000;0.000000
5;604.000000;-24.000000;0.000000
6;463.000000;-20.000000;0.000000
7;298.000000;-14.000000;0.000000
8;94.000000;-5.000000;0.000000
9;-27.000000;0.000000;0.000000
10;-61.000000;1.000000;0.000000
11;-95.000000;3.000000;0.000000
12;-109.000000;4.000000;0.000000
13;-83.000000;4.000000;0.000000
14;-97.000000;3.000000;0.000000
15;-118.000000;4.000000;0.000000
16;-91.000000;4.000000;0.000000
17;-79.000000;4.000000;0.000000
18;-85.000000;4.000000;0.000000
19;-73.000000;4.000000;0.000000
20;-60.000000;3.000000;0.000000
21;-58.000000;3.000000;0.000000
22;-45.000000;2.000000;0.000000
23;-24.000000;1.000000;0.000000
24;-17.000000;1.000000;0.000000
25;-10.000000;1.000000;0.000000
26;-2.000000;0.000000;0.000000
27;2.000000;0.000000;0.000000
28;-1.000000;0.000000;0.000000
29;-5.000000;0.000000;0.000000
30;-6.000000;0.000000;0.000000
31;-13.000000;0.000000;0.000000
32;-24.000000;0.000000;0.000000
33;-25.000000;1.000000;0.000000
34;-29.000000;1.000000;0.000000
35;-31.000000;1.000000;0.000000
36;-26.000000;1.000000;0.000000
37;-27.000000;1.000000;0.000000
38;-25.000000;1.000000;0.000000
39;-21.000000;1.000000;0.000000
40;-17.000000;1.000000;0.000000
41;-16.000000;1.000000;0.000000
42;-16.000000;1.000000;0.000000
43;-16.000000;1.000000;0.000000
44;-18.000000;1.000000;0.000000
45;-16.000000;1.000000;0.000000
46;-16.000000;1.000000;0.000000
47;-17.000000;1.000000;0.000000
48;-17.000000;1.000000;0.000000
49;-18.000000;1.000000;0.000000
50;-18.000000;1.000000;0.000000
51;-18.000000;1.000000;0.000000
52;-19.000000;1.000000;0.000000
53;-20.000000;1.000000;0.000000
54;-19.000000;1.000000;0.000000
55;-18.000000;1.000000;0.000000
56;-18.000000;1.000000;0.000000
57;-17.000000;1.000000;0.000000
58;-17.000000;1.000000;0.000000
59;-17.000000;1.000000;0.000000
60;-16.000000;1.000000;0.000000
61;-14.000000;1.000000;0.000000
62;-15.000000;1.000000;0.000000
63;-14.000000;1.000000;0.000000
64;-14.000000;1.000000;0.000000
65;-16.000000;1.000000;0.000000
66;-16.000000;1.000000;0.000000
67;-18.000000;1.000000;0.000000
68;-18.000000;1.000000;0.000000
69;-17.000000;1.000000;0.000000
70;-16.000000;1.000000;0.000000
71;-15.000000;1.000000;0.000000
72;-16.000000;1.000000;0.000000
73;-15.000000;1.000000;0.000000
74;-16.000000;1.000000;0.000000
75;-17.000000;1.000000;0.000000
76;-16.000000;1.000000;0.000000
77;-16.000000;1.000000;0.000000
78;-17.000000;1.000000;0.000000
79;-16.000000;1.000000;0.000000
80;-17.000000;1.000000;0.000000
81;-17.000000;1.000000;0.000000
82;-16.000000;1.000000;0.000000
83;-15.000000;1.000000;0.000000
84;-15.000000;1.000000;0.000000
85;-14.000000;1.000000;0.000000
86;-14.000000;1.000000;0.000000
87;-14.000000;1.000000;0.000000
88;-14.000000;1.000000;0.000000
89;-13.000000;1.000000;0.000000
90;-16.000000;1.000000;0.000000
91;-15.000000;1.000000;0.000000
92;-15.000000;1.000000;0.000000
93;-16.000000;1.000000;0.000000
94;-14.000000;1.000000;0.000000
95;-15.000000;1.000000;0.000000
96;-16.000000;1.000000;0.000000
97;-14.000000;1.000000;0.000000
98;-18.000000;1.000000;0.000000
99;-17.000000;1.000000;0.000000
100;-17.000000;1.000000;0.000000
101;-18.000000;1.000000;0.000000
102;-15.000000;1.000000;0.000000
103;-15.000000;1.000000;0.000000
104;-15.000000;1.000000;0.000000
105;-14.000000;1.000000;0.000000
106;-14.000000;1.000000;0.000000
107;-14.000000;1.000000;0.000000
108;-15.000000;1.000000;0.000000
109;-14.000000;1.000000;0.000000
110;-15.000000;1.000000;0.000000
111;-14.000000;1.000000;0.000000
112;-14.000000;1.000000;0.000000
113;-17.000000;1.000000;0.000000
114;-15.000000;1.000000;0.000000
115;-15.000000;1.000000;0.000000
116;-15.000000;1.000000;0.000000
117;-14.000000;1.000000;0.000000
118;-14.000000;1.000000;0.000000
119;-14.000000;1.000000;0.000000
120;-14.000000;1.000000;0.000000
121;-14.000000;1.000000;0.000000
122;-13.000000;1.000000;0.000000
123;-14.000000;1.000000;0.000000
124;-14.000000;1.000000;0.000000
125;-14.000000;1.000000;0.000000
126;-14.000000;1.000000;0.000000
127;-14.000000;1.000000;0.000000
128;-14.000000;1.000000;0.000000
129;-14.000000;1.000000;0.000000
130;-14.000000;1.000000;0.000000
131;-14.000000;1.000000;0.000000
132;-14.000000;1.000000;0.000000
133;-14.000000;1.000000;0.000000
134;-14.000000;1.000000;0.000000
135;-13.000000;1.000000;0.000000
136;-13.000000;1.000000;0.000000
137;-13.000000;1.000000;0.000000
138;-14.000000;1.000000;0.000000
139;-13.000000;1.000000;0.000000
140;-13.000000;1.000000;0.000000
141;-12.000000;1.000000;0.000000
142;-13.000000;1.000000;0.000000
143;-13.000000;1.000000;0.000000
144;-13.000000;1.000000;0.000000
145;-13.000000;1.000000;0.000000
146;-13.000000;1.000000;0.000000
147;-12.000000;1.000000;0.000000
148;-11.000000;1.000000;0.000000
149;-12.000000;1.000000;0.000000
150;-12.000000;1.000000;0.000000
151;-11.000000;1.000000;0.000000
152;-11.000000;1.000000;0.000000
153;-11.000000;1.000000;0.000000
154;-11.000000;1.000000;0.000000
155;-11.000000;1.000000;0.000000
156;-10.000000;1.000000;0.000000
157;-10.000000;1.000000;0.000000
158;-10.000000;1.000000;0.000000
159;-12.000000;1.000000;0.000000
160;-10.000000;1.000000;0.000000
161;-10.000000;1.000000;0.000000
162;-11.000000;1.000000;0.000000
163;-9.000000;1.000000;0.000000
164;-11.000000;1.000000;0.000000
165;-10.000000;1.000000;0.000000
166;-9.000000;1.000000;0.000000
167;-10.000000;1.000000;0.000000
168;-8.000000;1.000000;0.000000
169;-7.000000;1.000000;0.000000
170;-7.000000;1.000000;0.000000
171;-7.000000;1.000000;0.000000
172;-6.000000;0.000000;0.000000
173;-12.000000;0.000000;0.000000
174;-12.000000;0.000000;0.000000
175;-11.000000;0.000000;0.000000
176;-13.000000;0.000000;0.000000
177;-8.000000;0.000000;0.000000
178;-7.000000;0.000000;0.000000
179;-7.000000;0.000000;0.000000
180;-6.000000;0.000000;0.000000
181;-5.000000;0.000000;0.000000
182;-5.000000;0.000000;0.000000
183;-6.000000;0.000000;0.000000
184;-5.000000;0.000000;0.000000
185;-4.000000;0.000000;0.000000
186;-3.000000;0.000000;0.000000
187;-3.000000;0.000000;0.000000
188;-4.000000;0.000000;0.000000
189;-4.000000;0.000000;0.000000
190;-4.000000;0.000000;0.000000
191;-4.000000;0.000000;0.000000
192;-3.000000;0.000000;0.000000
193;-4.000000;0.000000;0.000000
194;-3.000000;0.000000;0.000000
195;-3.000000;0.000000;0.000000
196;-4.000000;0.000000;0.000000
197;-2.000000;0.000000;0.000000
198;-3.000000;0.000000;0.000000
199;-2.000000;0.000000;0.000000
200;-3.000000;0.000000;0.000000
201;-3.000000;0.000000;0.000000
202;-1.000000;0.000000;0.000000
203;-2.000000;0.000000;0.000000
204;-1.000000;0.000000;0.000000
205;-2.000000;0.000000;0.000000
206;-1.000000;0.000000;0.000000
207;-1.000000;0.000000;0.000000
208;-1.000000;0.000000;0.000000
209;-1.000000;0.000000;0.000000
210;-1.000000;0.000000;0.000000
211;1.000000;0.000000;0.000000
212;0.000000;0.000000;0.000000
213;0.000000;0.000000;0.000000
214;1.000000;0.000000;0.000000
215;1.000000;0.000000;0.000000
216;2.000000;0.000000;0.000000
217;2.000000;0.000000;0.000000
218;2.000000;0.000000;0.000000
219;2.000000;0.000000;0.000000
220;3.000000;0.000000;0.000000
221;3.000000;0.000000;0.000000
222;2.000000;0.000000;0.000000
223;3.000000;0.000000;0.000000
224;2.000000;0.000000;0.000000
225;3.000000;0.000000;0.000000
226;3.000000;0.000000;0.000000
227;3.000000;0.000000;0.000000
228;3.000000;0.000000;0.000000
229;4.000000;0.000000;0.000000
230;4.000000;0.000000;0.000000
231;4.000000;0.000000;0.000000
232;4.000000;0.000000;0.000000
233;5.000000;0.000000;0.000000
234;5.000000;0.000000;0.000000
235;6.000000;0.000000;0.000000
236;6.000000;0.000000;0.000000
237;6.000000;0.000000;0.000000
238;6.000000;0.000000;0.000000
239;6.000000;0.000000;0.000000
240;7.000000;0.000000;0.000000
241;7.000000;0.000000;0.000000
242;6.000000;0.000000;0.000000
243;7.000000;0.000000;0.000000
244;8.000000;0.000000;0.000000
245;8.000000;0.000000;0.000000
246;8.000000;0.000000;0.000000
247;8.000000;0.000000;0.000000
248;9.000000;0.000000;0.000000
249;8.000000;0.000000;0.000000
250;9.000000;0.000000;0.000000
251;10.000000;0.000000;0.000000
252;9.000000;0.000000;0.000000
253;10.000000;0.000000;0.000000
254;10.000000;0.000000;0.000000
255;10.000000;0.000000;0.000000
256;11.000000;0.000000;0.000000
257;10.000000;0.000000;0.000000
258;11.000000;0.000000;0.000000
259;11.000000;0.000000;0.000000
260;11.000000;0.000000;0.000000
261;11.000000;0.000000;0.000000
262;11.000000;0.000000;0.000000
263;12.000000;0.000000;0.000000
264;12.000000;0.000000;0.000000
265;13.000000;0.000000;0.000000
266;14.000000;0.000000;0.000000
267;14.000000;0.000000;0.000000
268;16.000000;0.000000;0.000000
