takt;q1;q2;q2p
0;389.000000;-16.000000;0.000000
1;714.000000;-26.000000;0.000000
2;931.000000;-35.000000;0.000000
3;1067.000000;-42.000000;0.000000
4;1073.000000;-42.000000;0.000000
5;952.000000;-38.000000;0.000000
6;798.000000;-32.000000;0.000000
7;573.000000;-24.000000;0.000000
8;279.000000;-12.000000;0.000000
9;5.000000;0.000000;0.000000
10;-231.000000;8.000000;0.000000
11;-444.000000;17.000000;0.000000
12;-602.000000;23.000000;0.000000
13;-691.000000;27.000000;0.000000
14;-734.000000;28.000000;0.000000
15;-729.000000;29.000000;0.000000
16;-662.000000;27.000000;0.000000
17;-567.000000;23.000000;0.000000
18;-450.000000;18.000000;0.000000
19;-320.000000;13.000000;0.000000
20;-188.000000;8.000000;0.000000
21;-71.000000;3.000000;0.000000
22;30.000000;-1.000000;0.000000
23;127.000000;-5.000000;0.000000
24;201.000000;-8.000000;0.000000
25;245.000000;-10.000000;0.000000
26;276.000000;-11.000000;0.000000
27;289.000000;-12.000000;0.000000
28;266.000000;-11.000000;0.000000
29;231.000000;-10.000000;0.000000
30;193.000000;-8.000000;0.000000
31;132.000000;-6.000000;0.000000
32;73.000000;-4.000000;0.000000
33;12.000000;-1.000000;0.000000
34;-46.000000;1.000000;0.000000
35;-97.000000;3.000000;0.000000
36;-136.000000;5.000000;0.000000
37;-163.000000;6.000000;0.000000
38;-174.000000;6.000000;0.000000
39;-171.000000;6.000000;0.000000
40;-148.000000;6.000000;0.000000
41;-112.000000;5.000000;0.000000
42;-80.000000;4.000000;0.000000
43;-37.000000;2.000000;0.000000
44;1.000000;0.000000;0.000000
45;29.000000;-1.000000;0.000000
46;58.000000;-2.000000;0.000000
47;80.000000;-3.000000;0.000000
48;87.000000;-3.000000;0.000000
49;84.000000;-4.000000;0.000000
50;75.000000;-4.000000;0.000000
51;62.000000;-3.000000;0.000000
52;45.000000;-3.000000;0.000000
53;30.000000;-2.000000;0.000000
54;20.000000;-2.000000;0.000000
55;10.000000;-1.000000;0.000000
56;3.000000;-1.000000;0.000000
57;3.000000;-1.000000;0.000000
58;4.000000;-1.000000;0.000000
59;6.000000;-1.000000;0.000000
60;10.000000;-1.000000;0.000000
