takt;q1;q2;q2p
0;397.000000;-16.000000;0.000000
1;724.000000;-26.000000;0.000000
2;917.000000;-34.000000;0.000000
3;1022.000000;-39.000000;0.000000
4;1009.000000;-39.000000;0.000000
5;865.000000;-33.000000;0.000000
6;692.000000;-28.000000;0.000000
7;477.000000;-20.000000;0.000000
8;196.000000;-9.000000;0.000000
9;-48.000000;2.000000;0.000000
10;-227.000000;9.000000;0.000000
11;-381.000000;14.000000;0.000000
12;-488.000000;19.000000;0.000000
13;-516.000000;20.000000;0.000000
14;-518.000000;20.000000;0.000000
15;-503.000000;20.000000;0.000000
16;-426.000000;18.000000;0.000000
17;-336.000000;14.000000;0.000000
18;-254.000000;11.000000;0.000000
19;-172.000000;8.000000;0.000000
20;-88.000000;4.000000;0.000000
21;-25.000000;2.000000;0.000000
22;26.000000;-1.000000;0.000000
23;84.000000;-3.000000;0.000000
24;119.000000;-4.000000;0.000000
25;135.000000;-5.000000;0.000000
26;149.000000;-6.000000;0.000000
27;154.000000;-6.000000;0.000000
28;139.000000;-6.000000;0.000000
29;116.000000;-5.000000;0.000000
30;92.000000;-4.000000;0.000000
31;55.000000;-2.000000;0.000000
32;18.000000;-1.000000;0.000000
33;-8.000000;0.000000;0.000000
34;-32.000000;1.000000;0.000000
35;-58.000000;2.000000;0.000000
36;-67.000000;2.000000;0.000000
37;-68.000000;2.000000;0.000000
38;-67.000000;2.000000;0.000000
39;-50.000000;2.000000;0.000000
40;-27.000000;2.000000;0.000000
41;-9.000000;1.000000;0.000000
42;12.000000;0.000000;0.000000
43;38.000000;-1.000000;0.000000
44;57.000000;-2.000000;0.000000
45;67.000000;-2.000000;0.000000
46;78.000000;-3.000000;0.000000
47;76.000000;-3.000000;0.000000
48;63.000000;-3.000000;0.000000
49;52.000000;-2.000000;0.000000
50;41.000000;-2.000000;0.000000
51;25.000000;-2.000000;0.000000
52;13.000000;-1.000000;0.000000
53;8.000000;-1.000000;0.000000
54;0.000000;-1.000000;0.000000
55;2.000000;0.000000;0.000000
56;12.000000;0.000000;0.000000
57;21.000000;0.000000;0.000000
58;30.000000;-1.000000;0.000000
59;41.000000;-1.000000;0.000000
60;53.000000;-2.000000;0.000000
61;54.000000;-2.000000;0.000000
62;61.000000;-2.000000;0.000000
63;69.000000;-2.000000;0.000000
64;66.000000;-2.000000;0.000000
65;64.000000;-2.000000;0.000000
66;67.000000;-2.000000;0.000000
67;62.000000;-2.000000;0.000000
68;50.000000;-2.000000;0.000000
69;48.000000;-2.000000;0.000000
70;42.000000;-2.000000;0.000000
71;31.000000;-2.000000;0.000000
72;30.000000;-2.000000;0.000000
73;35.000000;-2.000000;0.000000
74;34.000000;-2.000000;0.000000
75;39.000000;-2.000000;0.000000
76;54.000000;-2.000000;0.000000
77;63.000000;-2.000000;0.000000
78;66.000000;-2.000000;0.000000
79;78.000000;-3.000000;0.000000
80;75.000000;-3.000000;0.000000
81;67.000000;-3.000000;0.000000
82;63.000000;-3.000000;0.000000
83;55.000000;-3.000000;0.000000
84;44.000000;-2.000000;0.000000
85;41.000000;-2.000000;0.000000
86;41.000000;-2.000000;0.000000
87;40.000000;-2.000000;0.000000
88;48.000000;-2.000000;0.000000
89;55.000000;-2.000000;0.000000
90;59.000000;-2.000000;0.000000
91;67.000000;-2.000000;0.000000
92;72.000000;-2.000000;0.000000
93;72.000000;-2.000000;0.000000
94;71.000000;-2.000000;0.000000
95;71.000000;-2.000000;0.000000
96;69.000000;-2.000000;0.000000
97;68.000000;-2.000000;0.000000
98;68.000000;-2.000000;0.000000
99;68.000000;-2.000000;0.000000
100;69.000000;-2.000000;0.000000
101;68.000000;-2.000000;0.000000
102;71.000000;-2.000000;0.000000
103;72.000000;-3.000000;0.000000
104;64.000000;-3.000000;0.000000
105;63.000000;-3.000000;0.000000
106;62.000000;-3.000000;0.000000
107;57.000000;-3.000000;0.000000
108;58.000000;-3.000000;0.000000
109;59.000000;-3.000000;0.000000
110;49.000000;-2.000000;0.000000
111;53.000000;-2.000000;0.000000
112;59.000000;-2.000000;0.000000
113;55.000000;-2.000000;0.000000
114;58.000000;-2.000000;0.000000
115;63.000000;-2.000000;0.000000
116;60.000000;-2.000000;0.000000
117;64.000000;-2.000000;0.000000
118;74.000000;-2.000000;0.000000
119;70.000000;-3.000000;0.000000
120;63.000000;-3.000000;0.000000
121;65.000000;-3.000000;0.000000
122;59.000000;-3.000000;0.000000
123;51.000000;-3.000000;0.000000
124;53.000000;-3.000000;0.000000
125;50.000000;-3.000000;0.000000
126;45.000000;-2.000000;0.000000
127;52.000000;-2.000000;0.000000
128;58.000000;-2.000000;0.000000
129;59.000000;-2.000000;0.000000
130;61.000000;-2.000000;0.000000
131;60.000000;-2.000000;0.000000
132;59.000000;-2.000000;0.000000
133;58.000000;-2.000000;0.000000
134;60.000000;-2.000000;0.000000
135;64.000000;-2.000000;0.000000
136;63.000000;-2.000000;0.000000
137;65.000000;-2.000000;0.000000
138;73.000000;-2.000000;0.000000
139;72.000000;-3.000000;0.000000
140;68.000000;-3.000000;0.000000
141;71.000000;-3.000000;0.000000
142;63.000000;-3.000000;0.000000
143;53.000000;-3.000000;0.000000
144;56.000000;-3.000000;0.000000
145;49.000000;-2.000000;0.000000
146;44.000000;-2.000000;0.000000
147;51.000000;-2.000000;0.000000
148;53.000000;-2.000000;0.000000
149;54.000000;-2.000000;0.000000
150;61.000000;-2.000000;0.000000
151;65.000000;-2.000000;0.000000
152;63.000000;-2.000000;0.000000
153;68.000000;-2.000000;0.000000
154;71.000000;-2.000000;0.000000
155;67.000000;-2.000000;0.000000
156;70.000000;-2.000000;0.000000
157;70.000000;-3.000000;0.000000
158;59.000000;-3.000000;0.000000
159;52.000000;-3.000000;0.000000
160;48.000000;-2.000000;0.000000
161;44.000000;-2.000000;0.000000
162;47.000000;-2.000000;0.000000
163;51.000000;-2.000000;0.000000
164;53.000000;-2.000000;0.000000
165;57.000000;-2.000000;0.000000
166;61.000000;-2.000000;0.000000
167;65.000000;-2.000000;0.000000
168;65.000000;-2.000000;0.000000
169;64.000000;-2.000000;0.000000
170;65.000000;-2.000000;0.000000
171;67.000000;-2.000000;0.000000
172;68.000000;-2.000000;0.000000
173;68.000000;-2.000000;0.000000
174;67.000000;-2.000000;0.000000
175;64.000000;-2.000000;0.000000
176;66.000000;-2.000000;0.000000
177;67.000000;-2.000000;0.000000
178;65.000000;-2.000000;0.000000
179;65.000000;-2.000000;0.000000
180;65.000000;-2.000000;0.000000
181;63.000000;-2.000000;0.000000
182;65.000000;-2.000000;0.000000
183;66.000000;-2.000000;0.000000
184;63.000000;-2.000000;0.000000
185;66.000000;-2.000000;0.000000
186;70.000000;-2.000000;0.000000
187;69.000000;-2.000000;0.000000
188;72.000000;-3.000000;0.000000
189;68.000000;-3.000000;0.000000
190;61.000000;-3.000000;0.000000
191;59.000000;-3.000000;0.000000
192;54.000000;-3.000000;0.000000
193;48.000000;-2.000000;0.000000
194;52.000000;-2.000000;0.000000
195;55.000000;-2.000000;0.000000
196;54.000000;-2.000000;0.000000
197;62.000000;-2.000000;0.000000
198;68.000000;-2.000000;0.000000
199;65.000000;-2.000000;0.000000
200;65.000000;-2.000000;0.000000
201;69.000000;-2.000000;0.000000
202;65.000000;-2.000000;0.000000
203;64.000000;-2.000000;0.000000
204;74.000000;-3.000000;0.000000
205;69.000000;-3.000000;0.000000
206;63.000000;-3.000000;0.000000
207;66.000000;-3.000000;0.000000
208;59.000000;-3.000000;0.000000
209;49.000000;-2.000000;0.000000
210;56.000000;-2.000000;0.000000
211;56.000000;-2.000000;0.000000
212;49.000000;-2.000000;0.000000
213;59.000000;-2.000000;0.000000
214;62.000000;-2.000000;0.000000
215;58.000000;-2.000000;0.000000
216;64.000000;-2.000000;0.000000
217;66.000000;-2.000000;0.000000
218;59.000000;-2.000000;0.000000
219;62.000000;-2.000000;0.000000
220;69.000000;-2.000000;0.000000
221;65.000000;-2.000000;0.000000
222;69.000000;-2.000000;0.000000
223;71.000000;-3.000000;0.000000
224;62.000000;-3.000000;0.000000
225;59.000000;-3.000000;0.000000
226;56.000000;-3.000000;0.000000
227;49.000000;-2.000000;0.000000
228;53.000000;-2.000000;0.000000
229;57.000000;-2.000000;0.000000
230;55.000000;-2.000000;0.000000
231;64.000000;-2.000000;0.000000
232;70.000000;-2.000000;0.000000
233;64.000000;-3.000000;0.000000
234;63.000000;-3.000000;0.000000
235;61.000000;-3.000000;0.000000
236;52.000000;-3.000000;0.000000
237;50.000000;-2.000000;0.000000
238;58.000000;-2.000000;0.000000
239;60.000000;-2.000000;0.000000
240;63.000000;-2.000000;0.000000
241;74.000000;-2.000000;0.000000
242;75.000000;-3.000000;0.000000
243;74.000000;-3.000000;0.000000
244;72.000000;-3.000000;0.000000
245;68.000000;-3.000000;0.000000
246;59.000000;-3.000000;0.000000
247;49.000000;-3.000000;0.000000
248;52.000000;-2.000000;0.000000
249;52.000000;-2.000000;0.000000
250;48.000000;-2.000000;0.000000
251;54.000000;-2.000000;0.000000
252;60.000000;-2.000000;0.000000
253;55.000000;-2.000000;0.000000
254;61.000000;-2.000000;0.000000
255;71.000000;-2.000000;0.000000
256;66.000000;-2.000000;0.000000
257;69.000000;-2.000000;0.000000
258;73.000000;-2.000000;0.000000
259;65.000000;-3.000000;0.000000
260;57.000000;-3.000000;0.000000
261;55.000000;-3.000000;0.000000
262;47.000000;-2.000000;0.000000
263;45.000000;-2.000000;0.000000
264;50.000000;-2.000000;0.000000
265;50.000000;-2.000000;0.000000
266;51.000000;-2.000000;0.000000
267;56.000000;-2.000000;0.000000
268;58.000000;-2.000000;0.000000
269;58.000000;-2.000000;0.000000
270;59.000000;-2.000000;0.000000
271;58.000000;-2.000000;0.000000
272;58.000000;-2.000000;0.000000
273;59.000000;-2.000000;0.000000
274;60.000000;-2.000000;0.000000
275;62.000000;-2.000000;0.000000
276;60.000000;-2.000000;0.000000
277;62.000000;-2.000000;0.000000
278;64.000000;-2.000000;0.000000
279;64.000000;-2.000000;0.000000
280;63.000000;-2.000000;0.000000
281;66.000000;-2.000000;0.000000
