takt;q1;q2;q2p
0;408.000000;-17.000000;0.000000
1;732.000000;-26.000000;0.000000
2;915.000000;-34.000000;0.000000
3;1011.000000;-39.000000;0.000000
4;966.000000;-38.000000;0.000000
5;799.000000;-31.000000;0.000000
6;625.000000;-25.000000;0.000000
7;401.000000;-17.000000;0.000000
8;136.000000;-6.000000;0.000000
9;-71.000000;2.000000;0.000000
10;-212.000000;8.000000;0.000000
11;-324.000000;12.000000;0.000000
12;-383.000000;15.000000;0.000000
13;-385.000000;15.000000;0.000000
14;-374.000000;15.000000;0.000000
15;-349.000000;15.000000;0.000000
16;-286.000000;12.000000;0.000000
17;-221.000000;10.000000;0.000000
18;-164.000000;7.000000;0.000000
19;-115.000000;5.000000;0.000000
20;-61.000000;3.000000;0.000000
21;-28.000000;2.000000;0.000000
22;4.000000;0.000000;0.000000
23;43.000000;-1.000000;0.000000
24;65.000000;-2.000000;0.000000
25;82.000000;-3.000000;0.000000
26;96.000000;-3.000000;0.000000
27;105.000000;-4.000000;0.000000
28;95.000000;-4.000000;0.000000
29;83.000000;-4.000000;0.000000
30;73.000000;-3.000000;0.000000
31;54.000000;-2.000000;0.000000
32;39.000000;-2.000000;0.000000
33;24.000000;-1.000000;0.000000
34;13.000000;-1.000000;0.000000
35;1.000000;0.000000;0.000000
36;2.000000;0.000000;0.000000
37;7.000000;0.000000;0.000000
38;9.000000;0.000000;0.000000
39;22.000000;0.000000;0.000000
40;34.000000;-1.000000;0.000000
41;45.000000;-1.000000;0.000000
42;54.000000;-1.000000;0.000000
43;60.000000;-2.000000;0.000000
44;67.000000;-2.000000;0.000000
45;69.000000;-2.000000;0.000000
46;70.000000;-2.000000;0.000000
47;68.000000;-2.000000;0.000000
48;64.000000;-2.000000;0.000000
49;57.000000;-2.000000;0.000000
50;53.000000;-2.000000;0.000000
51;49.000000;-2.000000;0.000000
52;45.000000;-2.000000;0.000000
53;45.000000;-2.000000;0.000000
54;46.000000;-2.000000;0.000000
55;45.000000;-2.000000;0.000000
56;49.000000;-2.000000;0.000000
57;51.000000;-2.000000;0.000000
58;51.000000;-2.000000;0.000000
59;53.000000;-2.000000;0.000000
60;51.000000;-2.000000;0.000000
61;51.000000;-2.000000;0.000000
62;53.000000;-2.000000;0.000000
63;52.000000;-2.000000;0.000000
64;50.000000;-2.000000;0.000000
65;50.000000;-2.000000;0.000000
66;47.000000;-2.000000;0.000000
67;44.000000;-2.000000;0.000000
68;45.000000;-2.000000;0.000000
69;41.000000;-2.000000;0.000000
70;39.000000;-2.000000;0.000000
71;42.000000;-2.000000;0.000000
72;43.000000;-2.000000;0.000000
73;42.000000;-2.000000;0.000000
74;45.000000;-2.000000;0.000000
75;49.000000;-2.000000;0.000000
76;50.000000;-2.000000;0.000000
77;52.000000;-2.000000;0.000000
78;52.000000;-2.000000;0.000000
79;47.000000;-2.000000;0.000000
80;44.000000;-2.000000;0.000000
81;43.000000;-2.000000;0.000000
82;41.000000;-2.000000;0.000000
83;40.000000;-2.000000;0.000000
84;40.000000;-2.000000;0.000000
85;40.000000;-2.000000;0.000000
86;40.000000;-2.000000;0.000000
87;39.000000;-2.000000;0.000000
88;38.000000;-2.000000;0.000000
89;37.000000;-2.000000;0.000000
90;39.000000;-2.000000;0.000000
91;40.000000;-2.000000;0.000000
92;40.000000;-2.000000;0.000000
93;41.000000;-2.000000;0.000000
94;40.000000;-2.000000;0.000000
95;38.000000;-2.000000;0.000000
96;39.000000;-2.000000;0.000000
97;36.000000;-2.000000;0.000000
98;30.000000;-2.000000;0.000000
99;30.000000;-2.000000;0.000000
100;27.000000;-1.000000;0.000000
101;29.000000;-1.000000;0.000000
102;34.000000;-1.000000;0.000000
103;35.000000;-1.000000;0.000000
104;37.000000;-1.000000;0.000000
105;39.000000;-1.000000;0.000000
106;41.000000;-1.000000;0.000000
107;44.000000;-1.000000;0.000000
108;45.000000;-1.000000;0.000000
109;44.000000;-1.000000;0.000000
110;44.000000;-1.000000;0.000000
111;46.000000;-1.000000;0.000000
112;44.000000;-1.000000;0.000000
113;45.000000;-1.000000;0.000000
114;46.000000;-1.000000;0.000000
115;45.000000;-1.000000;0.000000
116;49.000000;-1.000000;0.000000
117;51.000000;-1.000000;0.000000
118;51.000000;-1.000000;0.000000
119;53.000000;-2.000000;0.000000
120;49.000000;-2.000000;0.000000
121;47.000000;-2.000000;0.000000
122;48.000000;-2.000000;0.000000
123;45.000000;-2.000000;0.000000
124;45.000000;-2.000000;0.000000
125;45.000000;-2.000000;0.000000
126;41.000000;-2.000000;0.000000
127;40.000000;-2.000000;0.000000
128;42.000000;-2.000000;0.000000
129;41.000000;-2.000000;0.000000
130;40.000000;-2.000000;0.000000
131;43.000000;-2.000000;0.000000
132;42.000000;-2.000000;0.000000
133;42.000000;-2.000000;0.000000
134;45.000000;-2.000000;0.000000
135;42.000000;-2.000000;0.000000
136;41.000000;-2.000000;0.000000
137;44.000000;-2.000000;0.000000
138;43.000000;-2.000000;0.000000
