takt;q1;q2;q2p
0;396.000000;-17.000000;0.000000
1;708.000000;-25.000000;0.000000
2;874.000000;-32.000000;0.000000
3;956.000000;-37.000000;0.000000
4;924.000000;-37.000000;0.000000
5;777.000000;-31.000000;0.000000
6;637.000000;-26.000000;0.000000
7;446.000000;-19.000000;0.000000
8;197.000000;-9.000000;0.000000
9;-7.000000;-1.000000;0.000000
10;-142.000000;5.000000;0.000000
11;-252.000000;9.000000;0.000000
12;-316.000000;12.000000;0.000000
13;-323.000000;12.000000;0.000000
14;-331.000000;12.000000;0.000000
15;-333.000000;13.000000;0.000000
16;-290.000000;12.000000;0.000000
17;-247.000000;11.000000;0.000000
18;-211.000000;9.000000;0.000000
19;-182.000000;8.000000;0.000000
20;-151.000000;6.000000;0.000000
21;-137.000000;6.000000;0.000000
22;-116.000000;5.000000;0.000000
23;-81.000000;4.000000;0.000000
24;-55.000000;2.000000;0.000000
25;-32.000000;1.000000;0.000000
26;-4.000000;0.000000;0.000000
27;23.000000;-1.000000;0.000000
28;31.000000;-1.000000;0.000000
29;40.000000;-1.000000;0.000000
30;44.000000;-2.000000;0.000000
31;34.000000;-2.000000;0.000000
32;23.000000;-2.000000;0.000000
33;10.000000;-1.000000;0.000000
34;3.000000;-1.000000;0.000000
35;-11.000000;0.000000;0.000000
36;-13.000000;0.000000;0.000000
37;-11.000000;0.000000;0.000000
38;-10.000000;0.000000;0.000000
39;1.000000;0.000000;0.000000
40;20.000000;-1.000000;0.000000
41;32.000000;-1.000000;0.000000
42;38.000000;-1.000000;0.000000
43;48.000000;-2.000000;0.000000
44;51.000000;-2.000000;0.000000
45;50.000000;-2.000000;0.000000
46;49.000000;-2.000000;0.000000
47;48.000000;-2.000000;0.000000
48;41.000000;-2.000000;0.000000
49;35.000000;-2.000000;0.000000
50;33.000000;-2.000000;0.000000
51;25.000000;-2.000000;0.000000
52;21.000000;-2.000000;0.000000
53;21.000000;-2.000000;0.000000
54;20.000000;-2.000000;0.000000
55;21.000000;-2.000000;0.000000
56;25.000000;-2.000000;0.000000
57;26.000000;-2.000000;0.000000
58;28.000000;-2.000000;0.000000
59;29.000000;-2.000000;0.000000
60;28.000000;-2.000000;0.000000
61;28.000000;-2.000000;0.000000
62;29.000000;-2.000000;0.000000
63;29.000000;-2.000000;0.000000
64;30.000000;-2.000000;0.000000
65;27.000000;-2.000000;0.000000
66;24.000000;-2.000000;0.000000
67;25.000000;-2.000000;0.000000
68;24.000000;-2.000000;0.000000
69;22.000000;-2.000000;0.000000
70;23.000000;-2.000000;0.000000
71;22.000000;-2.000000;0.000000
72;21.000000;-2.000000;0.000000
73;27.000000;-2.000000;0.000000
74;31.000000;-2.000000;0.000000
75;33.000000;-2.000000;0.000000
76;38.000000;-2.000000;0.000000
77;40.000000;-2.000000;0.000000
78;38.000000;-2.000000;0.000000
79;39.000000;-2.000000;0.000000
80;37.000000;-2.000000;0.000000
81;31.000000;-2.000000;0.000000
