takt;q1;q2;q2p
0;402.000000;-17.000000;0.000000
1;714.000000;-25.000000;0.000000
2;885.000000;-33.000000;0.000000
3;967.000000;-37.000000;0.000000
4;923.000000;-37.000000;0.000000
5;765.000000;-30.000000;0.000000
6;617.000000;-25.000000;0.000000
7;433.000000;-18.000000;0.000000
8;189.000000;-8.000000;0.000000
9;-10.000000;0.000000;0.000000
10;-127.000000;4.000000;0.000000
11;-221.000000;8.000000;0.000000
12;-282.000000;11.000000;0.000000
13;-281.000000;11.000000;0.000000
14;-284.000000;11.000000;0.000000
15;-293.000000;12.000000;0.000000
16;-256.000000;11.000000;0.000000
17;-219.000000;10.000000;0.000000
18;-201.000000;9.000000;0.000000
19;-184.000000;8.000000;0.000000
20;-150.000000;6.000000;0.000000
21;-135.000000;6.000000;0.000000
22;-119.000000;5.000000;0.000000
23;-83.000000;4.000000;0.000000
24;-55.000000;3.000000;0.000000
25;-39.000000;2.000000;0.000000
26;-17.000000;1.000000;0.000000
27;8.000000;0.000000;0.000000
28;15.000000;0.000000;0.000000
29;19.000000;-1.000000;0.000000
30;27.000000;-1.000000;0.000000
31;22.000000;-1.000000;0.000000
32;13.000000;-1.000000;0.000000
33;7.000000;-1.000000;0.000000
34;1.000000;-1.000000;0.000000
35;-10.000000;0.000000;0.000000
36;-13.000000;0.000000;0.000000
37;-10.000000;0.000000;0.000000
38;-5.000000;0.000000;0.000000
39;1.000000;0.000000;0.000000
40;10.000000;0.000000;0.000000
41;25.000000;-1.000000;0.000000
42;30.000000;-1.000000;0.000000
43;38.000000;-1.000000;0.000000
44;49.000000;-2.000000;0.000000
45;47.000000;-2.000000;0.000000
46;49.000000;-2.000000;0.000000
47;53.000000;-2.000000;0.000000
48;47.000000;-2.000000;0.000000
49;44.000000;-2.000000;0.000000
50;48.000000;-2.000000;0.000000
51;42.000000;-2.000000;0.000000
52;40.000000;-2.000000;0.000000
53;44.000000;-2.000000;0.000000
54;41.000000;-2.000000;0.000000
55;40.000000;-2.000000;0.000000
56;46.000000;-2.000000;0.000000
57;48.000000;-2.000000;0.000000
58;48.000000;-2.000000;0.000000
59;51.000000;-2.000000;0.000000
60;50.000000;-2.000000;0.000000
61;50.000000;-2.000000;0.000000
62;52.000000;-2.000000;0.000000
63;52.000000;-2.000000;0.000000
64;52.000000;-2.000000;0.000000
65;51.000000;-2.000000;0.000000
66;50.000000;-2.000000;0.000000
67;50.000000;-2.000000;0.000000
