takt;q1;q2;q2p
0;412.000000;-16.000000;0.000000
1;742.000000;-25.000000;0.000000
2;918.000000;-32.000000;0.000000
3;989.000000;-37.000000;0.000000
4;920.000000;-35.000000;0.000000
5;737.000000;-28.000000;0.000000
6;565.000000;-23.000000;0.000000
7;353.000000;-15.000000;0.000000
8;98.000000;-4.000000;0.000000
9;-86.000000;3.000000;0.000000
10;-189.000000;7.000000;0.000000
11;-269.000000;10.000000;0.000000
12;-300.000000;12.000000;0.000000
13;-272.000000;11.000000;0.000000
14;-261.000000;11.000000;0.000000
15;-254.000000;11.000000;0.000000
16;-196.000000;9.000000;0.000000
17;-151.000000;7.000000;0.000000
18;-127.000000;6.000000;0.000000
19;-90.000000;5.000000;0.000000
20;-55.000000;3.000000;0.000000
21;-44.000000;2.000000;0.000000
22;-22.000000;2.000000;0.000000
23;19.000000;0.000000;0.000000
24;36.000000;-1.000000;0.000000
25;52.000000;-1.000000;0.000000
26;82.000000;-2.000000;0.000000
27;93.000000;-3.000000;0.000000
28;86.000000;-3.000000;0.000000
29;89.000000;-3.000000;0.000000
30;83.000000;-3.000000;0.000000
31;46.000000;-2.000000;0.000000
32;25.000000;-1.000000;0.000000
33;12.000000;-1.000000;0.000000
34;-11.000000;0.000000;0.000000
35;-26.000000;1.000000;0.000000
36;-26.000000;1.000000;0.000000
37;-29.000000;1.000000;0.000000
38;-33.000000;1.000000;0.000000
39;-18.000000;1.000000;0.000000
40;2.000000;1.000000;0.000000
41;13.000000;0.000000;0.000000
42;30.000000;0.000000;0.000000
43;56.000000;-1.000000;0.000000
44;60.000000;-2.000000;0.000000
45;65.000000;-2.000000;0.000000
46;80.000000;-2.000000;0.000000
47;74.000000;-2.000000;0.000000
48;62.000000;-2.000000;0.000000
49;63.000000;-2.000000;0.000000
50;52.000000;-2.000000;0.000000
51;36.000000;-2.000000;0.000000
52;36.000000;-1.000000;0.000000
53;37.000000;-1.000000;0.000000
54;30.000000;-1.000000;0.000000
55;33.000000;-1.000000;0.000000
56;42.000000;-1.000000;0.000000
57;47.000000;-1.000000;0.000000
58;55.000000;-1.000000;0.000000
59;69.000000;-2.000000;0.000000
60;76.000000;-2.000000;0.000000
61;76.000000;-2.000000;0.000000
62;82.000000;-2.000000;0.000000
63;81.000000;-3.000000;0.000000
64;74.000000;-3.000000;0.000000
65;69.000000;-3.000000;0.000000
66;61.000000;-3.000000;0.000000
67;52.000000;-2.000000;0.000000
68;49.000000;-2.000000;0.000000
69;46.000000;-2.000000;0.000000
70;44.000000;-2.000000;0.000000
71;46.000000;-2.000000;0.000000
72;51.000000;-2.000000;0.000000
73;52.000000;-2.000000;0.000000
