takt;q1;q2;q2p
0;403.000000;-17.000000;0.000000
1;709.000000;-24.000000;0.000000
2;853.000000;-31.000000;0.000000
3;893.000000;-34.000000;0.000000
4;798.000000;-32.000000;0.000000
5;603.000000;-24.000000;0.000000
6;442.000000;-19.000000;0.000000
7;250.000000;-12.000000;0.000000
8;22.000000;-2.000000;0.000000
9;-122.000000;4.000000;0.000000
10;-178.000000;6.000000;0.000000
11;-227.000000;9.000000;0.000000
12;-235.000000;9.000000;0.000000
13;-194.000000;8.000000;0.000000
14;-182.000000;8.000000;0.000000
15;-183.000000;8.000000;0.000000
16;-141.000000;6.000000;0.000000
17;-110.000000;5.000000;0.000000
18;-111.000000;5.000000;0.000000
19;-90.000000;4.000000;0.000000
20;-65.000000;3.000000;0.000000
21;-69.000000;3.000000;0.000000
22;-53.000000;3.000000;0.000000
23;-23.000000;1.000000;0.000000
24;-10.000000;0.000000;0.000000
25;-2.000000;0.000000;0.000000
26;22.000000;-1.000000;0.000000
27;29.000000;-1.000000;0.000000
28;24.000000;-1.000000;0.000000
29;30.000000;-1.000000;0.000000
30;26.000000;-1.000000;0.000000
31;16.000000;-1.000000;0.000000
32;7.000000;-1.000000;0.000000
33;2.000000;-1.000000;0.000000
34;-4.000000;-1.000000;0.000000
35;-10.000000;0.000000;0.000000
36;2.000000;0.000000;0.000000
37;11.000000;0.000000;0.000000
38;17.000000;0.000000;0.000000
39;25.000000;-1.000000;0.000000
40;37.000000;-1.000000;0.000000
41;42.000000;-2.000000;0.000000
42;39.000000;-2.000000;0.000000
43;43.000000;-2.000000;0.000000
44;39.000000;-2.000000;0.000000
45;34.000000;-2.000000;0.000000
46;38.000000;-2.000000;0.000000
47;38.000000;-2.000000;0.000000
48;35.000000;-2.000000;0.000000
49;35.000000;-2.000000;0.000000
50;35.000000;-2.000000;0.000000
51;32.000000;-2.000000;0.000000
52;31.000000;-2.000000;0.000000
53;30.000000;-2.000000;0.000000
54;29.000000;-2.000000;0.000000
55;32.000000;-2.000000;0.000000
56;34.000000;-2.000000;0.000000
57;36.000000;-2.000000;0.000000
58;36.000000;-2.000000;0.000000
59;37.000000;-2.000000;0.000000
60;39.000000;-2.000000;0.000000
61;37.000000;-2.000000;0.000000
62;38.000000;-2.000000;0.000000
63;38.000000;-2.000000;0.000000
64;37.000000;-2.000000;0.000000
65;38.000000;-2.000000;0.000000
66;37.000000;-2.000000;0.000000
67;35.000000;-2.000000;0.000000
68;37.000000;-2.000000;0.000000
69;36.000000;-2.000000;0.000000
70;37.000000;-2.000000;0.000000
71;38.000000;-2.000000;0.000000
72;38.000000;-2.000000;0.000000
73;40.000000;-2.000000;0.000000
74;40.000000;-2.000000;0.000000
75;41.000000;-2.000000;0.000000
76;42.000000;-2.000000;0.000000
77;43.000000;-2.000000;0.000000
78;43.000000;-2.000000;0.000000
79;42.000000;-2.000000;0.000000
80;43.000000;-2.000000;0.000000
81;42.000000;-2.000000;0.000000
82;42.000000;-2.000000;0.000000
83;42.000000;-2.000000;0.000000
84;41.000000;-2.000000;0.000000
85;41.000000;-2.000000;0.000000
86;42.000000;-2.000000;0.000000
87;41.000000;-2.000000;0.000000
88;44.000000;-2.000000;0.000000
89;46.000000;-2.000000;0.000000
90;45.000000;-2.000000;0.000000
91;49.000000;-2.000000;0.000000
92;50.000000;-2.000000;0.000000
93;49.000000;-2.000000;0.000000
94;53.000000;-2.000000;0.000000
