takt;q1;q2;q2p
0;414.000000;-17.000000;0.000000
1;732.000000;-25.000000;0.000000
2;868.000000;-31.000000;0.000000
3;912.000000;-35.000000;0.000000
4;818.000000;-32.000000;0.000000
5;628.000000;-24.000000;0.000000
6;502.000000;-20.000000;0.000000
7;363.000000;-16.000000;0.000000
8;183.000000;-8.000000;0.000000
9;65.000000;-3.000000;0.000000
10;24.000000;-1.000000;0.000000
11;-15.000000;1.000000;0.000000
12;-41.000000;2.000000;0.000000
13;-25.000000;2.000000;0.000000
14;-55.000000;2.000000;0.000000
15;-91.000000;4.000000;0.000000
16;-83.000000;4.000000;0.000000
17;-84.000000;4.000000;0.000000
18;-97.000000;4.000000;0.000000
19;-83.000000;4.000000;0.000000
20;-75.000000;4.000000;0.000000
21;-76.000000;4.000000;0.000000
22;-58.000000;3.000000;0.000000
23;-45.000000;2.000000;0.000000
24;-43.000000;2.000000;0.000000
25;-32.000000;2.000000;0.000000
26;-25.000000;2.000000;0.000000
27;-27.000000;2.000000;0.000000
28;-25.000000;2.000000;0.000000
29;-28.000000;2.000000;0.000000
30;-31.000000;2.000000;0.000000
31;-29.000000;2.000000;0.000000
32;-31.000000;2.000000;0.000000
33;-26.000000;2.000000;0.000000
34;-26.000000;2.000000;0.000000
35;-26.000000;2.000000;0.000000
36;-20.000000;2.000000;0.000000
37;-23.000000;1.000000;0.000000
38;-19.000000;1.000000;0.000000
39;-17.000000;1.000000;0.000000
40;-20.000000;1.000000;0.000000
41;-16.000000;1.000000;0.000000
42;-16.000000;1.000000;0.000000
43;-13.000000;1.000000;0.000000
44;-10.000000;1.000000;0.000000
45;-10.000000;1.000000;0.000000
46;-9.000000;1.000000;0.000000
47;-12.000000;1.000000;0.000000
48;-9.000000;1.000000;0.000000
49;-8.000000;1.000000;0.000000
50;-9.000000;1.000000;0.000000
51;-9.000000;1.000000;0.000000
52;-12.000000;1.000000;0.000000
53;-11.000000;1.000000;0.000000
54;-9.000000;1.000000;0.000000
55;-10.000000;1.000000;0.000000
56;-9.000000;1.000000;0.000000
57;-7.000000;1.000000;0.000000
58;-4.000000;1.000000;0.000000
59;1.000000;1.000000;0.000000
60;5.000000;0.000000;0.000000
61;2.000000;0.000000;0.000000
62;7.000000;0.000000;0.000000
63;7.000000;0.000000;0.000000
64;7.000000;0.000000;0.000000
65;10.000000;0.000000;0.000000
66;5.000000;0.000000;0.000000
67;8.000000;0.000000;0.000000
68;7.000000;0.000000;0.000000
69;8.000000;0.000000;0.000000
70;11.000000;0.000000;0.000000
71;10.000000;0.000000;0.000000
72;13.000000;0.000000;0.000000
73;15.000000;0.000000;0.000000
74;16.000000;0.000000;0.000000
75;17.000000;0.000000;0.000000
76;18.000000;0.000000;0.000000
77;19.000000;0.000000;0.000000
78;20.000000;0.000000;0.000000
79;20.000000;0.000000;0.000000
80;21.000000;0.000000;0.000000
81;21.000000;0.000000;0.000000
82;22.000000;0.000000;0.000000
83;24.000000;0.000000;0.000000
84;26.000000;0.000000;0.000000
85;26.000000;0.000000;0.000000
86;26.000000;-1.000000;0.000000
87;29.000000;-1.000000;0.000000
88;34.000000;-1.000000;0.000000
89;37.000000;-1.000000;0.000000
90;45.000000;-1.000000;0.000000
91;54.000000;-2.000000;0.000000
92;52.000000;-2.000000;0.000000
93;59.000000;-2.000000;0.000000
94;63.000000;-2.000000;0.000000
95;60.000000;-2.000000;0.000000
96;66.000000;-2.000000;0.000000
97;64.000000;-2.000000;0.000000
98;66.000000;-2.000000;0.000000
99;65.000000;-2.000000;0.000000
100;63.000000;-2.000000;0.000000
101;66.000000;-2.000000;0.000000
102;63.000000;-2.000000;0.000000
103;69.000000;-2.000000;0.000000
104;72.000000;-2.000000;0.000000
105;72.000000;-2.000000;0.000000
106;76.000000;-2.000000;0.000000
107;73.000000;-3.000000;0.000000
108;78.000000;-3.000000;0.000000
109;79.000000;-3.000000;0.000000
110;77.000000;-3.000000;0.000000
111;80.000000;-3.000000;0.000000
112;76.000000;-3.000000;0.000000
113;80.000000;-3.000000;0.000000
114;79.000000;-3.000000;0.000000
115;78.000000;-3.000000;0.000000
116;81.000000;-3.000000;0.000000
117;79.000000;-3.000000;0.000000
118;82.000000;-3.000000;0.000000
119;82.000000;-3.000000;0.000000
120;80.000000;-3.000000;0.000000
121;81.000000;-3.000000;0.000000
122;81.000000;-3.000000;0.000000
123;81.000000;-3.000000;0.000000
124;79.000000;-3.000000;0.000000
125;80.000000;-3.000000;0.000000
126;79.000000;-3.000000;0.000000
127;81.000000;-3.000000;0.000000
128;81.000000;-3.000000;0.000000
129;78.000000;-3.000000;0.000000
130;80.000000;-3.000000;0.000000
131;78.000000;-3.000000;0.000000
132;80.000000;-3.000000;0.000000
133;78.000000;-3.000000;0.000000
134;78.000000;-3.000000;0.000000
135;80.000000;-3.000000;0.000000
136;77.000000;-3.000000;0.000000
137;80.000000;-3.000000;0.000000
138;76.000000;-3.000000;0.000000
139;77.000000;-3.000000;0.000000
140;79.000000;-3.000000;0.000000
141;76.000000;-3.000000;0.000000
142;79.000000;-3.000000;0.000000
143;75.000000;-3.000000;0.000000
144;77.000000;-3.000000;0.000000
145;76.000000;-3.000000;0.000000
146;73.000000;-3.000000;0.000000
147;75.000000;-3.000000;0.000000
148;73.000000;-3.000000;0.000000
149;75.000000;-3.000000;0.000000
150;73.000000;-3.000000;0.000000
151;75.000000;-3.000000;0.000000
