takt;q1;q2;q2p
0;402.000000;-17.000000;0.000000
1;697.000000;-24.000000;0.000000
2;823.000000;-30.000000;0.000000
3;857.000000;-33.000000;0.000000
4;747.000000;-30.000000;0.000000
5;534.000000;-22.000000;0.000000
6;367.000000;-16.000000;0.000000
7;174.000000;-9.000000;0.000000
8;-48.000000;1.000000;0.000000
9;-178.000000;6.000000;0.000000
10;-226.000000;8.000000;0.000000
11;-260.000000;10.000000;0.000000
12;-256.000000;10.000000;0.000000
13;-215.000000;8.000000;0.000000
14;-210.000000;8.000000;0.000000
15;-210.000000;8.000000;0.000000
16;-173.000000;7.000000;0.000000
17;-146.000000;6.000000;0.000000
18;-142.000000;6.000000;0.000000
19;-123.000000;5.000000;0.000000
20;-100.000000;4.000000;0.000000
21;-100.000000;4.000000;0.000000
22;-72.000000;3.000000;0.000000
23;-34.000000;2.000000;0.000000
24;-20.000000;1.000000;0.000000
25;0.000000;0.000000;0.000000
26;25.000000;-1.000000;0.000000
27;34.000000;-1.000000;0.000000
28;33.000000;-1.000000;0.000000
29;39.000000;-2.000000;0.000000
30;32.000000;-2.000000;0.000000
31;20.000000;-2.000000;0.000000
32;17.000000;-2.000000;0.000000
33;11.000000;-2.000000;0.000000
34;13.000000;-1.000000;0.000000
35;15.000000;-1.000000;0.000000
36;15.000000;-1.000000;0.000000
37;21.000000;-1.000000;0.000000
38;26.000000;-1.000000;0.000000
39;33.000000;-1.000000;0.000000
40;42.000000;-2.000000;0.000000
41;44.000000;-2.000000;0.000000
42;44.000000;-2.000000;0.000000
43;48.000000;-2.000000;0.000000
44;48.000000;-2.000000;0.000000
45;47.000000;-2.000000;0.000000
46;49.000000;-2.000000;0.000000
47;45.000000;-2.000000;0.000000
48;45.000000;-2.000000;0.000000
49;46.000000;-2.000000;0.000000
50;43.000000;-2.000000;0.000000
51;44.000000;-2.000000;0.000000
52;43.000000;-2.000000;0.000000
53;43.000000;-2.000000;0.000000
54;45.000000;-2.000000;0.000000
55;46.000000;-2.000000;0.000000
56;48.000000;-2.000000;0.000000
57;49.000000;-2.000000;0.000000
58;50.000000;-2.000000;0.000000
59;50.000000;-2.000000;0.000000
60;51.000000;-2.000000;0.000000
61;52.000000;-2.000000;0.000000
62;51.000000;-2.000000;0.000000
63;52.000000;-2.000000;0.000000
64;52.000000;-2.000000;0.000000
65;51.000000;-2.000000;0.000000
66;53.000000;-2.000000;0.000000
67;52.000000;-2.000000;0.000000
68;53.000000;-2.000000;0.000000
69;53.000000;-2.000000;0.000000
70;53.000000;-2.000000;0.000000
71;55.000000;-2.000000;0.000000
72;56.000000;-2.000000;0.000000
73;57.000000;-2.000000;0.000000
74;57.000000;-2.000000;0.000000
75;58.000000;-3.000000;0.000000
76;58.000000;-3.000000;0.000000
77;57.000000;-3.000000;0.000000
78;59.000000;-3.000000;0.000000
79;57.000000;-3.000000;0.000000
80;57.000000;-3.000000;0.000000
81;56.000000;-3.000000;0.000000
82;57.000000;-3.000000;0.000000
83;56.000000;-3.000000;0.000000
84;57.000000;-3.000000;0.000000
85;56.000000;-3.000000;0.000000
86;56.000000;-3.000000;0.000000
87;56.000000;-3.000000;0.000000
88;55.000000;-3.000000;0.000000
89;57.000000;-3.000000;0.000000
90;56.000000;-3.000000;0.000000
91;56.000000;-3.000000;0.000000
92;56.000000;-3.000000;0.000000
93;54.000000;-3.000000;0.000000
94;53.000000;-3.000000;0.000000
95;52.000000;-3.000000;0.000000
96;52.000000;-3.000000;0.000000
97;51.000000;-3.000000;0.000000
98;51.000000;-3.000000;0.000000
99;50.000000;-3.000000;0.000000
100;49.000000;-3.000000;0.000000
101;51.000000;-3.000000;0.000000
102;49.000000;-3.000000;0.000000
103;49.000000;-3.000000;0.000000
104;49.000000;-3.000000;0.000000
105;48.000000;-3.000000;0.000000
106;48.000000;-3.000000;0.000000
107;46.000000;-3.000000;0.000000
108;45.000000;-3.000000;0.000000
109;44.000000;-3.000000;0.000000
110;45.000000;-3.000000;0.000000
