takt;q1;q2;q2p
0;393.000000;-16.000000;0.000000
1;684.000000;-22.000000;0.000000
2;786.000000;-28.000000;0.000000
3;787.000000;-30.000000;0.000000
4;658.000000;-26.000000;0.000000
5;427.000000;-17.000000;0.000000
6;270.000000;-12.000000;0.000000
7;99.000000;-6.000000;0.000000
8;-108.000000;3.000000;0.000000
9;-208.000000;7.000000;0.000000
10;-215.000000;8.000000;0.000000
11;-220.000000;9.000000;0.000000
12;-200.000000;9.000000;0.000000
13;-134.000000;6.000000;0.000000
14;-126.000000;5.000000;0.000000
15;-146.000000;6.000000;0.000000
16;-108.000000;5.000000;0.000000
17;-83.000000;4.000000;0.000000
18;-90.000000;4.000000;0.000000
19;-63.000000;3.000000;0.000000
20;-30.000000;2.000000;0.000000
21;-36.000000;1.000000;0.000000
22;-15.000000;1.000000;0.000000
23;41.000000;-1.000000;0.000000
24;45.000000;-1.000000;0.000000
25;44.000000;-1.000000;0.000000
26;71.000000;-2.000000;0.000000
27;61.000000;-3.000000;0.000000
28;35.000000;-2.000000;0.000000
29;47.000000;-1.000000;0.000000
30;37.000000;-1.000000;0.000000
31;-2.000000;0.000000;0.000000
32;-8.000000;0.000000;0.000000
33;-12.000000;0.000000;0.000000
34;-34.000000;1.000000;0.000000
35;-35.000000;1.000000;0.000000
36;-22.000000;1.000000;0.000000
37;-23.000000;1.000000;0.000000
38;-19.000000;1.000000;0.000000
39;5.000000;0.000000;0.000000
40;24.000000;0.000000;0.000000
41;27.000000;-1.000000;0.000000
42;41.000000;-1.000000;0.000000
43;59.000000;-2.000000;0.000000
44;49.000000;-2.000000;0.000000
45;43.000000;-2.000000;0.000000
46;49.000000;-2.000000;0.000000
47;32.000000;-2.000000;0.000000
48;19.000000;-1.000000;0.000000
49;25.000000;-1.000000;0.000000
50;15.000000;-1.000000;0.000000
51;2.000000;0.000000;0.000000
52;13.000000;0.000000;0.000000
53;19.000000;0.000000;0.000000
54;15.000000;0.000000;0.000000
55;29.000000;-1.000000;0.000000
56;36.000000;-1.000000;0.000000
57;36.000000;-1.000000;0.000000
58;47.000000;-1.000000;0.000000
59;58.000000;-2.000000;0.000000
60;56.000000;-2.000000;0.000000
61;56.000000;-2.000000;0.000000
62;60.000000;-2.000000;0.000000
63;59.000000;-2.000000;0.000000
64;59.000000;-2.000000;0.000000
65;59.000000;-2.000000;0.000000
66;54.000000;-2.000000;0.000000
67;46.000000;-2.000000;0.000000
68;41.000000;-2.000000;0.000000
69;41.000000;-2.000000;0.000000
70;39.000000;-2.000000;0.000000
71;40.000000;-2.000000;0.000000
72;47.000000;-2.000000;0.000000
73;51.000000;-2.000000;0.000000
74;51.000000;-2.000000;0.000000
75;62.000000;-2.000000;0.000000
76;63.000000;-2.000000;0.000000
77;58.000000;-2.000000;0.000000
78;63.000000;-2.000000;0.000000
79;62.000000;-2.000000;0.000000
80;54.000000;-2.000000;0.000000
81;58.000000;-2.000000;0.000000
82;59.000000;-2.000000;0.000000
83;50.000000;-2.000000;0.000000
84;54.000000;-2.000000;0.000000
85;56.000000;-2.000000;0.000000
86;52.000000;-2.000000;0.000000
87;57.000000;-2.000000;0.000000
88;63.000000;-2.000000;0.000000
89;63.000000;-2.000000;0.000000
90;69.000000;-2.000000;0.000000
91;77.000000;-2.000000;0.000000
92;72.000000;-3.000000;0.000000
93;73.000000;-3.000000;0.000000
94;71.000000;-3.000000;0.000000
95;64.000000;-3.000000;0.000000
96;61.000000;-3.000000;0.000000
97;58.000000;-3.000000;0.000000
98;53.000000;-3.000000;0.000000
99;55.000000;-2.000000;0.000000
100;56.000000;-2.000000;0.000000
101;59.000000;-2.000000;0.000000
102;66.000000;-2.000000;0.000000
103;67.000000;-2.000000;0.000000
104;72.000000;-2.000000;0.000000
105;78.000000;-3.000000;0.000000
106;70.000000;-3.000000;0.000000
107;70.000000;-3.000000;0.000000
108;68.000000;-3.000000;0.000000
109;57.000000;-3.000000;0.000000
110;55.000000;-2.000000;0.000000
111;65.000000;-2.000000;0.000000
112;60.000000;-2.000000;0.000000
113;62.000000;-2.000000;0.000000
114;74.000000;-2.000000;0.000000
115;71.000000;-2.000000;0.000000
116;73.000000;-2.000000;0.000000
117;83.000000;-3.000000;0.000000
118;78.000000;-3.000000;0.000000
119;71.000000;-3.000000;0.000000
120;70.000000;-3.000000;0.000000
121;69.000000;-3.000000;0.000000
122;65.000000;-3.000000;0.000000
123;65.000000;-3.000000;0.000000
124;64.000000;-3.000000;0.000000
125;61.000000;-3.000000;0.000000
126;59.000000;-3.000000;0.000000
127;61.000000;-3.000000;0.000000
128;59.000000;-3.000000;0.000000
129;55.000000;-3.000000;0.000000
130;53.000000;-2.000000;0.000000
131;58.000000;-2.000000;0.000000
132;60.000000;-2.000000;0.000000
133;61.000000;-2.000000;0.000000
134;66.000000;-2.000000;0.000000
135;65.000000;-2.000000;0.000000
136;67.000000;-2.000000;0.000000
137;74.000000;-2.000000;0.000000
138;71.000000;-3.000000;0.000000
139;66.000000;-3.000000;0.000000
140;64.000000;-3.000000;0.000000
141;61.000000;-3.000000;0.000000
142;58.000000;-3.000000;0.000000
143;57.000000;-3.000000;0.000000
144;55.000000;-3.000000;0.000000
145;56.000000;-2.000000;0.000000
146;56.000000;-2.000000;0.000000
147;58.000000;-2.000000;0.000000
148;61.000000;-2.000000;0.000000
149;60.000000;-2.000000;0.000000
150;63.000000;-2.000000;0.000000
151;69.000000;-2.000000;0.000000
152;71.000000;-2.000000;0.000000
153;73.000000;-2.000000;0.000000
154;77.000000;-3.000000;0.000000
155;69.000000;-3.000000;0.000000
156;67.000000;-3.000000;0.000000
157;68.000000;-3.000000;0.000000
158;59.000000;-3.000000;0.000000
159;61.000000;-2.000000;0.000000
160;69.000000;-2.000000;0.000000
161;67.000000;-2.000000;0.000000
162;73.000000;-2.000000;0.000000
163;81.000000;-3.000000;0.000000
164;69.000000;-3.000000;0.000000
165;63.000000;-3.000000;0.000000
166;65.000000;-3.000000;0.000000
167;52.000000;-2.000000;0.000000
168;49.000000;-2.000000;0.000000
169;53.000000;-2.000000;0.000000
