takt;q1;q2;q2p
0;405.000000;-16.000000;0.000000
1;709.000000;-23.000000;0.000000
2;790.000000;-28.000000;0.000000
3;771.000000;-28.000000;0.000000
4;649.000000;-25.000000;0.000000
5;422.000000;-17.000000;0.000000
6;267.000000;-12.000000;0.000000
7;126.000000;-6.000000;0.000000
8;-56.000000;1.000000;0.000000
9;-145.000000;5.000000;0.000000
10;-128.000000;5.000000;0.000000
11;-125.000000;6.000000;0.000000
12;-118.000000;6.000000;0.000000
13;-70.000000;3.000000;0.000000
14;-79.000000;3.000000;0.000000
15;-115.000000;5.000000;0.000000
16;-91.000000;4.000000;0.000000
17;-73.000000;4.000000;0.000000
18;-86.000000;4.000000;0.000000
19;-69.000000;3.000000;0.000000
20;-40.000000;2.000000;0.000000
21;-46.000000;2.000000;0.000000
22;-25.000000;2.000000;0.000000
23;14.000000;0.000000;0.000000
24;19.000000;0.000000;0.000000
25;17.000000;0.000000;0.000000
26;33.000000;-1.000000;0.000000
27;32.000000;-1.000000;0.000000
28;19.000000;-1.000000;0.000000
29;22.000000;-1.000000;0.000000
30;18.000000;-1.000000;0.000000
31;1.000000;0.000000;0.000000
32;-2.000000;0.000000;0.000000
33;2.000000;0.000000;0.000000
34;-4.000000;0.000000;0.000000
35;-3.000000;0.000000;0.000000
36;5.000000;0.000000;0.000000
37;9.000000;0.000000;0.000000
38;13.000000;0.000000;0.000000
39;26.000000;-1.000000;0.000000
40;30.000000;-1.000000;0.000000
41;33.000000;-1.000000;0.000000
42;40.000000;-1.000000;0.000000
43;42.000000;-1.000000;0.000000
44;43.000000;-1.000000;0.000000
45;49.000000;-2.000000;0.000000
46;43.000000;-2.000000;0.000000
47;39.000000;-2.000000;0.000000
48;43.000000;-2.000000;0.000000
49;38.000000;-2.000000;0.000000
50;37.000000;-2.000000;0.000000
51;43.000000;-2.000000;0.000000
52;37.000000;-2.000000;0.000000
53;35.000000;-2.000000;0.000000
54;42.000000;-2.000000;0.000000
55;40.000000;-2.000000;0.000000
56;39.000000;-2.000000;0.000000
57;51.000000;-2.000000;0.000000
58;53.000000;-2.000000;0.000000
59;52.000000;-2.000000;0.000000
60;66.000000;-2.000000;0.000000
61;63.000000;-3.000000;0.000000
62;53.000000;-3.000000;0.000000
63;59.000000;-3.000000;0.000000
64;49.000000;-3.000000;0.000000
65;41.000000;-2.000000;0.000000
66;45.000000;-2.000000;0.000000
67;40.000000;-2.000000;0.000000
68;36.000000;-2.000000;0.000000
69;42.000000;-2.000000;0.000000
70;43.000000;-2.000000;0.000000
71;41.000000;-2.000000;0.000000
72;50.000000;-2.000000;0.000000
73;52.000000;-2.000000;0.000000
74;52.000000;-2.000000;0.000000
75;57.000000;-2.000000;0.000000
76;57.000000;-2.000000;0.000000
77;54.000000;-2.000000;0.000000
78;59.000000;-2.000000;0.000000
79;59.000000;-2.000000;0.000000
80;57.000000;-2.000000;0.000000
81;60.000000;-2.000000;0.000000
82;59.000000;-2.000000;0.000000
83;62.000000;-2.000000;0.000000
84;63.000000;-2.000000;0.000000
85;62.000000;-2.000000;0.000000
86;63.000000;-2.000000;0.000000
87;65.000000;-2.000000;0.000000
88;67.000000;-2.000000;0.000000
89;69.000000;-2.000000;0.000000
90;69.000000;-2.000000;0.000000
91;67.000000;-2.000000;0.000000
92;70.000000;-3.000000;0.000000
93;63.000000;-3.000000;0.000000
94;61.000000;-3.000000;0.000000
95;64.000000;-3.000000;0.000000
96;59.000000;-3.000000;0.000000
97;63.000000;-3.000000;0.000000
98;65.000000;-3.000000;0.000000
99;57.000000;-3.000000;0.000000
100;58.000000;-3.000000;0.000000
101;60.000000;-3.000000;0.000000
102;54.000000;-3.000000;0.000000
103;58.000000;-3.000000;0.000000
104;60.000000;-3.000000;0.000000
105;55.000000;-3.000000;0.000000
106;62.000000;-3.000000;0.000000
107;56.000000;-3.000000;0.000000
108;48.000000;-3.000000;0.000000
109;50.000000;-3.000000;0.000000
110;45.000000;-2.000000;0.000000
111;49.000000;-2.000000;0.000000
112;52.000000;-2.000000;0.000000
113;49.000000;-2.000000;0.000000
114;53.000000;-2.000000;0.000000
115;56.000000;-2.000000;0.000000
116;54.000000;-2.000000;0.000000
117;59.000000;-2.000000;0.000000
118;63.000000;-2.000000;0.000000
119;58.000000;-2.000000;0.000000
120;68.000000;-2.000000;0.000000
121;70.000000;-3.000000;0.000000
122;61.000000;-3.000000;0.000000
123;66.000000;-3.000000;0.000000
124;68.000000;-3.000000;0.000000
125;59.000000;-3.000000;0.000000
126;64.000000;-3.000000;0.000000
127;66.000000;-3.000000;0.000000
128;53.000000;-3.000000;0.000000
129;57.000000;-3.000000;0.000000
130;59.000000;-3.000000;0.000000
131;46.000000;-2.000000;0.000000
132;54.000000;-2.000000;0.000000
133;55.000000;-2.000000;0.000000
134;47.000000;-2.000000;0.000000
135;58.000000;-2.000000;0.000000
136;59.000000;-2.000000;0.000000
137;53.000000;-2.000000;0.000000
138;63.000000;-2.000000;0.000000
139;63.000000;-2.000000;0.000000
140;56.000000;-2.000000;0.000000
141;64.000000;-2.000000;0.000000
142;63.000000;-2.000000;0.000000
143;56.000000;-2.000000;0.000000
144;65.000000;-2.000000;0.000000
145;62.000000;-2.000000;0.000000
146;56.000000;-2.000000;0.000000
147;65.000000;-2.000000;0.000000
148;62.000000;-2.000000;0.000000
