takt;q1;q2;q2p
0;408.000000;-17.000000;0.000000
1;751.000000;-29.000000;0.000000
2;985.000000;-38.000000;0.000000
3;1143.000000;-45.000000;0.000000
4;1180.000000;-47.000000;0.000000
5;1102.000000;-44.000000;0.000000
6;970.000000;-39.000000;0.000000
7;772.000000;-32.000000;0.000000
8;506.000000;-22.000000;0.000000
9;240.000000;-10.000000;0.000000
10;1.000000;-2.000000;0.000000
11;-229.000000;7.000000;0.000000
12;-427.000000;16.000000;0.000000
13;-569.000000;22.000000;0.000000
14;-674.000000;26.000000;0.000000
15;-742.000000;28.000000;0.000000
16;-745.000000;29.000000;0.000000
17;-701.000000;28.000000;0.000000
18;-639.000000;25.000000;0.000000
19;-553.000000;22.000000;0.000000
20;-445.000000;17.000000;0.000000
21;-334.000000;13.000000;0.000000
22;-225.000000;9.000000;0.000000
23;-110.000000;4.000000;0.000000
24;-8.000000;0.000000;0.000000
25;73.000000;-3.000000;0.000000
26;145.000000;-6.000000;0.000000
27;204.000000;-8.000000;0.000000
28;234.000000;-10.000000;0.000000
29;241.000000;-10.000000;0.000000
30;230.000000;-10.000000;0.000000
31;192.000000;-9.000000;0.000000
32;145.000000;-7.000000;0.000000
33;97.000000;-5.000000;0.000000
34;45.000000;-3.000000;0.000000
35;-9.000000;-1.000000;0.000000
36;-53.000000;1.000000;0.000000
37;-90.000000;2.000000;0.000000
38;-116.000000;3.000000;0.000000
39;-127.000000;4.000000;0.000000
40;-132.000000;4.000000;0.000000
41;-127.000000;4.000000;0.000000
42;-115.000000;4.000000;0.000000
43;-96.000000;4.000000;0.000000
44;-75.000000;3.000000;0.000000
45;-56.000000;2.000000;0.000000
46;-40.000000;1.000000;0.000000
47;-31.000000;1.000000;0.000000
48;-25.000000;1.000000;0.000000
49;-28.000000;0.000000;0.000000
50;-32.000000;0.000000;0.000000
51;-41.000000;0.000000;0.000000
52;-51.000000;1.000000;0.000000
53;-54.000000;1.000000;0.000000
54;-61.000000;1.000000;0.000000
