takt;q1;q2;q2p
0;412.000000;-17.000000;0.000000
1;745.000000;-27.000000;0.000000
2;899.000000;-33.000000;0.000000
3;924.000000;-34.000000;0.000000
4;774.000000;-29.000000;0.000000
5;414.000000;-14.000000;0.000000
6;17.000000;0.000000;0.000000
7;-393.000000;15.000000;0.000000
8;-812.000000;30.000000;0.000000
9;-1087.000000;41.000000;0.000000
10;-1129.000000;44.000000;0.000000
11;-1024.000000;39.000000;0.000000
12;-785.000000;30.000000;0.000000
13;-400.000000;16.000000;0.000000
14;3.000000;-1.000000;0.000000
15;352.000000;-13.000000;0.000000
16;642.000000;-24.000000;0.000000
17;802.000000;-29.000000;0.000000
18;793.000000;-30.000000;0.000000
19;635.000000;-24.000000;0.000000
20;370.000000;-14.000000;0.000000
21;16.000000;0.000000;0.000000
22;-345.000000;13.000000;0.000000
23;-626.000000;23.000000;0.000000
24;-793.000000;29.000000;0.000000
25;-816.000000;31.000000;0.000000
26;-679.000000;25.000000;0.000000
27;-418.000000;16.000000;0.000000
28;-121.000000;4.000000;0.000000
29;189.000000;-7.000000;0.000000
30;475.000000;-18.000000;0.000000
31;657.000000;-24.000000;0.000000
32;704.000000;-26.000000;0.000000
33;636.000000;-24.000000;0.000000
34;452.000000;-17.000000;0.000000
35;169.000000;-7.000000;0.000000
36;-138.000000;5.000000;0.000000
37;-418.000000;15.000000;0.000000
38;-627.000000;23.000000;0.000000
39;-714.000000;26.000000;0.000000
40;-651.000000;24.000000;0.000000
41;-467.000000;17.000000;0.000000
42;-213.000000;8.000000;0.000000
43;72.000000;-3.000000;0.000000
44;349.000000;-13.000000;0.000000
45;554.000000;-20.000000;0.000000
46;654.000000;-24.000000;0.000000
47;639.000000;-24.000000;0.000000
48;499.000000;-19.000000;0.000000
49;261.000000;-10.000000;0.000000
50;-24.000000;1.000000;0.000000
51;-296.000000;11.000000;0.000000
52;-514.000000;19.000000;0.000000
53;-633.000000;23.000000;0.000000
54;-625.000000;24.000000;0.000000
55;-501.000000;19.000000;0.000000
56;-289.000000;11.000000;0.000000
57;-25.000000;1.000000;0.000000
58;233.000000;-9.000000;0.000000
59;451.000000;-17.000000;0.000000
60;579.000000;-21.000000;0.000000
61;599.000000;-22.000000;0.000000
62;513.000000;-19.000000;0.000000
63;330.000000;-13.000000;0.000000
64;89.000000;-4.000000;0.000000
65;-170.000000;6.000000;0.000000
66;-392.000000;14.000000;0.000000
67;-532.000000;19.000000;0.000000
68;-568.000000;21.000000;0.000000
69;-493.000000;18.000000;0.000000
70;-332.000000;13.000000;0.000000
71;-119.000000;4.000000;0.000000
72;102.000000;-4.000000;0.000000
73;298.000000;-11.000000;0.000000
74;436.000000;-16.000000;0.000000
75;486.000000;-18.000000;0.000000
76;439.000000;-17.000000;0.000000
77;312.000000;-12.000000;0.000000
78;129.000000;-5.000000;0.000000
79;-80.000000;3.000000;0.000000
80;-256.000000;9.000000;0.000000
81;-382.000000;14.000000;0.000000
82;-429.000000;16.000000;0.000000
83;-387.000000;15.000000;0.000000
84;-271.000000;10.000000;0.000000
85;-113.000000;4.000000;0.000000
86;56.000000;-2.000000;0.000000
87;207.000000;-8.000000;0.000000
