takt;q1;q2;q2p
0;417.000000;-17.000000;0.000000
1;776.000000;-29.000000;0.000000
2;1040.000000;-40.000000;0.000000
3;1242.000000;-49.000000;0.000000
4;1360.000000;-54.000000;0.000000
5;1380.000000;-55.000000;0.000000
6;1363.000000;-55.000000;0.000000
7;1309.000000;-53.000000;0.000000
8;1206.000000;-49.000000;0.000000
9;1113.000000;-45.000000;0.000000
10;1041.000000;-42.000000;0.000000
11;938.000000;-38.000000;0.000000
12;823.000000;-33.000000;0.000000
13;732.000000;-30.000000;0.000000
14;628.000000;-25.000000;0.000000
15;515.000000;-21.000000;0.000000
16;427.000000;-17.000000;0.000000
17;342.000000;-14.000000;0.000000
18;250.000000;-10.000000;0.000000
19;177.000000;-7.000000;0.000000
20;125.000000;-5.000000;0.000000
21;81.000000;-4.000000;0.000000
22;56.000000;-2.000000;0.000000
23;50.000000;-2.000000;0.000000
24;50.000000;-2.000000;0.000000
25;60.000000;-2.000000;0.000000
26;72.000000;-2.000000;0.000000
27;81.000000;-3.000000;0.000000
28;81.000000;-3.000000;0.000000
29;81.000000;-3.000000;0.000000
30;80.000000;-3.000000;0.000000
31;78.000000;-3.000000;0.000000
32;77.000000;-3.000000;0.000000
33;79.000000;-3.000000;0.000000
34;83.000000;-3.000000;0.000000
35;83.000000;-3.000000;0.000000
36;87.000000;-3.000000;0.000000
37;84.000000;-3.000000;0.000000
38;80.000000;-3.000000;0.000000
39;86.000000;-3.000000;0.000000
40;87.000000;-3.000000;0.000000
41;85.000000;-3.000000;0.000000
42;91.000000;-3.000000;0.000000
43;90.000000;-3.000000;0.000000
44;90.000000;-3.000000;0.000000
45;97.000000;-3.000000;0.000000
46;97.000000;-3.000000;0.000000
47;96.000000;-3.000000;0.000000
48;101.000000;-4.000000;0.000000
49;97.000000;-4.000000;0.000000
50;97.000000;-4.000000;0.000000
51;99.000000;-4.000000;0.000000
52;95.000000;-4.000000;0.000000
53;99.000000;-4.000000;0.000000
54;100.000000;-4.000000;0.000000
55;99.000000;-4.000000;0.000000
56;102.000000;-4.000000;0.000000
