takt;q1;q2;q2p
0;399.000000;-16.000000;0.000000
1;736.000000;-28.000000;0.000000
2;982.000000;-39.000000;0.000000
3;1166.000000;-47.000000;0.000000
4;1248.000000;-50.000000;0.000000
5;1239.000000;-50.000000;0.000000
6;1197.000000;-49.000000;0.000000
7;1099.000000;-46.000000;0.000000
8;938.000000;-39.000000;0.000000
9;782.000000;-32.000000;0.000000
10;631.000000;-27.000000;0.000000
11;472.000000;-20.000000;0.000000
12;309.000000;-13.000000;0.000000
13;167.000000;-8.000000;0.000000
14;28.000000;-3.000000;0.000000
15;-101.000000;3.000000;0.000000
16;-206.000000;7.000000;0.000000
17;-291.000000;11.000000;0.000000
18;-361.000000;13.000000;0.000000
19;-410.000000;15.000000;0.000000
20;-432.000000;16.000000;0.000000
21;-439.000000;17.000000;0.000000
22;-431.000000;17.000000;0.000000
23;-401.000000;16.000000;0.000000
24;-361.000000;15.000000;0.000000
25;-318.000000;13.000000;0.000000
26;-275.000000;12.000000;0.000000
27;-222.000000;9.000000;0.000000
28;-182.000000;8.000000;0.000000
29;-142.000000;6.000000;0.000000
30;-108.000000;5.000000;0.000000
31;-92.000000;4.000000;0.000000
32;-80.000000;3.000000;0.000000
33;-74.000000;3.000000;0.000000
34;-71.000000;3.000000;0.000000
35;-73.000000;3.000000;0.000000
36;-79.000000;3.000000;0.000000
37;-86.000000;3.000000;0.000000
38;-93.000000;3.000000;0.000000
39;-96.000000;3.000000;0.000000
40;-97.000000;3.000000;0.000000
41;-95.000000;3.000000;0.000000
42;-95.000000;3.000000;0.000000
43;-94.000000;3.000000;0.000000
44;-91.000000;3.000000;0.000000
45;-89.000000;3.000000;0.000000
46;-88.000000;3.000000;0.000000
47;-87.000000;3.000000;0.000000
48;-89.000000;3.000000;0.000000
49;-94.000000;3.000000;0.000000
50;-94.000000;3.000000;0.000000
51;-95.000000;3.000000;0.000000
52;-97.000000;3.000000;0.000000
53;-97.000000;3.000000;0.000000
54;-96.000000;3.000000;0.000000
55;-95.000000;3.000000;0.000000
56;-91.000000;3.000000;0.000000
57;-86.000000;3.000000;0.000000
58;-85.000000;3.000000;0.000000
59;-82.000000;3.000000;0.000000
60;-77.000000;3.000000;0.000000
61;-77.000000;3.000000;0.000000
62;-75.000000;3.000000;0.000000
63;-73.000000;3.000000;0.000000
64;-74.000000;3.000000;0.000000
65;-74.000000;3.000000;0.000000
66;-74.000000;3.000000;0.000000
67;-75.000000;3.000000;0.000000
68;-76.000000;3.000000;0.000000
69;-77.000000;3.000000;0.000000
70;-78.000000;3.000000;0.000000
71;-76.000000;3.000000;0.000000
72;-75.000000;3.000000;0.000000
73;-76.000000;3.000000;0.000000
74;-73.000000;3.000000;0.000000
75;-70.000000;3.000000;0.000000
76;-71.000000;3.000000;0.000000
77;-69.000000;3.000000;0.000000
78;-66.000000;3.000000;0.000000
79;-67.000000;3.000000;0.000000
80;-63.000000;3.000000;0.000000
81;-61.000000;2.000000;0.000000
82;-66.000000;2.000000;0.000000
83;-67.000000;2.000000;0.000000
84;-66.000000;2.000000;0.000000
85;-69.000000;2.000000;0.000000
86;-67.000000;2.000000;0.000000
87;-64.000000;2.000000;0.000000
88;-65.000000;2.000000;0.000000
89;-59.000000;2.000000;0.000000
90;-51.000000;2.000000;0.000000
91;-47.000000;2.000000;0.000000
92;-41.000000;2.000000;0.000000
93;-36.000000;2.000000;0.000000
94;-33.000000;2.000000;0.000000
95;-34.000000;1.000000;0.000000
96;-34.000000;1.000000;0.000000
97;-33.000000;1.000000;0.000000
98;-35.000000;1.000000;0.000000
99;-35.000000;1.000000;0.000000
100;-34.000000;1.000000;0.000000
101;-33.000000;1.000000;0.000000
102;-33.000000;1.000000;0.000000
103;-29.000000;1.000000;0.000000
104;-23.000000;1.000000;0.000000
105;-23.000000;1.000000;0.000000
106;-20.000000;1.000000;0.000000
107;-14.000000;1.000000;0.000000
108;-13.000000;0.000000;0.000000
109;-14.000000;0.000000;0.000000
110;-10.000000;0.000000;0.000000
111;-10.000000;0.000000;0.000000
112;-12.000000;0.000000;0.000000
113;-5.000000;0.000000;0.000000
114;-2.000000;0.000000;0.000000
115;0.000000;0.000000;0.000000
116;10.000000;0.000000;0.000000
117;15.000000;-1.000000;0.000000
118;17.000000;-1.000000;0.000000
119;26.000000;-1.000000;0.000000
120;33.000000;-1.000000;0.000000
121;37.000000;-2.000000;0.000000
122;40.000000;-2.000000;0.000000
123;45.000000;-2.000000;0.000000
124;47.000000;-2.000000;0.000000
125;49.000000;-2.000000;0.000000
126;55.000000;-2.000000;0.000000
127;57.000000;-2.000000;0.000000
128;57.000000;-2.000000;0.000000
129;60.000000;-2.000000;0.000000
130;66.000000;-3.000000;0.000000
131;61.000000;-3.000000;0.000000
132;60.000000;-3.000000;0.000000
133;62.000000;-3.000000;0.000000
134;60.000000;-3.000000;0.000000
135;60.000000;-3.000000;0.000000
136;66.000000;-3.000000;0.000000
137;68.000000;-3.000000;0.000000
138;69.000000;-3.000000;0.000000
139;75.000000;-3.000000;0.000000
140;79.000000;-3.000000;0.000000
141;79.000000;-3.000000;0.000000
142;83.000000;-3.000000;0.000000
143;87.000000;-4.000000;0.000000
144;81.000000;-4.000000;0.000000
145;79.000000;-4.000000;0.000000
146;80.000000;-4.000000;0.000000
147;76.000000;-4.000000;0.000000
148;75.000000;-4.000000;0.000000
149;77.000000;-4.000000;0.000000
150;73.000000;-4.000000;0.000000
151;73.000000;-4.000000;0.000000
152;77.000000;-4.000000;0.000000
153;75.000000;-4.000000;0.000000
154;75.000000;-4.000000;0.000000
155;76.000000;-4.000000;0.000000
156;73.000000;-4.000000;0.000000
157;73.000000;-4.000000;0.000000
158;73.000000;-4.000000;0.000000
159;69.000000;-4.000000;0.000000
160;67.000000;-4.000000;0.000000
161;66.000000;-4.000000;0.000000
162;63.000000;-3.000000;0.000000
163;68.000000;-3.000000;0.000000
164;73.000000;-3.000000;0.000000
165;74.000000;-3.000000;0.000000
166;77.000000;-3.000000;0.000000
167;79.000000;-3.000000;0.000000
168;79.000000;-3.000000;0.000000
169;81.000000;-3.000000;0.000000
170;82.000000;-3.000000;0.000000
171;78.000000;-3.000000;0.000000
172;79.000000;-3.000000;0.000000
173;81.000000;-3.000000;0.000000
174;81.000000;-3.000000;0.000000
175;82.000000;-3.000000;0.000000
176;83.000000;-3.000000;0.000000
177;81.000000;-3.000000;0.000000
178;83.000000;-3.000000;0.000000
179;86.000000;-3.000000;0.000000
180;86.000000;-3.000000;0.000000
181;88.000000;-4.000000;0.000000
182;84.000000;-4.000000;0.000000
183;79.000000;-4.000000;0.000000
184;76.000000;-4.000000;0.000000
185;72.000000;-4.000000;0.000000
186;67.000000;-4.000000;0.000000
187;63.000000;-4.000000;0.000000
188;64.000000;-4.000000;0.000000
189;66.000000;-3.000000;0.000000
190;71.000000;-3.000000;0.000000
191;76.000000;-3.000000;0.000000
192;78.000000;-3.000000;0.000000
193;80.000000;-3.000000;0.000000
194;84.000000;-3.000000;0.000000
195;85.000000;-3.000000;0.000000
196;87.000000;-4.000000;0.000000
197;83.000000;-4.000000;0.000000
198;77.000000;-4.000000;0.000000
199;71.000000;-4.000000;0.000000
200;68.000000;-4.000000;0.000000
201;67.000000;-4.000000;0.000000
202;65.000000;-4.000000;0.000000
203;66.000000;-4.000000;0.000000
204;63.000000;-4.000000;0.000000
205;71.000000;-3.000000;0.000000
206;75.000000;-3.000000;0.000000
207;74.000000;-3.000000;0.000000
208;77.000000;-3.000000;0.000000
209;80.000000;-3.000000;0.000000
210;78.000000;-3.000000;0.000000
211;84.000000;-3.000000;0.000000
212;88.000000;-4.000000;0.000000
213;80.000000;-4.000000;0.000000
214;78.000000;-4.000000;0.000000
215;79.000000;-4.000000;0.000000
216;72.000000;-4.000000;0.000000
217;70.000000;-4.000000;0.000000
218;70.000000;-4.000000;0.000000
219;63.000000;-4.000000;0.000000
220;67.000000;-3.000000;0.000000
221;75.000000;-3.000000;0.000000
222;76.000000;-3.000000;0.000000
223;81.000000;-3.000000;0.000000
224;85.000000;-4.000000;0.000000
225;78.000000;-4.000000;0.000000
226;76.000000;-4.000000;0.000000
227;75.000000;-4.000000;0.000000
228;65.000000;-4.000000;0.000000
229;62.000000;-3.000000;0.000000
230;67.000000;-3.000000;0.000000
231;68.000000;-3.000000;0.000000
232;74.000000;-3.000000;0.000000
233;83.000000;-3.000000;0.000000
234;86.000000;-4.000000;0.000000
235;83.000000;-4.000000;0.000000
236;83.000000;-4.000000;0.000000
237;78.000000;-4.000000;0.000000
238;73.000000;-4.000000;0.000000
239;71.000000;-4.000000;0.000000
240;68.000000;-4.000000;0.000000
241;68.000000;-4.000000;0.000000
242;68.000000;-4.000000;0.000000
243;68.000000;-4.000000;0.000000
244;72.000000;-4.000000;0.000000
245;70.000000;-4.000000;0.000000
246;66.000000;-4.000000;0.000000
247;69.000000;-4.000000;0.000000
248;68.000000;-4.000000;0.000000
249;64.000000;-3.000000;0.000000
250;73.000000;-3.000000;0.000000
251;76.000000;-3.000000;0.000000
252;74.000000;-3.000000;0.000000
253;83.000000;-3.000000;0.000000
254;86.000000;-4.000000;0.000000
255;78.000000;-4.000000;0.000000
256;78.000000;-4.000000;0.000000
257;75.000000;-4.000000;0.000000
258;62.000000;-4.000000;0.000000
259;65.000000;-3.000000;0.000000
260;66.000000;-3.000000;0.000000
261;59.000000;-3.000000;0.000000
262;62.000000;-3.000000;0.000000
263;68.000000;-3.000000;0.000000
264;69.000000;-3.000000;0.000000
265;73.000000;-3.000000;0.000000
266;79.000000;-3.000000;0.000000
267;80.000000;-3.000000;0.000000
268;80.000000;-3.000000;0.000000
269;83.000000;-3.000000;0.000000
270;84.000000;-3.000000;0.000000
271;84.000000;-3.000000;0.000000
272;83.000000;-3.000000;0.000000
273;84.000000;-3.000000;0.000000
274;85.000000;-3.000000;0.000000
275;84.000000;-3.000000;0.000000
276;85.000000;-3.000000;0.000000
277;83.000000;-4.000000;0.000000
278;78.000000;-4.000000;0.000000
279;74.000000;-4.000000;0.000000
280;73.000000;-4.000000;0.000000
281;65.000000;-3.000000;0.000000
282;66.000000;-3.000000;0.000000
283;69.000000;-3.000000;0.000000
284;66.000000;-3.000000;0.000000
285;71.000000;-3.000000;0.000000
286;79.000000;-3.000000;0.000000
287;80.000000;-3.000000;0.000000
288;83.000000;-3.000000;0.000000
289;88.000000;-3.000000;0.000000
290;83.000000;-4.000000;0.016320
291;74.000000;-4.000000;23.538572
292;66.000000;-4.000000;47.060825
293;38.000000;-2.000000;70.583076
294;-9.000000;0.000000;94.105331
295;-84.000000;3.000000;117.627586
296;-198.000000;8.000000;141.149841
297;-360.000000;15.000000;164.672104
298;-562.000000;23.000000;188.194351
299;-817.000000;33.000000;211.716614
300;-1131.000000;46.000000;235.238861
301;-1497.000000;61.000000;258.761108
302;-1905.000000;78.000000;282.283356
303;-2356.000000;96.000000;305.805634
304;-2838.000000;116.000000;329.327881
305;-3353.000000;137.000000;352.850128
306;-3896.000000;159.000000;376.372375
307;-4453.000000;182.000000;399.894623
308;-5025.000000;205.000000;423.416901
309;-5615.000000;229.000000;446.939117
310;-6212.000000;254.000000;470.461395
