takt;q1;q2;q2p
0;399.000000;-17.000000;0.000000
1;732.000000;-27.000000;0.000000
2;953.000000;-36.000000;0.000000
3;1085.000000;-42.000000;0.000000
4;1098.000000;-43.000000;0.000000
5;993.000000;-39.000000;0.000000
6;835.000000;-34.000000;0.000000
7;607.000000;-25.000000;0.000000
8;310.000000;-13.000000;0.000000
9;21.000000;-1.000000;0.000000
10;-227.000000;8.000000;0.000000
11;-437.000000;16.000000;0.000000
12;-601.000000;23.000000;0.000000
13;-689.000000;27.000000;0.000000
14;-719.000000;27.000000;0.000000
15;-710.000000;28.000000;0.000000
16;-635.000000;25.000000;0.000000
17;-527.000000;21.000000;0.000000
18;-413.000000;16.000000;0.000000
19;-288.000000;11.000000;0.000000
20;-160.000000;7.000000;0.000000
21;-50.000000;2.000000;0.000000
22;46.000000;-2.000000;0.000000
23;134.000000;-5.000000;0.000000
24;195.000000;-8.000000;0.000000
25;236.000000;-9.000000;0.000000
26;256.000000;-10.000000;0.000000
27;257.000000;-11.000000;0.000000
28;232.000000;-10.000000;0.000000
29;189.000000;-8.000000;0.000000
30;141.000000;-6.000000;0.000000
31;85.000000;-5.000000;0.000000
32;35.000000;-2.000000;0.000000
33;-20.000000;0.000000;0.000000
34;-56.000000;1.000000;0.000000
35;-90.000000;3.000000;0.000000
36;-118.000000;4.000000;0.000000
37;-121.000000;4.000000;0.000000
38;-118.000000;4.000000;0.000000
39;-102.000000;4.000000;0.000000
40;-69.000000;3.000000;0.000000
41;-38.000000;1.000000;0.000000
42;-13.000000;0.000000;0.000000
43;20.000000;-1.000000;0.000000
44;43.000000;-2.000000;0.000000
45;52.000000;-2.000000;0.000000
46;66.000000;-3.000000;0.000000
47;64.000000;-3.000000;0.000000
48;52.000000;-3.000000;0.000000
49;35.000000;-2.000000;0.000000
50;18.000000;-2.000000;0.000000
51;-3.000000;-1.000000;0.000000
52;-23.000000;0.000000;0.000000
53;-29.000000;0.000000;0.000000
54;-39.000000;0.000000;0.000000
55;-38.000000;1.000000;0.000000
56;-27.000000;1.000000;0.000000
57;-15.000000;1.000000;0.000000
58;3.000000;0.000000;0.000000
59;16.000000;-1.000000;0.000000
60;25.000000;-1.000000;0.000000
61;37.000000;-2.000000;0.000000
62;44.000000;-2.000000;0.000000
63;48.000000;-2.000000;0.000000
64;52.000000;-2.000000;0.000000
65;45.000000;-2.000000;0.000000
66;39.000000;-2.000000;0.000000
67;29.000000;-2.000000;0.000000
68;18.000000;-2.000000;0.000000
69;7.000000;-1.000000;0.000000
70;-5.000000;-1.000000;0.000000
71;-11.000000;-1.000000;0.000000
72;-15.000000;-1.000000;0.000000
73;-2.000000;0.000000;0.000000
74;13.000000;0.000000;0.000000
75;23.000000;-1.000000;0.000000
76;39.000000;-2.000000;0.000000
77;49.000000;-2.000000;0.000000
78;54.000000;-2.000000;0.000000
79;58.000000;-2.000000;0.000000
80;57.000000;-3.000000;0.000000
81;43.000000;-3.000000;0.000000
82;28.000000;-2.000000;0.000000
83;24.000000;-2.000000;0.000000
84;7.000000;-1.000000;0.000000
85;4.000000;-1.000000;0.000000
86;8.000000;-1.000000;0.000000
87;6.000000;-1.000000;0.000000
88;10.000000;-1.000000;0.000000
89;30.000000;-1.000000;0.000000
90;37.000000;-2.000000;0.000000
91;39.000000;-2.000000;0.000000
92;51.000000;-2.000000;0.000000
93;51.000000;-2.000000;0.000000
94;45.000000;-2.000000;0.000000
95;46.000000;-2.000000;0.000000
96;44.000000;-2.000000;0.000000
97;35.000000;-2.000000;0.000000
98;31.000000;-2.000000;0.000000
99;31.000000;-2.000000;0.000000
100;28.000000;-2.000000;0.000000
101;26.000000;-2.000000;0.000000
102;26.000000;-2.000000;0.000000
103;27.000000;-2.000000;0.000000
104;27.000000;-2.000000;0.000000
105;24.000000;-2.000000;0.000000
106;27.000000;-2.000000;0.000000
107;28.000000;-2.000000;0.000000
108;23.000000;-2.000000;0.000000
109;24.000000;-2.000000;0.000000
110;28.000000;-2.000000;0.000000
111;23.000000;-2.000000;0.000000
112;26.000000;-2.000000;0.000000
113;30.000000;-2.000000;0.000000
114;24.000000;-2.000000;0.000000
115;25.000000;-2.000000;0.000000
116;28.000000;-2.000000;0.000000
117;23.000000;-2.000000;0.000000
118;24.000000;-2.000000;0.000000
119;26.000000;-2.000000;0.000000
120;22.000000;-2.000000;0.000000
121;24.000000;-2.000000;0.000000
122;24.000000;-2.000000;0.000000
123;22.000000;-2.000000;0.000000
124;25.000000;-2.000000;0.000000
125;29.000000;-2.000000;0.000000
126;27.000000;-2.000000;0.000000
127;31.000000;-2.000000;0.000000
128;33.000000;-2.000000;0.000000
129;29.000000;-2.000000;0.000000
130;29.000000;-2.000000;0.000000
131;27.000000;-2.000000;0.000000
132;18.000000;-2.000000;0.000000
133;14.000000;-2.000000;0.000000
134;13.000000;-1.000000;0.000000
135;16.000000;-1.000000;0.000000
136;24.000000;-1.000000;0.000000
137;34.000000;-1.000000;0.000000
138;36.000000;-2.000000;0.000000
139;42.000000;-2.000000;0.000000
140;48.000000;-2.000000;0.000000
141;48.000000;-2.000000;0.000000
142;50.000000;-2.000000;0.000000
143;45.000000;-2.000000;0.000000
144;39.000000;-2.000000;0.000000
145;36.000000;-2.000000;0.000000
146;31.000000;-2.000000;0.000000
147;26.000000;-2.000000;0.000000
148;26.000000;-2.000000;0.000000
149;19.000000;-2.000000;0.000000
150;16.000000;-1.000000;0.000000
151;29.000000;-2.000000;0.000000
152;26.000000;-2.000000;0.000000
153;25.000000;-2.000000;0.000000
154;34.000000;-2.000000;0.000000
