takt;q1;q2;q2p
0;414.000000;-17.000000;0.000000
1;756.000000;-28.000000;0.000000
2;981.000000;-38.000000;0.000000
3;1107.000000;-44.000000;0.000000
4;1097.000000;-44.000000;0.000000
5;959.000000;-38.000000;0.000000
6;773.000000;-31.000000;0.000000
7;514.000000;-22.000000;0.000000
8;194.000000;-9.000000;0.000000
9;-108.000000;3.000000;0.000000
10;-361.000000;13.000000;0.000000
11;-575.000000;22.000000;0.000000
12;-726.000000;28.000000;0.000000
13;-798.000000;31.000000;0.000000
14;-809.000000;31.000000;0.000000
15;-784.000000;31.000000;0.000000
16;-692.000000;27.000000;0.000000
17;-568.000000;22.000000;0.000000
18;-434.000000;17.000000;0.000000
19;-293.000000;12.000000;0.000000
20;-136.000000;5.000000;0.000000
21;-2.000000;0.000000;0.000000
22;115.000000;-5.000000;0.000000
23;222.000000;-9.000000;0.000000
24;296.000000;-12.000000;0.000000
25;331.000000;-13.000000;0.000000
26;345.000000;-14.000000;0.000000
27;330.000000;-14.000000;0.000000
28;284.000000;-12.000000;0.000000
29;219.000000;-10.000000;0.000000
30;151.000000;-7.000000;0.000000
31;72.000000;-4.000000;0.000000
32;-4.000000;-1.000000;0.000000
33;-71.000000;2.000000;0.000000
34;-124.000000;4.000000;0.000000
35;-168.000000;5.000000;0.000000
36;-194.000000;6.000000;0.000000
37;-202.000000;7.000000;0.000000
38;-199.000000;7.000000;0.000000
39;-183.000000;7.000000;0.000000
40;-148.000000;6.000000;0.000000
41;-115.000000;5.000000;0.000000
42;-84.000000;3.000000;0.000000
43;-43.000000;2.000000;0.000000
44;-13.000000;0.000000;0.000000
45;7.000000;-1.000000;0.000000
46;29.000000;-2.000000;0.000000
47;42.000000;-2.000000;0.000000
48;43.000000;-2.000000;0.000000
49;42.000000;-2.000000;0.000000
50;34.000000;-2.000000;0.000000
51;15.000000;-2.000000;0.000000
52;-4.000000;-1.000000;0.000000
53;-15.000000;-1.000000;0.000000
54;-29.000000;0.000000;0.000000
55;-39.000000;0.000000;0.000000
56;-37.000000;1.000000;0.000000
57;-36.000000;1.000000;0.000000
58;-32.000000;1.000000;0.000000
59;-19.000000;1.000000;0.000000
60;-9.000000;0.000000;0.000000
61;-6.000000;0.000000;0.000000
62;0.000000;0.000000;0.000000
63;1.000000;-1.000000;0.000000
64;-4.000000;-1.000000;0.000000
65;-4.000000;-1.000000;0.000000
66;-9.000000;-1.000000;0.000000
67;-16.000000;0.000000;0.000000
68;-14.000000;0.000000;0.000000
69;-18.000000;0.000000;0.000000
70;-22.000000;0.000000;0.000000
71;-21.000000;0.000000;0.000000
72;-24.000000;0.000000;0.000000
73;-24.000000;0.000000;0.000000
74;-22.000000;0.000000;0.000000
75;-21.000000;0.000000;0.000000
76;-19.000000;0.000000;0.000000
77;-15.000000;0.000000;0.000000
78;-13.000000;0.000000;0.000000
79;-11.000000;0.000000;0.000000
80;-10.000000;0.000000;0.000000
81;-12.000000;0.000000;0.000000
82;-11.000000;0.000000;0.000000
83;-14.000000;0.000000;0.000000
84;-18.000000;0.000000;0.000000
85;-19.000000;0.000000;0.000000
86;-23.000000;0.000000;0.000000
87;-26.000000;0.000000;0.000000
88;-25.000000;0.000000;0.000000
89;-25.000000;0.000000;0.000000
90;-26.000000;0.000000;0.000000
91;-23.000000;0.000000;0.000000
92;-22.000000;0.000000;0.000000
93;-24.000000;0.000000;0.000000
94;-23.000000;0.000000;0.000000
95;-23.000000;0.000000;0.000000
96;-25.000000;0.000000;0.000000
97;-25.000000;0.000000;0.000000
98;-26.000000;0.000000;0.000000
99;-28.000000;0.000000;0.000000
100;-28.000000;0.000000;0.000000
101;-29.000000;0.000000;0.000000
102;-29.000000;0.000000;0.000000
103;-28.000000;0.000000;0.000000
104;-29.000000;0.000000;0.000000
105;-30.000000;0.000000;0.000000
106;-29.000000;0.000000;0.000000
107;-30.000000;0.000000;0.000000
108;-30.000000;0.000000;0.000000
109;-31.000000;0.000000;0.000000
110;-33.000000;0.000000;0.000000
111;-35.000000;0.000000;0.000000
112;-36.000000;0.000000;0.000000
113;-38.000000;0.000000;0.000000
114;-37.000000;1.000000;0.000000
115;-34.000000;1.000000;0.000000
116;-36.000000;1.000000;0.000000
117;-36.000000;1.000000;0.000000
118;-33.000000;1.000000;0.000000
119;-36.000000;1.000000;0.000000
120;-36.000000;1.000000;0.000000
121;-35.000000;1.000000;0.000000
122;-39.000000;1.000000;0.000000
123;-38.000000;1.000000;0.000000
