takt;q1;q2;q2p
0;404.000000;-16.000000;0.000000
1;727.000000;-27.000000;0.000000
2;915.000000;-34.000000;0.000000
3;997.000000;-38.000000;0.000000
4;922.000000;-36.000000;0.000000
5;688.000000;-26.000000;0.000000
6;410.000000;-16.000000;0.000000
7;73.000000;-4.000000;0.000000
8;-298.000000;11.000000;0.000000
9;-587.000000;22.000000;0.000000
10;-765.000000;28.000000;0.000000
11;-850.000000;32.000000;0.000000
12;-830.000000;32.000000;0.000000
13;-705.000000;28.000000;0.000000
14;-539.000000;21.000000;0.000000
15;-339.000000;14.000000;0.000000
16;-99.000000;5.000000;0.000000
17;124.000000;-4.000000;0.000000
18;299.000000;-11.000000;0.000000
19;420.000000;-16.000000;0.000000
20;486.000000;-19.000000;0.000000
21;475.000000;-19.000000;0.000000
22;420.000000;-17.000000;0.000000
23;339.000000;-14.000000;0.000000
24;224.000000;-9.000000;0.000000
25;98.000000;-5.000000;0.000000
26;-12.000000;0.000000;0.000000
27;-102.000000;3.000000;0.000000
28;-169.000000;6.000000;0.000000
29;-196.000000;7.000000;0.000000
30;-197.000000;8.000000;0.000000
31;-187.000000;8.000000;0.000000
32;-167.000000;7.000000;0.000000
33;-140.000000;6.000000;0.000000
34;-105.000000;5.000000;0.000000
35;-82.000000;4.000000;0.000000
36;-57.000000;3.000000;0.000000
37;-26.000000;1.000000;0.000000
38;-3.000000;0.000000;0.000000
39;19.000000;0.000000;0.000000
40;46.000000;-1.000000;0.000000
41;71.000000;-3.000000;0.000000
42;84.000000;-3.000000;0.000000
43;106.000000;-4.000000;0.000000
44;111.000000;-4.000000;0.000000
45;104.000000;-4.000000;0.000000
46;101.000000;-4.000000;0.000000
47;84.000000;-4.000000;0.000000
48;52.000000;-3.000000;0.000000
49;27.000000;-2.000000;0.000000
50;-1.000000;0.000000;0.000000
51;-30.000000;0.000000;0.000000
52;-49.000000;1.000000;0.000000
53;-59.000000;2.000000;0.000000
54;-62.000000;2.000000;0.000000
55;-57.000000;2.000000;0.000000
56;-47.000000;2.000000;0.000000
57;-29.000000;2.000000;0.000000
58;-12.000000;1.000000;0.000000
59;5.000000;0.000000;0.000000
60;23.000000;0.000000;0.000000
61;32.000000;-1.000000;0.000000
62;38.000000;-1.000000;0.000000
63;47.000000;-2.000000;0.000000
64;45.000000;-2.000000;0.000000
65;39.000000;-2.000000;0.000000
66;36.000000;-2.000000;0.000000
67;29.000000;-2.000000;0.000000
68;23.000000;-1.000000;0.000000
69;18.000000;-1.000000;0.000000
70;11.000000;-1.000000;0.000000
71;5.000000;-1.000000;0.000000
72;6.000000;-1.000000;0.000000
73;7.000000;0.000000;0.000000
74;9.000000;0.000000;0.000000
75;14.000000;0.000000;0.000000
76;15.000000;0.000000;0.000000
77;16.000000;0.000000;0.000000
78;18.000000;0.000000;0.000000
79;17.000000;0.000000;0.000000
80;18.000000;0.000000;0.000000
81;19.000000;0.000000;0.000000
82;18.000000;0.000000;0.000000
83;18.000000;0.000000;0.000000
84;20.000000;0.000000;0.000000
85;18.000000;0.000000;0.000000
86;19.000000;0.000000;0.000000
87;19.000000;0.000000;0.000000
88;19.000000;0.000000;0.000000
89;23.000000;0.000000;0.000000
90;22.000000;-1.000000;0.000000
91;22.000000;-1.000000;0.000000
92;23.000000;-1.000000;0.000000
93;23.000000;-1.000000;0.000000
94;23.000000;-1.000000;0.000000
95;23.000000;-1.000000;0.000000
96;23.000000;-1.000000;0.000000
97;21.000000;-1.000000;0.000000
98;22.000000;-1.000000;0.000000
99;22.000000;-1.000000;0.000000
100;20.000000;-1.000000;0.000000
101;21.000000;-1.000000;0.000000
102;21.000000;-1.000000;0.000000
103;21.000000;-1.000000;0.000000
