takt;q1;q2;q2p
0;391.000000;-16.000000;0.000000
1;704.000000;-25.000000;0.000000
2;869.000000;-32.000000;0.000000
3;914.000000;-34.000000;0.000000
4;784.000000;-30.000000;0.000000
5;495.000000;-18.000000;0.000000
6;168.000000;-6.000000;0.000000
7;-203.000000;7.000000;0.000000
8;-599.000000;23.000000;0.000000
9;-894.000000;34.000000;0.000000
10;-1037.000000;39.000000;0.000000
11;-1057.000000;40.000000;0.000000
12;-922.000000;35.000000;0.000000
13;-642.000000;25.000000;0.000000
14;-307.000000;12.000000;0.000000
15;45.000000;-1.000000;0.000000
16;389.000000;-15.000000;0.000000
17;665.000000;-25.000000;0.000000
18;821.000000;-31.000000;0.000000
19;850.000000;-33.000000;0.000000
20;748.000000;-29.000000;0.000000
21;529.000000;-21.000000;0.000000
22;234.000000;-9.000000;0.000000
23;-71.000000;2.000000;0.000000
24;-353.000000;13.000000;0.000000
25;-577.000000;22.000000;0.000000
26;-703.000000;26.000000;0.000000
27;-712.000000;27.000000;0.000000
28;-618.000000;24.000000;0.000000
29;-440.000000;17.000000;0.000000
30;-203.000000;8.000000;0.000000
31;49.000000;-1.000000;0.000000
32;264.000000;-9.000000;0.000000
33;433.000000;-16.000000;0.000000
34;527.000000;-20.000000;0.000000
35;527.000000;-20.000000;0.000000
36;448.000000;-18.000000;0.000000
37;309.000000;-12.000000;0.000000
38;123.000000;-5.000000;0.000000
39;-71.000000;2.000000;0.000000
40;-235.000000;8.000000;0.000000
41;-347.000000;13.000000;0.000000
42;-399.000000;15.000000;0.000000
43;-373.000000;15.000000;0.000000
44;-292.000000;12.000000;0.000000
45;-174.000000;7.000000;0.000000
46;-33.000000;2.000000;0.000000
47;106.000000;-4.000000;0.000000
48;210.000000;-7.000000;0.000000
49;269.000000;-10.000000;0.000000
50;279.000000;-10.000000;0.000000
51;243.000000;-10.000000;0.000000
52;156.000000;-7.000000;0.000000
53;54.000000;-3.000000;0.000000
54;-50.000000;1.000000;0.000000
55;-148.000000;5.000000;0.000000
56;-210.000000;7.000000;0.000000
57;-222.000000;8.000000;0.000000
58;-202.000000;8.000000;0.000000
59;-144.000000;6.000000;0.000000
60;-64.000000;3.000000;0.000000
61;18.000000;0.000000;0.000000
62;88.000000;-3.000000;0.000000
63;145.000000;-5.000000;0.000000
64;165.000000;-6.000000;0.000000
65;147.000000;-6.000000;0.000000
66;101.000000;-5.000000;0.000000
67;40.000000;-2.000000;0.000000
68;-32.000000;0.000000;0.000000
69;-91.000000;3.000000;0.000000
70;-133.000000;4.000000;0.000000
71;-152.000000;5.000000;0.000000
72;-144.000000;5.000000;0.000000
73;-114.000000;5.000000;0.000000
74;-60.000000;3.000000;0.000000
75;-5.000000;1.000000;0.000000
76;52.000000;-1.000000;0.000000
77;95.000000;-3.000000;0.000000
78;118.000000;-4.000000;0.000000
79;117.000000;-4.000000;0.000000
80;98.000000;-4.000000;0.000000
81;62.000000;-3.000000;0.000000
82;14.000000;-1.000000;0.000000
83;-30.000000;0.000000;0.000000
84;-67.000000;2.000000;0.000000
85;-98.000000;3.000000;0.000000
86;-109.000000;4.000000;0.000000
87;-94.000000;4.000000;0.000000
88;-70.000000;3.000000;0.000000
89;-40.000000;2.000000;0.000000
90;-4.000000;1.000000;0.000000
91;32.000000;-1.000000;0.000000
92;53.000000;-2.000000;0.000000
93;63.000000;-2.000000;0.000000
94;67.000000;-2.000000;0.000000
95;56.000000;-2.000000;0.000000
96;35.000000;-2.000000;0.000000
97;14.000000;-1.000000;0.000000
98;-11.000000;0.000000;0.000000
99;-30.000000;1.000000;0.000000
100;-38.000000;1.000000;0.000000
101;-42.000000;1.000000;0.000000
102;-47.000000;1.000000;0.000000
103;-44.000000;1.000000;0.000000
104;-35.000000;1.000000;0.000000
105;-24.000000;1.000000;0.000000
106;-12.000000;1.000000;0.000000
107;5.000000;0.000000;0.000000
108;18.000000;0.000000;0.000000
109;26.000000;-1.000000;0.000000
110;28.000000;-1.000000;0.000000
111;28.000000;-1.000000;0.000000
112;22.000000;-1.000000;0.000000
113;10.000000;-1.000000;0.000000
114;-5.000000;0.000000;0.000000
115;-13.000000;0.000000;0.000000
116;-22.000000;0.000000;0.000000
117;-28.000000;0.000000;0.000000
118;-28.000000;1.000000;0.000000
119;-25.000000;1.000000;0.000000
120;-20.000000;1.000000;0.000000
121;-13.000000;1.000000;0.000000
122;2.000000;0.000000;0.000000
123;8.000000;0.000000;0.000000
124;13.000000;0.000000;0.000000
125;21.000000;0.000000;0.000000
126;16.000000;-1.000000;0.000000
127;11.000000;-1.000000;0.000000
128;5.000000;-1.000000;0.000000
