takt;q1;q2;q2p
0;395.000000;-16.000000;0.000000
1;704.000000;-25.000000;0.000000
2;858.000000;-31.000000;0.000000
3;878.000000;-32.000000;0.000000
4;709.000000;-26.000000;0.000000
5;353.000000;-12.000000;0.000000
6;-36.000000;2.000000;0.000000
7;-437.000000;16.000000;0.000000
8;-833.000000;31.000000;0.000000
9;-1080.000000;41.000000;0.000000
10;-1126.000000;42.000000;0.000000
11;-1023.000000;39.000000;0.000000
12;-774.000000;30.000000;0.000000
13;-385.000000;15.000000;0.000000
14;30.000000;-1.000000;0.000000
15;391.000000;-15.000000;0.000000
16;688.000000;-25.000000;0.000000
17;851.000000;-31.000000;0.000000
18;825.000000;-31.000000;0.000000
19;642.000000;-24.000000;0.000000
20;348.000000;-13.000000;0.000000
21;-35.000000;1.000000;0.000000
22;-422.000000;16.000000;0.000000
23;-713.000000;26.000000;0.000000
24;-871.000000;32.000000;0.000000
25;-881.000000;33.000000;0.000000
26;-721.000000;27.000000;0.000000
27;-441.000000;16.000000;0.000000
28;-113.000000;4.000000;0.000000
29;241.000000;-9.000000;0.000000
30;557.000000;-21.000000;0.000000
31;758.000000;-28.000000;0.000000
32;803.000000;-29.000000;0.000000
33;700.000000;-26.000000;0.000000
34;476.000000;-18.000000;0.000000
35;153.000000;-6.000000;0.000000
36;-201.000000;7.000000;0.000000
37;-519.000000;19.000000;0.000000
38;-747.000000;28.000000;0.000000
39;-836.000000;31.000000;0.000000
40;-754.000000;28.000000;0.000000
41;-539.000000;20.000000;0.000000
42;-237.000000;9.000000;0.000000
43;116.000000;-5.000000;0.000000
44;445.000000;-17.000000;0.000000
45;685.000000;-25.000000;0.000000
46;808.000000;-29.000000;0.000000
47;777.000000;-29.000000;0.000000
48;584.000000;-22.000000;0.000000
49;285.000000;-11.000000;0.000000
50;-57.000000;2.000000;0.000000
51;-404.000000;15.000000;0.000000
52;-669.000000;25.000000;0.000000
53;-809.000000;30.000000;0.000000
54;-797.000000;30.000000;0.000000
55;-633.000000;24.000000;0.000000
56;-358.000000;13.000000;0.000000
57;-23.000000;1.000000;0.000000
58;313.000000;-12.000000;0.000000
59;590.000000;-22.000000;0.000000
60;764.000000;-28.000000;0.000000
61;791.000000;-30.000000;0.000000
62;656.000000;-24.000000;0.000000
63;397.000000;-15.000000;0.000000
64;70.000000;-3.000000;0.000000
65;-278.000000;10.000000;0.000000
66;-569.000000;21.000000;0.000000
67;-744.000000;27.000000;0.000000
68;-790.000000;29.000000;0.000000
69;-681.000000;26.000000;0.000000
70;-443.000000;17.000000;0.000000
71;-137.000000;5.000000;0.000000
