takt;q1;q2;q2p
0;413.000000;-17.000000;0.000000
1;838.000000;-33.000000;0.000000
2;1240.000000;-36.000000;0.000000
3;1503.000000;-44.000000;0.000000
4;1674.000000;-48.000000;0.000000
5;1737.000000;-51.000000;0.000000
6;1656.000000;-51.000000;0.000000
7;1515.000000;-44.000000;0.000000
8;1309.000000;-36.000000;0.000000
9;1022.000000;-27.000000;0.000000
10;706.000000;-15.000000;0.000000
11;411.000000;-3.000000;0.000000
12;115.000000;7.000000;0.000000
13;-181.000000;19.000000;0.000000
14;-450.000000;27.000000;0.000000
15;-719.000000;28.000000;0.000000
16;-913.000000;36.000000;0.000000
17;-1035.000000;41.000000;0.000000
18;-1069.000000;41.000000;0.000000
19;-1027.000000;41.000000;0.000000
20;-955.000000;38.000000;0.000000
21;-819.000000;33.000000;0.000000
22;-634.000000;25.000000;0.000000
23;-437.000000;18.000000;0.000000
24;-239.000000;10.000000;0.000000
25;-30.000000;1.000000;0.000000
26;183.000000;-6.000000;0.000000
27;375.000000;-13.000000;0.000000
28;580.000000;-17.000000;0.000000
29;793.000000;-18.000000;0.000000
30;943.000000;-23.000000;0.000000
31;1048.000000;-26.000000;0.000000
32;1107.000000;-28.000000;0.000000
33;1094.000000;-29.000000;0.000000
34;1030.000000;-26.000000;0.000000
35;942.000000;-23.000000;0.000000
36;804.000000;-18.000000;0.000000
37;637.000000;-12.000000;0.000000
38;472.000000;-5.000000;0.000000
39;302.000000;1.000000;0.000000
40;132.000000;8.000000;0.000000
41;-31.000000;14.000000;0.000000
42;-192.000000;17.000000;0.000000
43;-359.000000;16.000000;0.000000
44;-473.000000;19.000000;0.000000
45;-531.000000;20.000000;0.000000
46;-560.000000;22.000000;0.000000
47;-521.000000;22.000000;0.000000
48;-451.000000;18.000000;0.000000
49;-361.000000;14.000000;0.000000
50;-246.000000;11.000000;0.000000
51;-115.000000;5.000000;0.000000
52;4.000000;1.000000;0.000000
53;114.000000;-4.000000;0.000000
54;229.000000;-9.000000;0.000000
55;327.000000;-12.000000;0.000000
56;418.000000;-12.000000;0.000000
57;515.000000;-10.000000;0.000000
58;581.000000;-8.000000;0.000000
59;630.000000;-11.000000;0.000000
60;679.000000;-12.000000;0.000000
61;688.000000;-13.000000;0.000000
62;678.000000;-12.000000;0.000000
63;650.000000;-12.000000;0.000000
64;596.000000;-10.000000;0.000000
65;522.000000;-7.000000;0.000000
66;451.000000;-5.000000;0.000000
67;375.000000;-2.000000;0.000000
68;282.000000;2.000000;0.000000
69;193.000000;5.000000;0.000000
70;113.000000;8.000000;0.000000
71;32.000000;9.000000;0.000000
72;-50.000000;9.000000;0.000000
73;-120.000000;7.000000;0.000000
74;-164.000000;6.000000;0.000000
75;-215.000000;9.000000;0.000000
76;-249.000000;10.000000;0.000000
77;-241.000000;10.000000;0.000000
78;-229.000000;9.000000;0.000000
79;-211.000000;9.000000;0.000000
80;-153.000000;6.000000;0.000000
81;-96.000000;4.000000;0.000000
82;-56.000000;3.000000;0.000000
83;3.000000;1.000000;0.000000
84;73.000000;-2.000000;0.000000
85;114.000000;-5.000000;0.000000
86;162.000000;-5.000000;0.000000
87;212.000000;-5.000000;0.000000
88;253.000000;-5.000000;0.000000
89;277.000000;-4.000000;0.000000
90;313.000000;-3.000000;0.000000
91;347.000000;-1.000000;0.000000
92;358.000000;-1.000000;0.000000
93;375.000000;-2.000000;0.000000
94;396.000000;-3.000000;0.000000
95;397.000000;-4.000000;0.000000
96;396.000000;-4.000000;0.000000
97;404.000000;-4.000000;0.000000
98;394.000000;-3.000000;0.000000
99;376.000000;-2.000000;0.000000
100;369.000000;-2.000000;0.000000
101;357.000000;-2.000000;0.000000
102;335.000000;-2.000000;0.000000
103;325.000000;-1.000000;0.000000
104;321.000000;-1.000000;0.000000
105;307.000000;-1.000000;0.000000
106;301.000000;-2.000000;0.000000
107;308.000000;-2.000000;0.000000
108;306.000000;-2.000000;0.000000
109;303.000000;-2.000000;0.000000
110;312.000000;-1.000000;0.000000
111;314.000000;0.000000;0.000000
112;309.000000;0.000000;0.000000
113;314.000000;-1.000000;0.000000
114;317.000000;-1.000000;0.000000
115;308.000000;-2.000000;0.000000
116;306.000000;-2.000000;0.000000
117;309.000000;-1.000000;0.000000
118;301.000000;0.000000;0.000000
119;299.000000;0.000000;0.000000
120;305.000000;0.000000;0.000000
121;303.000000;0.000000;0.000000
122;301.000000;-2.000000;0.000000
123;309.000000;-2.000000;0.000000
124;313.000000;-2.000000;0.000000
125;310.000000;-2.000000;0.000000
126;315.000000;-1.000000;0.000000
127;317.000000;0.000000;0.000000
128;309.000000;0.000000;0.000000
129;309.000000;0.000000;0.000000
130;311.000000;-2.000000;0.000000
131;305.000000;-3.000000;0.000000
