takt;q1;q2;q2p
0;414.000000;-17.000000;0.000000
1;828.000000;-31.000000;0.000000
2;1197.000000;-30.000000;0.000000
3;1391.000000;-38.000000;0.000000
4;1524.000000;-42.000000;0.000000
5;1484.000000;-42.000000;0.000000
6;1311.000000;-35.000000;0.000000
7;1098.000000;-28.000000;0.000000
8;752.000000;-17.000000;0.000000
9;373.000000;-2.000000;0.000000
10;15.000000;10.000000;0.000000
11;-356.000000;23.000000;0.000000
12;-739.000000;31.000000;0.000000
13;-1013.000000;39.000000;0.000000
14;-1210.000000;45.000000;0.000000
15;-1300.000000;49.000000;0.000000
16;-1213.000000;47.000000;0.000000
17;-1040.000000;40.000000;0.000000
18;-796.000000;31.000000;0.000000
19;-483.000000;19.000000;0.000000
20;-136.000000;5.000000;0.000000
21;185.000000;-8.000000;0.000000
22;503.000000;-20.000000;0.000000
23;861.000000;-25.000000;0.000000
24;1066.000000;-28.000000;0.000000
25;1239.000000;-35.000000;0.000000
26;1345.000000;-38.000000;0.000000
27;1287.000000;-38.000000;0.000000
28;1172.000000;-33.000000;0.000000
29;999.000000;-27.000000;0.000000
30;752.000000;-17.000000;0.000000
31;473.000000;-7.000000;0.000000
32;196.000000;3.000000;0.000000
33;-75.000000;12.000000;0.000000
34;-363.000000;21.000000;0.000000
35;-637.000000;24.000000;0.000000
36;-808.000000;30.000000;0.000000
37;-910.000000;33.000000;0.000000
38;-973.000000;37.000000;0.000000
39;-880.000000;33.000000;0.000000
40;-744.000000;28.000000;0.000000
41;-567.000000;22.000000;0.000000
42;-315.000000;12.000000;0.000000
43;-65.000000;2.000000;0.000000
44;173.000000;-7.000000;0.000000
45;420.000000;-16.000000;0.000000
46;699.000000;-22.000000;0.000000
47;925.000000;-21.000000;0.000000
48;1066.000000;-27.000000;0.000000
49;1163.000000;-31.000000;0.000000
50;1149.000000;-32.000000;0.000000
51;1064.000000;-28.000000;0.000000
52;942.000000;-24.000000;0.000000
53;741.000000;-16.000000;0.000000
54;507.000000;-8.000000;0.000000
55;266.000000;2.000000;0.000000
56;17.000000;10.000000;0.000000
57;-225.000000;17.000000;0.000000
58;-482.000000;21.000000;0.000000
59;-661.000000;25.000000;0.000000
60;-772.000000;29.000000;0.000000
61;-849.000000;31.000000;0.000000
62;-814.000000;31.000000;0.000000
63;-687.000000;26.000000;0.000000
64;-526.000000;20.000000;0.000000
65;-323.000000;13.000000;0.000000
66;-66.000000;3.000000;0.000000
67;155.000000;-7.000000;0.000000
68;383.000000;-15.000000;0.000000
69;661.000000;-20.000000;0.000000
70;875.000000;-20.000000;0.000000
71;1006.000000;-25.000000;0.000000
72;1106.000000;-28.000000;0.000000
73;1109.000000;-30.000000;0.000000
74;1022.000000;-26.000000;0.000000
75;909.000000;-22.000000;0.000000
76;723.000000;-16.000000;0.000000
77;463.000000;-6.000000;0.000000
78;252.000000;1.000000;0.000000
79;28.000000;9.000000;0.000000
80;-219.000000;16.000000;0.000000
81;-434.000000;20.000000;0.000000
82;-609.000000;22.000000;0.000000
83;-731.000000;27.000000;0.000000
84;-786.000000;28.000000;0.000000
85;-751.000000;28.000000;0.000000
86;-643.000000;23.000000;0.000000
87;-499.000000;18.000000;0.000000
88;-321.000000;12.000000;0.000000
89;-75.000000;3.000000;0.000000
90;142.000000;-5.000000;0.000000
91;346.000000;-12.000000;0.000000
92;615.000000;-18.000000;0.000000
93;825.000000;-19.000000;0.000000
94;946.000000;-23.000000;0.000000
95;1047.000000;-27.000000;0.000000
96;1037.000000;-27.000000;0.000000
97;967.000000;-25.000000;0.000000
98;857.000000;-20.000000;0.000000
99;690.000000;-16.000000;0.000000
100;466.000000;-7.000000;0.000000
101;256.000000;2.000000;0.000000
102;59.000000;9.000000;0.000000
103;-166.000000;16.000000;0.000000
104;-378.000000;18.000000;0.000000
105;-553.000000;20.000000;0.000000
106;-680.000000;24.000000;0.000000
107;-722.000000;27.000000;0.000000
108;-676.000000;25.000000;0.000000
109;-602.000000;22.000000;0.000000
110;-466.000000;17.000000;0.000000
111;-280.000000;10.000000;0.000000
112;-83.000000;3.000000;0.000000
113;127.000000;-5.000000;0.000000
114;327.000000;-12.000000;0.000000
115;515.000000;-18.000000;0.000000
116;720.000000;-18.000000;0.000000
117;837.000000;-20.000000;0.000000
118;936.000000;-23.000000;0.000000
119;959.000000;-24.000000;0.000000
120;877.000000;-23.000000;0.000000
121;800.000000;-18.000000;0.000000
122;651.000000;-14.000000;0.000000
123;465.000000;-6.000000;0.000000
124;285.000000;1.000000;0.000000
125;94.000000;6.000000;0.000000
126;-100.000000;12.000000;0.000000
127;-295.000000;16.000000;0.000000
128;-462.000000;16.000000;0.000000
129;-588.000000;21.000000;0.000000
130;-647.000000;23.000000;0.000000
131;-655.000000;24.000000;0.000000
132;-579.000000;21.000000;0.000000
133;-462.000000;17.000000;0.000000
134;-316.000000;12.000000;0.000000
135;-128.000000;5.000000;0.000000
136;67.000000;-3.000000;0.000000
137;253.000000;-10.000000;0.000000
138;437.000000;-16.000000;0.000000
139;646.000000;-17.000000;0.000000
140;755.000000;-16.000000;0.000000
141;839.000000;-20.000000;0.000000
142;901.000000;-21.000000;0.000000
143;854.000000;-21.000000;0.000000
144;774.000000;-17.000000;0.000000
145;670.000000;-14.000000;0.000000
146;505.000000;-8.000000;0.000000
147;330.000000;-1.000000;0.000000
148;176.000000;4.000000;0.000000
149;16.000000;10.000000;0.000000
150;-176.000000;15.000000;0.000000
151;-327.000000;15.000000;0.000000
152;-435.000000;15.000000;0.000000
153;-519.000000;18.000000;0.000000
154;-526.000000;19.000000;0.000000
155;-502.000000;19.000000;0.000000
156;-426.000000;15.000000;0.000000
157;-310.000000;11.000000;0.000000
158;-181.000000;6.000000;0.000000
159;-12.000000;1.000000;0.000000
160;146.000000;-6.000000;0.000000
161;289.000000;-11.000000;0.000000
162;467.000000;-14.000000;0.000000
163;634.000000;-13.000000;0.000000
164;714.000000;-15.000000;0.000000
