takt;q1;q2;q2p
0;404.000000;-17.000000;0.000000
1;728.000000;-27.000000;0.000000
2;914.000000;-35.000000;0.000000
3;1017.000000;-40.000000;0.000000
4;996.000000;-41.000000;0.000000
5;857.000000;-35.000000;0.000000
6;708.000000;-30.000000;0.000000
7;514.000000;-22.000000;0.000000
8;266.000000;-12.000000;0.000000
9;66.000000;-4.000000;0.000000
10;-74.000000;1.000000;0.000000
11;-196.000000;6.000000;0.000000
12;-281.000000;10.000000;0.000000
13;-311.000000;11.000000;0.000000
14;-333.000000;12.000000;0.000000
15;-343.000000;12.000000;0.000000
16;-311.000000;12.000000;0.000000
17;-284.000000;11.000000;0.000000
18;-271.000000;11.000000;0.000000
19;-255.000000;10.000000;0.000000
20;-233.000000;9.000000;0.000000
21;-225.000000;9.000000;0.000000
22;-210.000000;8.000000;0.000000
23;-186.000000;7.000000;0.000000
24;-167.000000;6.000000;0.000000
25;-145.000000;5.000000;0.000000
26;-121.000000;5.000000;0.000000
27;-100.000000;4.000000;0.000000
28;-90.000000;3.000000;0.000000
29;-86.000000;3.000000;0.000000
30;-84.000000;3.000000;0.000000
31;-89.000000;3.000000;0.000000
32;-92.000000;3.000000;0.000000
33;-92.000000;3.000000;0.000000
34;-94.000000;3.000000;0.000000
35;-92.000000;3.000000;0.000000
36;-89.000000;3.000000;0.000000
37;-86.000000;3.000000;0.000000
38;-81.000000;3.000000;0.000000
39;-78.000000;3.000000;0.000000
40;-78.000000;3.000000;0.000000
41;-76.000000;3.000000;0.000000
42;-75.000000;3.000000;0.000000
43;-74.000000;2.000000;0.000000
44;-77.000000;2.000000;0.000000
45;-75.000000;2.000000;0.000000
46;-75.000000;2.000000;0.000000
47;-78.000000;2.000000;0.000000
48;-75.000000;2.000000;0.000000
49;-77.000000;2.000000;0.000000
50;-77.000000;2.000000;0.000000
51;-77.000000;2.000000;0.000000
52;-78.000000;2.000000;0.000000
53;-78.000000;2.000000;0.000000
54;-81.000000;2.000000;0.000000
55;-79.000000;2.000000;0.000000
56;-78.000000;2.000000;0.000000
57;-76.000000;2.000000;0.000000
58;-75.000000;2.000000;0.000000
59;-75.000000;2.000000;0.000000
60;-74.000000;2.000000;0.000000
61;-73.000000;2.000000;0.000000
62;-73.000000;2.000000;0.000000
63;-72.000000;2.000000;0.000000
