takt;q1;q2;q2p
0;394.000000;-16.000000;0.000000
1;704.000000;-24.000000;0.000000
2;851.000000;-31.000000;0.000000
3;926.000000;-35.000000;0.000000
4;869.000000;-34.000000;0.000000
5;709.000000;-27.000000;0.000000
6;572.000000;-23.000000;0.000000
7;407.000000;-17.000000;0.000000
8;187.000000;-8.000000;0.000000
9;40.000000;-2.000000;0.000000
10;-31.000000;0.000000;0.000000
11;-99.000000;4.000000;0.000000
12;-144.000000;6.000000;0.000000
13;-133.000000;6.000000;0.000000
14;-155.000000;6.000000;0.000000
15;-180.000000;7.000000;0.000000
16;-157.000000;7.000000;0.000000
17;-148.000000;7.000000;0.000000
18;-156.000000;7.000000;0.000000
19;-142.000000;6.000000;0.000000
20;-128.000000;6.000000;0.000000
21;-136.000000;5.000000;0.000000
22;-119.000000;5.000000;0.000000
23;-81.000000;4.000000;0.000000
24;-71.000000;4.000000;0.000000
25;-61.000000;3.000000;0.000000
26;-45.000000;2.000000;0.000000
27;-41.000000;2.000000;0.000000
28;-44.000000;2.000000;0.000000
29;-33.000000;2.000000;0.000000
30;-34.000000;2.000000;0.000000
31;-49.000000;2.000000;0.000000
32;-58.000000;2.000000;0.000000
33;-57.000000;2.000000;0.000000
34;-62.000000;2.000000;0.000000
35;-60.000000;3.000000;0.000000
36;-55.000000;3.000000;0.000000
37;-57.000000;3.000000;0.000000
38;-55.000000;3.000000;0.000000
39;-49.000000;3.000000;0.000000
40;-46.000000;3.000000;0.000000
41;-47.000000;3.000000;0.000000
42;-44.000000;3.000000;0.000000
43;-49.000000;3.000000;0.000000
44;-49.000000;3.000000;0.000000
45;-44.000000;2.000000;0.000000
46;-52.000000;2.000000;0.000000
47;-50.000000;2.000000;0.000000
48;-49.000000;2.000000;0.000000
49;-54.000000;2.000000;0.000000
50;-50.000000;2.000000;0.000000
51;-47.000000;2.000000;0.000000
52;-50.000000;2.000000;0.000000
53;-48.000000;2.000000;0.000000
54;-44.000000;2.000000;0.000000
55;-46.000000;2.000000;0.000000
56;-45.000000;2.000000;0.000000
57;-43.000000;2.000000;0.000000
58;-46.000000;2.000000;0.000000
59;-47.000000;2.000000;0.000000
60;-45.000000;2.000000;0.000000
61;-48.000000;2.000000;0.000000
62;-47.000000;2.000000;0.000000
63;-43.000000;2.000000;0.000000
64;-46.000000;2.000000;0.000000
65;-47.000000;2.000000;0.000000
66;-46.000000;2.000000;0.000000
67;-49.000000;2.000000;0.000000
68;-51.000000;2.000000;0.000000
69;-47.000000;2.000000;0.000000
70;-48.000000;2.000000;0.000000
71;-48.000000;2.000000;0.000000
72;-42.000000;2.000000;0.000000
73;-43.000000;2.000000;0.000000
74;-43.000000;2.000000;0.000000
75;-40.000000;2.000000;0.000000
76;-44.000000;2.000000;0.000000
77;-43.000000;2.000000;0.000000
78;-40.000000;2.000000;0.000000
79;-44.000000;2.000000;0.000000
80;-43.000000;2.000000;0.000000
81;-41.000000;2.000000;0.000000
82;-46.000000;2.000000;0.000000
83;-44.000000;2.000000;0.000000
84;-42.000000;2.000000;0.000000
85;-47.000000;2.000000;0.000000
86;-44.000000;2.000000;0.000000
87;-39.000000;2.000000;0.000000
88;-40.000000;2.000000;0.000000
89;-38.000000;2.000000;0.000000
90;-35.000000;2.000000;0.000000
91;-38.000000;2.000000;0.000000
92;-36.000000;2.000000;0.000000
93;-32.000000;2.000000;0.000000
94;-34.000000;2.000000;0.000000
95;-33.000000;2.000000;0.000000
96;-30.000000;2.000000;0.000000
97;-33.000000;2.000000;0.000000
98;-33.000000;2.000000;0.000000
99;-30.000000;2.000000;0.000000
100;-34.000000;2.000000;0.000000
101;-31.000000;2.000000;0.000000
102;-26.000000;2.000000;0.000000
103;-27.000000;2.000000;0.000000
104;-26.000000;2.000000;0.000000
105;-24.000000;2.000000;0.000000
106;-28.000000;2.000000;0.000000
107;-27.000000;2.000000;0.000000
108;-23.000000;2.000000;0.000000
109;-28.000000;2.000000;0.000000
110;-26.000000;2.000000;0.000000
111;-22.000000;2.000000;0.000000
112;-26.000000;2.000000;0.000000
113;-23.000000;2.000000;0.000000
114;-21.000000;1.000000;0.000000
115;-30.000000;1.000000;0.000000
116;-25.000000;1.000000;0.000000
117;-22.000000;1.000000;0.000000
118;-26.000000;1.000000;0.000000
119;-19.000000;1.000000;0.000000
120;-17.000000;1.000000;0.000000
121;-23.000000;1.000000;0.000000
122;-16.000000;1.000000;0.000000
123;-13.000000;1.000000;0.000000
124;-17.000000;1.000000;0.000000
125;-15.000000;1.000000;0.000000
126;-11.000000;1.000000;0.000000
127;-15.000000;1.000000;0.000000
128;-12.000000;1.000000;0.000000
129;-9.000000;1.000000;0.000000
130;-15.000000;1.000000;0.000000
131;-11.000000;1.000000;0.000000
132;-8.000000;1.000000;0.000000
133;-11.000000;1.000000;0.000000
134;-7.000000;1.000000;0.000000
135;-4.000000;1.000000;0.000000
136;-7.000000;1.000000;0.000000
137;-5.000000;1.000000;0.000000
138;-1.000000;1.000000;0.000000
139;-4.000000;1.000000;0.000000
140;-2.000000;1.000000;0.000000
141;0.000000;1.000000;0.000000
142;-1.000000;1.000000;0.000000
143;-1.000000;1.000000;0.000000
144;1.000000;1.000000;0.000000
145;-1.000000;1.000000;0.000000
146;0.000000;1.000000;0.000000
147;3.000000;1.000000;0.000000
148;0.000000;1.000000;0.000000
149;4.000000;1.000000;0.000000
150;5.000000;0.000000;0.000000
151;-1.000000;0.000000;0.000000
152;3.000000;0.000000;0.000000
153;1.000000;0.000000;0.000000
154;-1.000000;0.000000;0.000000
155;5.000000;0.000000;0.000000
156;5.000000;0.000000;0.000000
157;4.000000;0.000000;0.000000
158;8.000000;0.000000;0.000000
159;6.000000;0.000000;0.000000
160;4.000000;0.000000;0.000000
161;6.000000;0.000000;0.000000
162;6.000000;0.000000;0.000000
163;4.000000;0.000000;0.000000
164;7.000000;0.000000;0.000000
165;7.000000;0.000000;0.000000
166;6.000000;0.000000;0.000000
167;8.000000;0.000000;0.000000
168;6.000000;0.000000;0.000000
169;6.000000;0.000000;0.000000
170;7.000000;0.000000;0.000000
171;8.000000;0.000000;0.000000
172;8.000000;0.000000;0.000000
173;8.000000;0.000000;0.000000
174;9.000000;0.000000;0.000000
