takt;q1;q2;q2p
0;387.000000;-16.000000;0.000000
1;680.000000;-24.000000;0.000000
2;823.000000;-30.000000;0.000000
3;877.000000;-34.000000;0.000000
4;803.000000;-32.000000;0.000000
5;633.000000;-25.000000;0.000000
6;491.000000;-21.000000;0.000000
7;309.000000;-14.000000;0.000000
8;84.000000;-4.000000;0.000000
9;-73.000000;2.000000;0.000000
10;-169.000000;6.000000;0.000000
11;-259.000000;10.000000;0.000000
12;-306.000000;12.000000;0.000000
13;-316.000000;12.000000;0.000000
14;-347.000000;13.000000;0.000000
15;-368.000000;14.000000;0.000000
16;-346.000000;14.000000;0.000000
17;-325.000000;14.000000;0.000000
18;-312.000000;13.000000;0.000000
19;-289.000000;12.000000;0.000000
20;-261.000000;11.000000;0.000000
21;-247.000000;10.000000;0.000000
22;-220.000000;9.000000;0.000000
23;-175.000000;7.000000;0.000000
24;-152.000000;7.000000;0.000000
25;-133.000000;6.000000;0.000000
26;-102.000000;5.000000;0.000000
27;-83.000000;4.000000;0.000000
28;-77.000000;4.000000;0.000000
29;-72.000000;3.000000;0.000000
30;-69.000000;3.000000;0.000000
31;-81.000000;3.000000;0.000000
32;-95.000000;3.000000;0.000000
33;-100.000000;3.000000;0.000000
34;-103.000000;4.000000;0.000000
35;-115.000000;4.000000;0.000000
36;-114.000000;4.000000;0.000000
37;-105.000000;4.000000;0.000000
38;-103.000000;4.000000;0.000000
39;-92.000000;4.000000;0.000000
40;-75.000000;3.000000;0.000000
41;-70.000000;3.000000;0.000000
42;-67.000000;3.000000;0.000000
43;-56.000000;3.000000;0.000000
44;-54.000000;2.000000;0.000000
45;-54.000000;2.000000;0.000000
46;-46.000000;2.000000;0.000000
47;-45.000000;2.000000;0.000000
48;-49.000000;2.000000;0.000000
49;-46.000000;2.000000;0.000000
50;-43.000000;2.000000;0.000000
51;-46.000000;2.000000;0.000000
52;-41.000000;2.000000;0.000000
53;-39.000000;2.000000;0.000000
54;-38.000000;2.000000;0.000000
55;-32.000000;2.000000;0.000000
56;-28.000000;1.000000;0.000000
57;-23.000000;1.000000;0.000000
58;-16.000000;1.000000;0.000000
59;-10.000000;1.000000;0.000000
60;-4.000000;0.000000;0.000000
61;0.000000;0.000000;0.000000
62;3.000000;0.000000;0.000000
63;3.000000;0.000000;0.000000
64;4.000000;0.000000;0.000000
65;3.000000;0.000000;0.000000
66;2.000000;0.000000;0.000000
67;4.000000;0.000000;0.000000
68;5.000000;0.000000;0.000000
69;7.000000;0.000000;0.000000
70;7.000000;0.000000;0.000000
71;6.000000;0.000000;0.000000
72;8.000000;0.000000;0.000000
73;10.000000;0.000000;0.000000
74;12.000000;0.000000;0.000000
75;15.000000;-1.000000;0.000000
76;14.000000;-1.000000;0.000000
77;14.000000;-1.000000;0.000000
78;15.000000;-1.000000;0.000000
79;14.000000;-1.000000;0.000000
80;14.000000;-1.000000;0.000000
81;14.000000;-1.000000;0.000000
82;13.000000;-1.000000;0.000000
83;14.000000;-1.000000;0.000000
84;14.000000;-1.000000;0.000000
85;13.000000;-1.000000;0.000000
86;13.000000;-1.000000;0.000000
87;15.000000;-1.000000;0.000000
88;16.000000;-1.000000;0.000000
89;18.000000;-1.000000;0.000000
90;19.000000;-1.000000;0.000000
91;19.000000;-1.000000;0.000000
92;21.000000;-1.000000;0.000000
93;21.000000;-1.000000;0.000000
94;21.000000;-1.000000;0.000000
95;21.000000;-1.000000;0.000000
96;21.000000;-1.000000;0.000000
97;21.000000;-1.000000;0.000000
98;21.000000;-1.000000;0.000000
99;21.000000;-1.000000;0.000000
100;21.000000;-1.000000;0.000000
101;22.000000;-1.000000;0.000000
102;23.000000;-1.000000;0.000000
103;23.000000;-1.000000;0.000000
104;24.000000;-1.000000;0.000000
105;23.000000;-1.000000;0.000000
106;24.000000;-1.000000;0.000000
107;24.000000;-1.000000;0.000000
108;25.000000;-1.000000;0.000000
