takt;q1;q2;q2p
0;398.000000;-16.000000;0.000000
1;709.000000;-24.000000;0.000000
2;859.000000;-30.000000;0.000000
3;929.000000;-35.000000;0.000000
4;863.000000;-33.000000;0.000000
5;693.000000;-26.000000;0.000000
6;543.000000;-21.000000;0.000000
7;356.000000;-15.000000;0.000000
8;123.000000;-5.000000;0.000000
9;-46.000000;2.000000;0.000000
10;-141.000000;5.000000;0.000000
11;-227.000000;9.000000;0.000000
12;-285.000000;12.000000;0.000000
13;-294.000000;12.000000;0.000000
14;-329.000000;13.000000;0.000000
15;-356.000000;15.000000;0.000000
16;-337.000000;15.000000;0.000000
17;-324.000000;14.000000;0.000000
18;-326.000000;14.000000;0.000000
19;-306.000000;13.000000;0.000000
20;-281.000000;12.000000;0.000000
21;-284.000000;12.000000;0.000000
22;-265.000000;12.000000;0.000000
23;-228.000000;10.000000;0.000000
24;-212.000000;9.000000;0.000000
25;-194.000000;9.000000;0.000000
26;-163.000000;8.000000;0.000000
27;-147.000000;7.000000;0.000000
28;-140.000000;7.000000;0.000000
29;-122.000000;6.000000;0.000000
30;-114.000000;5.000000;0.000000
31;-126.000000;5.000000;0.000000
32;-123.000000;5.000000;0.000000
33;-116.000000;5.000000;0.000000
34;-122.000000;5.000000;0.000000
35;-121.000000;5.000000;0.000000
36;-107.000000;5.000000;0.000000
37;-104.000000;5.000000;0.000000
38;-96.000000;5.000000;0.000000
39;-77.000000;4.000000;0.000000
40;-67.000000;4.000000;0.000000
41;-61.000000;3.000000;0.000000
42;-54.000000;3.000000;0.000000
43;-44.000000;3.000000;0.000000
44;-41.000000;2.000000;0.000000
45;-43.000000;2.000000;0.000000
46;-36.000000;2.000000;0.000000
47;-35.000000;2.000000;0.000000
48;-40.000000;2.000000;0.000000
49;-31.000000;2.000000;0.000000
50;-24.000000;2.000000;0.000000
51;-25.000000;2.000000;0.000000
52;-18.000000;2.000000;0.000000
53;-10.000000;1.000000;0.000000
54;-8.000000;1.000000;0.000000
55;-3.000000;1.000000;0.000000
56;8.000000;1.000000;0.000000
57;12.000000;0.000000;0.000000
58;15.000000;0.000000;0.000000
59;25.000000;0.000000;0.000000
60;32.000000;0.000000;0.000000
61;31.000000;-1.000000;0.000000
62;38.000000;-1.000000;0.000000
63;43.000000;-1.000000;0.000000
64;40.000000;-1.000000;0.000000
65;45.000000;-1.000000;0.000000
66;48.000000;-1.000000;0.000000
67;45.000000;-1.000000;0.000000
68;46.000000;-1.000000;0.000000
69;48.000000;-1.000000;0.000000
70;47.000000;-1.000000;0.000000
71;48.000000;-1.000000;0.000000
72;48.000000;-1.000000;0.000000
73;48.000000;-1.000000;0.000000
74;51.000000;-1.000000;0.000000
75;53.000000;-1.000000;0.000000
76;56.000000;-1.000000;0.000000
77;59.000000;-2.000000;0.000000
78;56.000000;-2.000000;0.000000
79;59.000000;-2.000000;0.000000
80;56.000000;-2.000000;0.000000
81;54.000000;-2.000000;0.000000
82;58.000000;-2.000000;0.000000
83;55.000000;-2.000000;0.000000
84;54.000000;-2.000000;0.000000
85;58.000000;-2.000000;0.000000
86;55.000000;-2.000000;0.000000
87;57.000000;-2.000000;0.000000
88;60.000000;-2.000000;0.000000
89;57.000000;-2.000000;0.000000
90;58.000000;-2.000000;0.000000
91;58.000000;-2.000000;0.000000
92;54.000000;-2.000000;0.000000
93;54.000000;-2.000000;0.000000
94;56.000000;-2.000000;0.000000
95;54.000000;-2.000000;0.000000
96;53.000000;-2.000000;0.000000
97;54.000000;-2.000000;0.000000
98;52.000000;-2.000000;0.000000
99;52.000000;-2.000000;0.000000
100;55.000000;-2.000000;0.000000
101;53.000000;-2.000000;0.000000
102;51.000000;-2.000000;0.000000
103;54.000000;-2.000000;0.000000
104;52.000000;-2.000000;0.000000
105;48.000000;-2.000000;0.000000
106;48.000000;-2.000000;0.000000
107;46.000000;-2.000000;0.000000
108;39.000000;-1.000000;0.000000
109;44.000000;-1.000000;0.000000
110;43.000000;-1.000000;0.000000
111;34.000000;-1.000000;0.000000
112;36.000000;-1.000000;0.000000
113;34.000000;-1.000000;0.000000
114;23.000000;-1.000000;0.000000
115;20.000000;-1.000000;0.000000
116;19.000000;-1.000000;0.000000
117;12.000000;0.000000;0.000000
118;11.000000;0.000000;0.000000
119;15.000000;0.000000;0.000000
120;10.000000;0.000000;0.000000
121;4.000000;0.000000;0.000000
122;3.000000;0.000000;0.000000
123;-3.000000;0.000000;0.000000
124;-12.000000;1.000000;0.000000
125;-13.000000;1.000000;0.000000
126;-17.000000;1.000000;0.000000
127;-22.000000;1.000000;0.000000
128;-21.000000;1.000000;0.000000
129;-23.000000;1.000000;0.000000
130;-28.000000;1.000000;0.000000
131;-28.000000;1.000000;0.000000
132;-30.000000;1.000000;0.000000
133;-33.000000;1.000000;0.000000
134;-33.000000;2.000000;0.000000
135;-29.000000;2.000000;0.000000
136;-32.000000;2.000000;0.000000
137;-32.000000;2.000000;0.000000
138;-29.000000;2.000000;0.000000
139;-33.000000;2.000000;0.000000
140;-33.000000;2.000000;0.000000
141;-32.000000;2.000000;0.000000
142;-34.000000;2.000000;0.000000
143;-38.000000;2.000000;0.000000
144;-35.000000;2.000000;0.000000
145;-34.000000;2.000000;0.000000
146;-38.000000;2.000000;0.000000
147;-35.000000;2.000000;0.000000
148;-34.000000;2.000000;0.000000
149;-38.000000;2.000000;0.000000
150;-36.000000;2.000000;0.000000
151;-35.000000;2.000000;0.000000
152;-38.000000;2.000000;0.000000
153;-38.000000;2.000000;0.000000
154;-36.000000;2.000000;0.000000
155;-38.000000;2.000000;0.000000
156;-38.000000;2.000000;0.000000
157;-36.000000;2.000000;0.000000
158;-39.000000;2.000000;0.000000
159;-38.000000;2.000000;0.000000
160;-36.000000;2.000000;0.000000
161;-38.000000;2.000000;0.000000
162;-38.000000;2.000000;0.000000
163;-38.000000;2.000000;0.000000
164;-41.000000;2.000000;0.000000
165;-40.000000;2.000000;0.000000
166;-38.000000;2.000000;0.000000
167;-39.000000;2.000000;0.000000
168;-39.000000;2.000000;0.000000
169;-37.000000;2.000000;0.000000
170;-38.000000;2.000000;0.000000
171;-39.000000;2.000000;0.000000
172;-37.000000;2.000000;0.000000
