takt;q1;q2;q2p
0;403.000000;-17.000000;0.000000
1;712.000000;-25.000000;0.000000
2;865.000000;-31.000000;0.000000
3;947.000000;-36.000000;0.000000
4;891.000000;-35.000000;0.000000
5;726.000000;-28.000000;0.000000
6;567.000000;-22.000000;0.000000
7;356.000000;-14.000000;0.000000
8;84.000000;-3.000000;0.000000
9;-135.000000;5.000000;0.000000
10;-277.000000;11.000000;0.000000
11;-392.000000;16.000000;0.000000
12;-464.000000;19.000000;0.000000
13;-470.000000;19.000000;0.000000
14;-478.000000;19.000000;0.000000
15;-475.000000;19.000000;0.000000
16;-431.000000;19.000000;0.000000
17;-373.000000;16.000000;0.000000
18;-333.000000;15.000000;0.000000
19;-296.000000;13.000000;0.000000
20;-249.000000;11.000000;0.000000
21;-222.000000;10.000000;0.000000
22;-190.000000;9.000000;0.000000
23;-146.000000;7.000000;0.000000
24;-107.000000;5.000000;0.000000
25;-76.000000;4.000000;0.000000
26;-46.000000;3.000000;0.000000
27;-14.000000;1.000000;0.000000
28;3.000000;1.000000;0.000000
29;12.000000;0.000000;0.000000
30;25.000000;0.000000;0.000000
31;24.000000;0.000000;0.000000
32;9.000000;0.000000;0.000000
33;-4.000000;0.000000;0.000000
34;-17.000000;0.000000;0.000000
35;-33.000000;1.000000;0.000000
36;-44.000000;2.000000;0.000000
37;-41.000000;2.000000;0.000000
38;-36.000000;2.000000;0.000000
39;-28.000000;2.000000;0.000000
40;-9.000000;1.000000;0.000000
41;9.000000;1.000000;0.000000
42;19.000000;0.000000;0.000000
43;33.000000;-1.000000;0.000000
44;41.000000;-1.000000;0.000000
45;40.000000;-1.000000;0.000000
46;40.000000;-1.000000;0.000000
47;40.000000;-1.000000;0.000000
48;36.000000;-1.000000;0.000000
49;30.000000;-1.000000;0.000000
50;31.000000;-1.000000;0.000000
51;25.000000;-1.000000;0.000000
52;18.000000;-1.000000;0.000000
53;17.000000;-1.000000;0.000000
54;14.000000;-1.000000;0.000000
55;13.000000;-1.000000;0.000000
56;16.000000;-1.000000;0.000000
57;19.000000;-1.000000;0.000000
58;23.000000;-1.000000;0.000000
59;30.000000;-1.000000;0.000000
60;36.000000;-1.000000;0.000000
61;41.000000;-1.000000;0.000000
62;46.000000;-1.000000;0.000000
63;45.000000;-1.000000;0.000000
64;46.000000;-1.000000;0.000000
65;46.000000;-1.000000;0.000000
66;39.000000;-1.000000;0.000000
67;34.000000;-1.000000;0.000000
68;30.000000;-1.000000;0.000000
69;21.000000;-1.000000;0.000000
70;15.000000;-1.000000;0.000000
71;12.000000;-1.000000;0.000000
72;12.000000;0.000000;0.000000
73;13.000000;0.000000;0.000000
74;18.000000;0.000000;0.000000
75;25.000000;0.000000;0.000000
76;29.000000;-1.000000;0.000000
77;27.000000;-1.000000;0.000000
78;26.000000;-1.000000;0.000000
79;24.000000;-1.000000;0.000000
80;12.000000;-1.000000;0.000000
81;6.000000;0.000000;0.000000
82;2.000000;0.000000;0.000000
83;-7.000000;0.000000;0.000000
84;-11.000000;0.000000;0.000000
85;-6.000000;0.000000;0.000000
86;-4.000000;0.000000;0.000000
87;-5.000000;0.000000;0.000000
88;1.000000;0.000000;0.000000
89;4.000000;0.000000;0.000000
90;4.000000;0.000000;0.000000
91;5.000000;0.000000;0.000000
92;7.000000;0.000000;0.000000
93;6.000000;0.000000;0.000000
94;2.000000;0.000000;0.000000
95;2.000000;0.000000;0.000000
96;-1.000000;0.000000;0.000000
97;-8.000000;0.000000;0.000000
98;-10.000000;0.000000;0.000000
99;-12.000000;0.000000;0.000000
100;-18.000000;1.000000;0.000000
101;-14.000000;1.000000;0.000000
102;-9.000000;1.000000;0.000000
103;-5.000000;1.000000;0.000000
104;3.000000;1.000000;0.000000
105;11.000000;0.000000;0.000000
106;11.000000;0.000000;0.000000
107;8.000000;0.000000;0.000000
108;7.000000;0.000000;0.000000
109;0.000000;0.000000;0.000000
110;-8.000000;0.000000;0.000000
111;-11.000000;0.000000;0.000000
112;-16.000000;1.000000;0.000000
113;-15.000000;1.000000;0.000000
114;-12.000000;1.000000;0.000000
115;-10.000000;1.000000;0.000000
116;-6.000000;1.000000;0.000000
117;-3.000000;1.000000;0.000000
118;2.000000;1.000000;0.000000
119;9.000000;1.000000;0.000000
120;11.000000;0.000000;0.000000
121;8.000000;0.000000;0.000000
122;9.000000;0.000000;0.000000
123;10.000000;0.000000;0.000000
124;5.000000;0.000000;0.000000
125;4.000000;0.000000;0.000000
126;0.000000;0.000000;0.000000
127;-7.000000;0.000000;0.000000
128;-9.000000;0.000000;0.000000
129;-7.000000;0.000000;0.000000
130;-7.000000;0.000000;0.000000
131;-6.000000;0.000000;0.000000
132;-6.000000;0.000000;0.000000
133;-6.000000;0.000000;0.000000
134;-8.000000;0.000000;0.000000
135;-9.000000;0.000000;0.000000
136;-9.000000;0.000000;0.000000
137;-10.000000;0.000000;0.000000
138;-10.000000;0.000000;0.000000
139;-5.000000;0.000000;0.000000
140;-4.000000;0.000000;0.000000
141;-5.000000;0.000000;0.000000
142;-3.000000;0.000000;0.000000
143;-3.000000;0.000000;0.000000
144;-8.000000;0.000000;0.000000
145;-9.000000;0.000000;0.000000
146;-6.000000;0.000000;0.000000
147;-9.000000;0.000000;0.000000
148;-8.000000;0.000000;0.000000
149;-3.000000;0.000000;0.000000
150;-4.000000;0.000000;0.000000
151;-2.000000;0.000000;0.000000
152;3.000000;0.000000;0.000000
153;2.000000;0.000000;0.000000
154;2.000000;0.000000;0.000000
155;6.000000;0.000000;0.000000
156;5.000000;0.000000;0.000000
157;4.000000;0.000000;0.000000
158;5.000000;0.000000;0.000000
159;4.000000;0.000000;0.000000
160;3.000000;0.000000;0.000000
161;6.000000;0.000000;0.000000
162;6.000000;0.000000;0.000000
163;6.000000;0.000000;0.000000
164;8.000000;0.000000;0.000000
165;7.000000;0.000000;0.000000
166;9.000000;0.000000;0.000000
167;11.000000;0.000000;0.000000
168;9.000000;0.000000;0.000000
169;9.000000;0.000000;0.000000
170;8.000000;0.000000;0.000000
171;5.000000;0.000000;0.000000
172;5.000000;0.000000;0.000000
173;4.000000;0.000000;0.000000
174;-3.000000;0.000000;0.000000
175;-6.000000;0.000000;0.000000
176;-6.000000;0.000000;0.000000
177;-9.000000;0.000000;0.000000
178;-8.000000;0.000000;0.000000
179;-6.000000;0.000000;0.000000
180;-8.000000;0.000000;0.000000
181;-8.000000;0.000000;0.000000
182;-6.000000;0.000000;0.000000
183;-5.000000;0.000000;0.000000
184;-5.000000;0.000000;0.000000
185;-5.000000;0.000000;0.000000
186;-6.000000;0.000000;0.000000
187;-5.000000;0.000000;0.000000
188;-4.000000;0.000000;0.000000
189;-6.000000;0.000000;0.000000
190;-6.000000;0.000000;0.000000
191;-6.000000;0.000000;0.000000
192;-6.000000;0.000000;0.000000
193;-4.000000;0.000000;0.000000
194;-4.000000;0.000000;0.000000
195;-5.000000;0.000000;0.000000
196;-3.000000;0.000000;0.000000
197;-3.000000;0.000000;0.000000
198;-2.000000;0.000000;0.000000
199;0.000000;0.000000;0.000000
200;-1.000000;0.000000;0.000000
201;1.000000;0.000000;0.000000
202;2.000000;0.000000;0.000000
203;-1.000000;0.000000;0.000000
204;-1.000000;0.000000;0.000000
205;0.000000;0.000000;0.000000
206;-2.000000;0.000000;0.000000
207;-2.000000;0.000000;0.000000
208;0.000000;0.000000;0.000000
209;-1.000000;0.000000;0.000000
210;-1.000000;0.000000;0.000000
211;-1.000000;0.000000;0.000000
212;-2.000000;0.000000;0.000000
213;-3.000000;0.000000;0.000000
214;-3.000000;0.000000;0.000000
215;-3.000000;0.000000;0.000000
216;0.000000;0.000000;0.000000
217;0.000000;0.000000;0.000000
218;1.000000;0.000000;0.000000
219;6.000000;0.000000;0.000000
220;5.000000;0.000000;0.000000
221;6.000000;0.000000;0.000000
222;9.000000;0.000000;0.000000
223;7.000000;0.000000;0.000000
224;6.000000;0.000000;0.000000
225;8.000000;0.000000;0.000000
226;7.000000;0.000000;0.000000
227;5.000000;0.000000;0.000000
228;6.000000;0.000000;0.000000
229;5.000000;0.000000;0.000000
230;4.000000;0.000000;0.000000
231;6.000000;0.000000;0.000000
232;7.000000;0.000000;0.000000
233;7.000000;0.000000;0.000000
234;7.000000;0.000000;0.000000
235;7.000000;0.000000;0.000000
236;4.000000;0.000000;0.000000
237;2.000000;0.000000;0.000000
238;3.000000;0.000000;0.000000
239;3.000000;0.000000;0.000000
240;2.000000;0.000000;0.000000
241;3.000000;0.000000;0.000000
242;4.000000;0.000000;0.000000
243;1.000000;0.000000;0.000000
244;1.000000;0.000000;0.000000
245;1.000000;0.000000;0.000000
246;-4.000000;0.000000;0.000000
247;-5.000000;0.000000;0.000000
248;-1.000000;0.000000;0.000000
249;-2.000000;0.000000;0.000000
250;-1.000000;0.000000;0.000000
251;4.000000;0.000000;0.000000
252;4.000000;0.000000;0.000000
253;3.000000;0.000000;0.000000
254;6.000000;0.000000;0.000000
255;4.000000;0.000000;0.000000
256;3.000000;0.000000;0.000000
257;4.000000;0.000000;0.000000
258;1.000000;0.000000;0.000000
259;-1.000000;0.000000;0.000000
260;-1.000000;0.000000;0.000000
261;-1.000000;0.000000;0.000000
262;-1.000000;0.000000;0.000000
263;-1.000000;0.000000;0.000000
264;-4.000000;0.000000;0.000000
265;-3.000000;0.000000;0.000000
266;-3.000000;0.000000;0.000000
267;-4.000000;0.000000;0.000000
268;-3.000000;0.000000;0.000000
269;-4.000000;0.000000;0.000000
270;-3.000000;0.000000;0.000000
271;-1.000000;0.000000;0.000000
272;-2.000000;0.000000;0.000000
273;-2.000000;0.000000;0.000000
274;-1.000000;0.000000;0.000000
275;-3.000000;0.000000;0.000000
276;-3.000000;0.000000;0.000000
277;-1.000000;0.000000;0.000000
278;-5.000000;0.000000;0.000000
279;-4.000000;0.000000;0.000000
280;-3.000000;0.000000;0.000000
281;-7.000000;0.000000;0.000000
282;-6.000000;0.000000;0.000000
283;-4.000000;0.000000;0.000000
284;-6.000000;0.000000;0.000000
285;-4.000000;0.000000;0.000000
286;-2.000000;0.000000;0.000000
287;-4.000000;0.000000;0.000000
288;-3.000000;0.000000;0.000000
289;0.000000;0.000000;0.000000
290;-3.000000;0.000000;0.398428
291;-3.000000;0.000000;574.672180
292;-3.000000;0.000000;1148.945923
293;-9.000000;0.000000;1723.219727
294;-16.000000;1.000000;2297.493408
295;-27.000000;1.000000;2871.767334
296;-54.000000;2.000000;3446.041016
297;-91.000000;4.000000;4020.314941
298;-144.000000;6.000000;4594.588379
299;-223.000000;10.000000;5168.862305
300;-316.000000;14.000000;5743.136230
301;-423.000000;18.000000;6317.409668
302;-561.000000;24.000000;6891.683594
303;-723.000000;31.000000;7465.957520
304;-899.000000;38.000000;8040.231445
305;-1115.000000;47.000000;8614.504883
306;-1353.000000;56.000000;9188.778320
307;-1613.000000;67.000000;9763.051758
308;-1898.000000;78.000000;10337.326172
309;-2186.000000;90.000000;10911.599609
310;-2480.000000;102.000000;11485.874023
311;-2777.000000;115.000000;12060.148438
312;-3079.000000;127.000000;12634.420898
313;-3397.000000;140.000000;13208.695312
314;-3741.000000;154.000000;13782.968750
315;-4100.000000;169.000000;14357.242188
316;-4475.000000;184.000000;14931.516602
317;-4881.000000;201.000000;15505.790039
318;-5308.000000;218.000000;15915.494141
319;-5750.000000;236.000000;15915.494141
320;-6205.000000;255.000000;15915.494141
321;-6653.000000;273.000000;15915.494141
322;-7092.000000;291.000000;15915.494141
323;-7519.000000;308.000000;15915.494141
324;-7920.000000;324.000000;15915.494141
325;-8294.000000;340.000000;15915.494141
326;-8652.000000;354.000000;15915.494141
327;-8990.000000;368.000000;15915.494141
328;-9326.000000;382.000000;15915.494141
329;-9650.000000;395.000000;15915.494141
330;-9961.000000;408.000000;15915.494141
331;-10270.000000;421.000000;15915.494141
332;-10565.000000;433.000000;15915.494141
333;-10854.000000;445.000000;15915.494141
334;-11137.000000;456.000000;15915.494141
335;-11406.000000;467.000000;15915.494141
336;-11658.000000;478.000000;15915.494141
337;-11894.000000;487.000000;15915.494141
338;-12121.000000;496.000000;15915.494141
339;-12330.000000;505.000000;15915.494141
340;-12527.000000;513.000000;15915.494141
341;-12710.000000;520.000000;15915.494141
342;-12878.000000;528.000000;15915.494141
343;-13038.000000;534.000000;15915.494141
344;-13191.000000;540.000000;15915.494141
345;-13341.000000;547.000000;15915.494141
346;-13480.000000;552.000000;15915.494141
347;-13618.000000;558.000000;15915.494141
348;-13753.000000;564.000000;15915.494141
349;-13879.000000;569.000000;15915.494141
350;-14003.000000;574.000000;15915.494141
351;-14124.000000;579.000000;15915.494141
352;-14234.000000;583.000000;15915.494141
353;-14339.000000;587.000000;15915.494141
354;-14439.000000;591.000000;15915.494141
355;-14538.000000;596.000000;15915.494141
356;-14630.000000;599.000000;15915.494141
357;-14723.000000;603.000000;15915.494141
358;-14810.000000;607.000000;15915.494141
359;-14891.000000;610.000000;15915.494141
360;-14962.000000;613.000000;15915.494141
361;-15024.000000;615.000000;15915.494141
362;-15075.000000;618.000000;15915.494141
363;-15124.000000;620.000000;15915.494141
364;-15158.000000;621.000000;15915.494141
365;-15193.000000;623.000000;15915.494141
366;-15228.000000;624.000000;15915.494141
367;-15257.000000;626.000000;15915.494141
368;-15289.000000;627.000000;15915.494141
369;-15328.000000;628.000000;15915.494141
370;-15356.000000;629.000000;15915.494141
371;-15388.000000;631.000000;15915.494141
372;-15427.000000;632.000000;15915.494141
373;-15459.000000;634.000000;15915.494141
374;-15495.000000;635.000000;15915.494141
375;-15532.000000;636.000000;15915.494141
376;-15562.000000;638.000000;15915.494141
377;-15595.000000;639.000000;15915.494141
378;-15632.000000;641.000000;15915.494141
379;-15661.000000;642.000000;15915.494141
380;-15687.000000;643.000000;15915.494141
381;-15715.000000;644.000000;15915.494141
382;-15733.000000;645.000000;15915.494141
383;-15743.000000;645.000000;15915.494141
384;-15753.000000;646.000000;15915.494141
385;-15758.000000;646.000000;15915.494141
386;-15763.000000;646.000000;15915.494141
387;-15770.000000;646.000000;15915.494141
388;-15775.000000;647.000000;15915.494141
389;-15782.000000;647.000000;15915.494141
390;-15788.000000;647.000000;15915.494141
391;-15798.000000;648.000000;15915.494141
392;-15803.000000;648.000000;15915.494141
393;-15807.000000;648.000000;15915.494141
394;-15815.000000;648.000000;15915.494141
395;-15823.000000;649.000000;15915.494141
396;-15827.000000;649.000000;15915.494141
397;-15834.000000;649.000000;15915.494141
398;-15840.000000;649.000000;15915.494141
399;-15843.000000;650.000000;15915.494141
400;-15846.000000;650.000000;15915.494141
401;-15850.000000;650.000000;15915.494141
402;-15851.000000;650.000000;15915.494141
403;-15853.000000;650.000000;15915.494141
404;-15858.000000;650.000000;15915.494141
405;-15860.000000;650.000000;15915.494141
406;-15865.000000;650.000000;15915.494141
407;-15867.000000;651.000000;15915.494141
408;-15871.000000;651.000000;15915.494141
409;-15875.000000;651.000000;15915.494141
410;-15875.000000;651.000000;15915.494141
411;-15878.000000;651.000000;15915.494141
412;-15883.000000;651.000000;15915.494141
413;-15885.000000;651.000000;15915.494141
414;-15888.000000;651.000000;15915.494141
415;-15893.000000;652.000000;15915.494141
416;-15894.000000;652.000000;15915.494141
417;-15895.000000;652.000000;15915.494141
418;-15900.000000;652.000000;15915.494141
419;-15900.000000;652.000000;15915.494141
420;-15899.000000;652.000000;15915.494141
421;-15902.000000;652.000000;15915.494141
422;-15901.000000;652.000000;15915.494141
423;-15901.000000;652.000000;15915.494141
424;-15903.000000;652.000000;15915.494141
425;-15902.000000;652.000000;15915.494141
426;-15904.000000;652.000000;15915.494141
427;-15904.000000;652.000000;15915.494141
428;-15904.000000;652.000000;15915.494141
429;-15905.000000;652.000000;15915.494141
430;-15904.000000;652.000000;15915.494141
431;-15905.000000;652.000000;15915.494141
432;-15905.000000;652.000000;15915.494141
433;-15905.000000;652.000000;15915.494141
434;-15905.000000;652.000000;15915.494141
435;-15905.000000;652.000000;15915.494141
436;-15906.000000;652.000000;15915.494141
437;-15906.000000;652.000000;15915.494141
438;-15907.000000;652.000000;15915.494141
439;-15907.000000;652.000000;15915.494141
440;-15907.000000;652.000000;15915.494141
441;-15910.000000;652.000000;15915.494141
442;-15911.000000;652.000000;15915.494141
443;-15911.000000;652.000000;15915.494141
444;-15913.000000;652.000000;15915.494141
445;-15914.000000;652.000000;15915.494141
446;-15915.000000;652.000000;15915.494141
447;-15916.000000;653.000000;15915.494141
448;-15917.000000;653.000000;15915.494141
449;-15918.000000;653.000000;15915.494141
450;-15919.000000;653.000000;15915.494141
451;-15921.000000;653.000000;15915.494141
452;-15923.000000;653.000000;15915.494141
453;-15922.000000;653.000000;15915.494141
454;-15925.000000;653.000000;15915.494141
455;-15926.000000;653.000000;15915.494141
456;-15927.000000;653.000000;15915.494141
457;-15928.000000;653.000000;15915.494141
458;-15928.000000;653.000000;15915.494141
459;-15928.000000;653.000000;15915.494141
460;-15929.000000;653.000000;15915.494141
461;-15929.000000;653.000000;15915.494141
462;-15929.000000;653.000000;15915.494141
463;-15929.000000;653.000000;15915.494141
464;-15930.000000;653.000000;15915.494141
465;-15930.000000;653.000000;15915.494141
466;-15931.000000;653.000000;15915.494141
467;-15931.000000;653.000000;15915.494141
468;-15931.000000;653.000000;15915.494141
469;-15934.000000;653.000000;15915.494141
470;-15935.000000;653.000000;15915.494141
471;-15937.000000;653.000000;15915.494141
472;-15940.000000;653.000000;15915.494141
473;-15940.000000;653.000000;15915.494141
474;-15941.000000;653.000000;15915.494141
475;-15940.000000;654.000000;15915.494141
476;-15939.000000;654.000000;15915.494141
477;-15939.000000;654.000000;15915.494141
478;-15938.000000;654.000000;15915.494141
479;-15940.000000;654.000000;15915.494141
480;-15941.000000;654.000000;15915.494141
481;-15941.000000;654.000000;15915.494141
482;-15942.000000;654.000000;15915.494141
483;-15942.000000;654.000000;15915.494141
484;-15942.000000;654.000000;15915.494141
485;-15941.000000;654.000000;15915.494141
486;-15941.000000;654.000000;15915.494141
487;-15942.000000;654.000000;15915.494141
488;-15943.000000;654.000000;15915.494141
489;-15942.000000;654.000000;15915.494141
490;-15943.000000;654.000000;15915.494141
491;-15942.000000;654.000000;15915.494141
492;-15943.000000;654.000000;15915.494141
493;-15943.000000;654.000000;15915.494141
494;-15942.000000;654.000000;15915.494141
495;-15943.000000;654.000000;15915.494141
496;-15943.000000;654.000000;15915.494141
497;-15943.000000;654.000000;15915.494141
498;-15943.000000;654.000000;15915.494141
499;-15943.000000;654.000000;15915.494141
500;-15942.000000;654.000000;15915.494141
501;-15945.000000;654.000000;15915.494141
502;-15944.000000;654.000000;15915.494141
503;-15945.000000;654.000000;15915.494141
504;-15945.000000;654.000000;15915.494141
505;-15944.000000;654.000000;15915.494141
506;-15944.000000;654.000000;15915.494141
507;-15944.000000;654.000000;15915.494141
508;-15943.000000;654.000000;15915.494141
509;-15943.000000;654.000000;15915.494141
510;-15943.000000;654.000000;15915.494141
511;-15942.000000;654.000000;15915.494141
512;-15942.000000;654.000000;15915.494141
513;-15941.000000;654.000000;15915.494141
514;-15941.000000;654.000000;15915.494141
515;-15940.000000;654.000000;15915.494141
516;-15940.000000;654.000000;15915.494141
517;-15940.000000;654.000000;15915.494141
518;-15938.000000;654.000000;15915.494141
519;-15938.000000;654.000000;15915.494141
520;-15938.000000;654.000000;15915.494141
521;-15935.000000;654.000000;15915.494141
522;-15935.000000;654.000000;15915.494141
523;-15933.000000;654.000000;15915.494141
524;-15931.000000;654.000000;15915.494141
525;-15930.000000;654.000000;15915.494141
526;-15929.000000;654.000000;15915.494141
527;-15926.000000;654.000000;15915.494141
528;-15924.000000;654.000000;15915.494141
529;-15924.000000;654.000000;15915.494141
530;-15921.000000;653.000000;15915.494141
531;-15924.000000;653.000000;15915.494141
532;-15924.000000;653.000000;15915.494141
533;-15922.000000;653.000000;15915.494141
534;-15926.000000;653.000000;15915.494141
535;-15922.000000;653.000000;15915.494141
536;-15922.000000;653.000000;15915.494141
537;-15922.000000;653.000000;15915.494141
538;-15918.000000;653.000000;15915.494141
539;-15917.000000;653.000000;15915.494141
540;-15917.000000;653.000000;15915.494141
541;-15917.000000;653.000000;15915.494141
542;-15917.000000;653.000000;15915.494141
543;-15917.000000;653.000000;15915.494141
544;-15917.000000;653.000000;15915.494141
545;-15916.000000;653.000000;15915.494141
546;-15916.000000;653.000000;15915.494141
547;-15915.000000;653.000000;15915.494141
548;-15915.000000;653.000000;15915.494141
549;-15915.000000;653.000000;15915.494141
550;-15916.000000;653.000000;15915.494141
551;-15915.000000;653.000000;15915.494141
552;-15915.000000;653.000000;15915.494141
553;-15914.000000;653.000000;15915.494141
554;-15914.000000;653.000000;15915.494141
555;-15914.000000;653.000000;15915.494141
556;-15914.000000;653.000000;15915.494141
557;-15913.000000;653.000000;15915.494141
558;-15912.000000;653.000000;15915.494141
559;-15913.000000;653.000000;15915.494141
560;-15911.000000;653.000000;15915.494141
561;-15911.000000;653.000000;15915.494141
562;-15912.000000;653.000000;15915.494141
563;-15910.000000;653.000000;15915.494141
564;-15910.000000;653.000000;15915.494141
565;-15910.000000;653.000000;15915.494141
566;-15910.000000;653.000000;15915.494141
567;-15910.000000;653.000000;15915.494141
568;-15913.000000;653.000000;15915.494141
569;-15912.000000;653.000000;15915.494141
570;-15912.000000;653.000000;15915.494141
571;-15913.000000;653.000000;15915.494141
572;-15910.000000;653.000000;15915.494141
