takt;q1;q2;q2p
0;411.000000;-17.000000;0.000000
1;735.000000;-26.000000;0.000000
2;892.000000;-33.000000;0.000000
3;967.000000;-37.000000;0.000000
4;912.000000;-36.000000;0.000000
5;736.000000;-28.000000;0.000000
6;564.000000;-23.000000;0.000000
7;351.000000;-15.000000;0.000000
8;81.000000;-4.000000;0.000000
9;-125.000000;5.000000;0.000000
10;-245.000000;9.000000;0.000000
11;-341.000000;13.000000;0.000000
12;-404.000000;16.000000;0.000000
13;-415.000000;16.000000;0.000000
14;-439.000000;17.000000;0.000000
15;-456.000000;18.000000;0.000000
16;-431.000000;18.000000;0.000000
17;-407.000000;17.000000;0.000000
18;-388.000000;16.000000;0.000000
19;-368.000000;15.000000;0.000000
20;-343.000000;14.000000;0.000000
21;-322.000000;13.000000;0.000000
22;-292.000000;12.000000;0.000000
23;-244.000000;10.000000;0.000000
24;-202.000000;9.000000;0.000000
25;-157.000000;7.000000;0.000000
26;-113.000000;5.000000;0.000000
27;-69.000000;4.000000;0.000000
28;-34.000000;2.000000;0.000000
29;-10.000000;1.000000;0.000000
30;5.000000;1.000000;0.000000
31;8.000000;0.000000;0.000000
32;5.000000;0.000000;0.000000
33;4.000000;0.000000;0.000000
34;1.000000;0.000000;0.000000
35;0.000000;0.000000;0.000000
36;2.000000;0.000000;0.000000
37;4.000000;0.000000;0.000000
38;7.000000;0.000000;0.000000
39;14.000000;0.000000;0.000000
40;18.000000;0.000000;0.000000
41;19.000000;0.000000;0.000000
42;21.000000;0.000000;0.000000
43;22.000000;0.000000;0.000000
44;24.000000;0.000000;0.000000
45;26.000000;-1.000000;0.000000
46;27.000000;-1.000000;0.000000
47;27.000000;-1.000000;0.000000
48;26.000000;-1.000000;0.000000
49;27.000000;-1.000000;0.000000
50;28.000000;-1.000000;0.000000
51;24.000000;-1.000000;0.000000
52;22.000000;-1.000000;0.000000
53;22.000000;-1.000000;0.000000
54;21.000000;-1.000000;0.000000
55;23.000000;-1.000000;0.000000
56;25.000000;-1.000000;0.000000
57;27.000000;-1.000000;0.000000
58;29.000000;-1.000000;0.000000
59;33.000000;-1.000000;0.000000
60;37.000000;-1.000000;0.000000
61;37.000000;-1.000000;0.000000
62;41.000000;-1.000000;0.000000
63;42.000000;-1.000000;0.000000
64;41.000000;-1.000000;0.000000
65;42.000000;-1.000000;0.000000
66;40.000000;-1.000000;0.000000
67;37.000000;-1.000000;0.000000
68;37.000000;-1.000000;0.000000
69;38.000000;-1.000000;0.000000
70;37.000000;-1.000000;0.000000
71;37.000000;-1.000000;0.000000
72;38.000000;-1.000000;0.000000
73;37.000000;-1.000000;0.000000
74;38.000000;-1.000000;0.000000
75;37.000000;-1.000000;0.000000
76;36.000000;-1.000000;0.000000
77;35.000000;-1.000000;0.000000
78;33.000000;-1.000000;0.000000
79;32.000000;-1.000000;0.000000
80;30.000000;-1.000000;0.000000
81;28.000000;-1.000000;0.000000
82;28.000000;-1.000000;0.000000
83;27.000000;-1.000000;0.000000
84;27.000000;-1.000000;0.000000
85;28.000000;-1.000000;0.000000
86;27.000000;-1.000000;0.000000
87;27.000000;-1.000000;0.000000
88;28.000000;-1.000000;0.000000
89;27.000000;-1.000000;0.000000
90;26.000000;-1.000000;0.000000
91;27.000000;-1.000000;0.000000
92;24.000000;-1.000000;0.000000
93;20.000000;-1.000000;0.000000
94;19.000000;-1.000000;0.000000
95;16.000000;-1.000000;0.000000
96;10.000000;-1.000000;0.000000
97;11.000000;0.000000;0.000000
98;6.000000;0.000000;0.000000
99;1.000000;0.000000;0.000000
100;2.000000;0.000000;0.000000
101;-2.000000;0.000000;0.000000
102;-6.000000;0.000000;0.000000
103;-4.000000;0.000000;0.000000
104;-5.000000;0.000000;0.000000
105;-7.000000;0.000000;0.000000
106;-6.000000;0.000000;0.000000
107;-7.000000;0.000000;0.000000
108;-8.000000;0.000000;0.000000
109;-10.000000;0.000000;0.000000
110;-11.000000;0.000000;0.000000
111;-13.000000;0.000000;0.000000
112;-14.000000;1.000000;0.000000
113;-15.000000;1.000000;0.000000
114;-16.000000;1.000000;0.000000
115;-14.000000;1.000000;0.000000
116;-16.000000;1.000000;0.000000
117;-17.000000;1.000000;0.000000
118;-16.000000;1.000000;0.000000
119;-16.000000;1.000000;0.000000
120;-14.000000;1.000000;0.000000
121;-14.000000;1.000000;0.000000
122;-15.000000;1.000000;0.000000
123;-13.000000;1.000000;0.000000
124;-13.000000;1.000000;0.000000
125;-15.000000;1.000000;0.000000
126;-14.000000;1.000000;0.000000
127;-14.000000;1.000000;0.000000
128;-13.000000;1.000000;0.000000
129;-13.000000;1.000000;0.000000
130;-13.000000;1.000000;0.000000
131;-14.000000;1.000000;0.000000
132;-14.000000;1.000000;0.000000
133;-12.000000;1.000000;0.000000
134;-13.000000;1.000000;0.000000
135;-11.000000;1.000000;0.000000
136;-10.000000;1.000000;0.000000
137;-10.000000;1.000000;0.000000
138;-10.000000;1.000000;0.000000
139;-10.000000;1.000000;0.000000
140;-10.000000;1.000000;0.000000
141;-9.000000;1.000000;0.000000
142;-9.000000;1.000000;0.000000
143;-9.000000;1.000000;0.000000
144;-9.000000;1.000000;0.000000
145;-10.000000;1.000000;0.000000
146;-9.000000;1.000000;0.000000
147;-9.000000;1.000000;0.000000
148;-9.000000;1.000000;0.000000
149;-8.000000;1.000000;0.000000
150;-9.000000;1.000000;0.000000
151;-8.000000;1.000000;0.000000
152;-8.000000;1.000000;0.000000
153;-8.000000;1.000000;0.000000
154;-8.000000;1.000000;0.000000
155;-8.000000;1.000000;0.000000
156;-7.000000;1.000000;0.000000
157;-6.000000;1.000000;0.000000
158;-6.000000;1.000000;0.000000
159;-5.000000;1.000000;0.000000
160;-5.000000;1.000000;0.000000
161;-4.000000;1.000000;0.000000
162;-4.000000;1.000000;0.000000
163;-4.000000;1.000000;0.000000
164;-2.000000;1.000000;0.000000
165;-2.000000;1.000000;0.000000
166;-1.000000;1.000000;0.000000
167;-1.000000;1.000000;0.000000
168;-1.000000;1.000000;0.000000
169;0.000000;1.000000;0.000000
170;-1.000000;1.000000;0.000000
171;1.000000;1.000000;0.000000
172;0.000000;1.000000;0.000000
173;1.000000;0.000000;0.000000
174;-2.000000;0.000000;0.000000
175;-3.000000;0.000000;0.000000
176;-1.000000;0.000000;0.000000
177;-1.000000;0.000000;0.000000
178;4.000000;0.000000;0.000000
179;3.000000;0.000000;0.000000
180;5.000000;0.000000;0.000000
181;6.000000;0.000000;0.000000
182;3.000000;0.000000;0.000000
183;5.000000;0.000000;0.000000
184;5.000000;0.000000;0.000000
185;6.000000;0.000000;0.000000
186;7.000000;0.000000;0.000000
187;6.000000;0.000000;0.000000
188;8.000000;0.000000;0.000000
189;5.000000;0.000000;0.000000
190;6.000000;0.000000;0.000000
191;7.000000;0.000000;0.000000
192;4.000000;0.000000;0.000000
193;6.000000;0.000000;0.000000
194;6.000000;0.000000;0.000000
195;5.000000;0.000000;0.000000
196;7.000000;0.000000;0.000000
197;5.000000;0.000000;0.000000
198;7.000000;0.000000;0.000000
199;8.000000;0.000000;0.000000
200;9.000000;0.000000;0.000000
201;9.000000;0.000000;0.000000
202;7.000000;0.000000;0.000000
203;9.000000;0.000000;0.000000
204;7.000000;0.000000;0.000000
205;7.000000;0.000000;0.000000
206;8.000000;0.000000;0.000000
207;6.000000;0.000000;0.000000
208;7.000000;0.000000;0.000000
209;6.000000;0.000000;0.000000
210;6.000000;0.000000;0.000000
211;7.000000;0.000000;0.000000
212;7.000000;0.000000;0.000000
213;6.000000;0.000000;0.000000
214;6.000000;0.000000;0.000000
215;6.000000;0.000000;0.000000
216;6.000000;0.000000;0.000000
217;5.000000;0.000000;0.000000
218;5.000000;0.000000;0.000000
219;6.000000;0.000000;0.000000
220;6.000000;0.000000;0.000000
221;6.000000;0.000000;0.000000
222;6.000000;0.000000;0.000000
223;4.000000;0.000000;0.000000
224;5.000000;0.000000;0.000000
225;5.000000;0.000000;0.000000
226;6.000000;0.000000;0.000000
227;5.000000;0.000000;0.000000
228;4.000000;0.000000;0.000000
229;4.000000;0.000000;0.000000
230;3.000000;0.000000;0.000000
231;4.000000;0.000000;0.000000
232;5.000000;0.000000;0.000000
233;4.000000;0.000000;0.000000
234;5.000000;0.000000;0.000000
235;5.000000;0.000000;0.000000
236;3.000000;0.000000;0.000000
237;4.000000;0.000000;0.000000
238;4.000000;0.000000;0.000000
239;3.000000;0.000000;0.000000
240;4.000000;0.000000;0.000000
241;4.000000;0.000000;0.000000
242;4.000000;0.000000;0.000000
243;1.000000;0.000000;0.000000
244;1.000000;0.000000;0.000000
245;1.000000;0.000000;0.000000
246;0.000000;0.000000;0.000000
247;2.000000;0.000000;0.000000
248;1.000000;0.000000;0.000000
249;1.000000;0.000000;0.000000
250;1.000000;0.000000;0.000000
251;1.000000;0.000000;0.000000
252;0.000000;0.000000;0.000000
253;-1.000000;0.000000;0.000000
254;-1.000000;0.000000;0.000000
255;0.000000;0.000000;0.000000
256;0.000000;0.000000;0.000000
257;-1.000000;0.000000;0.000000
258;-2.000000;0.000000;0.000000
259;-2.000000;0.000000;0.000000
260;-1.000000;0.000000;0.000000
261;-3.000000;0.000000;0.000000
262;-3.000000;0.000000;0.000000
263;-3.000000;0.000000;0.000000
264;-3.000000;0.000000;0.000000
265;-4.000000;0.000000;0.000000
266;-3.000000;0.000000;0.000000
267;-4.000000;0.000000;0.000000
268;-5.000000;0.000000;0.000000
269;-3.000000;0.000000;0.000000
270;-4.000000;0.000000;0.000000
271;-4.000000;0.000000;0.000000
272;-3.000000;0.000000;0.000000
273;-4.000000;0.000000;0.000000
274;-4.000000;0.000000;0.000000
275;-4.000000;0.000000;0.000000
276;-5.000000;0.000000;0.000000
277;-5.000000;0.000000;0.000000
278;-6.000000;0.000000;0.000000
279;-6.000000;0.000000;0.000000
280;-5.000000;0.000000;0.000000
281;-6.000000;0.000000;0.000000
