takt;q1;q2;q2p
0;403.000000;-16.000000;0.000000
1;715.000000;-24.000000;0.000000
2;883.000000;-32.000000;0.000000
3;957.000000;-36.000000;0.000000
4;880.000000;-34.000000;0.000000
5;683.000000;-26.000000;0.000000
6;484.000000;-19.000000;0.000000
7;241.000000;-11.000000;0.000000
8;-50.000000;1.000000;0.000000
9;-283.000000;11.000000;0.000000
10;-433.000000;16.000000;0.000000
11;-557.000000;21.000000;0.000000
12;-623.000000;24.000000;0.000000
13;-626.000000;24.000000;0.000000
14;-624.000000;24.000000;0.000000
15;-606.000000;24.000000;0.000000
16;-531.000000;22.000000;0.000000
17;-457.000000;19.000000;0.000000
18;-391.000000;16.000000;0.000000
19;-313.000000;13.000000;0.000000
20;-239.000000;10.000000;0.000000
21;-188.000000;8.000000;0.000000
22;-129.000000;6.000000;0.000000
23;-66.000000;3.000000;0.000000
24;-21.000000;1.000000;0.000000
25;18.000000;0.000000;0.000000
26;59.000000;-2.000000;0.000000
27;87.000000;-3.000000;0.000000
28;96.000000;-3.000000;0.000000
29;98.000000;-4.000000;0.000000
30;93.000000;-4.000000;0.000000
31;69.000000;-3.000000;0.000000
32;41.000000;-2.000000;0.000000
33;13.000000;-1.000000;0.000000
34;-18.000000;0.000000;0.000000
35;-42.000000;1.000000;0.000000
36;-54.000000;2.000000;0.000000
37;-52.000000;2.000000;0.000000
38;-42.000000;2.000000;0.000000
39;-19.000000;1.000000;0.000000
40;3.000000;1.000000;0.000000
41;22.000000;0.000000;0.000000
42;47.000000;-1.000000;0.000000
43;64.000000;-2.000000;0.000000
44;73.000000;-2.000000;0.000000
45;76.000000;-3.000000;0.000000
46;73.000000;-3.000000;0.000000
47;63.000000;-3.000000;0.000000
48;50.000000;-3.000000;0.000000
49;36.000000;-2.000000;0.000000
50;25.000000;-2.000000;0.000000
51;16.000000;-1.000000;0.000000
52;5.000000;-1.000000;0.000000
53;-4.000000;0.000000;0.000000
54;-7.000000;0.000000;0.000000
55;-10.000000;0.000000;0.000000
56;-8.000000;0.000000;0.000000
57;-2.000000;0.000000;0.000000
58;3.000000;0.000000;0.000000
59;11.000000;0.000000;0.000000
60;27.000000;-1.000000;0.000000
61;32.000000;-1.000000;0.000000
62;40.000000;-1.000000;0.000000
63;51.000000;-2.000000;0.000000
64;44.000000;-2.000000;0.000000
65;37.000000;-2.000000;0.000000
66;30.000000;-2.000000;0.000000
67;14.000000;-1.000000;0.000000
68;2.000000;-1.000000;0.000000
69;2.000000;0.000000;0.000000
70;-5.000000;0.000000;0.000000
71;-14.000000;0.000000;0.000000
72;-11.000000;0.000000;0.000000
73;-8.000000;0.000000;0.000000
74;-8.000000;0.000000;0.000000
75;-1.000000;0.000000;0.000000
76;8.000000;0.000000;0.000000
77;10.000000;0.000000;0.000000
78;16.000000;0.000000;0.000000
79;24.000000;0.000000;0.000000
80;22.000000;-1.000000;0.000000
81;16.000000;-1.000000;0.000000
82;12.000000;-1.000000;0.000000
83;7.000000;-1.000000;0.000000
84;-2.000000;0.000000;0.000000
85;1.000000;0.000000;0.000000
86;1.000000;0.000000;0.000000
87;0.000000;0.000000;0.000000
88;8.000000;0.000000;0.000000
89;14.000000;0.000000;0.000000
90;20.000000;0.000000;0.000000
91;25.000000;0.000000;0.000000
92;26.000000;-1.000000;0.000000
93;23.000000;-1.000000;0.000000
94;20.000000;-1.000000;0.000000
95;16.000000;-1.000000;0.000000
96;10.000000;-1.000000;0.000000
97;2.000000;-1.000000;0.000000
98;-3.000000;0.000000;0.000000
99;-3.000000;0.000000;0.000000
100;-5.000000;0.000000;0.000000
101;-2.000000;0.000000;0.000000
102;2.000000;0.000000;0.000000
103;3.000000;0.000000;0.000000
104;8.000000;0.000000;0.000000
105;16.000000;0.000000;0.000000
106;17.000000;0.000000;0.000000
107;17.000000;0.000000;0.000000
108;22.000000;0.000000;0.000000
109;17.000000;0.000000;0.000000
110;10.000000;0.000000;0.000000
111;8.000000;0.000000;0.000000
112;1.000000;0.000000;0.000000
113;-8.000000;0.000000;0.000000
114;-10.000000;0.000000;0.000000
115;-12.000000;0.000000;0.000000
116;-15.000000;0.000000;0.000000
117;-15.000000;0.000000;0.000000
118;-11.000000;0.000000;0.000000
119;-8.000000;0.000000;0.000000
120;-6.000000;0.000000;0.000000
121;-1.000000;0.000000;0.000000
122;4.000000;0.000000;0.000000
123;5.000000;0.000000;0.000000
124;5.000000;0.000000;0.000000
125;8.000000;0.000000;0.000000
126;5.000000;0.000000;0.000000
127;-1.000000;0.000000;0.000000
128;-2.000000;0.000000;0.000000
129;-4.000000;0.000000;0.000000
130;-9.000000;0.000000;0.000000
131;-11.000000;0.000000;0.000000
132;-9.000000;0.000000;0.000000
133;-10.000000;0.000000;0.000000
134;-10.000000;0.000000;0.000000
135;-6.000000;0.000000;0.000000
136;-4.000000;0.000000;0.000000
137;-4.000000;0.000000;0.000000
138;0.000000;0.000000;0.000000
139;1.000000;0.000000;0.000000
140;1.000000;0.000000;0.000000
141;0.000000;0.000000;0.000000
142;0.000000;0.000000;0.000000
143;0.000000;0.000000;0.000000
144;-1.000000;0.000000;0.000000
145;1.000000;0.000000;0.000000
146;2.000000;0.000000;0.000000
147;2.000000;0.000000;0.000000
148;3.000000;0.000000;0.000000
149;4.000000;0.000000;0.000000
150;4.000000;0.000000;0.000000
151;4.000000;0.000000;0.000000
152;5.000000;0.000000;0.000000
153;5.000000;0.000000;0.000000
154;4.000000;0.000000;0.000000
155;6.000000;0.000000;0.000000
156;6.000000;0.000000;0.000000
157;7.000000;0.000000;0.000000
158;6.000000;0.000000;0.000000
159;6.000000;0.000000;0.000000
160;6.000000;0.000000;0.000000
161;5.000000;0.000000;0.000000
162;5.000000;0.000000;0.000000
163;4.000000;0.000000;0.000000
164;4.000000;0.000000;0.000000
165;4.000000;0.000000;0.000000
166;4.000000;0.000000;0.000000
167;5.000000;0.000000;0.000000
168;6.000000;0.000000;0.000000
169;5.000000;0.000000;0.000000
170;6.000000;0.000000;0.000000
171;8.000000;0.000000;0.000000
172;7.000000;0.000000;0.000000
173;7.000000;0.000000;0.000000
174;9.000000;0.000000;0.000000
175;8.000000;0.000000;0.000000
176;6.000000;0.000000;0.000000
177;7.000000;0.000000;0.000000
178;7.000000;0.000000;0.000000
179;7.000000;0.000000;0.000000
180;8.000000;0.000000;0.000000
181;10.000000;0.000000;0.000000
182;10.000000;0.000000;0.000000
183;8.000000;0.000000;0.000000
184;10.000000;0.000000;0.000000
185;8.000000;0.000000;0.000000
186;3.000000;0.000000;0.000000
187;1.000000;0.000000;0.000000
188;0.000000;0.000000;0.000000
189;-3.000000;0.000000;0.000000
190;-4.000000;0.000000;0.000000
191;-1.000000;0.000000;0.000000
192;-4.000000;0.000000;0.000000
193;-8.000000;0.000000;0.000000
194;-7.000000;0.000000;0.000000
195;-9.000000;0.000000;0.000000
196;-15.000000;0.000000;0.000000
197;-15.000000;0.000000;0.000000
198;-15.000000;0.000000;0.000000
199;-17.000000;0.000000;0.000000
200;-13.000000;0.000000;0.000000
201;-10.000000;0.000000;0.000000
202;-11.000000;0.000000;0.000000
203;-10.000000;0.000000;0.000000
204;-8.000000;0.000000;0.000000
205;-10.000000;0.000000;0.000000
206;-11.000000;0.000000;0.000000
207;-11.000000;0.000000;0.000000
208;-15.000000;0.000000;0.000000
209;-18.000000;0.000000;0.000000
210;-20.000000;0.000000;0.000000
211;-17.000000;1.000000;0.000000
212;-17.000000;1.000000;0.000000
213;-17.000000;1.000000;0.000000
214;-13.000000;1.000000;0.000000
215;-12.000000;1.000000;0.000000
216;-13.000000;1.000000;0.000000
217;-11.000000;1.000000;0.000000
218;-8.000000;1.000000;0.000000
219;-12.000000;1.000000;0.000000
220;-13.000000;1.000000;0.000000
221;-12.000000;1.000000;0.000000
222;-12.000000;1.000000;0.000000
223;-15.000000;1.000000;0.000000
224;-15.000000;1.000000;0.000000
225;-15.000000;1.000000;0.000000
226;-19.000000;1.000000;0.000000
227;-21.000000;1.000000;0.000000
228;-21.000000;1.000000;0.000000
229;-23.000000;1.000000;0.000000
230;-25.000000;1.000000;0.000000
231;-25.000000;1.000000;0.000000
232;-23.000000;1.000000;0.000000
233;-24.000000;1.000000;0.000000
234;-23.000000;1.000000;0.000000
235;-21.000000;1.000000;0.000000
236;-20.000000;1.000000;0.000000
237;-19.000000;1.000000;0.000000
238;-19.000000;1.000000;0.000000
239;-18.000000;1.000000;0.000000
240;-18.000000;1.000000;0.000000
241;-20.000000;1.000000;0.000000
242;-20.000000;1.000000;0.000000
243;-20.000000;1.000000;0.000000
244;-20.000000;1.000000;0.000000
245;-19.000000;1.000000;0.000000
246;-18.000000;1.000000;0.000000
247;-18.000000;1.000000;0.000000
248;-18.000000;1.000000;0.000000
249;-18.000000;1.000000;0.000000
250;-18.000000;1.000000;0.000000
251;-20.000000;1.000000;0.000000
252;-20.000000;1.000000;0.000000
253;-19.000000;1.000000;0.000000
254;-20.000000;1.000000;0.000000
255;-20.000000;1.000000;0.000000
256;-19.000000;1.000000;0.000000
257;-20.000000;1.000000;0.000000
258;-19.000000;1.000000;0.000000
259;-16.000000;1.000000;0.000000
260;-17.000000;1.000000;0.000000
261;-16.000000;1.000000;0.000000
262;-13.000000;1.000000;0.000000
263;-11.000000;1.000000;0.000000
264;-9.000000;1.000000;0.000000
265;-3.000000;1.000000;0.000000
266;0.000000;1.000000;0.000000
267;-4.000000;0.000000;0.000000
268;-3.000000;0.000000;0.000000
269;-3.000000;0.000000;0.000000
270;-8.000000;0.000000;0.000000
271;-10.000000;0.000000;0.000000
272;-9.000000;0.000000;0.000000
273;-12.000000;0.000000;0.000000
274;-12.000000;0.000000;0.000000
275;-7.000000;0.000000;0.000000
276;-6.000000;0.000000;0.000000
277;-7.000000;0.000000;0.000000
278;-6.000000;0.000000;0.000000
279;-5.000000;0.000000;0.000000
280;-6.000000;0.000000;0.000000
281;-5.000000;0.000000;0.000000
282;-3.000000;0.000000;0.000000
283;-1.000000;0.000000;0.000000
284;-1.000000;0.000000;0.000000
285;2.000000;0.000000;0.000000
286;7.000000;0.000000;0.000000
287;7.000000;0.000000;0.000000
288;8.000000;0.000000;0.000000
289;11.000000;0.000000;0.000000
290;10.000000;0.000000;0.398428
291;10.000000;0.000000;574.672180
292;10.000000;0.000000;1148.945923
293;8.000000;0.000000;1723.219727
294;-4.000000;0.000000;2297.493408
295;-29.000000;1.000000;2871.767334
296;-67.000000;3.000000;3446.041016
297;-126.000000;6.000000;4020.314941
298;-211.000000;9.000000;4594.588379
299;-322.000000;13.000000;5168.862305
300;-472.000000;20.000000;5743.136230
301;-661.000000;28.000000;6317.409668
302;-885.000000;36.000000;6891.683594
303;-1142.000000;47.000000;7465.957520
304;-1442.000000;60.000000;8040.231445
305;-1775.000000;73.000000;8614.504883
306;-2132.000000;88.000000;9188.778320
307;-2522.000000;104.000000;9763.051758
308;-2945.000000;121.000000;10337.326172
