takt;q1;q2;q2p
0;413.000000;-18.000000;0.000000
1;717.000000;-25.000000;0.000000
2;843.000000;-31.000000;0.000000
3;874.000000;-34.000000;0.000000
4;769.000000;-31.000000;0.000000
5;574.000000;-23.000000;0.000000
6;429.000000;-19.000000;0.000000
7;258.000000;-12.000000;0.000000
8;35.000000;-2.000000;0.000000
9;-96.000000;3.000000;0.000000
10;-135.000000;4.000000;0.000000
11;-171.000000;6.000000;0.000000
12;-182.000000;7.000000;0.000000
13;-147.000000;6.000000;0.000000
14;-152.000000;6.000000;0.000000
15;-176.000000;7.000000;0.000000
16;-144.000000;7.000000;0.000000
17;-113.000000;5.000000;0.000000
18;-113.000000;5.000000;0.000000
19;-97.000000;4.000000;0.000000
20;-69.000000;3.000000;0.000000
21;-72.000000;3.000000;0.000000
22;-66.000000;3.000000;0.000000
23;-28.000000;2.000000;0.000000
24;-17.000000;1.000000;0.000000
25;-16.000000;1.000000;0.000000
26;2.000000;0.000000;0.000000
27;11.000000;-1.000000;0.000000
28;-10.000000;0.000000;0.000000
29;-15.000000;0.000000;0.000000
30;-16.000000;0.000000;0.000000
31;-42.000000;1.000000;0.000000
32;-57.000000;2.000000;0.000000
33;-54.000000;2.000000;0.000000
34;-55.000000;2.000000;0.000000
35;-60.000000;2.000000;0.000000
36;-45.000000;2.000000;0.000000
37;-29.000000;1.000000;0.000000
38;-30.000000;1.000000;0.000000
39;-19.000000;1.000000;0.000000
40;1.000000;0.000000;0.000000
41;8.000000;0.000000;0.000000
42;11.000000;0.000000;0.000000
43;22.000000;-1.000000;0.000000
44;20.000000;-1.000000;0.000000
45;9.000000;-1.000000;0.000000
46;5.000000;-1.000000;0.000000
47;2.000000;-1.000000;0.000000
48;-10.000000;-1.000000;0.000000
49;-18.000000;0.000000;0.000000
50;-16.000000;0.000000;0.000000
51;-21.000000;0.000000;0.000000
52;-25.000000;0.000000;0.000000
53;-17.000000;0.000000;0.000000
54;-13.000000;0.000000;0.000000
