takt;q1;q2;q2p
0;405.000000;-17.000000;0.000000
1;700.000000;-24.000000;0.000000
2;816.000000;-30.000000;0.000000
3;832.000000;-32.000000;0.000000
4;718.000000;-29.000000;0.000000
5;497.000000;-20.000000;0.000000
6;330.000000;-15.000000;0.000000
7;156.000000;-8.000000;0.000000
8;-65.000000;1.000000;0.000000
9;-185.000000;6.000000;0.000000
10;-220.000000;8.000000;0.000000
11;-254.000000;10.000000;0.000000
12;-256.000000;10.000000;0.000000
13;-217.000000;8.000000;0.000000
14;-226.000000;8.000000;0.000000
15;-242.000000;9.000000;0.000000
16;-213.000000;9.000000;0.000000
17;-199.000000;8.000000;0.000000
18;-197.000000;8.000000;0.000000
19;-180.000000;7.000000;0.000000
20;-164.000000;6.000000;0.000000
21;-158.000000;6.000000;0.000000
22;-136.000000;5.000000;0.000000
23;-105.000000;4.000000;0.000000
24;-90.000000;4.000000;0.000000
25;-77.000000;3.000000;0.000000
26;-60.000000;2.000000;0.000000
27;-54.000000;2.000000;0.000000
28;-58.000000;2.000000;0.000000
29;-51.000000;2.000000;0.000000
30;-55.000000;2.000000;0.000000
31;-62.000000;2.000000;0.000000
32;-64.000000;2.000000;0.000000
33;-66.000000;2.000000;0.000000
34;-67.000000;2.000000;0.000000
35;-65.000000;2.000000;0.000000
36;-63.000000;2.000000;0.000000
37;-63.000000;2.000000;0.000000
38;-57.000000;2.000000;0.000000
39;-56.000000;2.000000;0.000000
40;-54.000000;2.000000;0.000000
41;-51.000000;2.000000;0.000000
42;-52.000000;2.000000;0.000000
43;-49.000000;2.000000;0.000000
44;-49.000000;2.000000;0.000000
45;-51.000000;2.000000;0.000000
46;-49.000000;2.000000;0.000000
47;-49.000000;2.000000;0.000000
48;-51.000000;2.000000;0.000000
49;-47.000000;2.000000;0.000000
50;-47.000000;2.000000;0.000000
51;-50.000000;2.000000;0.000000
52;-47.000000;2.000000;0.000000
53;-49.000000;2.000000;0.000000
54;-50.000000;2.000000;0.000000
55;-45.000000;2.000000;0.000000
56;-43.000000;1.000000;0.000000
57;-44.000000;1.000000;0.000000
58;-35.000000;1.000000;0.000000
59;-31.000000;1.000000;0.000000
60;-28.000000;1.000000;0.000000
61;-16.000000;0.000000;0.000000
62;-16.000000;0.000000;0.000000
63;-13.000000;0.000000;0.000000
64;-5.000000;0.000000;0.000000
65;-8.000000;0.000000;0.000000
66;-7.000000;0.000000;0.000000
67;-4.000000;0.000000;0.000000
68;-6.000000;0.000000;0.000000
69;-4.000000;0.000000;0.000000
70;2.000000;0.000000;0.000000
71;1.000000;0.000000;0.000000
72;5.000000;0.000000;0.000000
73;8.000000;-1.000000;0.000000
74;10.000000;-1.000000;0.000000
75;15.000000;-1.000000;0.000000
76;20.000000;-1.000000;0.000000
77;23.000000;-1.000000;0.000000
78;24.000000;-1.000000;0.000000
79;27.000000;-1.000000;0.000000
80;26.000000;-2.000000;0.000000
81;23.000000;-2.000000;0.000000
82;27.000000;-2.000000;0.000000
83;24.000000;-2.000000;0.000000
84;25.000000;-2.000000;0.000000
85;32.000000;-2.000000;0.000000
86;31.000000;-2.000000;0.000000
87;35.000000;-2.000000;0.000000
88;41.000000;-2.000000;0.000000
89;40.000000;-2.000000;0.000000
90;43.000000;-2.000000;0.000000
91;46.000000;-2.000000;0.000000
92;44.000000;-2.000000;0.000000
93;46.000000;-2.000000;0.000000
94;47.000000;-2.000000;0.000000
95;44.000000;-2.000000;0.000000
96;48.000000;-2.000000;0.000000
97;44.000000;-3.000000;0.000000
98;37.000000;-3.000000;0.000000
99;39.000000;-3.000000;0.000000
100;36.000000;-3.000000;0.000000
101;33.000000;-3.000000;0.000000
102;41.000000;-3.000000;0.000000
103;36.000000;-3.000000;0.000000
104;35.000000;-2.000000;0.000000
105;51.000000;-2.000000;0.000000
106;45.000000;-2.000000;0.000000
107;46.000000;-2.000000;0.000000
108;54.000000;-3.000000;0.000000
109;35.000000;-3.000000;0.000000
110;34.000000;-2.000000;0.000000
111;39.000000;-2.000000;0.000000
112;25.000000;-2.000000;0.000000
113;22.000000;-2.000000;0.000000
114;26.000000;-2.000000;0.000000
115;18.000000;-2.000000;0.000000
116;18.000000;-2.000000;0.000000
117;27.000000;-2.000000;0.000000
118;20.000000;-2.000000;0.000000
119;20.000000;-2.000000;0.000000
120;25.000000;-2.000000;0.000000
121;20.000000;-2.000000;0.000000
122;22.000000;-2.000000;0.000000
123;24.000000;-2.000000;0.000000
124;19.000000;-2.000000;0.000000
125;23.000000;-2.000000;0.000000
126;23.000000;-2.000000;0.000000
127;19.000000;-2.000000;0.000000
128;22.000000;-2.000000;0.000000
129;17.000000;-2.000000;0.000000
130;13.000000;-2.000000;0.000000
131;16.000000;-2.000000;0.000000
132;10.000000;-1.000000;0.000000
133;14.000000;-1.000000;0.000000
134;16.000000;-1.000000;0.000000
135;12.000000;-1.000000;0.000000
136;15.000000;-1.000000;0.000000
137;14.000000;-1.000000;0.000000
138;11.000000;-1.000000;0.000000
139;14.000000;-1.000000;0.000000
140;13.000000;-1.000000;0.000000
141;10.000000;-1.000000;0.000000
142;14.000000;-1.000000;0.000000
143;14.000000;-1.000000;0.000000
144;12.000000;-1.000000;0.000000
145;14.000000;-1.000000;0.000000
146;13.000000;-1.000000;0.000000
147;11.000000;-1.000000;0.000000
148;16.000000;-1.000000;0.000000
149;14.000000;-1.000000;0.000000
150;11.000000;-1.000000;0.000000
151;16.000000;-1.000000;0.000000
152;13.000000;-1.000000;0.000000
153;13.000000;-1.000000;0.000000
154;18.000000;-1.000000;0.000000
155;13.000000;-1.000000;0.000000
156;12.000000;-1.000000;0.000000
157;17.000000;-1.000000;0.000000
158;14.000000;-1.000000;0.000000
159;14.000000;-1.000000;0.000000
160;17.000000;-1.000000;0.000000
161;11.000000;-1.000000;0.000000
162;12.000000;-1.000000;0.000000
163;15.000000;-1.000000;0.000000
164;11.000000;-1.000000;0.000000
165;12.000000;-1.000000;0.000000
166;15.000000;-1.000000;0.000000
167;11.000000;-1.000000;0.000000
168;15.000000;-1.000000;0.000000
169;17.000000;-1.000000;0.000000
170;10.000000;-1.000000;0.000000
