takt;q1;q2;q2p
0;409.000000;-16.000000;0.000000
1;709.000000;-24.000000;0.000000
2;814.000000;-29.000000;0.000000
3;844.000000;-32.000000;0.000000
4;752.000000;-30.000000;0.000000
5;549.000000;-21.000000;0.000000
6;403.000000;-16.000000;0.000000
7;241.000000;-11.000000;0.000000
8;16.000000;-1.000000;0.000000
9;-126.000000;4.000000;0.000000
10;-161.000000;6.000000;0.000000
11;-201.000000;8.000000;0.000000
12;-214.000000;9.000000;0.000000
13;-178.000000;8.000000;0.000000
14;-204.000000;8.000000;0.000000
15;-237.000000;10.000000;0.000000
16;-216.000000;9.000000;0.000000
17;-210.000000;9.000000;0.000000
18;-219.000000;9.000000;0.000000
19;-202.000000;9.000000;0.000000
20;-195.000000;8.000000;0.000000
21;-192.000000;8.000000;0.000000
22;-168.000000;8.000000;0.000000
23;-144.000000;6.000000;0.000000
24;-132.000000;6.000000;0.000000
25;-117.000000;5.000000;0.000000
26;-109.000000;5.000000;0.000000
27;-109.000000;5.000000;0.000000
28;-106.000000;5.000000;0.000000
29;-106.000000;5.000000;0.000000
30;-108.000000;5.000000;0.000000
31;-111.000000;5.000000;0.000000
32;-109.000000;5.000000;0.000000
33;-104.000000;5.000000;0.000000
34;-103.000000;5.000000;0.000000
35;-101.000000;5.000000;0.000000
36;-99.000000;5.000000;0.000000
37;-100.000000;5.000000;0.000000
38;-94.000000;4.000000;0.000000
39;-89.000000;4.000000;0.000000
40;-81.000000;4.000000;0.000000
41;-70.000000;3.000000;0.000000
42;-64.000000;3.000000;0.000000
43;-52.000000;3.000000;0.000000
44;-45.000000;2.000000;0.000000
45;-43.000000;2.000000;0.000000
46;-34.000000;2.000000;0.000000
47;-34.000000;2.000000;0.000000
48;-32.000000;2.000000;0.000000
49;-29.000000;2.000000;0.000000
50;-31.000000;1.000000;0.000000
51;-33.000000;1.000000;0.000000
52;-34.000000;1.000000;0.000000
53;-34.000000;1.000000;0.000000
54;-31.000000;1.000000;0.000000
55;-26.000000;1.000000;0.000000
56;-23.000000;1.000000;0.000000
57;-18.000000;1.000000;0.000000
58;-9.000000;1.000000;0.000000
59;1.000000;1.000000;0.000000
60;5.000000;0.000000;0.000000
61;13.000000;0.000000;0.000000
62;21.000000;0.000000;0.000000
63;24.000000;0.000000;0.000000
64;23.000000;-1.000000;0.000000
65;27.000000;-1.000000;0.000000
66;27.000000;-1.000000;0.000000
67;24.000000;-1.000000;0.000000
68;32.000000;-1.000000;0.000000
69;33.000000;-1.000000;0.000000
70;35.000000;-1.000000;0.000000
71;41.000000;-1.000000;0.000000
72;47.000000;-1.000000;0.000000
73;51.000000;-1.000000;0.000000
74;53.000000;-2.000000;0.000000
75;62.000000;-2.000000;0.000000
76;63.000000;-2.000000;0.000000
77;64.000000;-2.000000;0.000000
78;67.000000;-2.000000;0.000000
79;64.000000;-2.000000;0.000000
80;66.000000;-2.000000;0.000000
81;68.000000;-2.000000;0.000000
82;67.000000;-2.000000;0.000000
83;69.000000;-2.000000;0.000000
84;67.000000;-2.000000;0.000000
85;68.000000;-2.000000;0.000000
86;70.000000;-2.000000;0.000000
87;67.000000;-2.000000;0.000000
88;70.000000;-2.000000;0.000000
89;69.000000;-2.000000;0.000000
90;67.000000;-2.000000;0.000000
91;71.000000;-2.000000;0.000000
92;63.000000;-2.000000;0.000000
93;62.000000;-2.000000;0.000000
94;64.000000;-2.000000;0.000000
95;61.000000;-2.000000;0.000000
96;64.000000;-2.000000;0.000000
97;61.000000;-2.000000;0.000000
98;58.000000;-2.000000;0.000000
99;59.000000;-2.000000;0.000000
100;55.000000;-2.000000;0.000000
101;57.000000;-2.000000;0.000000
102;54.000000;-2.000000;0.000000
103;54.000000;-2.000000;0.000000
104;55.000000;-2.000000;0.000000
105;51.000000;-2.000000;0.000000
106;52.000000;-2.000000;0.000000
107;48.000000;-2.000000;0.000000
108;40.000000;-2.000000;0.000000
109;36.000000;-2.000000;0.000000
110;32.000000;-1.000000;0.000000
111;29.000000;-1.000000;0.000000
112;23.000000;-1.000000;0.000000
113;22.000000;-1.000000;0.000000
114;16.000000;-1.000000;0.000000
115;14.000000;0.000000;0.000000
116;19.000000;0.000000;0.000000
117;14.000000;0.000000;0.000000
118;16.000000;0.000000;0.000000
119;14.000000;0.000000;0.000000
120;12.000000;0.000000;0.000000
121;15.000000;0.000000;0.000000
122;10.000000;0.000000;0.000000
123;6.000000;0.000000;0.000000
124;5.000000;0.000000;0.000000
125;4.000000;0.000000;0.000000
126;4.000000;0.000000;0.000000
127;3.000000;0.000000;0.000000
128;1.000000;0.000000;0.000000
129;-1.000000;0.000000;0.000000
130;-2.000000;0.000000;0.000000
131;-4.000000;0.000000;0.000000
132;-5.000000;0.000000;0.000000
133;-6.000000;0.000000;0.000000
134;-11.000000;0.000000;0.000000
135;-4.000000;1.000000;0.000000
136;-8.000000;1.000000;0.000000
137;-13.000000;1.000000;0.000000
138;-7.000000;1.000000;0.000000
139;-16.000000;1.000000;0.000000
140;-14.000000;1.000000;0.000000
141;-17.000000;1.000000;0.000000
142;-19.000000;1.000000;0.000000
143;-16.000000;1.000000;0.000000
144;-20.000000;1.000000;0.000000
145;-17.000000;1.000000;0.000000
146;-21.000000;1.000000;0.000000
147;-22.000000;1.000000;0.000000
148;-19.000000;1.000000;0.000000
149;-24.000000;1.000000;0.000000
150;-22.000000;1.000000;0.000000
151;-25.000000;1.000000;0.000000
152;-25.000000;1.000000;0.000000
153;-24.000000;1.000000;0.000000
154;-26.000000;1.000000;0.000000
155;-25.000000;1.000000;0.000000
156;-25.000000;1.000000;0.000000
