takt;q1;q2;q2p
0;395.000000;-16.000000;0.000000
1;681.000000;-23.000000;0.000000
2;793.000000;-29.000000;0.000000
3;812.000000;-31.000000;0.000000
4;709.000000;-28.000000;0.000000
5;505.000000;-20.000000;0.000000
6;336.000000;-15.000000;0.000000
7;146.000000;-7.000000;0.000000
8;-91.000000;3.000000;0.000000
9;-246.000000;8.000000;0.000000
10;-308.000000;11.000000;0.000000
11;-369.000000;14.000000;0.000000
12;-397.000000;15.000000;0.000000
13;-375.000000;15.000000;0.000000
14;-378.000000;15.000000;0.000000
15;-391.000000;15.000000;0.000000
16;-356.000000;14.000000;0.000000
17;-317.000000;13.000000;0.000000
18;-306.000000;13.000000;0.000000
19;-281.000000;11.000000;0.000000
20;-242.000000;10.000000;0.000000
21;-232.000000;9.000000;0.000000
22;-211.000000;8.000000;0.000000
23;-165.000000;6.000000;0.000000
24;-136.000000;5.000000;0.000000
25;-123.000000;5.000000;0.000000
26;-97.000000;4.000000;0.000000
27;-75.000000;3.000000;0.000000
28;-77.000000;3.000000;0.000000
29;-72.000000;3.000000;0.000000
30;-61.000000;2.000000;0.000000
31;-76.000000;2.000000;0.000000
32;-92.000000;3.000000;0.000000
33;-90.000000;3.000000;0.000000
34;-94.000000;3.000000;0.000000
35;-105.000000;3.000000;0.000000
36;-95.000000;3.000000;0.000000
37;-77.000000;3.000000;0.000000
38;-68.000000;2.000000;0.000000
39;-52.000000;2.000000;0.000000
40;-15.000000;1.000000;0.000000
41;1.000000;0.000000;0.000000
42;7.000000;0.000000;0.000000
43;25.000000;-1.000000;0.000000
44;35.000000;-2.000000;0.000000
45;29.000000;-2.000000;0.000000
46;28.000000;-2.000000;0.000000
47;35.000000;-2.000000;0.000000
48;26.000000;-2.000000;0.000000
49;11.000000;-1.000000;0.000000
50;17.000000;-1.000000;0.000000
51;18.000000;-1.000000;0.000000
52;3.000000;-1.000000;0.000000
53;6.000000;-1.000000;0.000000
54;16.000000;-1.000000;0.000000
55;7.000000;-1.000000;0.000000
56;9.000000;-1.000000;0.000000
57;30.000000;-1.000000;0.000000
58;30.000000;-2.000000;0.000000
59;23.000000;-2.000000;0.000000
60;37.000000;-2.000000;0.000000
61;44.000000;-2.000000;0.000000
62;35.000000;-2.000000;0.000000
63;39.000000;-2.000000;0.000000
64;46.000000;-2.000000;0.000000
65;30.000000;-2.000000;0.000000
66;16.000000;-2.000000;0.000000
67;18.000000;-2.000000;0.000000
68;10.000000;-2.000000;0.000000
69;-3.000000;-1.000000;0.000000
70;3.000000;-1.000000;0.000000
71;15.000000;-1.000000;0.000000
72;18.000000;-1.000000;0.000000
73;29.000000;-1.000000;0.000000
74;47.000000;-2.000000;0.000000
75;52.000000;-3.000000;0.000000
76;42.000000;-3.000000;0.000000
77;44.000000;-3.000000;0.000000
78;41.000000;-3.000000;0.000000
79;25.000000;-2.000000;0.000000
80;19.000000;-2.000000;0.000000
81;18.000000;-2.000000;0.000000
82;8.000000;-1.000000;0.000000
83;6.000000;-1.000000;0.000000
84;15.000000;-1.000000;0.000000
85;19.000000;-1.000000;0.000000
86;19.000000;-1.000000;0.000000
87;27.000000;-1.000000;0.000000
88;32.000000;-2.000000;0.000000
89;32.000000;-2.000000;0.000000
90;33.000000;-2.000000;0.000000
91;34.000000;-2.000000;0.000000
92;29.000000;-2.000000;0.000000
93;23.000000;-2.000000;0.000000
94;18.000000;-2.000000;0.000000
95;14.000000;-2.000000;0.000000
96;7.000000;-1.000000;0.000000
97;9.000000;-1.000000;0.000000
98;11.000000;-1.000000;0.000000
99;11.000000;-1.000000;0.000000
100;15.000000;-1.000000;0.000000
101;21.000000;-1.000000;0.000000
102;25.000000;-1.000000;0.000000
103;29.000000;-1.000000;0.000000
104;33.000000;-2.000000;0.000000
105;28.000000;-2.000000;0.000000
106;20.000000;-2.000000;0.000000
107;16.000000;-2.000000;0.000000
108;6.000000;-2.000000;0.000000
109;2.000000;-1.000000;0.000000
110;-1.000000;-1.000000;0.000000
111;-6.000000;-1.000000;0.000000
112;-6.000000;-1.000000;0.000000
113;-4.000000;-1.000000;0.000000
114;-1.000000;-1.000000;0.000000
115;2.000000;-1.000000;0.000000
116;4.000000;-1.000000;0.000000
117;7.000000;-1.000000;0.000000
118;10.000000;-1.000000;0.000000
119;11.000000;-1.000000;0.000000
120;12.000000;-1.000000;0.000000
121;13.000000;-1.000000;0.000000
122;9.000000;-1.000000;0.000000
123;6.000000;-1.000000;0.000000
124;6.000000;-1.000000;0.000000
125;3.000000;-1.000000;0.000000
126;-1.000000;-1.000000;0.000000
127;-3.000000;-1.000000;0.000000
