takt;q1;q2;q2p
0;402.000000;-17.000000;0.000000
1;706.000000;-25.000000;0.000000
2;834.000000;-31.000000;0.000000
3;863.000000;-33.000000;0.000000
4;760.000000;-30.000000;0.000000
5;542.000000;-22.000000;0.000000
6;359.000000;-16.000000;0.000000
7;169.000000;-9.000000;0.000000
8;-76.000000;2.000000;0.000000
9;-241.000000;8.000000;0.000000
10;-317.000000;11.000000;0.000000
11;-389.000000;15.000000;0.000000
12;-417.000000;17.000000;0.000000
13;-388.000000;16.000000;0.000000
14;-394.000000;15.000000;0.000000
15;-402.000000;16.000000;0.000000
16;-362.000000;15.000000;0.000000
17;-342.000000;14.000000;0.000000
18;-327.000000;14.000000;0.000000
19;-301.000000;12.000000;0.000000
20;-280.000000;11.000000;0.000000
21;-270.000000;11.000000;0.000000
22;-238.000000;10.000000;0.000000
23;-200.000000;8.000000;0.000000
24;-172.000000;7.000000;0.000000
25;-140.000000;6.000000;0.000000
26;-107.000000;4.000000;0.000000
27;-87.000000;3.000000;0.000000
28;-81.000000;3.000000;0.000000
29;-62.000000;2.000000;0.000000
30;-60.000000;2.000000;0.000000
31;-68.000000;2.000000;0.000000
32;-60.000000;2.000000;0.000000
33;-61.000000;2.000000;0.000000
34;-58.000000;2.000000;0.000000
35;-49.000000;2.000000;0.000000
36;-41.000000;1.000000;0.000000
37;-31.000000;1.000000;0.000000
38;-15.000000;0.000000;0.000000
39;-3.000000;0.000000;0.000000
40;10.000000;-1.000000;0.000000
41;28.000000;-2.000000;0.000000
42;40.000000;-2.000000;0.000000
43;55.000000;-3.000000;0.000000
44;66.000000;-3.000000;0.000000
45;79.000000;-4.000000;0.000000
46;82.000000;-4.000000;0.000000
47;86.000000;-4.000000;0.000000
48;93.000000;-4.000000;0.000000
49;92.000000;-4.000000;0.000000
50;96.000000;-4.000000;0.000000
51;95.000000;-4.000000;0.000000
52;94.000000;-4.000000;0.000000
53;96.000000;-4.000000;0.000000
54;94.000000;-4.000000;0.000000
55;98.000000;-4.000000;0.000000
56;96.000000;-4.000000;0.000000
57;95.000000;-4.000000;0.000000
58;96.000000;-4.000000;0.000000
59;94.000000;-4.000000;0.000000
60;94.000000;-4.000000;0.000000
61;94.000000;-4.000000;0.000000
62;91.000000;-4.000000;0.000000
63;86.000000;-4.000000;0.000000
64;86.000000;-4.000000;0.000000
65;80.000000;-4.000000;0.000000
66;72.000000;-4.000000;0.000000
67;68.000000;-4.000000;0.000000
68;58.000000;-3.000000;0.000000
69;52.000000;-3.000000;0.000000
70;48.000000;-3.000000;0.000000
71;42.000000;-3.000000;0.000000
72;39.000000;-2.000000;0.000000
73;38.000000;-2.000000;0.000000
74;37.000000;-2.000000;0.000000
75;35.000000;-2.000000;0.000000
76;30.000000;-2.000000;0.000000
77;22.000000;-2.000000;0.000000
78;17.000000;-2.000000;0.000000
79;11.000000;-1.000000;0.000000
80;2.000000;-1.000000;0.000000
81;-5.000000;-1.000000;0.000000
82;-7.000000;0.000000;0.000000
83;-17.000000;0.000000;0.000000
84;-24.000000;0.000000;0.000000
85;-26.000000;0.000000;0.000000
86;-34.000000;1.000000;0.000000
87;-34.000000;1.000000;0.000000
88;-36.000000;1.000000;0.000000
89;-38.000000;1.000000;0.000000
90;-36.000000;1.000000;0.000000
91;-39.000000;1.000000;0.000000
92;-38.000000;1.000000;0.000000
93;-39.000000;1.000000;0.000000
94;-41.000000;1.000000;0.000000
95;-40.000000;1.000000;0.000000
96;-39.000000;1.000000;0.000000
97;-40.000000;1.000000;0.000000
98;-40.000000;1.000000;0.000000
99;-40.000000;1.000000;0.000000
100;-40.000000;1.000000;0.000000
101;-39.000000;1.000000;0.000000
102;-38.000000;1.000000;0.000000
103;-39.000000;1.000000;0.000000
104;-37.000000;1.000000;0.000000
105;-36.000000;1.000000;0.000000
106;-38.000000;1.000000;0.000000
107;-35.000000;1.000000;0.000000
108;-36.000000;1.000000;0.000000
109;-37.000000;1.000000;0.000000
110;-34.000000;1.000000;0.000000
111;-36.000000;1.000000;0.000000
112;-35.000000;1.000000;0.000000
113;-34.000000;1.000000;0.000000
114;-35.000000;1.000000;0.000000
115;-34.000000;1.000000;0.000000
116;-35.000000;1.000000;0.000000
117;-35.000000;1.000000;0.000000
118;-34.000000;1.000000;0.000000
119;-34.000000;1.000000;0.000000
120;-33.000000;1.000000;0.000000
121;-34.000000;1.000000;0.000000
122;-33.000000;1.000000;0.000000
123;-32.000000;1.000000;0.000000
124;-33.000000;1.000000;0.000000
125;-32.000000;1.000000;0.000000
126;-33.000000;1.000000;0.000000
127;-32.000000;1.000000;0.000000
128;-32.000000;1.000000;0.000000
129;-33.000000;1.000000;0.000000
130;-31.000000;1.000000;0.000000
131;-30.000000;1.000000;0.000000
132;-30.000000;1.000000;0.000000
133;-27.000000;1.000000;0.000000
134;-27.000000;1.000000;0.000000
135;-26.000000;1.000000;0.000000
136;-25.000000;1.000000;0.000000
137;-23.000000;1.000000;0.000000
138;-22.000000;1.000000;0.000000
139;-20.000000;1.000000;0.000000
140;-18.000000;1.000000;0.000000
141;-21.000000;0.000000;0.000000
142;-17.000000;0.000000;0.000000
143;-13.000000;0.000000;0.000000
144;-15.000000;0.000000;0.000000
145;-8.000000;0.000000;0.000000
146;-6.000000;0.000000;0.000000
147;-6.000000;0.000000;0.000000
148;-1.000000;0.000000;0.000000
149;3.000000;-1.000000;0.000000
150;1.000000;-1.000000;0.000000
151;5.000000;-1.000000;0.000000
152;9.000000;-1.000000;0.000000
153;8.000000;-1.000000;0.000000
154;14.000000;-1.000000;0.000000
155;16.000000;-1.000000;0.000000
156;17.000000;-1.000000;0.000000
157;20.000000;-1.000000;0.000000
158;23.000000;-1.000000;0.000000
159;18.000000;-2.000000;0.000000
160;21.000000;-2.000000;0.000000
161;26.000000;-2.000000;0.000000
162;25.000000;-2.000000;0.000000
163;32.000000;-2.000000;0.000000
164;38.000000;-2.000000;0.000000
165;40.000000;-2.000000;0.000000
166;46.000000;-2.000000;0.000000
167;53.000000;-3.000000;0.000000
168;52.000000;-3.000000;0.000000
169;53.000000;-3.000000;0.000000
170;56.000000;-3.000000;0.000000
171;54.000000;-3.000000;0.000000
172;57.000000;-3.000000;0.000000
173;56.000000;-3.000000;0.000000
174;56.000000;-3.000000;0.000000
175;56.000000;-3.000000;0.000000
176;54.000000;-3.000000;0.000000
177;55.000000;-3.000000;0.000000
178;53.000000;-3.000000;0.000000
179;53.000000;-3.000000;0.000000
180;54.000000;-3.000000;0.000000
181;52.000000;-3.000000;0.000000
182;53.000000;-3.000000;0.000000
183;50.000000;-3.000000;0.000000
184;48.000000;-3.000000;0.000000
185;47.000000;-3.000000;0.000000
186;45.000000;-3.000000;0.000000
187;42.000000;-3.000000;0.000000
188;37.000000;-3.000000;0.000000
189;39.000000;-2.000000;0.000000
190;33.000000;-2.000000;0.000000
191;31.000000;-2.000000;0.000000
192;30.000000;-2.000000;0.000000
193;25.000000;-2.000000;0.000000
194;22.000000;-2.000000;0.000000
195;19.000000;-2.000000;0.000000
196;16.000000;-2.000000;0.000000
197;11.000000;-1.000000;0.000000
198;11.000000;-1.000000;0.000000
199;9.000000;-1.000000;0.000000
200;6.000000;-1.000000;0.000000
201;6.000000;-1.000000;0.000000
202;4.000000;-1.000000;0.000000
203;4.000000;-1.000000;0.000000
204;3.000000;-1.000000;0.000000
205;1.000000;-1.000000;0.000000
206;0.000000;-1.000000;0.000000
207;-4.000000;-1.000000;0.000000
208;-8.000000;0.000000;0.000000
209;-8.000000;0.000000;0.000000
210;-13.000000;0.000000;0.000000
211;-16.000000;0.000000;0.000000
212;-14.000000;0.000000;0.000000
213;-17.000000;0.000000;0.000000
214;-17.000000;0.000000;0.000000
215;-17.000000;0.000000;0.000000
216;-20.000000;0.000000;0.000000
217;-20.000000;0.000000;0.000000
218;-20.000000;0.000000;0.000000
219;-20.000000;0.000000;0.000000
220;-22.000000;0.000000;0.000000
221;-22.000000;0.000000;0.000000
222;-23.000000;0.000000;0.000000
223;-22.000000;0.000000;0.000000
224;-23.000000;0.000000;0.000000
225;-24.000000;0.000000;0.000000
226;-24.000000;0.000000;0.000000
227;-24.000000;0.000000;0.000000
228;-24.000000;0.000000;0.000000
229;-24.000000;0.000000;0.000000
230;-24.000000;0.000000;0.000000
231;-25.000000;0.000000;0.000000
232;-24.000000;0.000000;0.000000
233;-24.000000;0.000000;0.000000
234;-25.000000;0.000000;0.000000
235;-24.000000;0.000000;0.000000
236;-24.000000;0.000000;0.000000
237;-23.000000;0.000000;0.000000
238;-24.000000;0.000000;0.000000
239;-23.000000;0.000000;0.000000
240;-23.000000;0.000000;0.000000
241;-23.000000;0.000000;0.000000
242;-22.000000;0.000000;0.000000
243;-23.000000;0.000000;0.000000
244;-22.000000;0.000000;0.000000
245;-23.000000;0.000000;0.000000
246;-22.000000;0.000000;0.000000
247;-22.000000;0.000000;0.000000
248;-22.000000;0.000000;0.000000
249;-21.000000;0.000000;0.000000
250;-21.000000;0.000000;0.000000
251;-19.000000;0.000000;0.000000
252;-20.000000;0.000000;0.000000
253;-19.000000;0.000000;0.000000
254;-18.000000;0.000000;0.000000
255;-20.000000;0.000000;0.000000
256;-18.000000;0.000000;0.000000
257;-19.000000;0.000000;0.000000
258;-18.000000;0.000000;0.000000
259;-18.000000;0.000000;0.000000
260;-18.000000;0.000000;0.000000
261;-18.000000;0.000000;0.000000
262;-18.000000;0.000000;0.000000
263;-17.000000;0.000000;0.000000
264;-17.000000;0.000000;0.000000
265;-17.000000;0.000000;0.000000
266;-17.000000;0.000000;0.000000
267;-16.000000;0.000000;0.000000
268;-16.000000;0.000000;0.000000
269;-17.000000;0.000000;0.000000
270;-15.000000;0.000000;0.000000
271;-16.000000;0.000000;0.000000
272;-15.000000;0.000000;0.000000
273;-14.000000;0.000000;0.000000
274;-14.000000;0.000000;0.000000
275;-14.000000;0.000000;0.000000
276;-14.000000;0.000000;0.000000
277;-13.000000;0.000000;0.000000
278;-13.000000;0.000000;0.000000
279;-12.000000;0.000000;0.000000
280;-10.000000;0.000000;0.000000
281;-10.000000;0.000000;0.000000
282;-8.000000;0.000000;0.000000
283;-7.000000;0.000000;0.000000
284;-7.000000;0.000000;0.000000
285;-6.000000;0.000000;0.000000
286;-5.000000;0.000000;0.000000
287;-5.000000;0.000000;0.000000
288;-3.000000;0.000000;0.000000
289;-1.000000;0.000000;0.000000
290;0.000000;0.000000;0.398428
291;1.000000;0.000000;574.672180
292;2.000000;-1.000000;1148.945923
293;-1.000000;-1.000000;1723.219727
294;-4.000000;-1.000000;2297.493408
295;-13.000000;0.000000;2871.767334
296;-32.000000;1.000000;3446.041016
297;-68.000000;3.000000;4020.314941
298;-128.000000;5.000000;4594.588379
299;-221.000000;9.000000;5168.862305
300;-352.000000;15.000000;5743.136230
301;-517.000000;22.000000;6317.409668
302;-720.000000;30.000000;6891.683594
303;-965.000000;40.000000;7465.957520
304;-1236.000000;51.000000;8040.231445
305;-1542.000000;64.000000;8614.504883
306;-1884.000000;78.000000;9188.778320
307;-2245.000000;92.000000;9763.051758
308;-2626.000000;107.000000;10337.326172
309;-3045.000000;125.000000;10911.599609
310;-3492.000000;143.000000;11485.874023
311;-3939.000000;161.000000;12060.148438
312;-4424.000000;181.000000;12634.420898
313;-4939.000000;202.000000;13208.695312
314;-5435.000000;222.000000;13782.968750
315;-5953.000000;243.000000;14357.242188
316;-6482.000000;264.000000;14931.516602
317;-6983.000000;285.000000;15505.790039
318;-7480.000000;305.000000;15915.494141
319;-7993.000000;327.000000;15915.494141
320;-8486.000000;347.000000;15915.494141
321;-8980.000000;367.000000;15915.494141
322;-9503.000000;388.000000;15915.494141
323;-10020.000000;409.000000;15915.494141
324;-10516.000000;430.000000;15915.494141
325;-11015.000000;450.000000;15915.494141
326;-11494.000000;470.000000;15915.494141
327;-11928.000000;487.000000;15915.494141
