takt;q1;q2;q2p
0;390.000000;-17.000000;0.000000
1;683.000000;-24.000000;0.000000
2;811.000000;-30.000000;0.000000
3;849.000000;-33.000000;0.000000
4;742.000000;-30.000000;0.000000
5;518.000000;-21.000000;0.000000
6;332.000000;-15.000000;0.000000
7;110.000000;-7.000000;0.000000
8;-157.000000;4.000000;0.000000
9;-328.000000;12.000000;0.000000
10;-406.000000;14.000000;0.000000
11;-475.000000;18.000000;0.000000
12;-499.000000;19.000000;0.000000
13;-466.000000;18.000000;0.000000
14;-460.000000;18.000000;0.000000
15;-464.000000;18.000000;0.000000
16;-414.000000;16.000000;0.000000
17;-372.000000;15.000000;0.000000
18;-360.000000;14.000000;0.000000
19;-322.000000;12.000000;0.000000
20;-272.000000;11.000000;0.000000
21;-256.000000;9.000000;0.000000
22;-213.000000;8.000000;0.000000
23;-139.000000;5.000000;0.000000
24;-95.000000;4.000000;0.000000
25;-56.000000;2.000000;0.000000
26;5.000000;-1.000000;0.000000
27;36.000000;-2.000000;0.000000
28;38.000000;-2.000000;0.000000
29;58.000000;-3.000000;0.000000
30;63.000000;-3.000000;0.000000
31;43.000000;-3.000000;0.000000
32;33.000000;-2.000000;0.000000
33;35.000000;-2.000000;0.000000
34;24.000000;-2.000000;0.000000
35;14.000000;-2.000000;0.000000
36;22.000000;-2.000000;0.000000
37;19.000000;-2.000000;0.000000
38;14.000000;-2.000000;0.000000
39;27.000000;-2.000000;0.000000
40;37.000000;-2.000000;0.000000
41;38.000000;-2.000000;0.000000
42;43.000000;-2.000000;0.000000
43;53.000000;-3.000000;0.000000
44;44.000000;-3.000000;0.000000
45;42.000000;-3.000000;0.000000
46;44.000000;-3.000000;0.000000
47;36.000000;-3.000000;0.000000
48;33.000000;-3.000000;0.000000
49;33.000000;-3.000000;0.000000
50;30.000000;-3.000000;0.000000
51;32.000000;-2.000000;0.000000
52;36.000000;-2.000000;0.000000
53;35.000000;-2.000000;0.000000
54;32.000000;-2.000000;0.000000
55;32.000000;-2.000000;0.000000
56;31.000000;-2.000000;0.000000
57;34.000000;-2.000000;0.000000
58;39.000000;-2.000000;0.000000
59;40.000000;-2.000000;0.000000
60;42.000000;-2.000000;0.000000
61;45.000000;-2.000000;0.000000
62;44.000000;-2.000000;0.000000
63;44.000000;-2.000000;0.000000
64;40.000000;-2.000000;0.000000
65;34.000000;-2.000000;0.000000
66;33.000000;-2.000000;0.000000
67;31.000000;-2.000000;0.000000
68;25.000000;-2.000000;0.000000
69;24.000000;-2.000000;0.000000
70;24.000000;-2.000000;0.000000
71;19.000000;-2.000000;0.000000
72;19.000000;-2.000000;0.000000
73;19.000000;-2.000000;0.000000
74;13.000000;-2.000000;0.000000
75;12.000000;-1.000000;0.000000
76;16.000000;-1.000000;0.000000
77;14.000000;-1.000000;0.000000
78;14.000000;-1.000000;0.000000
79;16.000000;-1.000000;0.000000
80;9.000000;-1.000000;0.000000
81;7.000000;-1.000000;0.000000
82;4.000000;-1.000000;0.000000
83;-4.000000;-1.000000;0.000000
84;-8.000000;-1.000000;0.000000
85;-12.000000;-1.000000;0.000000
86;-14.000000;-1.000000;0.000000
87;-12.000000;-1.000000;0.000000
88;-14.000000;-1.000000;0.000000
89;-14.000000;-1.000000;0.000000
90;-14.000000;-1.000000;0.000000
91;-17.000000;0.000000;0.000000
92;-10.000000;0.000000;0.000000
93;-12.000000;0.000000;0.000000
94;-17.000000;0.000000;0.000000
95;-16.000000;0.000000;0.000000
96;-18.000000;0.000000;0.000000
97;-19.000000;0.000000;0.000000
98;-18.000000;0.000000;0.000000
99;-19.000000;0.000000;0.000000
100;-23.000000;0.000000;0.000000
101;-19.000000;0.000000;0.000000
102;-17.000000;0.000000;0.000000
103;-19.000000;0.000000;0.000000
104;-17.000000;0.000000;0.000000
105;-17.000000;0.000000;0.000000
106;-18.000000;0.000000;0.000000
107;-14.000000;0.000000;0.000000
108;-15.000000;0.000000;0.000000
109;-17.000000;0.000000;0.000000
110;-15.000000;0.000000;0.000000
111;-17.000000;0.000000;0.000000
112;-19.000000;0.000000;0.000000
113;-15.000000;0.000000;0.000000
114;-17.000000;0.000000;0.000000
115;-18.000000;0.000000;0.000000
116;-15.000000;0.000000;0.000000
117;-16.000000;0.000000;0.000000
118;-17.000000;0.000000;0.000000
119;-11.000000;0.000000;0.000000
120;-14.000000;0.000000;0.000000
121;-14.000000;0.000000;0.000000
122;-8.000000;0.000000;0.000000
123;-11.000000;0.000000;0.000000
124;-9.000000;0.000000;0.000000
125;-6.000000;0.000000;0.000000
126;-11.000000;0.000000;0.000000
127;-10.000000;0.000000;0.000000
128;-10.000000;0.000000;0.000000
129;-13.000000;0.000000;0.000000
130;-14.000000;0.000000;0.000000
131;-12.000000;0.000000;0.000000
132;-13.000000;0.000000;0.000000
133;-12.000000;0.000000;0.000000
134;-9.000000;0.000000;0.000000
135;-9.000000;0.000000;0.000000
136;-10.000000;0.000000;0.000000
137;-9.000000;0.000000;0.000000
138;-11.000000;0.000000;0.000000
139;-12.000000;0.000000;0.000000
140;-9.000000;0.000000;0.000000
141;-11.000000;0.000000;0.000000
142;-11.000000;0.000000;0.000000
143;-9.000000;0.000000;0.000000
144;-11.000000;0.000000;0.000000
145;-11.000000;0.000000;0.000000
146;-11.000000;0.000000;0.000000
147;-12.000000;0.000000;0.000000
148;-13.000000;0.000000;0.000000
149;-10.000000;0.000000;0.000000
150;-11.000000;0.000000;0.000000
151;-12.000000;0.000000;0.000000
152;-9.000000;0.000000;0.000000
153;-10.000000;0.000000;0.000000
154;-10.000000;0.000000;0.000000
155;-8.000000;0.000000;0.000000
156;-11.000000;0.000000;0.000000
157;-9.000000;0.000000;0.000000
158;-6.000000;0.000000;0.000000
159;-7.000000;0.000000;0.000000
160;-5.000000;0.000000;0.000000
161;-4.000000;0.000000;0.000000
162;-7.000000;0.000000;0.000000
163;-5.000000;0.000000;0.000000
164;-4.000000;0.000000;0.000000
165;-6.000000;0.000000;0.000000
166;-3.000000;0.000000;0.000000
167;-1.000000;0.000000;0.000000
168;-3.000000;0.000000;0.000000
169;-1.000000;0.000000;0.000000
170;2.000000;-1.000000;0.000000
171;-5.000000;-1.000000;0.000000
172;-6.000000;-1.000000;0.000000
173;-4.000000;-1.000000;0.000000
174;-9.000000;-1.000000;0.000000
175;-7.000000;-1.000000;0.000000
176;-4.000000;-1.000000;0.000000
177;-8.000000;-1.000000;0.000000
178;-5.000000;-1.000000;0.000000
179;-4.000000;-1.000000;0.000000
180;-5.000000;-1.000000;0.000000
181;-5.000000;-1.000000;0.000000
182;-4.000000;-1.000000;0.000000
183;-4.000000;-1.000000;0.000000
184;-3.000000;-1.000000;0.000000
185;-4.000000;-1.000000;0.000000
186;-5.000000;-1.000000;0.000000
187;-5.000000;-1.000000;0.000000
188;-4.000000;-1.000000;0.000000
189;-3.000000;-1.000000;0.000000
190;-5.000000;-1.000000;0.000000
191;-4.000000;-1.000000;0.000000
192;-3.000000;-1.000000;0.000000
193;-4.000000;-1.000000;0.000000
194;-2.000000;-1.000000;0.000000
195;-3.000000;-1.000000;0.000000
196;-4.000000;-1.000000;0.000000
197;-2.000000;-1.000000;0.000000
198;-3.000000;-1.000000;0.000000
199;-4.000000;-1.000000;0.000000
200;-1.000000;-1.000000;0.000000
201;-2.000000;-1.000000;0.000000
202;-2.000000;-1.000000;0.000000
203;0.000000;-1.000000;0.000000
204;-1.000000;-1.000000;0.000000
205;-2.000000;-1.000000;0.000000
206;-1.000000;-1.000000;0.000000
207;-4.000000;-1.000000;0.000000
208;-3.000000;-1.000000;0.000000
209;-1.000000;-1.000000;0.000000
210;-3.000000;-1.000000;0.000000
211;-2.000000;-1.000000;0.000000
212;-2.000000;-1.000000;0.000000
213;-4.000000;-1.000000;0.000000
214;-1.000000;-1.000000;0.000000
215;0.000000;-1.000000;0.000000
216;-2.000000;-1.000000;0.000000
217;0.000000;-1.000000;0.000000
218;0.000000;-1.000000;0.000000
219;-2.000000;-1.000000;0.000000
220;1.000000;-1.000000;0.000000
221;-1.000000;-1.000000;0.000000
222;-3.000000;-1.000000;0.000000
223;1.000000;-1.000000;0.000000
224;0.000000;-1.000000;0.000000
225;-1.000000;-1.000000;0.000000
226;0.000000;-1.000000;0.000000
227;-1.000000;-1.000000;0.000000
228;-3.000000;-1.000000;0.000000
229;-1.000000;-1.000000;0.000000
230;-2.000000;-1.000000;0.000000
231;-3.000000;-1.000000;0.000000
232;-2.000000;-1.000000;0.000000
233;-1.000000;-1.000000;0.000000
234;-1.000000;-1.000000;0.000000
235;1.000000;-1.000000;0.000000
236;1.000000;-1.000000;0.000000
237;0.000000;-1.000000;0.000000
238;1.000000;-1.000000;0.000000
239;2.000000;-1.000000;0.000000
240;0.000000;-1.000000;0.000000
241;1.000000;-1.000000;0.000000
242;1.000000;-1.000000;0.000000
243;0.000000;-1.000000;0.000000
244;1.000000;-1.000000;0.000000
245;0.000000;-1.000000;0.000000
246;0.000000;-1.000000;0.000000
247;1.000000;-1.000000;0.000000
248;1.000000;-1.000000;0.000000
249;0.000000;-1.000000;0.000000
250;2.000000;-1.000000;0.000000
251;1.000000;-1.000000;0.000000
252;1.000000;-1.000000;0.000000
253;2.000000;-1.000000;0.000000
254;1.000000;-1.000000;0.000000
255;0.000000;-1.000000;0.000000
256;3.000000;-1.000000;0.000000
257;2.000000;-1.000000;0.000000
258;2.000000;-1.000000;0.000000
259;4.000000;-1.000000;0.000000
260;1.000000;-1.000000;0.000000
261;3.000000;-1.000000;0.000000
262;4.000000;-1.000000;0.000000
263;3.000000;-1.000000;0.000000
264;4.000000;-1.000000;0.000000
265;5.000000;-1.000000;0.000000
266;2.000000;-1.000000;0.000000
267;5.000000;-1.000000;0.000000
268;6.000000;-1.000000;0.000000
269;4.000000;-1.000000;0.000000
270;6.000000;-1.000000;0.000000
271;6.000000;-1.000000;0.000000
272;6.000000;-1.000000;0.000000
273;6.000000;-1.000000;0.000000
274;6.000000;-1.000000;0.000000
275;5.000000;-1.000000;0.000000
276;5.000000;-1.000000;0.000000
277;7.000000;-1.000000;0.000000
278;7.000000;-1.000000;0.000000
279;6.000000;-1.000000;0.000000
280;6.000000;-1.000000;0.000000
281;6.000000;-1.000000;0.000000
282;7.000000;-1.000000;0.000000
283;7.000000;-1.000000;0.000000
284;7.000000;-1.000000;0.000000
285;7.000000;-1.000000;0.000000
286;7.000000;-1.000000;0.000000
287;8.000000;-1.000000;0.000000
288;8.000000;-1.000000;0.000000
289;9.000000;-1.000000;0.000000
290;9.000000;-1.000000;0.398428
291;10.000000;-1.000000;574.672180
292;11.000000;-1.000000;1148.945923
293;8.000000;-1.000000;1723.219727
294;-3.000000;-1.000000;2297.493408
295;-25.000000;0.000000;2871.767334
296;-61.000000;2.000000;3446.041016
297;-125.000000;4.000000;4020.314941
298;-210.000000;8.000000;4594.588379
299;-339.000000;13.000000;5168.862305
300;-514.000000;21.000000;5743.136230
301;-731.000000;30.000000;6317.409668
302;-986.000000;40.000000;6891.683594
303;-1292.000000;53.000000;7465.957520
304;-1641.000000;67.000000;8040.231445
305;-2024.000000;82.000000;8614.504883
306;-2447.000000;100.000000;9188.778320
307;-2894.000000;118.000000;9763.051758
