takt;q1;q2;q2p
0;426.000000;-17.000000;0.000000
1;752.000000;-25.000000;0.000000
2;898.000000;-32.000000;0.000000
3;925.000000;-34.000000;0.000000
4;800.000000;-31.000000;0.000000
5;553.000000;-22.000000;0.000000
6;349.000000;-15.000000;0.000000
7;118.000000;-6.000000;0.000000
8;-168.000000;5.000000;0.000000
9;-361.000000;13.000000;0.000000
10;-450.000000;16.000000;0.000000
11;-513.000000;19.000000;0.000000
12;-525.000000;20.000000;0.000000
13;-471.000000;18.000000;0.000000
14;-449.000000;18.000000;0.000000
15;-433.000000;18.000000;0.000000
16;-360.000000;15.000000;0.000000
17;-295.000000;12.000000;0.000000
18;-262.000000;11.000000;0.000000
19;-211.000000;9.000000;0.000000
20;-159.000000;7.000000;0.000000
21;-143.000000;6.000000;0.000000
22;-104.000000;5.000000;0.000000
23;-50.000000;3.000000;0.000000
24;-16.000000;1.000000;0.000000
25;8.000000;0.000000;0.000000
26;41.000000;-1.000000;0.000000
27;53.000000;-2.000000;0.000000
28;45.000000;-2.000000;0.000000
29;44.000000;-2.000000;0.000000
30;38.000000;-2.000000;0.000000
31;9.000000;-1.000000;0.000000
32;-17.000000;0.000000;0.000000
33;-38.000000;1.000000;0.000000
34;-58.000000;1.000000;0.000000
35;-77.000000;2.000000;0.000000
36;-74.000000;3.000000;0.000000
37;-64.000000;3.000000;0.000000
38;-60.000000;3.000000;0.000000
39;-39.000000;2.000000;0.000000
40;-6.000000;1.000000;0.000000
41;8.000000;0.000000;0.000000
42;26.000000;-1.000000;0.000000
43;51.000000;-2.000000;0.000000
44;57.000000;-2.000000;0.000000
45;53.000000;-2.000000;0.000000
46;60.000000;-2.000000;0.000000
47;57.000000;-2.000000;0.000000
48;43.000000;-2.000000;0.000000
49;37.000000;-2.000000;0.000000
50;28.000000;-2.000000;0.000000
51;8.000000;-1.000000;0.000000
52;-2.000000;-1.000000;0.000000
53;-4.000000;0.000000;0.000000
54;-9.000000;0.000000;0.000000
55;-17.000000;0.000000;0.000000
56;-13.000000;0.000000;0.000000
57;-5.000000;0.000000;0.000000
58;0.000000;0.000000;0.000000
59;13.000000;0.000000;0.000000
60;33.000000;-1.000000;0.000000
61;37.000000;-1.000000;0.000000
62;45.000000;-2.000000;0.000000
63;53.000000;-2.000000;0.000000
64;52.000000;-2.000000;0.000000
65;47.000000;-2.000000;0.000000
66;38.000000;-2.000000;0.000000
67;24.000000;-2.000000;0.000000
68;13.000000;-1.000000;0.000000
69;2.000000;-1.000000;0.000000
70;-10.000000;0.000000;0.000000
71;-9.000000;0.000000;0.000000
72;-11.000000;0.000000;0.000000
73;-7.000000;0.000000;0.000000
74;3.000000;0.000000;0.000000
75;10.000000;0.000000;0.000000
76;18.000000;0.000000;0.000000
77;27.000000;-1.000000;0.000000
78;29.000000;-1.000000;0.000000
79;24.000000;-1.000000;0.000000
80;23.000000;-1.000000;0.000000
81;18.000000;-1.000000;0.000000
82;10.000000;-1.000000;0.000000
83;4.000000;-1.000000;0.000000
84;-3.000000;-1.000000;0.000000
85;-11.000000;0.000000;0.000000
86;-10.000000;0.000000;0.000000
87;-8.000000;0.000000;0.000000
88;-6.000000;0.000000;0.000000
89;3.000000;0.000000;0.000000
90;9.000000;0.000000;0.000000
91;15.000000;0.000000;0.000000
92;24.000000;0.000000;0.000000
93;22.000000;-1.000000;0.000000
94;18.000000;-1.000000;0.000000
95;17.000000;-1.000000;0.000000
96;11.000000;-1.000000;0.000000
97;2.000000;-1.000000;0.000000
98;-1.000000;-1.000000;0.000000
99;-6.000000;0.000000;0.000000
100;-10.000000;0.000000;0.000000
101;-8.000000;0.000000;0.000000
102;-2.000000;0.000000;0.000000
103;3.000000;0.000000;0.000000
104;6.000000;0.000000;0.000000
105;13.000000;0.000000;0.000000
106;20.000000;0.000000;0.000000
107;15.000000;-1.000000;0.000000
108;12.000000;-1.000000;0.000000
109;12.000000;-1.000000;0.000000
110;-1.000000;-1.000000;0.000000
111;-10.000000;0.000000;0.000000
112;-8.000000;0.000000;0.000000
113;-17.000000;0.000000;0.000000
114;-24.000000;0.000000;0.000000
115;-16.000000;0.000000;0.000000
116;-13.000000;0.000000;0.000000
117;-14.000000;0.000000;0.000000
118;-1.000000;0.000000;0.000000
119;5.000000;0.000000;0.000000
120;3.000000;0.000000;0.000000
121;9.000000;0.000000;0.000000
122;16.000000;0.000000;0.000000
123;11.000000;0.000000;0.000000
124;9.000000;0.000000;0.000000
125;11.000000;0.000000;0.000000
126;6.000000;0.000000;0.000000
127;4.000000;0.000000;0.000000
128;6.000000;0.000000;0.000000
129;6.000000;0.000000;0.000000
130;3.000000;0.000000;0.000000
131;4.000000;0.000000;0.000000
132;7.000000;0.000000;0.000000
133;10.000000;0.000000;0.000000
134;11.000000;0.000000;0.000000
135;17.000000;0.000000;0.000000
136;22.000000;-1.000000;0.000000
137;15.000000;-1.000000;0.000000
138;16.000000;-1.000000;0.000000
139;17.000000;-1.000000;0.000000
140;9.000000;-1.000000;0.000000
141;9.000000;-1.000000;0.000000
142;10.000000;-1.000000;0.000000
143;3.000000;-1.000000;0.000000
144;-2.000000;-1.000000;0.000000
145;2.000000;-1.000000;0.000000
146;-4.000000;-1.000000;0.000000
147;-9.000000;0.000000;0.000000
148;-4.000000;0.000000;0.000000
149;-3.000000;0.000000;0.000000
150;-4.000000;0.000000;0.000000
151;4.000000;0.000000;0.000000
152;9.000000;0.000000;0.000000
153;10.000000;0.000000;0.000000
154;11.000000;0.000000;0.000000
155;13.000000;0.000000;0.000000
156;10.000000;0.000000;0.000000
157;5.000000;0.000000;0.000000
158;4.000000;0.000000;0.000000
159;2.000000;0.000000;0.000000
160;-1.000000;0.000000;0.000000
161;0.000000;0.000000;0.000000
162;1.000000;0.000000;0.000000
163;-2.000000;0.000000;0.000000
164;-3.000000;0.000000;0.000000
165;-2.000000;0.000000;0.000000
166;-5.000000;0.000000;0.000000
167;-6.000000;0.000000;0.000000
168;-4.000000;0.000000;0.000000
169;-4.000000;0.000000;0.000000
170;-5.000000;0.000000;0.000000
171;-1.000000;0.000000;0.000000
172;0.000000;0.000000;0.000000
173;-2.000000;0.000000;0.000000
174;-2.000000;0.000000;0.000000
175;-1.000000;0.000000;0.000000
176;-2.000000;0.000000;0.000000
177;-4.000000;0.000000;0.000000
178;-3.000000;0.000000;0.000000
179;-6.000000;0.000000;0.000000
180;-10.000000;0.000000;0.000000
181;-9.000000;0.000000;0.000000
182;-8.000000;0.000000;0.000000
183;-8.000000;0.000000;0.000000
184;-6.000000;0.000000;0.000000
185;-2.000000;0.000000;0.000000
186;-3.000000;0.000000;0.000000
187;-3.000000;0.000000;0.000000
188;-1.000000;0.000000;0.000000
189;-4.000000;0.000000;0.000000
190;-7.000000;0.000000;0.000000
191;-7.000000;0.000000;0.000000
192;-9.000000;0.000000;0.000000
193;-10.000000;0.000000;0.000000
194;-8.000000;0.000000;0.000000
195;-7.000000;0.000000;0.000000
196;-6.000000;0.000000;0.000000
197;-4.000000;0.000000;0.000000
198;-1.000000;0.000000;0.000000
199;2.000000;0.000000;0.000000
200;3.000000;0.000000;0.000000
201;4.000000;0.000000;0.000000
202;5.000000;0.000000;0.000000
203;5.000000;0.000000;0.000000
204;6.000000;0.000000;0.000000
205;7.000000;0.000000;0.000000
206;9.000000;0.000000;0.000000
207;9.000000;0.000000;0.000000
208;12.000000;0.000000;0.000000
209;14.000000;0.000000;0.000000
210;11.000000;0.000000;0.000000
211;13.000000;0.000000;0.000000
212;11.000000;0.000000;0.000000
213;6.000000;0.000000;0.000000
214;7.000000;0.000000;0.000000
215;6.000000;0.000000;0.000000
216;2.000000;0.000000;0.000000
217;4.000000;0.000000;0.000000
218;5.000000;0.000000;0.000000
219;2.000000;0.000000;0.000000
220;5.000000;0.000000;0.000000
221;7.000000;0.000000;0.000000
222;5.000000;0.000000;0.000000
223;8.000000;0.000000;0.000000
224;10.000000;0.000000;0.000000
225;7.000000;0.000000;0.000000
226;8.000000;0.000000;0.000000
227;6.000000;0.000000;0.000000
228;3.000000;0.000000;0.000000
229;1.000000;0.000000;0.000000
230;-1.000000;0.000000;0.000000
231;-1.000000;0.000000;0.000000
232;1.000000;0.000000;0.000000
233;1.000000;0.000000;0.000000
234;1.000000;0.000000;0.000000
235;2.000000;0.000000;0.000000
236;-1.000000;0.000000;0.000000
237;-1.000000;0.000000;0.000000
238;0.000000;0.000000;0.000000
239;-5.000000;0.000000;0.000000
240;-7.000000;0.000000;0.000000
241;-4.000000;0.000000;0.000000
242;-6.000000;0.000000;0.000000
243;-6.000000;0.000000;0.000000
244;-4.000000;0.000000;0.000000
245;-8.000000;0.000000;0.000000
246;-8.000000;0.000000;0.000000
247;-7.000000;0.000000;0.000000
248;-8.000000;0.000000;0.000000
249;-9.000000;0.000000;0.000000
250;-8.000000;0.000000;0.000000
251;-8.000000;0.000000;0.000000
252;-7.000000;0.000000;0.000000
253;-4.000000;0.000000;0.000000
254;-5.000000;0.000000;0.000000
255;-5.000000;0.000000;0.000000
256;-4.000000;0.000000;0.000000
257;-4.000000;0.000000;0.000000
258;-2.000000;0.000000;0.000000
259;-1.000000;0.000000;0.000000
260;-1.000000;0.000000;0.000000
261;0.000000;0.000000;0.000000
262;0.000000;0.000000;0.000000
263;1.000000;0.000000;0.000000
264;4.000000;0.000000;0.000000
265;2.000000;0.000000;0.000000
266;1.000000;0.000000;0.000000
267;4.000000;0.000000;0.000000
268;3.000000;0.000000;0.000000
269;2.000000;0.000000;0.000000
270;5.000000;0.000000;0.000000
271;3.000000;0.000000;0.000000
272;0.000000;0.000000;0.000000
273;3.000000;0.000000;0.000000
274;3.000000;0.000000;0.000000
275;0.000000;0.000000;0.000000
276;3.000000;0.000000;0.000000
277;3.000000;0.000000;0.000000
278;2.000000;0.000000;0.000000
279;6.000000;0.000000;0.000000
280;7.000000;0.000000;0.000000
281;6.000000;0.000000;0.000000
282;6.000000;0.000000;0.000000
283;6.000000;0.000000;0.000000
284;7.000000;0.000000;0.000000
285;8.000000;0.000000;0.000000
286;8.000000;0.000000;0.000000
287;7.000000;0.000000;0.000000
288;5.000000;0.000000;0.000000
289;5.000000;0.000000;0.000000
290;5.000000;0.000000;0.398428
291;1.000000;0.000000;574.672180
292;-5.000000;0.000000;1148.945923
293;-13.000000;0.000000;1723.219727
294;-34.000000;1.000000;2297.493408
295;-64.000000;2.000000;2871.767334
296;-103.000000;4.000000;3446.041016
297;-169.000000;6.000000;4020.314941
298;-259.000000;10.000000;4594.588379
299;-373.000000;15.000000;5168.862305
300;-518.000000;21.000000;5743.136230
301;-687.000000;28.000000;6317.409668
302;-885.000000;36.000000;6891.683594
303;-1110.000000;45.000000;7465.957520
304;-1366.000000;56.000000;8040.231445
305;-1650.000000;67.000000;8614.504883
306;-1958.000000;80.000000;9188.778320
307;-2291.000000;93.000000;9763.051758
308;-2652.000000;108.000000;10337.326172
309;-3033.000000;124.000000;10911.599609
310;-3422.000000;139.000000;11485.874023
311;-3817.000000;155.000000;12060.148438
312;-4220.000000;172.000000;12634.420898
313;-4638.000000;189.000000;13208.695312
314;-5066.000000;206.000000;13782.968750
315;-5513.000000;224.000000;14357.242188
316;-5969.000000;243.000000;14931.516602
317;-6442.000000;262.000000;15505.790039
318;-6930.000000;282.000000;15915.494141
319;-7422.000000;302.000000;15915.494141
320;-7923.000000;323.000000;15915.494141
321;-8420.000000;343.000000;15915.494141
322;-8899.000000;362.000000;15915.494141
323;-9375.000000;382.000000;15915.494141
324;-9839.000000;401.000000;15915.494141
325;-10279.000000;419.000000;15915.494141
326;-10707.000000;436.000000;15915.494141
327;-11111.000000;452.000000;15915.494141
328;-11495.000000;468.000000;15915.494141
329;-11865.000000;483.000000;15915.494141
330;-12207.000000;497.000000;15915.494141
331;-12530.000000;510.000000;15915.494141
332;-12825.000000;522.000000;15915.494141
333;-13091.000000;533.000000;15915.494141
334;-13342.000000;543.000000;15915.494141
335;-13574.000000;553.000000;15915.494141
336;-13782.000000;562.000000;15915.494141
337;-13977.000000;570.000000;15915.494141
338;-14167.000000;578.000000;15915.494141
339;-14338.000000;584.000000;15915.494141
340;-14495.000000;591.000000;15915.494141
341;-14656.000000;598.000000;15915.494141
342;-14793.000000;603.000000;15915.494141
343;-14919.000000;608.000000;15915.494141
344;-15049.000000;613.000000;15915.494141
345;-15162.000000;618.000000;15915.494141
346;-15264.000000;622.000000;15915.494141
347;-15367.000000;626.000000;15915.494141
348;-15458.000000;630.000000;15915.494141
349;-15535.000000;633.000000;15915.494141
350;-15603.000000;636.000000;15915.494141
351;-15664.000000;638.000000;15915.494141
352;-15710.000000;640.000000;15915.494141
353;-15755.000000;642.000000;15915.494141
354;-15794.000000;644.000000;15915.494141
355;-15829.000000;645.000000;15915.494141
356;-15853.000000;646.000000;15915.494141
357;-15877.000000;647.000000;15915.494141
358;-15900.000000;648.000000;15915.494141
359;-15917.000000;649.000000;15915.494141
360;-15939.000000;650.000000;15915.494141
361;-15956.000000;651.000000;15915.494141
362;-15963.000000;651.000000;15915.494141
363;-15977.000000;651.000000;15915.494141
364;-15994.000000;652.000000;15915.494141
365;-16001.000000;652.000000;15915.494141
366;-16007.000000;653.000000;15915.494141
367;-16021.000000;653.000000;15915.494141
368;-16030.000000;653.000000;15915.494141
369;-16033.000000;654.000000;15915.494141
370;-16036.000000;654.000000;15915.494141
371;-16033.000000;654.000000;15915.494141
372;-16026.000000;654.000000;15915.494141
373;-16024.000000;654.000000;15915.494141
374;-16027.000000;654.000000;15915.494141
375;-16023.000000;654.000000;15915.494141
376;-16025.000000;654.000000;15915.494141
377;-16026.000000;654.000000;15915.494141
378;-16024.000000;654.000000;15915.494141
379;-16026.000000;654.000000;15915.494141
380;-16023.000000;654.000000;15915.494141
381;-16019.000000;654.000000;15915.494141
382;-16020.000000;654.000000;15915.494141
383;-16015.000000;654.000000;15915.494141
384;-16015.000000;654.000000;15915.494141
385;-16016.000000;654.000000;15915.494141
386;-16012.000000;654.000000;15915.494141
387;-16012.000000;654.000000;15915.494141
388;-16011.000000;654.000000;15915.494141
389;-16008.000000;653.000000;15915.494141
390;-16014.000000;653.000000;15915.494141
391;-16011.000000;653.000000;15915.494141
392;-16006.000000;653.000000;15915.494141
393;-16005.000000;653.000000;15915.494141
394;-16000.000000;653.000000;15915.494141
395;-15993.000000;653.000000;15915.494141
396;-15990.000000;653.000000;15915.494141
397;-15985.000000;652.000000;15915.494141
398;-15978.000000;652.000000;15915.494141
399;-15974.000000;652.000000;15915.494141
400;-15968.000000;652.000000;15915.494141
401;-15960.000000;651.000000;15915.494141
402;-15959.000000;651.000000;15915.494141
403;-15955.000000;651.000000;15915.494141
404;-15950.000000;651.000000;15915.494141
405;-15948.000000;651.000000;15915.494141
406;-15939.000000;651.000000;15915.494141
407;-15937.000000;650.000000;15915.494141
408;-15935.000000;650.000000;15915.494141
409;-15929.000000;650.000000;15915.494141
410;-15928.000000;650.000000;15915.494141
411;-15925.000000;650.000000;15915.494141
412;-15923.000000;650.000000;15915.494141
413;-15921.000000;650.000000;15915.494141
414;-15922.000000;650.000000;15915.494141
415;-15918.000000;650.000000;15915.494141
416;-15914.000000;650.000000;15915.494141
417;-15913.000000;650.000000;15915.494141
418;-15918.000000;649.000000;15915.494141
419;-15916.000000;649.000000;15915.494141
420;-15914.000000;649.000000;15915.494141
421;-15916.000000;649.000000;15915.494141
422;-15909.000000;649.000000;15915.494141
423;-15907.000000;649.000000;15915.494141
424;-15909.000000;649.000000;15915.494141
425;-15906.000000;649.000000;15915.494141
426;-15901.000000;649.000000;15915.494141
427;-15899.000000;649.000000;15915.494141
428;-15900.000000;649.000000;15915.494141
429;-15896.000000;649.000000;15915.494141
430;-15896.000000;649.000000;15915.494141
431;-15895.000000;649.000000;15915.494141
432;-15891.000000;649.000000;15915.494141
433;-15888.000000;648.000000;15915.494141
434;-15893.000000;648.000000;15915.494141
435;-15889.000000;648.000000;15915.494141
436;-15885.000000;648.000000;15915.494141
437;-15888.000000;648.000000;15915.494141
438;-15883.000000;648.000000;15915.494141
439;-15880.000000;648.000000;15915.494141
440;-15880.000000;648.000000;15915.494141
441;-15877.000000;648.000000;15915.494141
442;-15872.000000;648.000000;15915.494141
443;-15871.000000;648.000000;15915.494141
444;-15870.000000;648.000000;15915.494141
445;-15868.000000;648.000000;15915.494141
446;-15867.000000;648.000000;15915.494141
447;-15866.000000;648.000000;15915.494141
448;-15865.000000;648.000000;15915.494141
449;-15863.000000;647.000000;15915.494141
450;-15870.000000;647.000000;15915.494141
451;-15872.000000;647.000000;15915.494141
452;-15872.000000;647.000000;15915.494141
453;-15879.000000;647.000000;15915.494141
454;-15879.000000;647.000000;15915.494141
455;-15878.000000;647.000000;15915.494141
456;-15883.000000;647.000000;15915.494141
457;-15883.000000;648.000000;15915.494141
458;-15877.000000;648.000000;15915.494141
459;-15882.000000;648.000000;15915.494141
460;-15886.000000;648.000000;15915.494141
461;-15884.000000;648.000000;15915.494141
462;-15889.000000;648.000000;15915.494141
463;-15895.000000;648.000000;15915.494141
464;-15894.000000;648.000000;15915.494141
465;-15898.000000;648.000000;15915.494141
466;-15904.000000;648.000000;15915.494141
467;-15904.000000;649.000000;15915.494141
468;-15899.000000;649.000000;15915.494141
469;-15906.000000;649.000000;15915.494141
470;-15904.000000;649.000000;15915.494141
471;-15900.000000;649.000000;15915.494141
472;-15908.000000;649.000000;15915.494141
473;-15905.000000;649.000000;15915.494141
474;-15904.000000;649.000000;15915.494141
475;-15911.000000;649.000000;15915.494141
476;-15909.000000;649.000000;15915.494141
477;-15907.000000;649.000000;15915.494141
478;-15911.000000;649.000000;15915.494141
479;-15910.000000;649.000000;15915.494141
480;-15909.000000;649.000000;15915.494141
481;-15913.000000;649.000000;15915.494141
482;-15913.000000;649.000000;15915.494141
483;-15915.000000;649.000000;15915.494141
484;-15918.000000;649.000000;15915.494141
485;-15917.000000;649.000000;15915.494141
486;-15921.000000;649.000000;15915.494141
487;-15923.000000;649.000000;15915.494141
488;-15924.000000;649.000000;15915.494141
489;-15929.000000;649.000000;15915.494141
490;-15931.000000;649.000000;15915.494141
491;-15931.000000;649.000000;15915.494141
492;-15934.000000;650.000000;15915.494141
493;-15930.000000;650.000000;15915.494141
494;-15929.000000;650.000000;15915.494141
495;-15930.000000;650.000000;15915.494141
496;-15930.000000;650.000000;15915.494141
497;-15930.000000;650.000000;15915.494141
498;-15931.000000;650.000000;15915.494141
499;-15929.000000;650.000000;15915.494141
500;-15930.000000;650.000000;15915.494141
501;-15933.000000;650.000000;15915.494141
502;-15928.000000;650.000000;15915.494141
503;-15927.000000;650.000000;15915.494141
504;-15929.000000;650.000000;15915.494141
505;-15927.000000;650.000000;15915.494141
