takt;q1;q2;q2p
0;390.000000;-16.000000;0.000000
1;674.000000;-23.000000;0.000000
2;773.000000;-28.000000;0.000000
3;790.000000;-30.000000;0.000000
4;681.000000;-26.000000;0.000000
5;456.000000;-18.000000;0.000000
6;289.000000;-13.000000;0.000000
7;91.000000;-5.000000;0.000000
8;-162.000000;6.000000;0.000000
9;-319.000000;12.000000;0.000000
10;-384.000000;15.000000;0.000000
11;-448.000000;18.000000;0.000000
12;-468.000000;19.000000;0.000000
13;-419.000000;17.000000;0.000000
14;-404.000000;17.000000;0.000000
15;-404.000000;17.000000;0.000000
16;-343.000000;15.000000;0.000000
17;-287.000000;12.000000;0.000000
18;-274.000000;12.000000;0.000000
19;-236.000000;10.000000;0.000000
20;-184.000000;8.000000;0.000000
21;-180.000000;7.000000;0.000000
22;-153.000000;6.000000;0.000000
23;-94.000000;4.000000;0.000000
24;-74.000000;3.000000;0.000000
25;-61.000000;3.000000;0.000000
26;-23.000000;1.000000;0.000000
27;-4.000000;0.000000;0.000000
28;-12.000000;0.000000;0.000000
29;6.000000;0.000000;0.000000
30;17.000000;0.000000;0.000000
31;-3.000000;0.000000;0.000000
32;-13.000000;0.000000;0.000000
33;-7.000000;0.000000;0.000000
34;-25.000000;0.000000;0.000000
35;-32.000000;1.000000;0.000000
36;-12.000000;1.000000;0.000000
37;-18.000000;0.000000;0.000000
38;-22.000000;0.000000;0.000000
39;4.000000;0.000000;0.000000
40;21.000000;-1.000000;0.000000
41;20.000000;-1.000000;0.000000
42;34.000000;-1.000000;0.000000
43;44.000000;-2.000000;0.000000
44;31.000000;-2.000000;0.000000
45;37.000000;-2.000000;0.000000
46;43.000000;-2.000000;0.000000
47;32.000000;-2.000000;0.000000
48;27.000000;-2.000000;0.000000
49;31.000000;-2.000000;0.000000
50;29.000000;-2.000000;0.000000
51;25.000000;-2.000000;0.000000
52;31.000000;-2.000000;0.000000
53;33.000000;-2.000000;0.000000
54;33.000000;-2.000000;0.000000
55;37.000000;-2.000000;0.000000
56;46.000000;-2.000000;0.000000
57;45.000000;-2.000000;0.000000
58;41.000000;-2.000000;0.000000
59;44.000000;-2.000000;0.000000
60;38.000000;-2.000000;0.000000
61;32.000000;-2.000000;0.000000
62;36.000000;-2.000000;0.000000
63;34.000000;-2.000000;0.000000
64;29.000000;-2.000000;0.000000
65;34.000000;-2.000000;0.000000
66;37.000000;-2.000000;0.000000
67;32.000000;-2.000000;0.000000
68;34.000000;-2.000000;0.000000
69;35.000000;-2.000000;0.000000
70;29.000000;-2.000000;0.000000
71;31.000000;-2.000000;0.000000
72;35.000000;-2.000000;0.000000
73;31.000000;-2.000000;0.000000
74;31.000000;-2.000000;0.000000
75;35.000000;-2.000000;0.000000
76;31.000000;-2.000000;0.000000
77;29.000000;-2.000000;0.000000
78;31.000000;-2.000000;0.000000
79;26.000000;-2.000000;0.000000
80;24.000000;-1.000000;0.000000
81;25.000000;-1.000000;0.000000
82;19.000000;-1.000000;0.000000
83;16.000000;-1.000000;0.000000
84;15.000000;-1.000000;0.000000
85;10.000000;-1.000000;0.000000
86;9.000000;-1.000000;0.000000
87;13.000000;-1.000000;0.000000
88;11.000000;-1.000000;0.000000
89;11.000000;-1.000000;0.000000
90;14.000000;-1.000000;0.000000
91;10.000000;-1.000000;0.000000
92;6.000000;-1.000000;0.000000
93;5.000000;-1.000000;0.000000
94;-3.000000;0.000000;0.000000
95;-4.000000;0.000000;0.000000
96;-1.000000;0.000000;0.000000
97;-4.000000;0.000000;0.000000
98;-7.000000;0.000000;0.000000
99;-6.000000;0.000000;0.000000
100;-5.000000;0.000000;0.000000
101;-5.000000;0.000000;0.000000
102;-1.000000;0.000000;0.000000
103;-1.000000;0.000000;0.000000
104;-4.000000;0.000000;0.000000
105;-2.000000;0.000000;0.000000
106;0.000000;0.000000;0.000000
107;-4.000000;0.000000;0.000000
108;-5.000000;0.000000;0.000000
109;-8.000000;0.000000;0.000000
110;-11.000000;0.000000;0.000000
111;-9.000000;0.000000;0.000000
112;-7.000000;0.000000;0.000000
113;-6.000000;0.000000;0.000000
114;-5.000000;0.000000;0.000000
115;-4.000000;0.000000;0.000000
116;-3.000000;0.000000;0.000000
117;-3.000000;0.000000;0.000000
118;-3.000000;0.000000;0.000000
119;-3.000000;0.000000;0.000000
120;-6.000000;0.000000;0.000000
121;-7.000000;0.000000;0.000000
122;-5.000000;0.000000;0.000000
123;-4.000000;0.000000;0.000000
124;-5.000000;0.000000;0.000000
125;-2.000000;0.000000;0.000000
126;-1.000000;0.000000;0.000000
127;-2.000000;0.000000;0.000000
128;-2.000000;0.000000;0.000000
129;-2.000000;0.000000;0.000000
130;-6.000000;0.000000;0.000000
131;-6.000000;0.000000;0.000000
132;-5.000000;0.000000;0.000000
133;-7.000000;0.000000;0.000000
134;-6.000000;0.000000;0.000000
135;-4.000000;0.000000;0.000000
136;-3.000000;0.000000;0.000000
137;-1.000000;0.000000;0.000000
138;-1.000000;0.000000;0.000000
139;-2.000000;0.000000;0.000000
140;-2.000000;0.000000;0.000000
141;-3.000000;0.000000;0.000000
142;-3.000000;0.000000;0.000000
143;-2.000000;0.000000;0.000000
144;-4.000000;0.000000;0.000000
145;-6.000000;0.000000;0.000000
146;-6.000000;0.000000;0.000000
147;-6.000000;0.000000;0.000000
148;-5.000000;0.000000;0.000000
149;-2.000000;0.000000;0.000000
150;-1.000000;0.000000;0.000000
151;-2.000000;0.000000;0.000000
152;-1.000000;0.000000;0.000000
153;-1.000000;0.000000;0.000000
154;-3.000000;0.000000;0.000000
155;-3.000000;0.000000;0.000000
156;-7.000000;0.000000;0.000000
157;-7.000000;0.000000;0.000000
158;-5.000000;0.000000;0.000000
159;-4.000000;0.000000;0.000000
160;-4.000000;0.000000;0.000000
161;-3.000000;0.000000;0.000000
162;-4.000000;0.000000;0.000000
163;-4.000000;0.000000;0.000000
164;-2.000000;0.000000;0.000000
165;-3.000000;0.000000;0.000000
166;-4.000000;0.000000;0.000000
167;-1.000000;0.000000;0.000000
168;-1.000000;0.000000;0.000000
169;-1.000000;0.000000;0.000000
170;0.000000;0.000000;0.000000
171;-3.000000;0.000000;0.000000
172;-4.000000;0.000000;0.000000
173;-1.000000;0.000000;0.000000
174;-2.000000;0.000000;0.000000
175;-3.000000;0.000000;0.000000
176;-1.000000;0.000000;0.000000
177;-1.000000;0.000000;0.000000
178;-2.000000;0.000000;0.000000
179;-1.000000;0.000000;0.000000
