takt;q1;q2;q2p
0;407.000000;-17.000000;0.000000
1;712.000000;-23.000000;0.000000
2;815.000000;-30.000000;0.000000
3;804.000000;-31.000000;0.000000
4;669.000000;-27.000000;0.000000
5;439.000000;-18.000000;0.000000
6;276.000000;-13.000000;0.000000
7;117.000000;-7.000000;0.000000
8;-81.000000;2.000000;0.000000
9;-180.000000;6.000000;0.000000
10;-193.000000;7.000000;0.000000
11;-207.000000;8.000000;0.000000
12;-205.000000;8.000000;0.000000
13;-164.000000;6.000000;0.000000
14;-180.000000;6.000000;0.000000
15;-213.000000;8.000000;0.000000
16;-185.000000;8.000000;0.000000
17;-175.000000;7.000000;0.000000
18;-185.000000;7.000000;0.000000
19;-159.000000;7.000000;0.000000
20;-134.000000;5.000000;0.000000
21;-142.000000;5.000000;0.000000
22;-111.000000;5.000000;0.000000
23;-67.000000;3.000000;0.000000
24;-65.000000;3.000000;0.000000
25;-52.000000;3.000000;0.000000
26;-33.000000;2.000000;0.000000
27;-40.000000;1.000000;0.000000
28;-57.000000;2.000000;0.000000
29;-44.000000;2.000000;0.000000
30;-51.000000;2.000000;0.000000
31;-77.000000;3.000000;0.000000
32;-72.000000;3.000000;0.000000
33;-72.000000;3.000000;0.000000
34;-88.000000;3.000000;0.000000
35;-79.000000;3.000000;0.000000
36;-58.000000;2.000000;0.000000
37;-66.000000;2.000000;0.000000
38;-57.000000;2.000000;0.000000
39;-28.000000;1.000000;0.000000
40;-32.000000;1.000000;0.000000
41;-32.000000;1.000000;0.000000
42;-18.000000;1.000000;0.000000
43;-21.000000;1.000000;0.000000
44;-31.000000;1.000000;0.000000
45;-24.000000;1.000000;0.000000
46;-23.000000;1.000000;0.000000
47;-35.000000;1.000000;0.000000
48;-34.000000;1.000000;0.000000
49;-35.000000;1.000000;0.000000
50;-42.000000;1.000000;0.000000
51;-50.000000;1.000000;0.000000
52;-49.000000;1.000000;0.000000
53;-51.000000;1.000000;0.000000
54;-55.000000;1.000000;0.000000
55;-49.000000;1.000000;0.000000
56;-43.000000;1.000000;0.000000
57;-40.000000;1.000000;0.000000
58;-34.000000;1.000000;0.000000
59;-24.000000;1.000000;0.000000
60;-22.000000;1.000000;0.000000
61;-20.000000;1.000000;0.000000
62;-16.000000;1.000000;0.000000
63;-22.000000;1.000000;0.000000
64;-25.000000;1.000000;0.000000
65;-28.000000;1.000000;0.000000
66;-33.000000;1.000000;0.000000
67;-40.000000;1.000000;0.000000
68;-42.000000;1.000000;0.000000
69;-43.000000;1.000000;0.000000
70;-45.000000;1.000000;0.000000
71;-41.000000;1.000000;0.000000
72;-39.000000;1.000000;0.000000
73;-38.000000;1.000000;0.000000
74;-34.000000;1.000000;0.000000
75;-29.000000;1.000000;0.000000
76;-27.000000;1.000000;0.000000
77;-26.000000;1.000000;0.000000
78;-27.000000;1.000000;0.000000
79;-30.000000;1.000000;0.000000
80;-30.000000;1.000000;0.000000
81;-32.000000;1.000000;0.000000
82;-32.000000;1.000000;0.000000
83;-32.000000;1.000000;0.000000
84;-33.000000;1.000000;0.000000
85;-32.000000;1.000000;0.000000
86;-30.000000;1.000000;0.000000
87;-29.000000;1.000000;0.000000
88;-28.000000;1.000000;0.000000
89;-26.000000;1.000000;0.000000
90;-27.000000;1.000000;0.000000
91;-25.000000;1.000000;0.000000
92;-24.000000;1.000000;0.000000
93;-26.000000;1.000000;0.000000
94;-26.000000;1.000000;0.000000
95;-26.000000;1.000000;0.000000
96;-27.000000;1.000000;0.000000
97;-27.000000;1.000000;0.000000
98;-26.000000;1.000000;0.000000
