takt;q1;q2;q2p
0;394.000000;-16.000000;0.000000
1;746.000000;-28.000000;0.000000
2;1005.000000;-38.000000;0.000000
3;1198.000000;-46.000000;0.000000
4;1298.000000;-51.000000;0.000000
5;1297.000000;-51.000000;0.000000
6;1245.000000;-50.000000;0.000000
7;1132.000000;-46.000000;0.000000
8;950.000000;-39.000000;0.000000
9;754.000000;-31.000000;0.000000
10;580.000000;-24.000000;0.000000
11;403.000000;-17.000000;0.000000
12;229.000000;-10.000000;0.000000
13;85.000000;-5.000000;0.000000
14;-39.000000;0.000000;0.000000
15;-152.000000;5.000000;0.000000
16;-233.000000;9.000000;0.000000
17;-284.000000;11.000000;0.000000
18;-325.000000;12.000000;0.000000
19;-346.000000;13.000000;0.000000
20;-341.000000;13.000000;0.000000
21;-318.000000;13.000000;0.000000
22;-280.000000;11.000000;0.000000
23;-235.000000;10.000000;0.000000
24;-182.000000;8.000000;0.000000
25;-140.000000;6.000000;0.000000
26;-103.000000;4.000000;0.000000
27;-57.000000;2.000000;0.000000
28;-26.000000;1.000000;0.000000
29;-3.000000;0.000000;0.000000
30;15.000000;0.000000;0.000000
31;23.000000;-1.000000;0.000000
32;24.000000;-1.000000;0.000000
33;21.000000;-1.000000;0.000000
34;20.000000;-1.000000;0.000000
35;11.000000;-1.000000;0.000000
36;0.000000;-1.000000;0.000000
37;-6.000000;-1.000000;0.000000
38;-9.000000;0.000000;0.000000
39;-5.000000;0.000000;0.000000
40;-4.000000;0.000000;0.000000
41;0.000000;0.000000;0.000000
42;3.000000;0.000000;0.000000
43;4.000000;0.000000;0.000000
44;11.000000;0.000000;0.000000
45;13.000000;-1.000000;0.000000
46;11.000000;-1.000000;0.000000
47;13.000000;-1.000000;0.000000
48;15.000000;-1.000000;0.000000
49;16.000000;-1.000000;0.000000
50;17.000000;-1.000000;0.000000
51;15.000000;-1.000000;0.000000
52;11.000000;-1.000000;0.000000
53;11.000000;-1.000000;0.000000
54;12.000000;-1.000000;0.000000
55;11.000000;-1.000000;0.000000
56;14.000000;-1.000000;0.000000
57;13.000000;-1.000000;0.000000
58;15.000000;-1.000000;0.000000
59;17.000000;-1.000000;0.000000
60;20.000000;-1.000000;0.000000
61;25.000000;-1.000000;0.000000
62;31.000000;-1.000000;0.000000
63;37.000000;-1.000000;0.000000
64;38.000000;-2.000000;0.000000
65;39.000000;-2.000000;0.000000
66;41.000000;-2.000000;0.000000
67;40.000000;-2.000000;0.000000
68;42.000000;-2.000000;0.000000
69;44.000000;-2.000000;0.000000
70;44.000000;-2.000000;0.000000
71;46.000000;-2.000000;0.000000
72;51.000000;-2.000000;0.000000
73;54.000000;-2.000000;0.000000
74;59.000000;-2.000000;0.000000
75;60.000000;-3.000000;0.000000
76;63.000000;-3.000000;0.000000
77;68.000000;-3.000000;0.000000
78;66.000000;-3.000000;0.000000
79;70.000000;-3.000000;0.000000
80;72.000000;-3.000000;0.000000
81;70.000000;-3.000000;0.000000
82;75.000000;-3.000000;0.000000
83;79.000000;-3.000000;0.000000
84;76.000000;-3.000000;0.000000
85;80.000000;-3.000000;0.000000
86;80.000000;-4.000000;0.000000
87;72.000000;-4.000000;0.000000
88;74.000000;-4.000000;0.000000
89;72.000000;-4.000000;0.000000
90;69.000000;-4.000000;0.000000
91;72.000000;-4.000000;0.000000
92;72.000000;-4.000000;0.000000
93;70.000000;-4.000000;0.000000
94;74.000000;-4.000000;0.000000
95;73.000000;-4.000000;0.000000
96;71.000000;-4.000000;0.000000
97;72.000000;-4.000000;0.000000
98;70.000000;-4.000000;0.000000
99;68.000000;-4.000000;0.000000
100;69.000000;-4.000000;0.000000
101;68.000000;-4.000000;0.000000
102;65.000000;-4.000000;0.000000
103;67.000000;-4.000000;0.000000
104;67.000000;-4.000000;0.000000
105;65.000000;-4.000000;0.000000
106;67.000000;-4.000000;0.000000
107;65.000000;-4.000000;0.000000
108;64.000000;-4.000000;0.000000
109;67.000000;-4.000000;0.000000
110;66.000000;-4.000000;0.000000
111;65.000000;-4.000000;0.000000
112;65.000000;-4.000000;0.000000
113;64.000000;-4.000000;0.000000
114;68.000000;-3.000000;0.000000
115;69.000000;-3.000000;0.000000
116;66.000000;-3.000000;0.000000
117;68.000000;-3.000000;0.000000
118;67.000000;-3.000000;0.000000
119;66.000000;-3.000000;0.000000
120;68.000000;-3.000000;0.000000
121;68.000000;-3.000000;0.000000
122;63.000000;-3.000000;0.000000
123;64.000000;-3.000000;0.000000
124;65.000000;-3.000000;0.000000
125;62.000000;-3.000000;0.000000
126;64.000000;-3.000000;0.000000
127;65.000000;-3.000000;0.000000
128;61.000000;-3.000000;0.000000
129;62.000000;-3.000000;0.000000
130;63.000000;-3.000000;0.000000
131;59.000000;-3.000000;0.000000
132;61.000000;-3.000000;0.000000
133;61.000000;-3.000000;0.000000
134;57.000000;-3.000000;0.000000
135;60.000000;-3.000000;0.000000
136;60.000000;-3.000000;0.000000
137;56.000000;-3.000000;0.000000
138;58.000000;-3.000000;0.000000
139;57.000000;-3.000000;0.000000
140;55.000000;-3.000000;0.000000
141;57.000000;-3.000000;0.000000
142;56.000000;-3.000000;0.000000
143;53.000000;-3.000000;0.000000
144;55.000000;-3.000000;0.000000
145;54.000000;-3.000000;0.000000
146;51.000000;-3.000000;0.000000
147;53.000000;-3.000000;0.000000
148;53.000000;-3.000000;0.000000
149;50.000000;-3.000000;0.000000
150;52.000000;-3.000000;0.000000
151;51.000000;-3.000000;0.000000
152;49.000000;-3.000000;0.000000
153;51.000000;-3.000000;0.000000
154;49.000000;-3.000000;0.000000
155;48.000000;-3.000000;0.000000
156;49.000000;-3.000000;0.000000
157;47.000000;-3.000000;0.000000
158;47.000000;-3.000000;0.000000
159;47.000000;-3.000000;0.000000
160;44.000000;-3.000000;0.000000
161;43.000000;-3.000000;0.000000
162;41.000000;-2.000000;0.000000
163;44.000000;-2.000000;0.000000
164;41.000000;-2.000000;0.000000
165;42.000000;-2.000000;0.000000
166;41.000000;-2.000000;0.000000
167;37.000000;-2.000000;0.000000
168;39.000000;-2.000000;0.000000
169;36.000000;-2.000000;0.000000
170;34.000000;-2.000000;0.000000
171;33.000000;-2.000000;0.000000
172;31.000000;-2.000000;0.000000
173;32.000000;-2.000000;0.000000
174;31.000000;-2.000000;0.000000
175;30.000000;-2.000000;0.000000
176;29.000000;-2.000000;0.000000
177;28.000000;-2.000000;0.000000
178;27.000000;-2.000000;0.000000
179;25.000000;-2.000000;0.000000
180;23.000000;-2.000000;0.000000
181;21.000000;-2.000000;0.000000
182;21.000000;-2.000000;0.000000
183;20.000000;-2.000000;0.000000
184;19.000000;-1.000000;0.000000
185;27.000000;-1.000000;0.000000
186;28.000000;-1.000000;0.000000
187;28.000000;-1.000000;0.000000
188;30.000000;-1.000000;0.000000
189;26.000000;-1.000000;0.000000
190;28.000000;-1.000000;0.000000
191;28.000000;-1.000000;0.000000
192;27.000000;-1.000000;0.000000
193;28.000000;-1.000000;0.000000
194;27.000000;-1.000000;0.000000
195;29.000000;-1.000000;0.000000
196;32.000000;-1.000000;0.000000
197;30.000000;-1.000000;0.000000
198;30.000000;-1.000000;0.000000
199;33.000000;-1.000000;0.000000
200;32.000000;-1.000000;0.000000
201;33.000000;-1.000000;0.000000
202;36.000000;-1.000000;0.000000
203;34.000000;-1.000000;0.000000
204;37.000000;-2.000000;0.000000
205;33.000000;-2.000000;0.000000
206;29.000000;-2.000000;0.000000
207;30.000000;-2.000000;0.000000
208;27.000000;-2.000000;0.000000
209;24.000000;-2.000000;0.000000
210;26.000000;-2.000000;0.000000
211;25.000000;-2.000000;0.000000
212;22.000000;-2.000000;0.000000
213;27.000000;-2.000000;0.000000
214;26.000000;-2.000000;0.000000
215;21.000000;-2.000000;0.000000
216;24.000000;-2.000000;0.000000
217;21.000000;-2.000000;0.000000
