takt;q1;q2;q2p
0;395.000000;-16.000000;0.000000
1;733.000000;-27.000000;0.000000
2;965.000000;-37.000000;0.000000
3;1134.000000;-44.000000;0.000000
4;1203.000000;-47.000000;0.000000
5;1175.000000;-46.000000;0.000000
6;1099.000000;-44.000000;0.000000
7;970.000000;-39.000000;0.000000
8;771.000000;-31.000000;0.000000
9;567.000000;-23.000000;0.000000
10;380.000000;-15.000000;0.000000
11;178.000000;-8.000000;0.000000
12;-24.000000;1.000000;0.000000
13;-193.000000;7.000000;0.000000
14;-342.000000;13.000000;0.000000
15;-476.000000;19.000000;0.000000
16;-566.000000;23.000000;0.000000
17;-623.000000;25.000000;0.000000
18;-656.000000;26.000000;0.000000
19;-667.000000;27.000000;0.000000
20;-645.000000;27.000000;0.000000
21;-610.000000;26.000000;0.000000
22;-568.000000;24.000000;0.000000
23;-518.000000;22.000000;0.000000
24;-464.000000;20.000000;0.000000
25;-424.000000;18.000000;0.000000
26;-378.000000;16.000000;0.000000
27;-332.000000;14.000000;0.000000
28;-303.000000;13.000000;0.000000
29;-278.000000;12.000000;0.000000
30;-254.000000;11.000000;0.000000
31;-239.000000;10.000000;0.000000
32;-237.000000;10.000000;0.000000
33;-236.000000;10.000000;0.000000
34;-237.000000;10.000000;0.000000
35;-247.000000;10.000000;0.000000
36;-253.000000;10.000000;0.000000
37;-255.000000;10.000000;0.000000
38;-252.000000;10.000000;0.000000
39;-246.000000;10.000000;0.000000
40;-231.000000;10.000000;0.000000
41;-212.000000;9.000000;0.000000
42;-194.000000;8.000000;0.000000
43;-172.000000;7.000000;0.000000
44;-147.000000;7.000000;0.000000
45;-125.000000;5.000000;0.000000
46;-106.000000;5.000000;0.000000
47;-81.000000;4.000000;0.000000
48;-60.000000;3.000000;0.000000
49;-44.000000;2.000000;0.000000
50;-26.000000;1.000000;0.000000
51;-15.000000;1.000000;0.000000
52;-9.000000;0.000000;0.000000
53;-8.000000;0.000000;0.000000
54;-4.000000;0.000000;0.000000
55;0.000000;0.000000;0.000000
56;3.000000;0.000000;0.000000
57;12.000000;0.000000;0.000000
58;21.000000;-1.000000;0.000000
59;24.000000;-1.000000;0.000000
60;34.000000;-1.000000;0.000000
61;45.000000;-2.000000;0.000000
62;49.000000;-2.000000;0.000000
63;56.000000;-2.000000;0.000000
64;63.000000;-2.000000;0.000000
65;62.000000;-3.000000;0.000000
66;64.000000;-3.000000;0.000000
67;70.000000;-3.000000;0.000000
68;68.000000;-3.000000;0.000000
69;66.000000;-3.000000;0.000000
70;72.000000;-3.000000;0.000000
71;77.000000;-3.000000;0.000000
